# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Truth-Asserting Terms | This group includes expressions used to assert that statements, objects, or situations correspond to actual reality rather than being false, deceptive, or merely apparent. These terms are used when affirming accuracy, genuineness, or authenticity, and frequently appear in contexts where truth is being established, verified, or contrasted with falsehood. | chiqan (#1), chiqap (#2), chiqamanta (#26), chiqan kay (P1b), chiqan simi (P1b), chiqan runa (P1b), chiqanta rimay (P2b), chiqanta willakuy (P2b), chiqanpi kay (P2b), cheqan (#10), suti (#13), sutimi kay (P2b) | chanin (#7) — overlaps with legitimacy/validation terms; chiqan kaq (P1b/P2b) — overlaps with substantivizing constructions | |
| Falsehood and Deception Terms | This group includes expressions used to characterize statements, objects, or persons as false, deceptive, or not corresponding to reality. These terms appear in contexts of moral judgment about dishonesty, identification of false claims, and warnings against deception. They contrast directly with truth-asserting terms. | llulla (#3), llullakuy (#4), llullakuq (P2a), llulla simi (P1b), llulla runa (P1b), llullata rimay (P2b), llullata willakuy (P2b), llullawan kay (P2b), llulla kay (P1b), llulla kaq (P1b/P2b), ama llullakychu (P2b) | ch'usaq (#20) — overlaps with emptiness/lack terms; ch'usaq simi (P1b) — empty words, vain talk | |
| Error and Mistake Terms | This group includes expressions used to characterize mistakes, errors, and being wrong without necessarily implying intentional deception. These terms appear in contexts of correction, learning, and acknowledging incorrect judgments or actions. They differ from deception terms in not implying deliberate dishonesty. | pantay (#11), pantasqa (#12), pantayta ruray (P2b), ama pantaychu (P2b), pantasqa kay (P2b) | llulla yachay (P1b) — could be error or deception | |
| Positive Evaluation Terms | This group includes expressions used for broad positive evaluation across moral, practical, and epistemic domains. These terms indicate that something meets standards of correctness, quality, or appropriateness, and are used in everyday contexts for approval, proper conduct, and functional adequacy. They are not restricted to truth-evaluation but include it. | allin (#5), allin kay (P1b), allin runa (P1b), allin simi (P1b), allinta ruray (P2b), allinmi kay (P2b), allinchay (P2a), allinyay (P2a), allin kawsay (P1b) | allin yachay (P1b) — overlaps with knowledge terms; allin ñan (P1b) — overlaps with directness/correctness | |
| Negative Evaluation Terms | This group includes expressions formed through negation of positive evaluation terms, used to indicate that something fails to meet standards or is improper. These are the primary means of expressing negative evaluation in everyday contexts. | mana allin (#6), mana allin kay (P2b), mana allin rikch'akuy (P2b) | None clearly identified | |
| Knowledge and Epistemic Terms | This group includes expressions that distinguish between established knowledge (what is known with certainty) and subjective mental processes (thinking, believing, remembering). These terms are used in contexts where epistemic status is being evaluated or where the basis of claims is being established. | yachay (#8), yachanta yachay (P2b), chiqanta yachay (P2b), mana yachay (P2b), yuyay (#9), yuyaypi kay (P2b), yuyayman hamuy (P2b) | yachanayay (#24) — marginal status; musyay (#27) — overlaps with perception terms; riqsiy (#28) — different type of knowing | |
| Perception and Appearance Terms | This group includes expressions used to describe how things appear, seem, or are perceived, often with implications about whether appearance corresponds to reality. These terms are used when evaluating whether something is what it appears to be or when describing resemblance. | rikch'ay (#14), rikch'akuy (#15), chiqanman rikch'ay (P2b), llullaman rikch'ay (P2b), allin rikch'akuy (P2b), musyay (#27), riqsiy (#28) | suti (#13) — overlaps with truth-asserting terms; sutita rikuy (P2b) — to see clearly | |
| Verification and Authentication Terms | This group includes expressions used when actively testing, verifying, or establishing the truth or authenticity of something. These terms appear in investigative, legal, and administrative contexts where evidence or proof is being sought or established. | takyay (#23), chiqanchay (P2a), chiqanchakuy (P2a), chiqanta takyay (P2b), chanin (#7), chaninmi kay (P2b), chaninta quy (P2b) | None clearly identified | |
| Completeness and Wholeness Terms | This group includes expressions that evaluate whether something is complete, whole, and genuine versus incomplete, empty, or lacking substance. These terms can apply to physical objects, statements, or abstract qualities, and are used to assess whether something has all its essential elements. | hunt'a (#17), hunt'a kay (P2b), mana hunt'a kay (P2b), ch'ulla (#16), ch'usaq (#20), ch'usaq simi (P1b), ch'usaq kay (P2b) | None clearly identified | |
| Existence and Being Terms | This group includes expressions that mark whether something actually exists or is real versus being non-existent or unreal. These terms are used to distinguish what has actual being from what is merely imagined, claimed, or false. | kaq (#21), chiqan kaq (P1b/P2b), llulla kaq (P1b/P2b), allin kaq (P1b/P2b), mana kaq (#22), mana kaq ima (P2b) | None clearly identified | |
| Directness and Straightness Terms | This group includes expressions that describe physical straightness or directional correctness, which extend metaphorically to moral uprightness and proper conduct. These terms are used both for literal paths and for metaphorical evaluation of behavior and methods. | cheqan (#10), chiqan ñan (P1b), llulla ñan (P1b), allin ñan (P1b), cheqan ñanpi purin (P2b) | None clearly identified | |
| Emphatic and Intensifying Particles | This group includes particles and adverbial forms used to emphasize or intensify the truth or certainty of statements. These appear in discourse to strengthen assertions and confirm the speaker's commitment to what is being said. | k'ari (#18), k'arimi (P2b), chiqap k'ari (P2b), chiqapmi (P2b), chiqapsi (P2b), chiqapcha (P2b) | chiqanlla (P1b) — limitative rather than emphatic | |
| Speech and Communication Terms | This group includes multi-word constructions that combine truth/falsity terms with verbs of speaking, telling, or communicating. These are used when the focus is on the act of communication and its truthfulness rather than on abstract truth. | chiqanta rimay (P2b), chiqanta willakuy (P2b), chiqanta niy (P2b), chiqan rimay (P1b), chiqan willakuy (P1b), llullata rimay (P2b), llullata willakuy (P2b), llulla rimay (P1b), chiqan simi (P1b), llulla simi (P1b) | None clearly identified | |
| Character and Disposition Terms | This group includes expressions used to evaluate people's character regarding truthfulness, honesty, and sincerity. These terms describe habitual dispositions rather than individual acts, and are used in moral evaluation and social judgment. | chiqan runa (P1b), llulla runa (P1b), llullakuq (P2a), allin runa (P1b), chiqan sunqu (P1b), llulla sunqu (P1b), allin sunqu (P1b) | None clearly identified | |
| (Ungrouped Items) | Marginal or context-dependent items not clearly grouped, or items with multiple group membership. | qhapaq (#19) — historically significant but usage in truth/falsity domain unclear; imayna (#25) — interrogative term, functions as question word rather than assertion; yachanayay (#24) — marked as marginal, limited attestation; chanin (#7) — belongs to both truth-asserting and verification contexts; musyay (#27) — overlaps between knowledge and perception; riqsiy (#28) — overlaps between knowledge and perception; ch'usaq (#20) and ch'usaq simi — belongs to both falsehood and completeness terms | | Items with multiple group membership preserved in their respective groups; marginal items listed here for reference |
