# G7b — Empirical vs. AOML Constraint Comparison

---

## Preliminary Notes

The empirical matrix (G7a) was derived from F-phase data across 8 languages using 16 semantic dimensions (A–P) and 25 constructional functions (CF1–CF25). The AOML matrix is a theoretical architecture with 7 primary axes (VER, AUTH, SINC, NORM, ESS, VERIF, LIFE), 2 meta-axes (DEG, TEMP), 7 core operators (ATTR, CAUSE, BECOME, RESULT, ABSTR, STRAT, CONTR), 1 provisional operator (REVEAL), 4 levels, and 6 structural rules (R1–R6).

Alignment is assessed by mapping empirical dimensions to AOML axes and empirical constructional functions to AOML operators, then comparing empirical ALLOWED/VARIABLE/BLOCKED ratings against AOML licensed/restricted/blocked predictions. Where no mapping is possible, this is noted explicitly.

---

## Dimension-to-Axis Mapping

Before the comparison table, the mapping between empirical dimensions and AOML axes must be established. This mapping is not always one-to-one.

| Empirical Dimension | Best AOML Axis Mapping | Mapping Quality | Notes |
|---|---|---|---|
| A: Propositional Correspondence | VER | Strong | Direct match: both concern statement-to-world correspondence |
| B: Moral Honesty / Integrity of Character | SINC | Strong | Both concern dispositional truthfulness of agents |
| C: Ontological Reality / Actuality | AUTH (actualization subregion) + VER | Partial | AOML places actualization within AUTH; empirical data treats it as partially distinct from material authenticity |
| D: Material Authenticity / Genuineness of Objects | AUTH | Strong | Direct match: both concern origin integrity of objects |
| E: Factual Correctness / Error | VER | Partial | Overlaps with VER but focuses on conformity to standards rather than correspondence to facts; AOML does not distinguish these |
| F: Reliability / Trustworthiness of Sources | SINC (faithfulness subregion) | Partial | AOML places reliability within SINC; empirical data treats it as partially distinct from personal honesty |
| G: Verification / Authentication Processes | VERIF | Strong | Direct match: both concern evidential establishment processes |
| H: Revelation / Concealment of Truth | REVEAL (provisional) | Partial | AOML's provisional REVEAL operator covers revelation; concealment is not explicitly modeled |
| I: Epistemic Certainty / Doubt | DEG[VER] or DEG[VERIF] | Partial | AOML treats certainty as a meta-axis modulation; empirical data treats it as a dimension with its own vocabulary |
| J: Moral Righteousness / Justice | NORM | Strong | Both concern moral and legal rightness |
| K: Legal / Formal Validity | NORM (legitimacy subregion) | Partial | AOML places legitimacy within NORM; empirical data treats legal validity as partially distinct from moral rightness |
| L: Precision / Exactness | DEG[VER] | Partial | AOML treats precision as degree modulation of VER; empirical data treats it as a distinct dimension with dedicated vocabulary |
| M: Sincerity / Authenticity of Expression | SINC | Partial | Overlaps with SINC but focuses on emotional authenticity rather than habitual truthfulness; AOML does not distinguish these |
| N: Plausibility / Surface Appearance of Truth | LIFE | Partial | AOML's LIFE axis covers representational resemblance to reality; empirical plausibility is related but not identical |
| O: Actual vs. Nominal / Formal Status | AUTH (actualization) + NORM | Partial | Spans AOML axes; no single AOML axis captures this distinction cleanly |
| P: Consistency / Coherence | ESS (essential structure subregion) | Weak | AOML places consistency within ESS; empirical data treats it as a distinct dimension; mapping is uncertain |

---

## Comparison Table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
|---|---|---|---|---|---|
| **A: Propositional Correspondence** | CF1: Predicative attribution | ALLOWED (all 8 languages) | ATTR × VER: licensed | MATCH | Perfect alignment. Both systems predict universal availability of truth attribution. |
| **A: Propositional Correspondence** | CF2: Predicative negation | ALLOWED (all 8 languages) | CONTR × VER: licensed | MATCH | Negation of truth attribution is universally licensed in both systems. |
| **A: Propositional Correspondence** | CF3: Adnominal modification | ALLOWED (all 8 languages) | ATTR × VER (adnominal form): licensed | MATCH | Adnominal modification is a surface realization of ATTR; universally licensed. |
| **A: Propositional Correspondence** | CF4: Inchoative / become | VARIABLE (substitution by revelation constructions; Turkish/Finnish partial exceptions) | BECOME × VER: restricted | PARTIAL | AOML predicts restricted; empirical data shows consistent substitution by revelation constructions. AOML does not predict the specific substitution pattern. |
| **A: Propositional Correspondence** | CF5: Causative (making X true) | BLOCKED (all 8 languages; universal gap) | CAUSE × VER: restricted (not blocked) | CONFLICT | This is the most significant conflict. AOML predicts CAUSE × VER is restricted (not blocked), but empirical data shows universal blocking for the specific meaning "cause a proposition to acquire truth value." AOML's restriction applies to factual targets generally; the empirical block is specific to propositional truth-value causation. |
| **A: Propositional Correspondence** | CF6: Abstract nominalization | ALLOWED (all 8 languages) | ABSTR × VER: licensed | MATCH | Perfect alignment. Both systems predict universal availability of truth nominalization. |
| **A: Propositional Correspondence** | CF7: Agentive nominalization (liar) | ALLOWED (all 8 languages) | CONTR × VER (agentive form): licensed | PARTIAL | AOML licenses CONTR × VER but does not specifically predict agentive nominalization as a constructional function. The alignment is indirect. |
| **A: Propositional Correspondence** | CF7b: Agentive nominalization (truth-teller) | VARIABLE (consistently weaker than liar agentive; asymmetric across all 8 languages) | No specific AOML prediction for agentive asymmetry | NO ALIGNMENT | AOML does not predict or model the liar/truth-teller agentive asymmetry. This is an unmodeled empirical finding. |
| **A: Propositional Correspondence** | CF8: Action nominalization | ALLOWED (all 8 languages) | ABSTR × VER (process form): licensed | MATCH | Action nominalization is a form of ABSTR; universally licensed. |
| **A: Propositional Correspondence** | CF9: Light verb speech acts (tell truth/lie) | ALLOWED (all 8 languages) | ATTR × VER (speech act form): licensed | PARTIAL | AOML licenses ATTR × VER but does not specifically model light verb constructions as a distinct constructional type. The alignment is indirect. |
| **A: Propositional Correspondence** | CF12a: Revelation constructions | ALLOWED (all 8 languages) | REVEAL × VER: provisionally licensed | MATCH | Strong alignment. AOML's provisional REVEAL operator is specifically licensed for VER, and empirical data shows universal availability. |
| **A: Propositional Correspondence** | CF12b: Concealment constructions | ALLOWED (all 8 languages) | No explicit AOML prediction for concealment | PARTIAL | AOML models REVEAL but not its opposite (concealment). Empirical data shows concealment is universally productive. AOML would need to model the REVEAL/conceal opposition explicitly. |
| **A: Propositional Correspondence** | CF13: Adverbial manner modification | ALLOWED (all 8 languages) | ATTR × VER (manner form): licensed | MATCH | Manner adverbials are a surface realization of ATTR; universally licensed. |
