| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| doğru | yanlış | doğru / yanlış | correct, true / wrong, incorrect, false, mistaken | The primary antonym pair in the truth-evaluation domain; *doğru* affirms correspondence of a statement or action to fact or norm, while *yanlış* denotes deviation from correctness. The data explicitly identifies *yanlış* as "the primary antonym of *doğru*" and the pair appears together in the formulaic construction *doğru mu yanlış mı?*, in *doğruyu yanlıştan ayırt etmek*, and in the fixed construction *doğru yanlış sorusu* (true/false question). Beyond propositional correctness, the same pair operates in moral evaluation of actions and conduct; *doğru yol* (the right path) contrasts with *doğru yoldan sapmak* (to deviate from the right path), where *yanlış* is the implicit or explicit alternative. The moral and propositional uses of the pair are not distinguished by form. Both participate in parallel constructions (*doğru çıkmak* / *yanlış çıkmak*) and are paired in the binomial *yalan yanlış*. | lexical | [CORE] |
| doğru | doğru değil | doğru / doğru değil | correct / not correct | The morphosyntactic negation of *doğru* via the invariant negation particle *değil*; the data documents *Bu bilgi doğru değil* as the standard negation construction for adjectival predicates in this domain. This is a constructional negation rather than a lexical antonym, and it coexists with the lexical antonym *yanlış*. The constructional opposition between affirmative null-copula predication and negation with *değil* is fully productive across all truth-domain adjectives and is not restricted to any single lexical item. | constructional | [CORE] |
| doğru | eğri | doğru / eğri | straight, correct, honest / crooked, bent, dishonest | *Eğri* is explicitly identified as the primary antonym of *doğru* in both physical (a crooked line) and moral (a dishonest person or action) senses. The proverbial expression *doğruya doğru, eğriye eğri demek* (to call a spade a spade) pairs them directly as the two poles of honest evaluation. | lexical | [CORE] |
| doğru | yalan | doğru / yalan | true, correct / lie, falsehood | *Yalan* contrasts with *doğru*; the parallel constructions *doğruyu söylemek* (to tell the truth) and *yalan söylemek* (to tell a lie) are documented as direct contrasts. The contrast is between a statement conforming to fact and a deliberately false statement. | lexical | [CORE] |
| doğruluk | yanlışlık | doğruluk / yanlışlık | truthfulness, correctness, accuracy / error, mistake, incorrectness, wrongness | The nominalized property forms of the *doğru*/*yanlış* pair; *doğruluk* names the quality of being true or accurate, while *yanlışlık* names the quality or instance of being wrong or incorrect. Both are documented as [CORE] derivations of their respective bases. *Doğruluk* covers both the logical property of propositions (*doğruluk değeri*, truth value) and the moral property of persons (*doğruluğa bağlılık*, commitment to integrity); this internal semantic contrast within a single form is explicitly noted as a case where the same form covers two distinct evaluative domains. | morphological | [CORE] |
| doğrulamak / doğrulama / doğrulanabilir / doğrulanabilirlik | yanlışlamak / yanlışlama / yanlışlanabilir / yanlışlanabilirlik | doğrulamak / yanlışlamak; doğrulama / yanlışlama; doğrulanabilir / yanlışlanabilir; doğrulanabilirlik / yanlışlanabilirlik | to verify / to falsify; verification / falsification; verifiable / falsifiable; verifiability / falsifiability | A parallel morphological series in which the *doğru-* and *yanlış-* bases generate structurally identical derivations encoding opposite epistemic operations. Both are factitive verb formations on truth-domain bases (*doğru* + *-la-*; *yanlış* + *-la-*). The data explicitly notes that *yanlışlama ilkesi* (the principle of falsification) "directly parallels *doğrulama*" and that *yanlışlanabilirlik* "directly parallels *doğrulanabilirlik*." The pair encodes the logical positivist / Popperian distinction in Turkish academic discourse, formed by identical morphological stacking (*-la-* + *-n-* + *-abil-* + *-ir/-lik*) on *doğru* and *yanlış* respectively. At the constructional level, these two verbs occupy the same syntactic slot (transitive verb taking a propositional object) but produce opposite epistemic outcomes: *doğrulamak* establishes that a claim is correct, while *yanlışlamak* demonstrates that it is incorrect. | morphological | [CORE] for the verbal and process nominal forms; [MARGINAL] for the ability/potential nominalizations (*doğrulanabilirlik*, *yanlışlanabilirlik*) |
| doğrulamak | yalanlamak | doğrulamak / yalanlamak | to verify, to confirm / to deny, to refute, to contradict, to give the lie to | Both are *-la-* verbalizations of their respective bases (*doğru-* and *yalan-*) describing opposite speech acts in response to a claim; *doğrulamak* confirms a claim as accurate, while *yalanlamak* officially denies or refutes it. Both are documented as [CORE] terms common in journalistic and political discourse. *Yalanlamak* is explicitly documented as the negative counterpart of *teyit etmek* and *doğrulamak* in journalistic and official usage, where confirmation and denial/refutation are the two contrasting outcomes of the verification process. | morphological | [CORE] |
| doğrulama | yalanlama | doğrulama / yalanlama | verification, confirmation / denial, refutation | The verbal noun counterparts of *doğrulamak* and *yalanlamak*. They name the acts corresponding to the verbal opposition and appear as contrasting outcomes in journalistic and official language (*resmi yalanlama* — official denial, contrasted with *teyit* — confirmation). | lexical | [CORE] |
| teyit etmek | yalanlamak | teyit etmek / yalanlamak | to confirm, to corroborate / to deny, to refute | Explicitly documented as contrasting outcomes of the verification process in journalistic and official contexts: *teyit* (confirmation from an independent source) and *yalanlama* (official denial or refutation). They are structurally distinct — one is a light-verb construction, the other a morphological derivation — but function as functional opposites in news language. | constructional | [CORE] |
