# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Hebrew (he)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| אמת (emet) | אמיתי (amiti) | amiti | emet + adjectival suffix -i | true, genuine, real, authentic | Adjectival derivation converting the noun "truth" into an adjective describing genuineness or authenticity. Highly productive pattern for creating adjectives from abstract nouns. | [CORE] |
| אמת (emet) | אמיתות (amitiyut) | amitiyut | amiti + abstract noun suffix -ut | authenticity, genuineness, truthfulness | Abstract noun derived from the adjective amiti, denoting the quality or state of being genuine. Standard pattern for creating abstract nouns from adjectives. | [CORE] |
| אמת (emet) | באמת (be'emet) | be'emet | preposition be- "in/with" + emet | truly, really, indeed, in truth | Prepositional phrase functioning as adverb or discourse marker. Highly frequent in spoken and written Hebrew. | [CORE] |
| אמת (emet) | אמת מידה (amat mida) | amat mida | emet (in construct state) + mida "measure" | criterion, standard, yardstick | Fixed compound using construct state (smixut) to create a metaphorical expression for evaluative standards. The construct form "amat" is the bound form of "emet." | [CORE] |
| אמת (emet) | אמת לאמיתה (emet la'amita) | emet la'amita | emet + preposition le- "to" + amita (emet with possessive suffix -a "its") | the absolute truth, the real truth | Emphatic construction using prepositional phrase with possessive suffix to intensify meaning. Common in colloquial Hebrew. | [CORE] |
| אמת (emet) | אמת מוחלטת (emet muḥletet) | emet muḥletet | emet + muḥletet "absolute" (adjective) | absolute truth | Adjectival modification creating a philosophical/technical term. Standard pattern for creating compound concepts. | [CORE] |
| אמת (emet) | אמת היסטורית (emet historit) | emet historit | emet + historit "historical" (adjective) | historical truth | Adjectival modification creating domain-specific term. Pattern used for various types of truth (scientific, subjective, etc.). | [CORE] |
| שקר (sheker) | לשקר (leshaker) | leshaker | infinitive prefix le- + shaker (pi'el verb form from root sh-q-r) | to lie, to deceive | Verbal derivation from the noun, using pi'el binyan (intensive/causative pattern). Standard process for creating verbs from nouns. | [CORE] |
| שקר (sheker) | שקרן (shakran) | shakran | root sh-q-r + agent noun suffix -an | liar, habitual liar | Agent noun derivation indicating someone characterized by the action. The suffix -an typically indicates habitual or professional agents. | [CORE] |
| שקר (sheker) / שקרן (shakran) | שקרנות (shakranut) | shakranut | shakran + abstract noun suffix -ut | lying, mendacity, dishonesty | Abstract noun derived from agent noun, denoting the quality or practice. Standard pattern for abstracting from agent nouns. | [CORE] |
| שקר (sheker) | שקרי (shikri) | shikri | sheker + adjectival suffix -i | false, lying, deceptive | Adjectival derivation from noun. Parallel to amiti from emet, though less frequent in usage. | [CORE] |
| שקר (sheker) | שקר לבן (sheker lavan) | sheker lavan | sheker + lavan "white" (adjective) | white lie | Fixed compound using color adjective to modify type of lie. Calque from European languages. | [CORE] |
| שקר (sheker) | עד שקר (ed sheker) | ed sheker | ed "witness" + sheker (in attributive position) | false witness, perjurer | Compound noun using attributive adjective pattern. Biblical origin, maintained in legal contexts. | [CORE] |
| שקר (sheker) | עדות שקר (edut sheker) | edut sheker | edut "testimony" + sheker (in attributive position) | false testimony, perjury | Compound noun parallel to ed sheker. Legal terminology. | [CORE] |
| אמין (amin) | אמינות (aminut) | aminut | amin + abstract noun suffix -ut | reliability, credibility, trustworthiness | Abstract noun derivation from adjective. Standard pattern for creating quality nouns from adjectives. | [CORE] |
| נאמן (ne'eman) | נאמנות (ne'emanut) | ne'emanut | ne'eman + abstract noun suffix -ut | faithfulness, loyalty, fidelity | Abstract noun derivation from adjective. Standard pattern for quality nouns. | [CORE] |
| מהימן (meheyman) | מהימנות (meheymanut) | meheymanut | meheyman + abstract noun suffix -ut | reliability, credibility, authenticity | Abstract noun derivation from adjective. Formal/literary register, parallel to aminut but more elevated. | [CORE] |
