# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Hebrew (he)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| אמת (emet) | לומר את האמת | lomar et ha'emet | to tell the truth | Standard expression for truthful speech. The most common way to express truth-telling in Hebrew, used across all registers. | [CORE] |
| אמת (emet) | האמת היא ש... | ha'emet hi she... | the truth is that... | Discourse marker introducing a frank or corrective statement. Common in both spoken and written Hebrew to signal a shift to direct truth-telling. | [CORE] |
| אמת (emet) | לדבר אמת | ledaber emet | to speak truth | More formal or elevated expression for truthful speech, parallel to lomar et ha'emet but with slightly more literary register. | [CORE] |
| אמת (emet) | אמת או שקר | emet o sheker | truth or falsehood, true or false | Binary opposition used in questions, games, or evaluative contexts. Common in educational and interrogative contexts. | [CORE] |
| אמת (emet) | זו האמת | zo ha'emet | this is the truth, that's the truth | Emphatic assertion of truthfulness. Used to affirm or conclude statements with emphasis on veracity. | [CORE] |
| אמת (emet) | האמת הקשה | ha'emet hakasha | the hard truth, the harsh truth | Expression for unpleasant but necessary truths. Used when delivering difficult or unwelcome information. | [CORE] |
| אמת (emet) | האמת הבוערת | ha'emet habo'eret | the burning truth, the urgent truth | Metaphorical expression for truth that demands attention or action. Used in journalistic and rhetorical contexts. | [CORE] |
| אמת (emet) | לחפש את האמת | lehapes et ha'emet | to seek the truth | Expression for truth-seeking activity, common in philosophical, investigative, and spiritual contexts. | [CORE] |
| אמת (emet) | לגלות את האמת | legalot et ha'emet | to reveal/discover the truth | Expression for uncovering or revealing truth, particularly in investigative or dramatic contexts. | [CORE] |
| אמת (emet) | להסתיר את האמת | lehasתir et ha'emet | to hide the truth | Expression for concealing truth, used in contexts of deception or cover-up. | [CORE] |
| אמת (emet) | האמת תצא לאור | ha'emet tetse la'or | the truth will come to light | Proverbial expression asserting that truth will eventually be revealed. Common in moral and investigative discourse. | [CORE] |
| אמת (emet) | רגע של אמת | rega shel emet | moment of truth | Expression for decisive or revealing moments. Calque from English/European languages, now naturalized in Hebrew. | [CORE] |
| אמת (emet) | אין בזה אמת | eyn baze emet | there's no truth in this | Expression denying the truth of a claim or statement. Common in refutations and corrections. | [CORE] |
| אמת (emet) | יש בזה אמת | yesh baze emet | there's truth in this | Expression acknowledging partial or complete truth in a statement. Used in concessions and agreements. | [CORE] |
| אמת (emet) | האמת והשלום | ha'emet vehashalomת | truth and peace | Traditional pairing from Jewish liturgy and ethics, used when discussing tension between truthfulness and social harmony. | [MARGINAL] |
| שקר (sheker) | לספר שקרים | lesaper shkarim | to tell lies | Standard expression for lying. The most common way to express the act of lying in Hebrew. | [CORE] |
| שקר (sheker) | זה שקר | ze sheker | this is a lie, that's false | Direct denial or accusation of falsehood. Common in arguments and corrections. | [CORE] |
| שקר (sheker) | לחיות בשקר | liḥyot besheker | to live a lie | Expression for living inauthentically or deceptively. Used in moral and psychological discourse. | [CORE] |
| שקר (sheker) | לתפוס במעשה שקר | litpos bema'ase sheker | to catch in a lie, to catch lying | Expression for discovering someone's deception. Common in investigative and interpersonal contexts. | [CORE] |
| שקר (sheker) | שקר צרוף | sheker tsaruf | pure lie, absolute falsehood | Emphatic expression for complete falsehood. Used to strongly reject claims. | [CORE] |
| שקר (sheker) | אין זה שקר | eyn ze sheker | this is not a lie, this is true | Expression affirming truthfulness, often in response to skepticism or accusation. | [CORE] |
| שקר (sheker) | גלוי שקר | giluy sheker | detection of falsehood, lie detection | Technical term used in forensic and investigative contexts, particularly regarding polygraph testing. | [CORE] |
