# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | הדבר נעשה ברור | hadavar na'ase barur | [CORE] | Very common construction. נעשה (nif'al of עשה "do/make") functions as inchoative "became." Used when something unclear becomes evident. Frequent in explanatory and narrative contexts. |
| 1.2 | זה הפך לאמת | ze hafakh le'emet | [MARGINAL] | Less common than other constructions. הפך ל- "turned into" is explicit change-of-state marker. More natural to say זה התברר שזה אמת "it became clear that this is true" than to predicate "becoming truth" directly. |
| 1.3 | התברר שזה נכון | hitbarer sheze nakhon | [CORE] | Extremely common construction. התברר (hitpa'el of ברר "clarify") is the standard verb for "it became clear/evident." Takes complement clause with ש-. Used constantly in narrative and explanatory discourse. |
| 1.4 | הסיפור התברר כאמיתי | hasipur hitbarer ke'amiti | [CORE] | Common construction with התברר + כ- "as." Used when something is revealed or proven to be true. Frequent in investigative and narrative contexts. |
| 1.5 | הדברים התבררו | hadvarim hitbareru | [CORE] | Very common intransitive use of התברר. Used when situation or facts become clear without specifying what exactly became clear. Frequent in narrative conclusions. |
| 2.1 | זה הפך לשקר | ze hafakh lesheker | [MARGINAL] | Uncommon construction. More natural to say זה התברר כשקר "it turned out to be a lie" or זה הפך להיות שקר "this became (a) lie." Direct predication of "becoming falsehood" is marked. |
| 2.2 | התברר שזה שקר | hitbarer sheze sheker | [CORE] | Very common construction, parallel to התברר שזה נכון. Standard way to express discovery of falsehood. Used constantly in corrections and revelations. |
| 2.3 | התברר שזה לא נכון | hitbarer sheze lo nakhon | [CORE] | Extremely common construction. Often preferred over positive assertion of falsehood (שקר). Used in corrections and clarifications across all registers. |
| 2.4 | הטענה התבררה כשקרית | hata'ana hitbarera kashikriת | [CORE] | Common construction with התברר + כ- + adjective שקרי "false." Used in formal and investigative contexts when claims are disproven. |
| 2.5 | הדבר התברר כלא נכון | hadavar hitbarer kelo nakhon | [CORE] | Very common construction. Negation with לא נכון often preferred over positive falsity terms. Used across all registers. |
| 3.1 | הדבר נעשה לא ברור | hadavar na'ase lo barur | [CORE] | Common construction. Used when something previously clear becomes unclear or ambiguous. Frequent in narrative and explanatory contexts. |
| 3.2 | הדבר התערפל | hadavar hit'arpel | [MARGINAL] | Metaphorical construction (from ערפל "fog"). Less common than לא ברור but used in literary and formal registers for describing loss of clarity. |
| 3.3 | זה נעשה מסופק | ze na'ase mesupak | [CORE] | Common construction. מסופק "doubtful" indicates uncertain status. Used when certainty is lost or questioned. Formal register. |
| 4.1 | הוא הפך לאמין | hu hafakh le'amin | [CORE] | Common construction describing character development. הפך ל- "became" with adjective. Used in personal and professional contexts. |
| 4.2 | המקור נעשה אמין | hamakor na'ase amin | [CORE] | Common construction for sources or information. נעשה "became" indicates change in reliability status. Used in information evaluation contexts. |
| 4.3 | הוא הוכיח את עצמו כנאמן | hu hokhiaḥ et atsmo kene'eman | [CORE] | Very common construction. הוכיח את עצמו "proved himself" + כ- "as" + adjective. Used when reliability is demonstrated through actions. Common in character assessment. |
| 5.1 | הוא הפך ללא אמין | hu hafakh lelo amin | [CORE] | Common construction describing loss of trustworthiness. הפך ל- + negated adjective. Used in personal and professional contexts. |
| 5.2 | המקור איבד את אמינותו | hamakor ibed et aminuto | [CORE] | Very common construction. איבד "lost" + abstract noun אמינות "reliability." Preferred over simple "became unreliable" in formal contexts. Used in information evaluation. |
| 5.3 | הוא נעשה שקרן | hu na'ase shakran | [CORE] | Common construction with agent noun שקרן "liar." נעשה "became" indicates character change. Often used in moral judgment contexts. |
| 6.1 | הוא הפך לאמיתי | hu hafakh le'amiti | [CORE] | Common construction describing personal authenticity. הפך ל- "became" with adjective אמיתי. Used in discussions of identity and self-realization. |
| 6.2 | הדבר התברר כאותנטי | hadavar hitbarer ke'otenti | [CORE] | Common construction in authentication contexts. התברר כ- "turned out to be" + אותנטי "authentic." Used for artworks, documents, objects. |
| 6.3 | זה הוכח כאמיתי | ze hukhaḥ ke'amiti | [CORE] | Common construction. הוכח (huf'al of הוכיח "prove") + כ- "as" + adjective. Used when authenticity is established through evidence. Formal register. |
| 7.1 | התברר שזה מזויף | hitbarer sheze mezuyaf | [CORE] | Very common construction for discovering forgeries. התברר ש- + adjective מזויף. Used in authentication and fraud contexts. |
| 7.2 | הדבר התברר כמזויף | hadavar hitbarer kemezuyaf | [CORE] | Common construction parallel to authentication. התברר כ- "turned out to be" + מזויף "forged." Used in investigative contexts. |
| 7.3 | זה הוכח כמזויף | ze hukhaḥ kemezuyaf | [CORE] | Common construction in formal contexts. הוכח כ- "was proven to be" + מזויף. Used when forgery is definitively established. |
| 8.1 | הוא הוכיח את הטענה | hu hokhiaḥ et hata'ana | [CORE] | Very common causative construction. הוכיח (hif'il) "proved" = "caused to be proven/true." Used in logical, scientific, and legal contexts. Does not directly predicate "making true" but "demonstrating truth." |
| 8.2 | הוא ביסס את הטענה | hu bises et hata'ana | [CORE] | Common construction. ביסס (pi'el) "established/grounded" indicates providing foundation for truth. Used in academic and argumentative contexts. |
| 8.3 | הוא אימת את הדברים | hu imet et hadvarim | [CORE] | Common construction. אימת (pi'el from root א-מ-ת) "verified/confirmed" = "caused to be confirmed as true." Used in verification and validation contexts. |
| 8.4 | הוא תיקן את הטעות | hu tiken et hata'ut | [CORE] | Very common construction. תיקן "corrected" = "caused to be correct." Used when errors are fixed. Does not use truth-vocabulary directly but achieves truth-related causation. |
| 8.5 | (no common expression for "making something true") | N/A | N/A | Hebrew does not have a common direct causative "to make X true" construction. Truth is typically proven/demonstrated (הוכיח), verified (אימת), or established (ביסס), but not "made true" in the sense of causing truth to come into being. This reflects a realist conception where truth is discovered/demonstrated rather than created. |
| 9.1 | הוא הפריך את הטענה | hu hifrikh et hata'ana | [CORE] | Very common causative construction. הפריך (hif'il) "refuted" = "caused to be shown false." Used in argumentative and scientific contexts. |
| 9.2 | הוא זייף את המסמך | hu ziyef et hamismakh | [CORE] | Common construction. זייף (pi'el) "forged" = "caused to be fake/false." Used in fraud and forgery contexts. Direct causative of falsification. |
| 9.3 | הוא שיקר את העובדות | hu shiker et ha'uvdot | [MARGINAL] | Uncommon construction. שיקר (pi'el from שקר) "falsified" exists but is rare. More common to say זייף את העובדות "forged/falsified the facts" or עיוות את העובדות "distorted the facts." |
| 9.4 | הוא עיוות את האמת | hu ivет et ha'emet | [CORE] | Very common construction. עיוות (pi'el) "distorted" = "caused to be twisted/false." Used when truth is deliberately misrepresented. Common in critical discourse. |
| 9.5 | הוא הכחיש את העובדות | hu hikhish et ha'uvdot | [CORE] | Common construction. הכחיש (hif'il) "denied" = "caused to be treated as false." Used when facts are rejected or contradicted. |
| 10.1 | הוא שכנע אותי | hu shikhne'a oti | [CORE] | Very common causative construction. שכנע (pi'el) "convinced" = "caused to believe/accept." Used across all contexts. Can take complement clause: שכנע אותי ש- "convinced me that..." |
| 10.2 | הוא גרם לי להאמין | hu garam li leha'amin | [CORE] | Common analytic causative. גרם ל- "caused to" + infinitive להאמין "to believe." More explicit causation than שכנע. Used when causation is emphasized. |
| 10.3 | הוא האמין לי | hu he'emin li | [CORE] | Common construction but NOT causative. האמין ל- "believed (someone)" is intransitive belief, not causing belief. The hif'il form here is not causative but indicates belief-relation. Important distinction. |
| 10.4 | הוא הטעה אותי | hu hit'a oti | [CORE] | Very common causative construction. הטעה (hif'il) "misled" = "caused to believe falsely." Used when deception causes false belief. Common in all registers. |
| 10.5 | הוא שידל אותי | hu shidel oti | [CORE] | Common construction. שידל (pi'el) "persuaded" = "caused to be persuaded/convinced." Similar to שכנע but often implies more effort or manipulation. Used across registers. |
| 11.1 | הוא הטיל ספק בדבר | hu hetil safek badavar | [CORE] | Very common construction. הטיל ספק "cast doubt" (literally "threw doubt") is the standard expression for causing doubt. Used in critical and argumentative contexts. |
| 11.2 | הוא גרם לי לפקפק | hu garam li lefakpek | [CORE] | Common analytic causative. גרם ל- "caused to" + infinitive לפקפק "to doubt." Used when causation of doubt is emphasized. |
| 11.3 | הוא ערער על הטענה | hu irer al hata'ana | [CORE] | Common construction. ערער על "challenged" = "caused to be questioned/doubted." Used in legal and argumentative contexts. Formal register. |
| 11.4 | הוא הטיל דופי בעדות | hu hetil dofi ba'edut | [CORE] | Common legal construction. הטיל דופי "cast aspersion/blemish" = "caused to be doubted/discredited." Used primarily in legal contexts regarding testimony or evidence. |
