| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — Nominal sentence, zero-copula, predicate-initial | सत्यं परं धर्मः | *satyaṃ paraṃ dharmaḥ* | "Truth is the highest dharma." | The unmarked form for truth-domain attribution in philosophical and gnomic contexts; predicate-initial order is standard in maxim-style assertions. Restricted to nominal predicates; not used for verbal predication. | [CORE] |
| **1. ATTRIBUTION** — Nominal sentence, zero-copula, predicate-initial | असत्यं पापम् | *asatyaṃ pāpam* | "Untruth is sin." | Same gnomic-assertion context as above; attested in Dharmaśāstra literature. No restriction on negative-domain subjects. | [CORE] |
| **1. ATTRIBUTION** — Nominal predicate, copula optionally absent | सत्यं ब्रह्म | *satyaṃ brahma* | "Brahman is truth / truth is Brahman" | Standard across philosophical, Upaniṣadic, and commentarial prose; copula drop is the unmarked option, not a marked ellipsis. No observable genre restriction. | [CORE] |
| **1. ATTRIBUTION** — Nominal predicate, copula retained | वेदः प्रमाणम् (अस्ति) | *vedaḥ pramāṇam (asti)* | "The Veda is a valid means of knowledge" | Copula retention is the marked variant, used for emphasis or metrical/prosodic reasons; both forms are fully idiomatic. | [CORE] |
| **1. ATTRIBUTION** — Nominal sentence, zero-copula | सत्यम् एतत् | *satyam etat* | "this is true" | Standard nominal sentence pattern across all registers; copula omission is the norm, not a marked choice. Neuter singular predicative form is the default shape for this construction. | [CORE] |
| **1. ATTRIBUTION** — Nominal sentence, zero-copula | युक्तम् एतत् | *yuktam etat* | "this is appropriate / this is well-reasoned" | Standard nominal sentence pattern across all registers; copula omission is the norm, not a marked choice. Neuter singular predicative form is the default shape for this construction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — *na* + predicate nominal, zero-copula | भ्रमो न प्रमा | *bhramo na pramā* | "Error is not valid cognition." | Standard form for negating a truth-domain predication in philosophical argument, particularly Nyāya epistemological literature. *Na* is placed immediately before the predicate nominal. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Existential negation *nāsti* | प्रमाणं नास्ति | *pramāṇaṃ nāsti* | "There is no valid means of knowledge." | Used specifically as a dismissal formula in philosophical debate when the claim is that no relevant epistemic ground exists at all. Distinct in function from property-negation with *na* + zero-copula. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Syntactic *na* + predicate nominal | न युक्तम् एतत् | *na yuktam etat* | "this is not appropriate / this is unreasonable" | Used when negation is locally scoped or emphatic; interchangeable with prefixal negation in many contexts but preferred when the negation is the pragmatic focus. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Prefixal negation | असत्यम् इदम् | *asatyam idam* | "this is untrue / this is a falsehood" | Highly productive across the truth-domain vocabulary; produces lexicalized antonyms (*asatya*, *ayukta*, *anucita*, *aśuddha*, *adharma*). Tends toward lexicalization more than the syntactic *na* + adjective strategy. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Periphrastic *na* + predicate nominal | हेत्वाभासो न हेतुः | *hetvābhāso na hetuḥ* | "A fallacious reason is not a (genuine) reason" | Formulaic in philosophical debate and Nyāya dialectical prose; used specifically to deny class membership. Copula again optionally absent. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Existential negation with *na … asti* | न तत्र प्रमाणम् अस्ति | *na tatra pramāṇam asti* | "There is no valid means of knowledge for that" | Used to deny the existence of a *pramāṇa* for a given claim; attested as a formulaic move in epistemological debate. Distinct function from class-denial above. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Adjective preceding noun, free modification | यथार्थं ज्ञानम् | *yathārthaṃ jñānam* | "Accurate cognition / knowledge that is as the object is." | Used when the truth-domain property is predicated contextually or contrastively; attested in Nyāya and Mīmāṃsā epistemological literature. Adjective agrees with noun in gender, number, and case. Primary syntactic role of epistemological adjectives such as *yathārtha*, *śuddha*, *vāstava* in philosophical prose. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Genitive phrase (*X-sya Y*) | धर्मस्य तत्त्वं निहितं गुहायाम् | *dharmasya tattvaṃ nihitaṃ guhāyām* | "The true nature of dharma is hidden in a cave." | Preferred when the modified noun is the topic and the truth-domain term characterizes a sub-aspect of it; attested in Mahābhārata (Vanaparvan). | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Free adjective + head noun | शुद्धः पाठः | *śuddhaḥ pāṭhaḥ* | "the correct / uncorrupted reading" | Adjective agrees with head noun in gender, number, and case; fully productive but less frequent than the compound strategy in technical and philosophical prose. No observable register restriction on the pattern itself. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Compound (*tatpuruṣa* / *karmadhāraya*) | मिथ्याज्ञानम् | *mithyājñānam* | "false knowledge" | *Tatpuruṣa* and *karmadhāraya* compounding is the dominant strategy in technical and philosophical prose; compound forms tend toward lexicalization. Both strategies are productive; compound preferred in formal and epistemological contexts. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Indeclinable modifier + head noun | मिथ्या ज्ञानम् | *mithyā jñānam* | "false / illusory cognition" | *Mithyā* does not inflect; functions as an adverb-adjective. Restricted to items that are grammatically indeclinable; not a general adjectival pattern. | [CORE] |
| **4. BECOME / INCHOATIVE** — *jāyate* (arising/production) | प्रमा जायते | *pramā jāyate* | "Valid cognition arises." | Marks *pramā* specifically as the output of an epistemic process rather than a standing state; attested in Nyāya epistemological literature. Standard formula in Nyāya literature for the production of valid cognition as result of a *pramāṇa*; restricted to cognitive-state arising contexts; *jāyate* not freely substitutable with *bhavati* here. *Jāyate* more specifically marks production or arising than *bhavati*. | [CORE] |
