| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| सत्य / *satya* | असत्य / *asatya* | *satya* / *asatya* | truth, truthfulness / untruth, falsehood | *Asatya* is the direct prefixal negation of *satya*, formed by *a-* + *satya*. The pair is attested across ethical, legal, and philosophical literature as a moral pair, with *asatya* denoting a false statement or the quality of being untrue. The pair is explicitly identified as a contrastive pair used to frame philosophical positions. It appears in witness evaluation, lists of vices, and discussions of testimony as a direct positive/negative opposition. Both are attested in prescriptive formulas (*satyaṃ brūyāt* / *asatyaṃ na vadet*) and in characterizations of persons (*satyavādin* / *asatyavādin*). | morphological | [CORE] |
| ऋत / *ṛta* | अनृत / *anṛta* | *ṛta* / *anṛta* | cosmic order, right / falsehood, violation of right order | *Ṛta* designates the ordered functioning of the cosmos and the moral-ritual rightness aligned with it; *anṛta* is its negation, formed by *an-* + *ṛta*, designating falsehood and moral wrongness in Vedic and early classical literature. The pair is the foundational Vedic opposition in the truth domain, used in Vedic, legal, and moral contexts to contrast proper cosmic and ritual ordering with its violation. *Anṛta* is the standard antonym of *ṛta* in Vedic and later literature, carrying the sense of "contrary to cosmic order." The pair is the older Vedic counterpart to the *satya/asatya* opposition and carries stronger cosmological connotations. | morphological | [CORE] |
| सत्य / *satya* | अनृत / *anṛta* | *satya* / *anṛta* | truth / falsehood, disorder | *Anṛta* is contrasted with *satya* in many texts. The construction *anṛtaṃ na vadet* ("one should not speak falsehood") is parallel in structure to *satyaṃ vada* ("speak the truth"). The contrast is attested in Vedic and early *dharmaśāstra* literature; *anṛta* is the Vedic-register counterpart to *satya* as its negation. | lexical | [CORE] |
| सत् / *sat* | असत् / *asat* | *sat* / *asat* | being, the real, what genuinely exists / non-being, the unreal, what lacks genuine existence | *Sat* and *asat* are the primary ontological binary in Sanskrit philosophical literature. *Asat* is the ontological and evaluative antonym of *sat*, formed by *a-* + *sat*. They are explicitly paired in fixed formulas such as *nāsato vidyate bhāvaḥ* / *nābhāvo vidyate sataḥ* (Bhagavadgītā 2.16) and in the causation debate (*satkāryavāda* vs. *asatkāryavāda*). The dvandva compound *sadasat* ("being and non-being") is attested as a paired form. The construction *sataḥ na asataḥ jāyate* ("the world arises from being, not from non-being") is documented as a philosophical formula exploiting this contrast. The pair is foundational in Vedāntic and Upaniṣadic literature; the prayer *asato mā sad gamaya* ("lead me from the unreal to the real") treats the two as the poles of an ontological movement. The contrast covers both ontological status and evaluative quality (genuine vs. spurious). | morphological | [CORE] |
| प्रमा / *pramā* | अप्रमा / *apramā* | *pramā* / *apramā* | valid cognition / non-valid cognition, erroneous cognition | *Pramā* designates a cognition that correctly apprehends its object as it is; *apramā* is the technical negation of *pramā*, formed by *a-* + *pramā*, designating a cognition that fails to do so. The two terms are explicitly contrasted as the positive and negative poles of the same epistemological evaluative dimension in Nyāya and related literature. The pair is explicitly listed as a contrastive pair structuring philosophical debate. *Apramā* includes *bhrama* (*bhrānti*), *saṃśaya*, and related states as species. *Pramā* is the result of a successful *pramāṇa*; *apramā* is the result of a failed or absent *pramāṇa*. | morphological | [CORE] |
| प्रमाण / *pramāṇa* | अप्रमाण / *apramāṇa* | *pramāṇa* / *apramāṇa* | valid means of knowledge / invalid means of knowledge, non-authority | *Apramāṇa* is the morphological negation of *pramāṇa*, formed by *a-* + *pramāṇa*, characterizing a source or means of cognition that fails to yield valid knowledge or meet the criteria for validity. The constructional contrast *pramāṇam asti* / *na tatra pramāṇam asti* is documented as a standard formula pair in philosophical argumentation. The pair is operative in epistemological literature wherever the question of whether a source qualifies as a genuine *pramāṇa* is at issue. | morphological | [CORE] |
| प्रमाण / *pramāṇa* | प्रमाणाभास / *pramāṇābhāsa* | *pramāṇa* / *pramāṇābhāsa* | valid means of knowledge / semblance of a valid means of knowledge, pseudo-valid means of knowledge | *Pramāṇa* designates a genuinely reliable epistemic source; *pramāṇābhāsa* designates something that merely appears to be such a source but fails to meet the conditions for genuine validity. The contrast is between the genuine instance and its spurious appearance. The *-ābhāsa* suffix systematically marks the pseudo-instance as distinct from the genuine instance. The parallel formula *hetvābhāso na hetuḥ* ("a fallacious reason is not a reason") is documented as the constructional expression of this contrast pattern. | morphological (via *ābhāsa* suffix) | [CORE] |
| प्रामाण्य / *prāmāṇya* | अप्रामाण्य / *aprāmāṇya* | *prāmāṇya* / *aprāmāṇya* | validity (the property of being a genuine means of knowledge) / invalidity | *Prāmāṇya* names the abstract property that makes a cognition or epistemic source valid; *aprāmāṇya* is its direct morphological negation, naming the property of failing to be valid. Both terms appear in epistemological debates about how validity is established and recognized. | morphological | [CORE] |
| प्रामाणिक / *prāmāṇika* | अप्रामाणिक / *aprāmāṇika* | *prāmāṇika* / *aprāmāṇika* | authoritative, reliable, valid / inauthentic, lacking authority, unreliable | *Aprāmāṇika* is formed as *a-* + *prāmāṇika* and is explicitly described as contrasted with *prāmāṇika*. Both are used in philosophical, legal, and textual-critical contexts to evaluate sources and documents. | morphological | [CORE] |
| स्वतःप्रामाण्य / *svataḥprāmāṇya* | परतःप्रामाण्य / *parataḥprāmāṇya* | *svataḥprāmāṇya* / *parataḥprāmāṇya* | intrinsic validity (validity established by the cognition itself) / extrinsic validity (validity established by something external) | These two terms name opposing positions in a specific intra-school debate: *svataḥprāmāṇya* is the Mīmāṃsā doctrine that the validity of a cognition is established by the cognition itself (self-certifying); *parataḥprāmāṇya* is the Nyāya doctrine that validity must be established by an external means such as successful action. The two terms are explicitly paired as contrasting positions in epistemological literature and are explicitly listed as a contrastive pair structuring philosophical debate. | lexical (opposing adverbial prefixes *svataḥ* vs. *parataḥ* within the same compound frame) | [CORE] |
