# F4 Construction Table
# Language: English (en)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| Subject + copula BE + truth-domain adjective | That statement is true. | /ðæt ˈsteɪtmənt ɪz truː/ | That statement corresponds to facts. | Unmarked construction for all truth-domain predication. Used across all registers. Subject type constrains adjective selection (propositions: true/false; objects: genuine/fake; persons: honest/trustworthy). | [CORE] |
| Subject + copula BE + truth-domain adjective | The document is authentic. | /ðə ˈdɒkjumənt ɪz ɔːˈθɛntɪk/ | The document is of genuine origin. | Same construction, object-oriented adjective. Common in verification contexts (documents, artifacts, credentials). | [CORE] |
| Subject + copula BE + NEG + truth-domain adjective | His claim is not true. | /hɪz kleɪm ɪz nɒt truː/ | His claim does not correspond to facts. | Analytic negation, neutral register. Freely productive with all truth-domain adjectives. | [CORE] |
| Subject + copula BE + negated adjective (un-/in-/dis-) | The signature is inauthentic. | /ðə ˈsɪɡnətʃər ɪz ˌɪnɔːˈθɛntɪk/ | The signature is not genuine. | Synthetic negation via prefix (un-/in-/dis-). Often carries stronger implication than analytic form. Lexically restricted (some bases lack synthetic forms). | [CORE] |
| Truth-domain adjective + noun | a true story | /ə truː ˈstɔːri/ | a factual narrative | Fixed prenominal position. Highly productive. Shows semantic specialization in conventionalized combinations ("true friend" = loyal, not factual). | [CORE] |
| Truth-domain adjective + noun | an honest answer | /ən ˈɒnɪst ˈɑːnsər/ | a truthful response | Same pattern. Common in all registers. Some combinations highly conventionalized ("false alarm," "genuine article," "honest mistake"). | [CORE] |
| Subject + PROVE + truth-domain adjective | The rumor proved false. | /ðə ˈruːmər pruːvd fɔːls/ | The rumor was revealed to be untrue. | Emphasizes evidential discovery. Common in formal/written registers. Implies verification process. | [CORE] |
| Subject + COME + truth-domain adjective | His predictions came true. | /hɪz prɪˈdɪkʃənz keɪm truː/ | His predictions were realized. | Fixed expression "come true" for realization of predictions/hopes. Not productive with other adjectives (*came false, *came honest). | [CORE] |
| Agent + causative verb (VERIFY, FALSIFY, VALIDATE, AUTHENTICATE, CORRECT) + object | The lab authenticated the painting. | /ðə læb ɔːˈθɛntɪkeɪtɪd ðə ˈpeɪntɪŋ/ | The lab verified the painting's authenticity. | Dedicated causative verbs (authenticate, validate, verify, falsify, correct) are standard. Used in formal/technical contexts. | [CORE] |
| Agent + causative verb (VERIFY, FALSIFY, VALIDATE, AUTHENTICATE, CORRECT) + object | He corrected the error. | /hiː kəˈrɛktɪd ði ˈɛrər/ | He made the error correct/fixed the error. | Same pattern. "Correct" functions as causative verb. Common across registers. | [CORE] |
| Derived nominal | The truth emerged slowly. | /ðə truːθ ɪˈmɜːdʒd ˈsləʊli/ | The factual reality became known. | Irregular formation patterns (-th, -y/-ty, -ness, -ity). "Truth" can denote abstract quality or concrete reality. Common in all registers. | [CORE] |
| Derived nominal | We value honesty. | /wiː ˈvæljuː ˈɒnɪsti/ | We value the quality of being truthful. | Character trait nominalization. Frequent in evaluative contexts. Multiple nominalizations per base show semantic differentiation (truth/truthfulness/truism). | [CORE] |
| Agentive nominal | He's a compulsive liar. | /hiːz ə kəmˈpʌlsɪv ˈlaɪər/ | He habitually tells untruths. | Suppletive form (not regular derivation). Highly frequent, often with evaluative modifiers (compulsive, pathological). Negative social evaluation. | [CORE] |
