# CLCA Protocol v3.4 — F2b Constructions Table
# Language: English (en)

| Base Form | Construction | Example | Transliteration | Translation | Usage Notes | Status |
|-----------|--------------|---------|-----------------|-------------|-------------|---------|
| true | come true | Her dreams came true. | /kʌm truː/ | be realized, be fulfilled | Fixed verbal expression denoting realization of hopes, predictions, or desires. Very common in narrative and aspirational contexts. | [CORE] |
| true | hold true | This principle holds true across cultures. | /həʊld truː/ | remain valid, continue to apply | Fixed verbal expression denoting continued validity or applicability. Common in academic and analytical discourse. | [CORE] |
| true | ring true | His explanation rings true. | /rɪŋ truː/ | seem genuine, sound convincing | Fixed verbal expression denoting impression of authenticity or plausibility. Common in evaluative contexts. | [CORE] |
| true | true to form | True to form, he arrived late. | /truː tə fɔːm/ | as expected, characteristically | Fixed adverbial phrase marking behavior consistent with established pattern. Common in narrative and character description. | [CORE] |
| true | true to life | The film is true to life. | /truː tə laɪf/ | realistic, accurately representing reality | Fixed adjectival phrase evaluating realistic representation. Common in artistic and media criticism. | [CORE] |
| true | true to one's word | She was true to her word. | /truː tə wʌnz wɜːd/ | keeping one's promise, reliable | Fixed adjectival phrase evaluating promise-keeping. Common in character evaluation. | [CORE] |
| true | too good to be true | The offer seems too good to be true. | /tuː ɡʊd tə bi truː/ | suspiciously attractive, likely false | Fixed expression marking skepticism about apparently favorable situations. Very common in everyday discourse. | [CORE] |
| true (via truth) | if truth be told | If truth be told, I never liked him. | /ɪf truːθ bi təʊld/ | to be honest, frankly speaking | Fixed discourse marker introducing frank admission. Somewhat formal or literary register. | [CORE] |
| true (via truth) | to tell (you) the truth | To tell you the truth, I'm exhausted. | /tə tɛl (juː) ðə truːθ/ | honestly, frankly | Fixed discourse marker introducing honest statement. Very common in conversational discourse. | [CORE] |
| true (via truth) | the truth of the matter | The truth of the matter is that we failed. | /ðə truːθ əv ðə ˈmætər/ | the actual situation, what really happened | Fixed nominal phrase introducing factual clarification. Common in explanatory discourse. | [CORE] |
| true (via truth) | nothing could be further from the truth | Nothing could be further from the truth. | /ˈnʌθɪŋ kʊd bi ˈfɜːðər frəm ðə truːθ/ | completely false, entirely wrong | Fixed expression emphatically denying a claim. Common in argumentative discourse. | [CORE] |
| true (via truth) | the truth will out | Don't worry—the truth will out. | /ðə truːθ wɪl aʊt/ | the truth will eventually be revealed | Fixed expression asserting inevitable revelation of truth. Somewhat archaic or literary; from Shakespeare. | [MARGINAL] |
| true (via truth) | in all truth | In all truth, I don't know the answer. | /ɪn ɔːl truːθ/ | honestly, truthfully | Fixed adverbial phrase marking honest statement. Less common than "to tell the truth." | [MARGINAL] |
| true (via truth) | stranger than truth | The story is stranger than truth. | /ˈstreɪndʒər ðæn truːθ/ | more bizarre than reality (variant of "stranger than fiction") | Less common variant of "stranger than fiction." Occasionally attested. | [MARGINAL] |
| false | bear false witness | He bore false witness against his neighbor. | /beər fɔːls ˈwɪtnəs/ | give false testimony, lie under oath | Fixed verbal expression from Biblical/legal language denoting perjury. Formal or religious register. | [CORE] |
| false | under false pretenses | He obtained the money under false pretenses. | /ˈʌndər fɔːls prɪˈtɛnsɪz/ | through deception, by fraud | Fixed prepositional phrase denoting fraudulent means. Common in legal and critical contexts. | [CORE] |
| false | give a false impression | His smile gave a false impression of happiness. | /ɡɪv ə fɔːls ɪmˈprɛʃən/ | mislead, create incorrect perception | Semi-fixed verbal expression denoting misleading representation. Common in evaluative discourse. | [CORE] |
| false | create a false sense of (security/confidence/etc.) | The calm created a false sense of security. | /kriˈeɪt ə fɔːls sɛns əv/ | produce misleading feeling of | Semi-fixed verbal expression denoting deceptive emotional state. Common in analytical discourse. | [CORE] |
| false | ring false | His apology rang false. | /rɪŋ fɔːls/ | seem insincere, sound unconvincing | Fixed verbal expression denoting impression of inauthenticity. Common in evaluative contexts; counterpart to "ring true." | [CORE] |
| false | prove false | The rumor proved false. | /pruːv fɔːls/ | turn out to be untrue | Semi-fixed verbal expression denoting revelation of falsity. Common in narrative and analytical contexts. | [CORE] |
| false | sail under false colors | He was sailing under false colors. | /seɪl ˈʌndər fɔːls ˈkʌlərz/ | pretend to be something one is not, deceive about identity | Fixed idiomatic expression from nautical origin. Somewhat literary or formal register. | [MARGINAL] |
| real | for real | Are you leaving for real? | /fər ˈrɪəl/ | seriously, genuinely (not joking) | Fixed adverbial phrase questioning or affirming seriousness. Very common in informal discourse. | [CORE] |
| real | get real | Get real—that's never going to happen. | /ɡɛt ˈrɪəl/ | be realistic, stop fantasizing | Fixed imperative expression urging practical thinking. Common in informal discourse. | [CORE] |
| real | keep it real | Just keep it real with me. | /kiːp ɪt ˈrɪəl/ | be authentic, stay honest | Fixed imperative expression urging authenticity. Common in informal and youth discourse. | [CORE] |
| real | the real deal | This restaurant is the real deal. | /ðə ˈrɪəl diːl/ | genuine article, authentic thing | Fixed nominal phrase emphasizing authenticity or quality. Common in informal evaluative discourse. | [CORE] |
| real | the real McCoy | This is the real McCoy, not an imitation. | /ðə ˈrɪəl məˈkɔɪ/ | genuine article, authentic thing | Fixed nominal phrase emphasizing authenticity. Somewhat dated; origin disputed. | [CORE] |
| real | the real thing | Forget the copies—this is the real thing. | /ðə ˈrɪəl θɪŋ/ | genuine article, authentic version | Fixed nominal phrase contrasting authentic with imitation. Common in commercial and evaluative contexts. | [CORE] |
| real | in real time | The data updates in real time. | /ɪn ˈrɪəl taɪm/ | simultaneously, without delay | Fixed prepositional phrase denoting immediate processing or occurrence. Common in technical contexts. | [CORE] |
| real | in the real world | In the real world, things don't work that way. | /ɪn ðə ˈrɪəl wɜːld/ | in actual conditions, in practice | Fixed prepositional phrase contrasting practical reality with theory or idealization. Very common in argumentative discourse. | [CORE] |
| real | in real life | In real life, he's much shorter than on screen. | /ɪn ˈrɪəl laɪf/ | in actual experience, in reality | Fixed prepositional phrase contrasting actual experience with representation or expectation. Very common across contexts. | [CORE] |
