# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: English (en)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| true | true | From Old English trēowe "faithful, trustworthy" | véridique (French), wahr (German), verdadero (Spanish) | Used to evaluate statements as corresponding to reality or facts ("that's true"), to describe genuine instances of a category ("a true friend"), and to assess accuracy of representations. Commonly appears in both everyday and philosophical discourse. | [CORE] |
| false | false | From Latin falsus "deceived, erroneous" | faux (French), falsch (German), falso (Spanish) | Evaluates statements as not corresponding to reality or facts, describes counterfeit or deceptive representations. Used in logical, moral, and everyday contexts to mark inaccuracy or deception. | [CORE] |
| real | real | From Latin realis "actual, relating to things" | réel (French), wirklich (German), real (Spanish) | Distinguishes genuine existence from appearance, pretense, or imagination ("is this real?"). Applied to objects, situations, and persons to evaluate authenticity or actual existence versus simulation. | [CORE] |
| genuine | genuine | From Latin genuinus "native, natural, innate" | authentique (French), echt (German), genuino (Spanish) | Evaluates objects or persons as authentic rather than counterfeit, imitation, or affected. Often used for artifacts, emotions, and character assessments where authenticity is at issue. | [CORE] |
| authentic | authentic | From Greek authentikos "original, primary, at first hand" | authentique (French), authentisch (German), auténtico (Spanish) | Assesses whether something is of undisputed origin or authorship, not copied or false. Used particularly for documents, artworks, experiences, and cultural practices. | [CORE] |
| accurate | accurate | From Latin accuratus "done with care," from ad- + cura "care" | précis (French), genau (German), preciso (Spanish) | Evaluates representations, measurements, or statements for precision and correctness in detail. Commonly applied to descriptions, calculations, and reproductions where exactness matters. | [CORE] |
| correct | correct | From Latin correctus "made straight, amended" | correct (French), richtig (German), correcto (Spanish) | Marks conformity to standards, rules, or facts across diverse domains including grammar, behavior, answers, and procedures. Implies alignment with an established norm or truth. | [CORE] |
| right | right | From Old English riht "just, good, proper, straight" | juste/bon (French), richtig/recht (German), correcto/justo (Spanish) | Evaluates correctness of answers, moral propriety of actions, or appropriate fit of situations. Highly polysemous, spanning epistemic, moral, and practical domains. | [CORE] |
| wrong | wrong | From Old English wrang "crooked, twisted, unjust" | faux/mauvais (French), falsch/unrecht (German), incorrecto/malo (Spanish) | Marks incorrectness of statements, moral impropriety of conduct, or malfunction. Oppositional to "right" across epistemic, moral, and practical contexts. | [CORE] |
| valid | valid | From Latin validus "strong, effective" | valide (French), gültig (German), válido (Spanish) | Evaluates logical soundness of arguments, legal force of documents, or legitimacy of claims. Technical usage in logic and law, but also in everyday assessment of reasoning. | [CORE] |
| sound | sound | From Old English sund "healthy, whole" | solide/sain (French), vernünftig (German), sólido (Spanish) | Assesses reasoning, judgment, or arguments as well-founded and reliable. Also evaluates physical integrity, but in epistemic contexts marks thorough correctness. | [CORE] |
| reliable | reliable | From rely + -able; rely from Latin religare "to bind" | fiable (French), zuverlässig (German), fiable (Spanish) | Evaluates sources, persons, or mechanisms as consistently trustworthy and dependable. Applied to testimony, instruments, and character where consistency matters. | [CORE] |
| trustworthy | trustworthy | Compound: trust + worthy "deserving of trust" | digne de confiance (French), vertrauenswürdig (German), digno de confianza (Spanish) | Assesses persons, sources, or institutions as meriting confidence and belief. Emphasizes moral character and reliability in interpersonal and institutional contexts. | [CORE] |
| honest | honest | From Latin honestus "honorable, respectable" | honnête (French), ehrlich (German), honesto (Spanish) | Evaluates persons or statements as free from deceit or fraud, truthful in representation. Applied to character assessment and evaluation of testimony or claims. | [CORE] |
| truthful | truthful | Compound: truth + -ful "full of truth" | véridique (French), wahrhaftig (German), veraz (Spanish) | Describes persons as habitually telling the truth or statements as conforming to facts. Emphasizes both accuracy and sincerity in representation. | [CORE] |
| faithful | faithful | Compound: faith + -ful "full of faith" | fidèle (French), treu (German), fiel (Spanish) | Evaluates representations as accurately corresponding to originals (translations, copies) or persons as loyal and constant. Spans both resemblance and moral loyalty. | [CORE] |
| fake | fake | Origin uncertain, possibly from German fegen "to polish, sweep" | faux (French), gefälscht (German), falso (Spanish) | Marks objects or representations as counterfeit, not genuine, deliberately made to deceive. Commonly used for artifacts, credentials, and affected behavior. | [CORE] |
| counterfeit | counterfeit | From Old French contrefait "imitated," from contre- "against" + fait "made" | contrefait (French), gefälscht (German), falsificado (Spanish) | Evaluates objects, especially currency and documents, as fraudulent imitations made to deceive. More formal and specific than "fake," often with legal implications. | [CORE] |
| bogus | bogus | Origin uncertain, possibly from bogus apparatus (counterfeit coin maker) | faux/bidon (French), unecht (German), falso (Spanish) | Marks claims, objects, or credentials as spurious or fraudulent, not genuine. Informal register, commonly used for dubious claims or fake credentials. | [CORE] |
| spurious | spurious | From Latin spurius "illegitimate, false" | fallacieux (French), unecht (German), espurio (Spanish) | Evaluates arguments, claims, or objects as superficially plausible but actually false or illegitimate. More formal register, often in academic or technical contexts. | [CORE] |
| veridical | veridical | From Latin veridicus, from verus "true" + dicere "to say" | véridique (French), wahrheitsgemäß (German), verídico (Spanish) | Technical term in philosophy and psychology for perceptions or reports that accurately correspond to reality. Primarily used in academic and specialized discourse. | [MARGINAL] |
| fallacious | fallacious | From Latin fallacia "deception," from fallere "to deceive" | fallacieux (French), trügerisch (German), falaz (Spanish) | Evaluates reasoning or arguments as logically flawed or deceptive. Technical usage in logic and rhetoric, though also in educated general discourse. | [CORE] |
| erroneous | erroneous | From Latin erroneus "wandering, straying," from errare "to wander, err" | erroné (French), irrig (German), erróneo (Spanish) | Marks beliefs, statements, or conclusions as mistaken or incorrect. More formal than "wrong," commonly in academic, legal, and technical writing. | [CORE] |
| apt | apt | From Latin aptus "fitted, suitable" | approprié/juste (French), passend (German), apropiado (Spanish) | Evaluates descriptions, comparisons, or responses as particularly fitting or appropriate to the situation. Emphasizes suitability and accuracy of fit. | [CORE] |
| fitting | fitting | From fit + -ing; fit possibly from Middle English fitten "to be suitable" | approprié (French), passend (German), apropiado (Spanish) | Assesses actions, responses, or descriptions as appropriate or suitable to circumstances. Emphasizes propriety and contextual appropriateness. | [CORE] |
| proper | proper | From Latin proprius "one's own, particular" | propre/approprié (French), richtig/eigen (German), propio/apropiado (Spanish) | Evaluates conformity to standards of correctness, appropriateness, or belonging. Used across domains from grammar to etiquette to categorization. | [CORE] |
| legitimate | legitimate | From Latin legitimatus, from legitimus "lawful," from lex "law" | légitime (French), legitim (German), legítimo (Spanish) | Assesses claims, authority, or status as conforming to law, rules, or accepted standards. Spans legal, political, and general evaluative contexts. | [CORE] |
| bona fide | bona fide | Latin "in good faith," from bonus "good" + fides "faith" | de bonne foi (French), gutgläubig (German), de buena fe (Spanish) | Fixed Latin expression used in English to evaluate offers, credentials, or persons as genuine and made in good faith. Common in legal and business contexts. | [CORE] |
| veritable | veritable | From Old French veritable, from verité "truth" | véritable (French), wahrhaft (German), verdadero (Spanish) | Emphasizes that something truly is what it is called, often used for rhetorical emphasis ("a veritable feast"). Somewhat formal or literary register. | [CORE] |
| so-called | so-called | Compound: so + called "named thus" | soi-disant (French), sogenannt (German), llamado/supuesto (Spanish) | Fixed expression marking skepticism about whether something deserves the name or description applied to it. Signals doubt about genuineness or appropriateness of designation. | [CORE] |
| truth | truth | true + -th (noun suffix) | truth | Abstract noun denoting the quality of being true, the body of true statements, or reality itself. Used in philosophical discourse ("the truth about X"), everyday speech ("tell the truth"), and fixed expressions ("the truth of the matter"). | [CORE] |
| truly | truly | true + -ly (adverb suffix) | truly | Adverbial form used to affirm sincerity ("I truly believe"), emphasize genuineness ("truly remarkable"), or intensify statements. Common in both formal and informal registers. | [CORE] |
| untrue | untrue | un- + true | untrue | Negated form marking statements or representations as not corresponding to facts. Used in formal and informal contexts as a less harsh alternative to "false" or "lying." | [CORE] |
| untruth | untruth | un- + truth | untruth, falsehood | Noun denoting a false statement or the quality of being false. Somewhat formal or euphemistic alternative to "lie." | [CORE] |
| truth-teller | truth-teller | truth + tell + -er | truth-teller | Compound denoting a person who habitually speaks truthfully. Used in moral evaluation and character description. | [CORE] |
| truth-telling | truth-telling | truth + tell + -ing | truth-telling | Gerund/adjective denoting the practice or quality of speaking truthfully. Used in ethical discourse and character evaluation. | [CORE] |
| truth value | truth value | truth + value | truth value | Technical term in logic and semantics denoting whether a proposition is true or false. Used primarily in philosophical and linguistic analysis. | [CORE] |
| truth condition | truth condition | truth + condition | truth condition | Technical term in semantics denoting the circumstances under which a statement would be true. Used in linguistic and philosophical analysis. | [CORE] |
| truth-functional | truth-functional | truth + function + -al | truth-functional | Technical term in logic describing operators whose output depends only on the truth values of inputs. Used in formal logic and philosophy of language. | [MARGINAL] |
| home truth | home truth | home + truth | home truth, uncomfortable truth | Fixed expression denoting an unpleasant but accurate observation about someone. Used in interpersonal contexts when delivering criticism. | [CORE] |
| gospel truth | gospel truth | gospel + truth | gospel truth, absolute truth | Fixed expression emphasizing complete reliability or certainty of a claim. Originally religious, now used more broadly for emphasis. | [CORE] |
| truth be told | truth be told | truth + be + told | truth be told, to be honest | Fixed phrase introducing a frank admission or honest statement. Common in conversational and informal writing. | [CORE] |
| in truth | in truth | in + truth | in truth, actually | Fixed adverbial phrase meaning "actually" or "in reality." Somewhat formal or literary register. | [CORE] |
| of a truth | of a truth | of + a + truth | truly, certainly | Archaic fixed phrase affirming certainty. Found in older texts and biblical language. | [MARGINAL] |
| moment of truth | moment of truth | moment + of + truth | moment of truth, critical moment | Fixed expression denoting a decisive moment when reality becomes clear or a test occurs. Common in narrative and dramatic contexts. | [CORE] |
| truth serum | truth serum | truth + serum | truth serum | Compound denoting drugs supposedly causing involuntary truthfulness. Used in spy fiction, interrogation contexts, and metaphorically. | [CORE] |
| truth squad | truth squad | truth + squad | truth squad, fact-checking team | Compound denoting a group that verifies claims, especially in political contexts. Common in journalism and political commentary. | [CORE] |
