| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | **सत्यम् एतत्** | *satyam etat* | “This is true.” | [CORE] | Common predicative evaluation with neuter predicate terms such as **satyam, yathārtham, yuktam, ucitam**; used in ordinary assertion as well as scholastic evaluation. Alternate constructions attested in P4a: **युक्तं भवति** with overt copular/inchoative verb. |
| ATTRIBUTION | **युक्तं भवति** | *yuktaṃ bhavati* | “It is proper / reasonable.” | [CORE] | Natural especially where propriety or rational appropriateness is being judged rather than bare factual truth. Variation includes zero-copula or understood **asti/bhavati** as noted in P4a. |
| NEGATIVE ATTRIBUTION | **प्रमाणं नास्ति** | *pramāṇaṃ nāsti* | “There is no proof / valid evidence.” | [CORE] | A common analytic negation pattern, especially in argumentative or evidential contexts. Alternate constructions attested in P4a: **न युक्तम्** and lexical negative stems used predicatively. |
| NEGATIVE ATTRIBUTION | **न युक्तम्** | *na yuktam* | “It is not proper / not reasonable.” | [CORE] | Straightforward predicative negation, especially for rejecting suitability, propriety, or reasonableness. Variation includes **na / nāsti** negation and also lexical negatives such as **asatya, ayathārtha, apramāṇika**. |
| ADNOMINAL MODIFICATION | **तथ्यं वचनम्** | *tathyaṃ vacanam* | “a factual statement” | [CORE] | Very natural as a basic adjectival modification strategy, especially for statements, texts, descriptions, and similar nouns. Alternate constructions attested in P4a: other agreeing modifiers such as **satya-, yathārtha-, pramāṇika-, dharmya- + N**. |
| ADNOMINAL MODIFICATION | **प्रमाणिकः ग्रन्थः** | *pramāṇikaḥ granthaḥ* | “an authoritative text” | [CORE] | Especially natural in learned, textual, or evaluative contexts where authority or reliability of a source is at issue. Usage varies by adjective chosen, with some forms more factual (**tathya, yathārtha**) and others more authoritative (**pramāṇika**). |
| BECOME / INCHOATIVE | **सत्यतां गच्छति** | *satyatāṃ gacchati* | “It proves true / comes to be true.” | [MARGINAL] | Usable in more formal or scholastic styles, but the notes already indicate no single dedicated inchoative pattern dominates. Alternate constructions attested in P4a: **X + bhavati / jāyate** and **प्रमा जायते**. |
| BECOME / INCHOATIVE | **प्रमा जायते** | *pramā jāyate* | “Valid cognition arises.” | [CORE] | Natural in philosophical or epistemological prose, especially where the arising of valid cognition is under discussion. Variation includes **gacchati**, **bhavati**, and **jāyate**, with register and lexical choice affecting naturalness. |
| CAUSATIVE (OR ABSENCE) | **प्रमाणीकृतम्** | *pramāṇīkṛtam* | “authenticated / validated” | [MARGINAL] | Attested and usable, but P4a explicitly notes that no single common productive causative meaning “make true” or “make valid” stands out as basic in this domain. Alternate constructions attested in P4a: **प्रमाणीकरणम्** as a lexicalized nominal formation. |
