1. **सत्य**  
   **Transliteration:** satya  
   **Literal meaning / morphology:** from *sat* “being, real” + adjectival suffix *-ya*  
   **Typical English translations:** true, truth, real, genuine  

   **Usage:** *Satya* is one of the most common Sanskrit words for “truth” or “what is true.” It is used for true statements, truthful speech, moral truthfulness, and in philosophical contexts for what is ultimately real or valid.  
   **Epistemic status:** [CORE]

2. **सत्यम्**  
   **Transliteration:** satyam  
   **Literal meaning / morphology:** neuter form of *satya*  
   **Typical English translations:** truth, true, truly  

   **Usage:** *Satyam* frequently appears both as a noun “truth” and predicatively for “it is true.” It is common in literary, religious, and philosophical Sanskrit, especially in discussions of truthful assertion and reality.  
   **Epistemic status:** [CORE]

3. **सत्यता**  
   **Transliteration:** satyatā  
   **Literal meaning / morphology:** *satya* + abstract suffix *-tā* “truth-ness”  
   **Typical English translations:** truth, truthfulness, correctness  

   **Usage:** *Satyatā* denotes the quality or condition of being true. It is especially suitable in more abstract or scholastic discussion, such as evaluating the truth of a proposition or the truthfulness of a claim.  
   **Epistemic status:** [CORE]

4. **सत्यवचन**  
   **Transliteration:** satyavacana  
   **Literal meaning / morphology:** *satya* “true” + *vacana* “speech, utterance”  
   **Typical English translations:** truthful speech, true statement  

   **Usage:** This compound refers to speech that is true or truthful. It is used in ethical and normative contexts, especially where one evaluates whether a person’s utterance accords with fact or duty.  
   **Epistemic status:** [CORE]

5. **ऋत**  
   **Transliteration:** ṛta  
   **Literal meaning / morphology:** traditionally “properly joined, fixed, ordered”; ancient inherited term  
   **Typical English translations:** truth, right order, cosmic order, right  

   **Usage:** *Ṛta* is especially prominent in Vedic Sanskrit, where it refers to truth, rightness, and the proper order of things. It can evaluate speech and conduct, but also the larger correctness or orderliness of the cosmos.  
   **Epistemic status:** [MARGINAL]

6. **तथ्य**  
   **Transliteration:** tathya  
   **Literal meaning / morphology:** from *tathā* “thus, so” + adjectival formation  
   **Typical English translations:** true, factual, actual, correct  

