| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | सत्यतां गच्छति | satyatāṃ gacchati | [MARGINAL] | Within the provided material, the clearest dynamic expression for “becoming true” is **सत्यतां गच्छति**. This is marked in the context as more formal or scholastic and not the dominant everyday pattern. |
| 2 | प्रमा जायते | pramā jāyate | [CORE] | For epistemic correctness of cognition, the **प्रमा** family gives dynamic expressions such as **प्रमा जायते** “valid cognition arises.” This is natural in philosophical discourse, but it is specific to cognition, not a general “become true” verb for all truth terms. |
| 3 | प्रमा भवति | pramā bhavati | [CORE] | For epistemic correctness of cognition, the **प्रमा** family gives dynamic expressions such as **प्रमा भवति**. This is natural in philosophical discourse, but it is specific to cognition, not a general “become true” verb for all truth terms. |
| 4 | यथार्थं जानाति | yathārthaṃ jānāti | [CORE] | For **यथार्थ**, the context mainly shows dynamic expressions of arriving at or grasping reality, not a common inchoative pattern meaning “becomes accurate/real.” |
| 5 | यथार्थं वर्णयति | yathārthaṃ varṇayati | [CORE] | For **यथार्थ**, the context mainly shows dynamic expressions of describing reality accurately, not a common inchoative pattern meaning “becomes accurate/real.” |
| 6 | भूतार्थं निरूपयति | bhūtārthaṃ nirūpayati | [CORE] | For **भूतार्थ**, the context mainly shows dynamic expressions of determining the actual facts, not a common inchoative pattern meaning “becomes accurate/real.” |
| 7 | अयथार्थज्ञान | ayathārthajñāna | [CORE] | The provided material gives strong vocabulary for being false or erroneous, but not a clear common dynamic construction meaning “becomes false.” |
| 8 | मिथ्या ज्ञानम् | mithyā jñānam | [CORE] | The provided material gives strong vocabulary for being false or erroneous, but not a clear common dynamic construction meaning “becomes false.” |
| 9 | असत्यं वदति | asatyaṃ vadati | [CORE] | The provided material gives strong vocabulary for speaking falsely. |
| 10 | अनृतं वदति | anṛtaṃ vadati | [CORE] | The provided material gives strong vocabulary for speaking falsely. |
| 11 | प्रमाणीकृतम् | pramāṇīkṛtam | [MARGINAL] | The context explicitly states that there is no single common productive causative pattern meaning “make true” or “make valid” across this lexical field. Where causation-like meaning does appear, it is mainly in the **प्रमाण** family; these are technical and lexicalized. |
| 12 | प्रमाणीकरणम् | pramāṇīkaraṇam | [MARGINAL] | The context explicitly states that there is no single common productive causative pattern meaning “make true” or “make valid” across this lexical field. Where causation-like meaning does appear, it is mainly in the **प्रमाण** family; these are technical and lexicalized. |
| 13 | प्रमाणेन सिद्धम् | pramāṇena siddham | [CORE] | This is one of the clearest dynamic zones in the dataset. Sanskrit often encodes not “making true” but establishing, showing, or grounding something as valid through **प्रमाण**. |
| 14 | प्रमाणैरवगम्यते | pramāṇair avagamyate | [CORE] | This is one of the clearest dynamic zones in the dataset. Sanskrit often encodes not “making true” but establishing or knowing something through **प्रमाण**. |
| 15 | प्रमाणसिद्ध | pramāṇasiddha | [CORE] | This is one of the clearest dynamic zones in the dataset. Sanskrit often encodes not “making true” but establishing something as valid through **प्रमाण**. |
| 16 | प्रमाणसिद्धि | pramāṇasiddhi | [CORE] | This is one of the clearest dynamic zones in the dataset. Sanskrit often encodes not “making true” but establishment by proof through **प्रमाण**. |
| 17 | सत्यं वद | satyaṃ vada | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes truth as an action of speaking truth or falsehood. |
| 18 | सत्यं ब्रूते / सत्यं ब्रवीति | satyaṃ brūte / satyaṃ bravīti | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes truth as an action of speaking truth or falsehood. |
| 19 | मिथ्या वदति | mithyā vadati | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes falsehood as an action of speaking falsely. |
| 20 | मृषा वदति | mṛṣā vadati | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes falsehood as an action of speaking falsely. |
| 21 | मृषा भाषते | mṛṣā bhāṣate | [MARGINAL] | This is part of the dynamic speech domain, but with a more literary/elevated profile in the supplied material. |
| 22 | असत्यं वदति | asatyaṃ vadati | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes falsehood as an action of speaking falsely. |
| 23 | अनृतं वदति | anṛtaṃ vadati | [CORE] | This is a strongly dynamic part of the system. Sanskrit often encodes falsehood as an action of speaking falsely. |
| 24 | सत्ये स्थितः / सत्ये प्रतिष्ठितः | satye sthitaḥ / satye pratiṣṭhitaḥ | [MARGINAL] | The dataset shows a clear way of encoding stability rather than change: being established in truth or standing in truth. This is especially important for ethical and characterological usage. |
| 25 | सत्यवचने स्थितः | satyavacane sthitaḥ | [MARGINAL] | The dataset shows a clear way of encoding stability rather than change: being steadfast in truthful speech. |
| 26 | सत्यपालन | satyapālana | [CORE] | The dataset shows a clear way of encoding stability rather than change: maintaining or keeping truth. |
| 27 | सत्यनिष्ठ | satyaniṣṭha | [CORE] | The dataset shows a clear way of encoding stability rather than change: being steadfast in truth. |
| 28 | सत्यपरायण | satyaparāyaṇa | [CORE] | The dataset shows a clear way of encoding stability rather than change: being devoted to truth. |
| 29 | सत्यात् न प्रमदितव्यम् | satyāt na pramaditavyam | [CORE] | This is a dynamic negative-stability expression: not becoming false exactly, but not lapsing from truth. |
| 30 | यथार्थतः | yathārthataḥ | [CORE] | These do not mean “become true,” but they mark a shift in discourse to the standpoint of reality or fact. |
| 31 | तत्त्वतः | tattvataḥ | [CORE] | These do not mean “become true,” but they mark a shift in discourse to the standpoint of reality or principle. |
| 32 | स्वरूपतः | svarūpataḥ | [CORE] | These do not mean “become true,” but they mark a shift in discourse to the standpoint of essential nature. |
| 33 | भूतार्थेन | bhūtārthena | [MARGINAL] | These do not mean “become true,” but they mark a shift in discourse to the standpoint of actual facts. |
| 34 | तत्त्वेन | tattvena | [MARGINAL] | These do not mean “become true,” but they mark a shift in discourse to the standpoint of reality. |
