# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Tamil (ta)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| உண்மை (uṇmai) - "truth" | உண்மையைச் சொல்லு | uṇmaiyaic collu | tell the truth, speak the truth | Most common collocation for truth-telling. Used in everyday speech, moral instruction, and interrogation contexts. The accusative marker -ai (phonetically -aic before c-) is obligatory. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையைப் பேசு | uṇmaiyaip pēcu | speak the truth, tell the truth | Alternative to uṇmaiyaic collu, equally common in everyday speech. The accusative marker -ai becomes -aip before p-. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை மறை | uṇmaiyai maṟai | hide the truth, conceal the truth | Used to describe deliberate concealment of truth. Common in contexts of investigation, deception, and moral judgment. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை வெளிப்படுத்து | uṇmaiyai veḷippaṭuttu | reveal the truth, bring the truth to light | Formal expression for revealing or disclosing truth. Common in investigative and journalistic contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை ஏற்று | uṇmaiyai ēṟṟu | accept the truth, acknowledge the truth | Used for the act of accepting or acknowledging truth, especially difficult truths. Common in counseling and moral discourse. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையைத் தேடு | uṇmaiyait tēṭu | search for truth, seek truth | Used to describe the pursuit of truth in philosophical, investigative, or spiritual contexts. Common in academic and religious discourse. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை அறி | uṇmaiyai aṟi | know the truth, come to know the truth | Used for gaining knowledge of truth. Common in epistemic and investigative contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை உணர் | uṇmaiyai uṇar | realize the truth, become aware of the truth | Used for realization or awareness of truth, often with spiritual or philosophical connotations. Common in religious and philosophical discourse. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் சொல்லு | poy collu | tell lies, speak falsely | Most common collocation for lying. Used in everyday speech, moral instruction, and accusations of dishonesty. No case marker on poy in this construction. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் பேசு | poy pēcu | speak lies, tell lies | Alternative to poy collu, equally common in everyday speech for lying. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் கூறு | poy kūṟu | utter lies, state falsely | More formal variant for speaking lies. Used in written and formal spoken contexts. | [CORE] |
| நேர்மை (nērmai) - "honesty, integrity" | நேர்மையைக் காத்து | nērmaiyaik kāttu | maintain honesty, preserve integrity | Used to describe maintaining or upholding honesty. Common in moral discourse about character. | [CORE] |
| நேர்மை (nērmai) - "honesty, integrity" | நேர்மையைக் கடைப்பிடி | nērmaiyaik kaṭaipiṭi | practice honesty, adhere to integrity | Used for actively practicing or adhering to honesty. Common in moral instruction. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை நிலை | uṇmai nilai | true state, actual situation, reality | Used to refer to the actual state of affairs or real situation. Common in formal discourse and investigative contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை விளக்கம் | uṇmai viḷakkam | true explanation, factual clarification | Used when providing accurate explanations or clarifications of facts. Common in educational and informational contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை உணர்வு | uṇmai uṇarvu | awareness of truth, consciousness of reality | Used in philosophical and spiritual contexts to describe awareness or realization of truth. Also used for moral consciousness. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை அறிவு | uṇmai aṟivu | true knowledge, knowledge of truth | Philosophical and educational term for genuine knowledge or understanding of truth. Used in epistemological discussions. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை நிகழ்வு | uṇmai nikaḻvu | true event, actual occurrence, real incident | Used to distinguish real events from fictional or imagined ones. Common in historical and journalistic contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை கதை | uṇmai katai | true story, real story | Used to indicate that a narrative is based on real events rather than fiction. Common in media and storytelling. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை சம்பவம் | uṇmai campavam | true incident, real event | Similar to uṇmai nikaḻvu but more formal. Used in news reporting and official documentation of real events. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை வாழ்க்கை | uṇmai vāḻkkai | real life, actual life | Used to contrast real life with fiction, imagination, or idealized versions. Common in discussions of realism and authenticity. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை முகம் | uṇmai mukam | true face, real face, true nature | Metaphorical expression for someone's true character or the real nature of something. Used when revealing hidden aspects. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை நிலவரம் | uṇmai nilavaram | actual state of affairs, true situation | Formal term used in official reports and analyses to describe the real situation or actual conditions. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் குற்றச்சாட்டு | poy kuṟṟaccāṭṭu | false accusation, false charge | Legal and formal term for accusations that are untrue. Common in legal proceedings and defamation contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் சாட்சி | poy cāṭci | false witness, false testimony, perjury | Legal term for giving false testimony. Used in court contexts and discussions of legal wrongdoing. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் வழக்கு | poy vaḻakku | false case, fabricated lawsuit | Legal term for lawsuits based on false claims. Common in legal discourse and discussions of judicial abuse. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் ஆவணம் | poy āvaṇam | false document, forged document | Used for fraudulent or forged documents. Common in legal, administrative, and investigative contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் வாக்குமூலம் | poy vākkumūlam | false statement, false confession | Legal and formal term for false statements or confessions. Used in legal proceedings and investigations. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் நம்பிக்கை | poy nampikkai | false belief, misplaced trust | Used to describe beliefs that are unfounded or trust that is misplaced. Common in philosophical and psychological contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் செய்தி | poy ceyti | false news, fake news, misinformation | Increasingly common term for false or misleading news. Used in media criticism and discussions of misinformation. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் வதந்தி | poy vatanti | false rumor, baseless rumor | Used to describe rumors that are untrue or unfounded. Common in everyday speech and media contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் வாக்குறுதி | poy vākkuṟuti | false promise, empty promise | Used for promises that are not kept or were never intended to be kept. Common in political and interpersonal contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் மாயம் | poy māyam | false illusion, deceptive magic, trickery | Used to describe deceptive appearances or tricks. Common in contexts of fraud and deception. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் நாணயம் | poy nāṇayam | counterfeit money, fake currency | Used for counterfeit or fake money. Common in legal and commercial contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் முகம் | poy mukam | false face, pretense, hypocrisy | Metaphorical expression for pretense or showing a false front. Used to describe hypocrisy or deceptive appearances. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் கணக்கு | poy kaṇakku | false account, fraudulent accounting | Used for fraudulent financial records or false calculations. Common in commercial and legal contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் உருவம் | poy uruvam | false form, false image, disguise | Used to describe false appearances or disguises. Common in narrative and descriptive contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் நடிப்பு | poy naṭippu | false acting, pretense, feigning | Used to describe pretending or putting on a false show. Common in contexts of deception and hypocrisy. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்ப்பொருள் | meypporuḷ | true meaning, real substance, ultimate reality | Philosophical and literary term for the true or essential meaning of something. Used in hermeneutics and philosophical discourse. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்ஞ்ஞானம் | meyññāṉam | true knowledge, spiritual knowledge, enlightenment | Philosophical and religious term for ultimate or spiritual knowledge. Central concept in Tamil philosophical and devotional literature. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் உணர்வு | mey uṇarvu | true awareness, realization of truth, enlightenment | Philosophical and spiritual term for awareness or realization of ultimate truth. Used in religious and philosophical discourse. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்ப்பாடு | meyppāṭu | bodily experience, physical sensation, genuine emotion | Can refer to physical sensations or genuine emotional experiences. Used in literary and descriptive contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் நிலை | mey nilai | true state, real condition, ultimate reality | Philosophical term for the true or ultimate state of things. Used in metaphysical and spiritual discussions. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்யன்பு | meyyanpu | true love, genuine affection | Used to describe authentic love as opposed to superficial or false affection. Common in literary and devotional contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்யடி | meyyaṭi | foundation of truth, basis in reality | Used to describe something grounded in truth or reality. Common in philosophical and evaluative contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்க்கீர்த்தி | meykkīrtti | true fame, genuine glory | Literary term for authentic fame or glory based on real merit. Used in classical and devotional literature. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் வரலாறு | mey varalāṟu | true history, actual history | Used to distinguish factual history from myth or legend. Common in historical and academic discourse. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் தெய்வம் | mey teyvam | true god, real deity | Religious term used to distinguish the true or supreme deity from false gods. Common in devotional literature. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் பக்தி | mey pakti | true devotion, genuine devotion | Religious term for authentic devotion as opposed to superficial religious practice. Central in bhakti literature. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் நண்பன் | mey naṇpaṉ | true friend, genuine friend | Used to describe authentic friendship. Common in moral instruction and literary contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் குரு | mey kuru | true teacher, genuine guru | Religious and educational term for an authentic spiritual teacher. Used in discussions of discipleship and spiritual guidance. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் அறிவு | mey aṟivu | true knowledge, genuine wisdom | Philosophical term for authentic knowledge or wisdom. Used in epistemological and spiritual contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்யுரை | meyyurai | true speech, truthful discourse, authentic text | Literary and philosophical term for truthful or authentic discourse. Used in textual and hermeneutical contexts. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் சான்று | mey cāṉṟu | true evidence, genuine proof | Used in legal and investigative contexts for authentic evidence. Also used in philosophical arguments. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் கதை | mey katai | true story, real story | Used to indicate that a narrative is based on real events. Similar to uṇmai katai but more literary in register. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய்ம்மொழி | meymoḻi | true word, truthful speech | Literary and formal term for truthful speech or authentic language. Used in classical literature and formal discourse. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் வழி | mey vaḻi | true path, right way | Religious and moral term for the correct or righteous path. Common in spiritual and ethical instruction. | [CORE] |
| மெய் (mey) - "truth, reality" | மெய் நூல் | mey nūl | true text, authentic scripture | Used to describe authentic or authoritative texts, especially religious scriptures. Common in religious discourse. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையில் | uṇmaiyil | in truth, actually, in reality | Functions as discourse marker and adverbial emphasizing actual truth or reality of a statement. Very common in everyday speech. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மைக்கு மாறாக | uṇmaikku māṟāka | contrary to truth, contrary to the facts | Formal expression used to describe statements or representations that contradict the truth. Common in legal and formal writing. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மைக்கு புறம்பாக | uṇmaikku puṟampāka | outside of truth, contrary to truth | Formal expression similar to uṇmaikku māṟāka. Used in legal and official contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய்யில் | poyyil | in falsehood, in lies | Used to describe being in a state of falsehood or deception. Less common than poyyāka but used in literary contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை விட | uṇmaiyai viṭa | more than truth, beyond truth | Comparative construction used to indicate something exceeds or goes beyond truth. Used in emphatic or hyperbolic contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய்யை விட | poyyai viṭa | more than a lie, worse than a lie | Comparative construction used to indicate something is worse than or exceeds a lie. Used in emphatic contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையா? | uṇmaiyā? | Is it true? Really? | Common question form asking for confirmation of truth. Used in everyday conversation. The -ā is an interrogative particle. | [CORE] |
| நிஜம் (nijam) - "truth, reality" | நிஜமா? | nijamā? | Is it true? Really? Is that so? | Very common colloquial question asking for confirmation. Perhaps more common than uṇmaiyā in everyday speech. | [CORE] |
| சரி (cari) - "correct, right" | சரியா? | cariyā? | Is it correct? Is it right? Okay? | Common question form asking for confirmation of correctness or agreement. Used in everyday conversation. | [CORE] |
| உண்மை (uṉmai) - "truth" | உண்மையைச் சொல்லு | uṇmaiyaic collu | Tell the truth! (imperative) | Imperative construction demanding truth-telling. Common in interrogation and moral instruction contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை இல்லை | uṇmai illai | (it is) not true, there is no truth | Simple negative construction denying truth. Common in everyday speech and formal discourse. | [CORE] |
| சரி (cari) - "correct, right" | சரி இல்லை | cari illai | (it is) not correct, (it is) wrong | Very common negative construction indicating incorrectness. Used in everyday speech. | [CORE] |
| நியாயம் (niyāyam) - "justice, fairness" | நியாயம் இல்லை | niyāyam illai | (it is) not fair, (it is) not just | Common expression of unfairness or injustice. Used in everyday complaints and moral judgments. | [CORE] |
| பொருத்தம் (poruttam) - "suitability, appropriateness" | பொருத்தம் இல்லை | poruttam illai | (it is) not suitable, (it is) not appropriate | Common expression indicating lack of suitability or appropriateness. Used in everyday evaluations. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையாக இருந்தால் | uṇmaiyāka iruntāl | if (it is) true, if (it is) really (the case) | Conditional construction used to introduce hypothetical situations based on truth. Common in reasoning and argumentation. | [CORE] |
| சரி (cari) - "correct, right" | சரியாக இருந்தால் | cariyāka iruntāl | if (it is) correct, if (it is) right | Conditional construction used to introduce hypothetical situations based on correctness. Common in reasoning. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையிலேயே | uṇmaiyi-l-ē-y-ē | truly indeed, really and truly, in actual truth | Emphatic construction with multiple intensifying particles (-il locative, -ē emphatic, -y- euphonic, -ē emphatic again). Used for strong emphasis. | [CORE] |
| நிஜம் (nijam) - "truth, reality" | நிஜமாகவே | nijamāka-v-ē | really indeed, truly indeed | Emphatic construction with adverbial -āka and emphatic -ē. Very common in colloquial speech for emphasis. | [CORE] |
| சரி (cari) - "correct, right" | சரியாகவே | cariyāka-v-ē | correctly indeed, quite rightly | Emphatic construction indicating strong affirmation of correctness. Common in everyday speech. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை வெளிச்சத்திற்கு வரு | uṇmai veḷiccattiṟku varu | truth comes to light (literally: truth comes to brightness) | Idiomatic expression for truth being revealed or discovered. Common in narrative and investigative contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை கசந்து வரு | uṇmai kacantu varu | truth leaks out, truth gradually emerges | Idiomatic expression for truth gradually becoming known. Common in contexts where truth is slowly revealed. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் அம்பலமாகு | poy ampalamāku | lie is exposed (literally: lie becomes public/open) | Idiomatic expression for lies being exposed or revealed. Common in contexts of discovery and revelation. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் பிடிபடு | poy piṭipaṭu | lie is caught, lie is discovered | Idiomatic expression for lies being caught or discovered. Common in everyday speech about deception being revealed. | [CORE] |
| சரி (cari) - "correct, right" | சரி பார் | cari pār | check (it), verify (it), see if it's correct | Common collocation meaning to check or verify something. Used in everyday instructions and requests. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை தெரிய வரு | uṇmai teriya varu | truth comes to be known, truth becomes clear | Resultative construction indicating truth becoming known. Common in narrative and investigative contexts. | [CORE] |
| பொய் (poy) - "lie, falsehood" | பொய் வெளியாகு | poy veḷiyāku | lie becomes exposed, lie comes out | Resultative construction indicating lies being exposed. Common in contexts of revelation and discovery. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையை வெளிப்படுத்து | uṇmaiyai veḷippaṭuttu | cause truth to be revealed, reveal the truth | Causative construction for actively revealing truth. Common in investigative and journalistic contexts. | [CORE] |
| தெளிவு (teḷivu) - "clarity" | தெளிவுபடுத்து | teḷivupaṭuttu | make clear, clarify | Causative construction for making something clear. Very common in explanatory and instructional contexts. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையாக இருக்க வேண்டும் | uṇmaiyāka irukka vēṇṭum | must be true, should be true | Modal construction expressing necessity or obligation regarding truth. Common in reasoning and argumentation. | [CORE] |
| சரி (cari) - "correct, right" | சரியாக இருக்க வேண்டும் | cariyāka irukka vēṇṭum | must be correct, should be right | Modal construction expressing necessity regarding correctness. Common in instructions and requirements. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மையாக இருக்கலாம் | uṇmaiyāka irukkalām | may be true, might be true | Modal construction expressing possibility regarding truth. Common in epistemic evaluations. | [CORE] |
| சாத்தியம் (cāttiyam) - "possibility" | சாத்தியம் இல்லை | cāttiyam illai | (it is) not possible, (it is) impossible | Very common expression of impossibility. Used frequently in everyday speech to deny possibility. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை என்று தெரிகிறது | uṇmai eṉṟu terikiṟatu | it appears to be true, it seems to be true | Evidential construction indicating appearance or seeming of truth. Common in epistemic evaluations. | [CORE] |
| சந்தேகம் (cantēkam) - "doubt" | சந்தேகம் இல்லை | cantēkam illai | (there is) no doubt, without doubt | Common expression of certainty through negation of doubt. Used in everyday speech and formal discourse. | [CORE] |
| உறுதி (uṟuti) - "certainty" | உறுதியாக சொல்ல முடியும் | uṟutiyāka colla muṭiyum | can say with certainty, can state definitely | Epistemic construction expressing ability to make certain statements. Common in formal discourse. | [CORE] |
| தெளிவு (teḷivu) - "clarity" | தெளிவாக தெரியவில்லை | teḷivāka teriyavillai | (it is) not clear, (it) doesn't appear clearly | Common expression of lack of clarity or uncertainty. Used in everyday speech about unclear situations. | [CORE] |
| உண்மை (uṇmai) and பொய் (poy) | உண்மையா பொய்யா | uṇmaiyā poyyā | true or false? truth or lie? | Contrastive question construction asking for determination between truth and falsehood. Common in interrogation and evaluation. | [CORE] |
| சரி (cari) and தப்பு (tappu) | சரியா தப்பா | cariyā tappā | right or wrong? correct or incorrect? | Contrastive question construction asking for determination between correctness and incorrectness. Very common in everyday speech. | [CORE] |
| உண்மை (uṇmai) and பொய் (poy) | உண்மையும் பொய்யும் | uṇmaiyum poyyum | both truth and falsehood, truth and lies | Conjunctive construction referring to both truth and falsehood together. Used in discussions of mixed or ambiguous situations. | [CORE] |
| உண்மை (uṇmai) - "truth" | உண்மை இறுதியில் வெல்லும் | uṉmai iṟutiyil vellum | truth will triumph in the end, truth ultimately prevails | Proverbial expression about truth's ultimate victory. Common in moral and philosophical discourse. | [CORE] |
| உண்மை (uṇmai) - "truth" | முழு உண்மை | muḻu uṇmai | whole truth, complete truth, full truth | Expression emphasizing completeness of truth. Common in legal contexts and truth-telling situations. | [CORE] |
| உண்மை (uṇmai) - "truth" | பகுதி உண்மை | pakuti uṇmai | partial truth, part of the truth | Expression indicating incomplete or partial truth. Used when truth is not fully disclosed. | [CORE] |
| உண்மை (uṇmai) - "truth" | அது உண்மை | atu uṇmai | that is true, that is the truth | Simple copular construction affirming truth. Very common in everyday speech for confirmation. | [CORE] |
| பொய் (poy) - "lie, falsehood" | அது பொய் | atu poy | that is false, that is a lie | Simple copular construction denying truth. Very common in everyday speech for denial. | [CORE] |
| சரி (cari) - "correct, right" | அது சரி | atu cari | that is correct, that is right | Simple copular construction affirming correctness. Extremely common in everyday speech for agreement. | [CORE] |
| தப்பு (tappu) - "wrong, mistake" | அது தப்பு | atu tappu | that is wrong, that is a mistake | Simple copular construction indicating incorrectness. Very common in everyday speech for correction. | [CORE] |
