# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Tamil (ta)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| உண்மை (uṇmai) | பொய் (poy) | uṇmai vs. poy | truth vs. lie/falsehood | Primary lexical opposition in the truth domain. உண்மை refers to truth, reality, and what genuinely exists, while பொய் refers to lies, falsehood, and deception. This is the most fundamental and productive opposition in Tamil truth-related vocabulary. | lexical | [CORE] |
| மெய் (mey) | பொய் (poy) | mey vs. poy | truth/reality vs. lie/falsehood | Classical Tamil lexical opposition between truth/reality and falsehood. மெய் carries literary and philosophical connotations and is particularly productive in spiritual/devotional compounds, while பொய் remains the primary term for falsehood across registers. | lexical | [CORE] |
| சரி (cari) | தப்பு (tappu) | cari vs. tappu | correct/right vs. wrong/mistake | Primary opposition for correctness versus error in factual, procedural, and computational contexts. Both terms are extremely common in everyday speech and span both factual correctness and moral rightness domains. | lexical | [CORE] |
| சரி (cari) | தவறு (tavaṟu) | cari vs. tavaṟu | correct/right vs. mistake/error/wrong | Alternative opposition for correctness versus error. தவறு is slightly more formal than தப்பு and is used in both factual contexts (errors in work) and moral contexts (wrongful conduct). | lexical | [CORE] |
| உண்மையான (uṇmaiyāṉa) | பொய்யான (poyyāṉa) | uṇmaiyāṉa vs. poyyāṉa | true/genuine vs. false/fake | Adjectival opposition derived from the primary உண்மை/பொய் lexical pair using the productive -ஆன suffix. Both forms are extremely common for modifying nouns across all registers. | morphological (parallel derivation from opposed bases) | [CORE] |
| போலி (pōli) | அசல் (acal) | pōli vs. acal | fake/counterfeit vs. original/genuine | Lexical opposition specific to authenticity of objects, documents, and currency. Common in commercial and legal contexts distinguishing genuine items from counterfeits or imitations. | lexical | [CORE] |
| நேர்மை (nērmai) | (no direct lexical antonym attested) | nērmai | honesty/integrity vs. (dishonesty expressed periphrastically) | நேர்மை "honesty, integrity" lacks a direct lexical antonym in the data. Dishonesty is expressed through negation (நேர்மையற்ற "without honesty") or through பொய் compounds rather than a dedicated lexical item. | (no clear opposition identified) | [UNCERTAIN] |
| உறுதி (uṟuti) | சந்தேகம் (cantēkam) | uṟuti vs. cantēkam | certainty/confirmation vs. doubt/suspicion | Lexical opposition in the epistemic domain between certainty and doubt. உறுதி refers to certainty and confirmed truth, while சந்தேகம் refers to doubt, suspicion, and uncertainty about truth or facts. | lexical | [CORE] |
| தெளிவு (teḷivu) | தெளிவற்ற (teḷivaṟṟa) | teḷivu vs. teḷivaṟṟa | clarity vs. unclear/ambiguous | Morphological opposition between the base noun தெளிவு "clarity" and its negative adjectival derivative தெளிவற்ற "without clarity, unclear" formed with the -அற்ற "without" suffix. | morphological (base vs. negative derivation) | [CORE] |
| நம்பிக்கை (nampikkai) | நம்பிக்கையற்ற (nampikkaiyaṟṟa) | nampikkai vs. nampikkaiyaṟṟa | trust/belief/faith vs. without trust/faithless | Morphological opposition between the base noun நம்பிக்கை "trust, belief, faith" and its negative adjectival derivative நம்பிக்கையற்ற "without trust, faithless" formed with the -அற்ற suffix. | morphological (base vs. negative derivation) | [CORE] |
