| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| egia | egia | truth | truth, true, reality | The fundamental term for truth in Basque, used both as a noun ("the truth") and in predicative constructions with izan ("to be"). Appears in everyday speech, philosophical discourse, and legal contexts to denote what is factually accurate or corresponds to reality. | [CORE] |
| egiazkoa | egiazkoa | egia (truth) + -zko (relational suffix) + -a (article) | true, genuine, authentic, real | Adjectival form used to describe something as truthful, genuine, or authentic. Commonly applied to statements, objects, and persons to indicate they are what they claim or appear to be. | [CORE] |
| gezurra | gezurra | lie, falsehood | lie, falsehood, untruth | The standard term for a deliberate falsehood or lie. Used in everyday contexts to describe false statements and in moral discourse about dishonesty. | [CORE] |
| gezurrezko | gezurrezko | gezurra (lie) + -zko (relational suffix) | false, fake, counterfeit | Adjectival form meaning false or fake, used to describe statements, objects, or representations that are not genuine or do not correspond to reality. | [CORE] |
| zuzena | zuzena | zuzen (straight, correct) + -a (article) | correct, right, straight, just | Polysemous term used for both physical straightness and abstract correctness. Applied to answers, conduct, and moral judgments to indicate rightness or propriety. | [CORE] |
| okerra | okerra | oker (wrong, crooked) + -a (article) | wrong, incorrect, crooked, mistaken | Opposite of zuzena, used for both physical crookedness and abstract incorrectness. Describes errors, mistakes, and morally wrong actions. | [CORE] |
| egiazkotasuna | egiazkotasuna | egiazkoa (true) + -tasun (abstract noun suffix) + -a (article) | truthfulness, authenticity, veracity | Abstract noun denoting the quality of being true or authentic. Used in formal contexts to discuss the truthfulness of statements or authenticity of objects. | [CORE] |
| fidagarria | fidagarria | fida (trust, from Spanish "fiar") + -garri (worthy of) + -a (article) | reliable, trustworthy, dependable | Describes persons, sources, or things worthy of trust or confidence. Commonly used in evaluating the reliability of information or the dependability of people. | [CORE] |
| sinesgarria | sinesgarria | sines (belief) + -garri (worthy of) + -a (article) | believable, credible, plausible | Indicates that something is worthy of belief or credible. Applied to statements, accounts, and explanations to assess their plausibility. | [CORE] |
| benetakoa | benetakoa | benetan (truly, really) + -ko (relational) + -a (article) | real, genuine, actual, true | Emphasizes genuineness or reality, often contrasting with appearance or pretense. Used to affirm that something is truly what it purports to be. | [CORE] |
| ziurra | ziurra | certain, sure | certain, sure, secure, reliable | Indicates certainty, security, or reliability. Used both epistemically (to express certainty about knowledge) and to describe dependable things or people. | [CORE] |
| faltsua | faltsua | false (from Latin falsus) | false, fake, counterfeit, deceitful | Borrowed term used to describe falseness, particularly in formal or technical contexts. Applied to counterfeit objects, false statements, and deceitful behavior. | [CORE] |
| iruzurra | iruzurra | fraud, deception | fraud, deception, swindle, deceit | Denotes deliberate deception or fraud, particularly in legal and commercial contexts. Stronger than gezurra, implying systematic or calculated dishonesty. | [CORE] |
| antzekoa | antzekoa | antze (resemblance) + -ko (relational) + -a (article) | similar, resembling, like | Indicates resemblance or similarity between things. Used in comparative contexts to note likeness without claiming identity. | [CORE] |
