# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Basque (eu)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| egia | egia esan | egia esan | to tell the truth | Standard collocation for speaking truthfully. Used across all registers from everyday conversation to formal testimony. | [CORE] |
| egia | egia bilatu | egia bilatu | to seek the truth | Common in philosophical, investigative, and religious contexts to describe the pursuit of truth. | [CORE] |
| egia | egia aurkitu | egia aurkitu | to find/discover the truth | Used in investigative, judicial, and intellectual contexts when truth is uncovered or revealed. | [CORE] |
| egia | egiaren bila | egiaren bila | in search of truth | Prepositional phrase used in philosophical and investigative discourse to describe truth-seeking activity. | [CORE] |
| egia | egia eta gezurra | egia eta gezurra | truth and falsehood, right and wrong | Fixed binomial expression used to contrast truth with falsehood, often in moral or epistemological discourse. | [CORE] |
| egia | egiaren alderdi | egiaren alderdi | aspect of truth, side of truth | Used in philosophical and analytical discourse to discuss different facets or perspectives on truth. | [CORE] |
| egia | egiaren zati | egiaren zati | part of the truth, grain of truth | Expression used to acknowledge partial truth in a statement or claim. Common in evaluative discourse. | [CORE] |
| egia | egiaren une | egiaren une | moment of truth | Expression borrowed conceptually from Spanish "momento de la verdad," used in dramatic or decisive contexts. | [CORE] |
| egia | egiaren aitorpen | egiaren aitorpen | confession of truth, acknowledgment of truth | Legal and religious expression for admitting or confessing the truth, especially after concealment. | [CORE] |
| egia | egiaren kontra | egiaren kontra | against the truth, contrary to truth | Prepositional phrase used in moral and legal discourse to describe actions or statements that violate truth. | [CORE] |
| egia | egiaren alde | egiaren alde | on the side of truth, in favor of truth | Expression used in argumentative and moral discourse to align oneself with truth or truthfulness. | [CORE] |
| egia | egiaren oinarria | egiaren oinarria | basis of truth, foundation of truth | Philosophical and epistemological expression referring to what grounds or establishes truth. | [CORE] |
| egiazkoa | egiazko maitasuna | egiazko maitasuna | true love, real love | Fixed expression in romantic and literary discourse to distinguish genuine love from infatuation or pretense. | [CORE] |
| egiazkoa | egiazko adiskidea | egiazko adiskidea | true friend, real friend | Common expression in moral and social discourse to distinguish genuine friendship from superficial relationships. | [CORE] |
| egiazkoa | egiazko historia | egiazko historia | true story, real history | Expression used to distinguish factual accounts from fiction. Common in narrative and historical discourse. | [CORE] |
| egiazkoa | egiazko izaera | egiazko izaera | true nature, real character | Philosophical and psychological expression referring to the genuine or essential nature of something or someone. | [CORE] |
| egiazkoa | egiazko egoera | egiazko egoera | true situation, real state of affairs | Used in analytical and descriptive contexts to refer to actual conditions as opposed to perceived or reported ones. | [CORE] |
| egiazkoa | egiazko balioa | egiazko balioa | true value, real worth | Used in economic, aesthetic, and moral contexts to distinguish genuine value from apparent or market value. | [CORE] |
| egiazkoa | egiazko arrazoia | egiazko arrazoia | true reason, real reason | Used to distinguish genuine motivations or causes from stated or apparent ones. Common in analytical discourse. | [CORE] |
| gezurra | gezurra esan | gezurra esan | to tell a lie, to lie | Standard collocation for the act of lying. Used across all registers from everyday speech to formal discourse. | [CORE] |
| gezurra | gezur-gezurra | gezur-gezurra | complete lie, total falsehood, blatant lie | Emphatic reduplication stressing the complete falsity of something. Common in emphatic speech. | [CORE] |
| gezurra | gezur hutsa | gezur hutsa | pure lie, nothing but a lie | Expression emphasizing that something is entirely false with no truth content. Used for strong denial. | [CORE] |
| gezurra | gezurra eman | gezurra eman | to give the lie to, to prove false | Expression meaning to demonstrate something is false or to contradict a claim. Used in argumentative contexts. | [CORE] |
| gezurra | gezurra atera | gezurra atera | to expose a lie, to reveal falsehood | Collocation for uncovering or exposing lies. Common in investigative and confrontational contexts. | [CORE] |
| gezurra | gezurretan hartu | gezurretan hartu | to catch in a lie, to catch lying | Expression for catching someone in the act of lying or discovering their falsehood. | [CORE] |
| gezurra | gezur egina | gezur egina | fabricated lie, deliberate falsehood | Expression emphasizing the constructed or deliberate nature of a lie. Used to stress intentionality. | [CORE] |
| gezurra | gezur handia | gezur handia | big lie, great lie | Expression for significant or consequential lies. Can refer to both scale and moral gravity. | [CORE] |
| gezurra | gezur txikia | gezur txikia | small lie, white lie | Expression for minor or supposedly harmless lies. Used to minimize moral significance of falsehood. | [CORE] |
| gezurra | gezurra dirudi | gezurra dirudi | it seems like a lie, it appears false | Expression of skepticism or disbelief. Common in evaluative discourse when something seems implausible. | [CORE] |
| gezurrezko | gezurrezko agiri | gezurrezko agiri | false document, forged document | Legal term for fraudulent or forged documents. Common in legal and administrative contexts. | [CORE] |
| gezurrezko | gezurrezko lekukotza | gezurrezko lekukotza | false testimony, perjury | Legal term for lying under oath. Technical term in judicial contexts. | [CORE] |
| gezurrezko | gezurrezko identitatea | gezurrezko identitatea | false identity, fake identity | Expression used in legal and security contexts for assumed or fraudulent identities. | [CORE] |
| gezurrezko | gezurrezko albistea | gezurrezko albistea | false news, fake news | Contemporary term for false or fabricated news. Increasingly common in media and political discourse. | [CORE] |
| gezurrezko | gezurrezko itxura | gezurrezko itxura | false appearance, deceptive appearance | Expression for appearances that deceive or misrepresent reality. Used in descriptive and analytical contexts. | [CORE] |
| gezurrezko | gezurrezko promesa | gezurrezko promesa | false promise, empty promise | Common expression for promises made without intention to fulfill. Used in moral and political criticism. | [CORE] |
| gezurrezko | gezurrezko aitorpena | gezurrezko aitorpena | false confession | Legal and psychological term for confessions that are untrue. Used in judicial and investigative contexts. | [CORE] |
| zuzena | zuzen ibili | zuzen ibili | to walk straight, to behave properly | Collocation with both literal (walk straight) and figurative (behave properly) meanings. Common in moral discourse. | [CORE] |
| zuzena | zuzen egin | zuzen egin | to do right, to act correctly | Common collocation for acting correctly or doing the right thing. Used in moral and practical contexts. | [CORE] |
| zuzena | zuzen jarri | zuzen jarri | to straighten, to set right, to correct | Collocation used for physically straightening objects or figuratively correcting situations. | [CORE] |
| zuzena | zuzen joan | zuzen joan | to go straight, to proceed directly | Common expression for going directly to a destination without detours. Used in navigation and purposeful action. | [CORE] |
