# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Basque (eu)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| egia | gezurra | egia / gezurra | truth / lie, falsehood | Core lexical opposition between truth and deliberate falsehood. These terms represent the primary antonyms in the truth domain, appearing in parallel constructions (egia esan / gezurra esan) and fixed binomial expressions (egia eta gezurra). | lexical | [CORE] |
| egiazkoa | gezurrezko | egiazkoa / gezurrezko | true, genuine, authentic / false, fake, counterfeit | Adjectival opposition derived from the egia/gezurra roots using relational suffixes. These forms function as attributive modifiers and show parallel derivational patterns. | lexical | [CORE] |
| zuzena | okerra | zuzena / okerra | correct, right, straight / wrong, incorrect, crooked | Core opposition between correctness and error, extending from physical straightness/crookedness to abstract correctness/incorrectness. These terms show parallel morphological behavior (zuzendu/okertu, zuzentasuna/okertasuna) and appear in parallel constructions (zuzen egin/oker egin, zuzen ibili/oker ibili). | lexical | [CORE] |
| zintzoa | faltsua | zintzoa / faltsua | honest, sincere / false, fake, deceitful | Opposition in the moral domain between honesty/sincerity and falseness/deceit. Both terms show parallel derivational patterns (zintzotasuna/faltsutasuna, zintzoki/faltsu jokatu) and focus on character evaluation rather than factual accuracy. | lexical | [CORE] |
| fidagarria | zalantzagarria | fidagarria / zalantzagarria | reliable, trustworthy / doubtful, dubious, questionable | Opposition in epistemic evaluation between trustworthiness and doubtfulness. Both terms use the -garri suffix (worthy of) but with contrasting semantic bases (fida "trust" vs. zalantza "doubt"). | lexical | [CORE] |
| benetakoa | itxurazko | benetakoa / itxurazko | real, genuine, actual / apparent, seeming, ostensible | Opposition between reality/genuineness and mere appearance. These terms contrast what something truly is (benetakoa) with how it appears or seems (itxurazko), marking the reality-appearance distinction. | lexical | [CORE] |
| ageria | ezkutuan (implied contrast) | ageria / ezkutuan | evident, obvious, manifest / hidden, concealed | Opposition between visibility/manifestation and concealment. The construction "agerian jarri" (to expose, make visible) implies contrast with hidden or concealed states, though the explicit antonym appears less frequently in the documented data. | lexical | [CORE] |
| ziurra | zalantzan (in doubt) | ziurra / zalantzan | certain, sure / in doubt, uncertain | Epistemic opposition between certainty and doubt. While ziurra is an adjective, the contrast is most clearly expressed through the construction "zalantzan egon" (to be in doubt) versus "ziur egon" (to be certain). | lexical/constructional | [CORE] |
| X da egia/egiazko | X ez da egia/egiazko | X da egia / X ez da egia | X is true / X is not true | Morphological negation using the particle "ez" before the copula. This represents the standard negation pattern in Basque for truth-domain predicates, creating systematic oppositions for all predicative constructions. | morphological | [CORE] |
| egiazko historia | gezurrezko historia | egiazko historia / gezurrezko historia | true story / false story | Constructional opposition at the level of adnominal modification. The same noun is modified by contrasting attributive adjectives derived from egia and gezurra roots, creating parallel structures. | constructional | [CORE] |
| egia esan | gezurra esan | egia esan / gezurra esan | to tell the truth / to tell a lie | Constructional opposition in light verb collocations. The same verb (esan "to say") combines with contrasting nouns (egia/gezurra) to create opposed meanings, showing the productivity of noun+verb constructions in the truth domain. | constructional | [CORE] |
| zuzen egin | oker egin | zuzen egin / oker egin | to do right, act correctly / to do wrong, make a mistake | Parallel constructional opposition using the verb egin (do/make) with contrasting adverbial/adjectival modifiers. Shows systematic parallelism in correctness-domain constructions. | constructional | [CORE] |
| zuzen ibili | oker ibili | zuzen ibili / oker ibili | to walk straight, behave properly / to walk crooked, behave wrongly | Parallel constructional opposition with both literal (physical movement) and figurative (moral conduct) meanings. The verb ibili (walk/go) combines with contrasting modifiers to create opposed meanings across semantic domains. | constructional | [CORE] |
| agerian jarri | ezkutatu (to hide, conceal - implied) | agerian jarri / ezkutatu | to expose, make visible / to hide, conceal | Constructional opposition between making something visible/manifest and concealing it. While "agerian jarri" is well-documented, the explicit contrasting construction with ezkutatu is implied by the semantic field rather than directly attested in parallel structures. | constructional | [CORE] |
| egiaztatu | gezurtatu | egiaztatu / gezurtatu | to verify, confirm, authenticate / to lie, falsify, deceive | Morphological opposition in causative/factitive verbs derived from egia and gezurra roots using the -tu suffix. These verbs represent opposed actions in the truth domain, though gezurtatu is less frequent than the collocation "gezurra esan." | morphological | [CORE] |
| zuzendu | okertu | zuzendu / okertu | to correct, straighten, rectify / to go wrong, become crooked, err | Morphological opposition in derived verbs from zuzen and oker roots. Both use the -tu/-du verbalizing suffix but with different semantic orientations: zuzendu is typically transitive (to correct something) while okertu is often intransitive (to go wrong). | morphological | [CORE] |
| egiazkotasuna | gezurkeria | egiazkotasuna / gezurkeria | truthfulness, authenticity / lying, deceit (habitual) | Opposition between abstract quality nouns, though using different derivational patterns. Egiazkotasuna uses the neutral -tasun suffix while gezurkeria uses the pejorative -keria suffix, reflecting the moral asymmetry between truth-telling and lying. | lexical/morphological | [CORE] |
| zuzentasuna | okertasuna | zuzentasuna / okertasuna | correctness, rightness, justice / wrongness, incorrectness | Morphological opposition in abstract quality nouns using the same -tasun suffix on contrasting roots. Shows parallel derivational behavior, though okertasuna is less frequent than zuzentasuna in attested usage. | morphological | [CORE] |
| zintzotasuna | faltsukeria | zintzotasuna / faltsukeria | honesty, sincerity, integrity / falseness, deceit, hypocrisy | Opposition between abstract quality nouns using different derivational patterns. Zintzotasuna uses the neutral -tasun suffix while faltsukeria uses the pejorative -keria suffix, reflecting moral evaluation asymmetry. | lexical/morphological | [CORE] |
| sinesgarria | sinesgaitza (unbelievable - implied) | sinesgarria / sinesgaitza | believable, credible / unbelievable, incredible | Morphological opposition using the -garri (worthy of) suffix versus the -gaitz (difficult/impossible) suffix on the same root (sines "belief"). While sinesgarria is well-attested, sinesgaitza represents the systematic morphological contrast available in the language. | morphological | [MARGINAL] |
| frogagarria | frogaezina (unprovable - implied) | frogagarria / frogaezina | provable, demonstrable / unprovable, indemonstrable | Morphological opposition using the -garri (able to be) suffix versus the -ezin (impossible) suffix on the same root (froga "proof"). While frogagarria is attested, frogaezina represents the systematic morphological contrast available in Basque. | morphological | [MARGINAL] |
| egia eta gezurra | (no clear opposition identified) | egia eta gezurra | truth and falsehood | This binomial expression itself represents an internal opposition (egia vs. gezurra) but does not have a clear contrasting binomial construction. It functions as a fixed expression for the truth-falsehood contrast. | constructional (internal opposition) | [CORE] |
| zuzen eta oker | (no clear opposition identified) | zuzen eta oker | right and wrong | This binomial expression itself represents an internal opposition (zuzen vs. oker) but does not have a clear contrasting binomial construction. It functions as a fixed expression for the correctness-error contrast. | constructional (internal opposition) | [CORE] |
| gezur handia | gezur txikia | gezur handia / gezur txikia | big lie / small lie, white lie | Scalar opposition within the falsehood domain using size adjectives (handia "big" / txikia "small"). This opposition marks gradations of moral significance rather than absolute truth/falsehood, with gezur txikia often implying supposedly harmless lies. | constructional | [CORE] |
| egiaren alde | egiaren kontra | egiaren alde / egiaren kontra | on the side of truth, in favor of truth / against the truth, contrary to truth | Constructional opposition using contrasting postpositions (alde "side/favor" vs. kontra "against") with the same genitive noun phrase. Expresses opposed stances toward truth in argumentative and moral discourse. | constructional | [CORE] |
| benetan | itxuraz | benetan / itxuraz | truly, really, actually / apparently, seemingly | Adverbial opposition between reality and appearance. Benetan emphasizes actual truth or reality while itxuraz marks something as based on appearance rather than verified reality. Both are locative-derived adverbials with contrasting semantic orientations. | lexical | [CORE] |
| funtsean | azalean (on the surface - implied) | funtsean / azalean | fundamentally, essentially / on the surface, superficially | Opposition between essential/fundamental nature and surface appearance. While funtsean (from funtse "foundation, essence") is well-attested, the contrasting azalean (from azal "surface, skin") represents the implied opposite in the depth-surface dimension. | lexical | [MARGINAL] |
| zuzenean | zeharka (indirectly - implied) | zuzenean / zeharka | directly, straight / indirectly, obliquely | Opposition between directness and indirectness. Zuzenean (from zuzen "straight") indicates direct, unmediated connection, while zeharka represents indirect or oblique paths. This opposition extends from spatial to communicative and temporal domains. | lexical | [MARGINAL] |
| X dirudi (it seems) | X da (it is) | X dirudi / X da | X seems / X is | Constructional opposition between evidential/appearance marking (dirudi) and direct assertion (copula da). This contrast marks epistemic stance: dirudi hedges claims based on appearance while da makes direct assertions about reality. | constructional | [CORE] |
| zalantzan jarri | ziurtatu | zalantzan jarri / ziurtatu | to call into question, cast doubt on / to make sure, ensure, verify | Constructional/lexical opposition between creating doubt and establishing certainty. Zalantzan jarri (locative + verb) expresses questioning while ziurtatu (derived verb) expresses verification and confirmation. | constructional/lexical | [CORE] |
| agerian dago | ezkutuan dago (is hidden - implied) | agerian dago / ezkutuan dago | it is evident, it is exposed / it is hidden, it is concealed | Constructional opposition between visibility/manifestation and concealment using parallel locative + copula structures. While agerian dago is well-attested, ezkutuan dago represents the systematic contrasting construction. | constructional | [CORE] (agerian dago) / [MARGINAL] (ezkutuan dago - implied but not directly attested) |
| huts egin | zuzen egin | huts egin / zuzen egin | to fail, to miss, to err / to do right, to act correctly | Constructional opposition between failure/error and correct action using the verb egin (do/make) with contrasting modifiers. Huts (empty, failure) contrasts with zuzen (correct, right) in action constructions. | constructional | [CORE] |
| egiazko balioa | itxurazko balioa (apparent value - implied) | egiazko balioa / itxurazko balioa | true value, real worth / apparent value, seeming worth | Constructional opposition between genuine/essential value and apparent/surface value. Both use the same noun (balioa "value") modified by contrasting attributive adjectives marking the reality-appearance distinction. | constructional | [CORE] (egiazko balioa) / [MARGINAL] (itxurazko balioa - implied but not directly attested) |
