# CLCA Protocol v3.4 — F4 Construction Table
# Language: Turkish (tr)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Bu doğru. | Bu doğru. | "This is true." | Extremely common in all registers. Zero copula is the unmarked form for present tense 3rd person predication. Used in everyday speech, formal writing, and all discourse types. | [CORE] |
| ATTRIBUTION | Hikâye gerçek değil. | Hikâye gerçek değil. | "The story is not real." | Standard negation pattern for nominal predicates. Universal across all contexts. No register restrictions observed. | [CORE] |
| NEGATIVE ATTRIBUTION | Bu yanlış değil. | Bu yanlış değil. | "This is not wrong." | Primary negation strategy for predicative adjectives. Used freely in all contexts without restrictions. | [CORE] |
| NEGATIVE ATTRIBUTION | Kaynak güvenilmez. | Kaynak güvenilmez. | "The source is unreliable." | Lexicalized negative adjectives are fully productive and natural. Common in evaluative contexts, particularly formal/written registers. | [CORE] |
| ADNOMINAL MODIFICATION | doğru bilgi | doğru bilgi | "correct information" | Completely natural and productive. Used across all registers. No restrictions on truth-domain adjectives modifying nouns. | [CORE] |
| ADNOMINAL MODIFICATION | sahte para | sahte para | "counterfeit money" | Highly frequent collocation. Some adjective-noun pairs are semi-lexicalized but remain compositional and productive. | [CORE] |
| BECOME / INCHOATIVE | gerçekleşmek | gerçekleşmek | "to come true, to be realized" | Extremely productive and natural with quality adjectives. Common in both spoken and written Turkish across all registers. | [CORE] |
| BECOME / INCHOATIVE | kesinleşmek | kesinleşmek | "to become definite, to be finalized" | Frequent in formal/administrative contexts (legal, bureaucratic). Fully natural and productive pattern. | [CORE] |
| CAUSATIVE | gerçekleştirmek | gerçekleştirmek | "to realize, to make real" | Highly frequent in all registers. Standard causative formation from inchoative bases. No usage restrictions. | [CORE] |
| CAUSATIVE | kesinleştirmek | kesinleştirmek | "to finalize, to make definite" | Common in formal/administrative contexts. Natural extension of inchoative pattern. Productive with truth-domain inchoatives. | [CORE] |
| ABSTRACT NOMINALIZATION | doğruluk | doğruluk | "truth, correctness, honesty" | Extremely productive and natural. Used across all registers and contexts. Primary strategy for creating abstract nouns from adjectives. | [CORE] |
| ABSTRACT NOMINALIZATION | güvenilirlik | güvenilirlik | "reliability, trustworthiness" | Common in formal/technical registers. Fully productive with complex adjectival bases including derived forms. | [CORE] |
| AGENTIVE NOMINALIZATION | yalancı | yalancı | "liar" | Highly frequent in everyday speech. Fully lexicalized but pattern remains productive for creating agent/adherent nouns. | [CORE] |
| AGENTIVE NOMINALIZATION | yanıltıcı | yanıltıcı | "misleading (thing/person)" | Common in formal/evaluative contexts. Productive pattern for creating agentive adjectives from verbs. Functions both nominally and adjectivally. | [CORE] |
| VERBAL PHRASE (LIGHT VERBS) | yalan söylemek | yalan söylemek | "to tell a lie, to lie" | Extremely common in all registers. Preferred over simple verb *yalanlamak* for "to lie" (tell falsehoods). Fully idiomatic. | [CORE] |
| VERBAL PHRASE (LIGHT VERBS) | haksızlık etmek | haksızlık etmek | "to wrong someone, to commit injustice" | Natural in formal and everyday contexts. Light verb constructions are highly productive in Turkish across truth domain. | [CORE] |
| MANNER ADVERBIALS | dürüstçe | dürüstçe | "honestly, in an honest manner" | Productive pattern for manner adverbs. Common in both spoken and written registers. No restrictions on formation from truth-domain adjectives. | [CORE] |
| MANNER ADVERBIALS | gerçekten | gerçekten | "really, truly" | Extremely frequent in all registers. Fully lexicalized as intensifier/adverb. One of the most common adverbs in Turkish. | [CORE] |
| INTENSIFICATION | çok doğru | çok doğru | "very true" | Standard intensification pattern. Used freely across all contexts. No register restrictions. | [CORE] |
| INTENSIFICATION | doğru dürüst | doğru dürüst | "proper, decent" | Lexicalized alliterative compound. Common in colloquial speech. Pattern itself is not freely productive but specific compounds are frequent. | [CORE] |
| PRIVATIVE DERIVATION | şüphesiz | şüphesiz | "doubtless, without doubt" | Highly productive pattern. Functions both as adjective and adverb. Common across all registers. | [CORE] |
| PRIVATIVE DERIVATION | hatasız | hatasız | "flawless, without error" | Natural and productive. Used in evaluative contexts across registers. No restrictions on formation from truth-domain nouns. | [CORE] |
| RESULTATIVE/OUTCOME | doğru çıkmak | doğru çıkmak | "to turn out to be true" | Very common in everyday speech and narrative contexts. Expresses outcome of verification or revelation. Natural with truth-domain predicates. | [CORE] |
| RESULTATIVE/OUTCOME | yalan çıkmak | yalan çıkmak | "to turn out to be a lie" | Frequent in narrative and evaluative contexts. Implies prior uncertainty or claim that is now resolved. Fully idiomatic. | [CORE] |
| DENOMINATIVE VERBALIZATION | doğrulamak | doğrulamak | "to verify, to confirm" | Common in formal/technical contexts (legal, scientific, administrative). Productive pattern for creating verbs from truth-domain nominals. | [CORE] |
| DENOMINATIVE VERBALIZATION | yalanlamak | yalanlamak | "to deny, to refute" | Frequent in formal/journalistic contexts. Means "to deny/refute a claim," distinct from *yalan söylemek* "to tell a lie." | [CORE] |
| FIXED COLLOCATIONS (BODY/SPATIAL) | gerçek yüz | gerçek yüz | "true face, real nature" | Semi-lexicalized metaphorical expression. Common in evaluative/character assessment contexts. Natural in both spoken and written registers. | [CORE] |
| FIXED COLLOCATIONS (BODY/SPATIAL) | doğru yol | doğru yol | "right path, correct way" | Frequent in both literal (spatial) and metaphorical (moral/methodological) senses. Fully natural in all registers. | [CORE] |
| EVALUATIVE (BULMAK/GÖRMEK) | doğru bulmak | doğru bulmak | "to find correct, to deem appropriate" | Common in evaluative and deliberative contexts. Expresses considered judgment. Natural across registers. | [CORE] |
| EVALUATIVE (BULMAK/GÖRMEK) | şüpheli görünmek | şüpheli görünmek | "to look suspicious" | Frequent in everyday speech and narrative. Expresses subjective impression or appearance. Productive with truth-domain adjectives. | [CORE] |
