1. **உண்மை**  
   **Transliteration:** uṇmai  
   **Literal meaning / breakdown:** from **உண் / உள்**-related Dravidian root associated with being/reality + abstract noun suffix **-மை**  
   **Typical English translations:** truth, reality, fact, genuineness  

   **Usage:** This is one of the most common Tamil words for “truth” or “what is real.” It is used for factual correctness, sincerity, and ontological reality, as in discussions of whether a statement is true, whether a report reflects reality, or what the true nature of something is.  
   **Epistemic status:** [CORE]

2. **உண்மையான**  
   **Transliteration:** uṇmaiyāṉa  
   **Literal meaning / breakdown:** **உண்மை** “truth, reality” + adjectival **-ஆன**  
   **Typical English translations:** true, real, genuine, authentic  

   **Usage:** This adjective is used for things judged to be genuine or actually so, such as a true story, a real friend, or an authentic object. It is common in both everyday and formal registers when evaluating whether something is not false, fake, or merely apparent.  
   **Epistemic status:** [CORE]

3. **உண்மைத்தன்மை**  
   **Transliteration:** uṇmaittaṉmai  
   **Literal meaning / breakdown:** **உண்மை** “truth” + linking **-த்-** + **தன்மை** “quality, nature”  
   **Typical English translations:** truthfulness, authenticity, veracity, genuineness  

   **Usage:** This form refers to the quality of being true or genuine. It is often used in formal writing, criticism, journalism, and philosophical or legal discussion when assessing the truth-status or authenticity of a claim, document, portrayal, or testimony.  
   **Epistemic status:** [CORE]

4. **மெய்**  
   **Transliteration:** mey  
   **Literal meaning / breakdown:** body; real; true  
   **Typical English translations:** true, real, genuine  

   **Usage:** This is an old and still productive Tamil word meaning “true” or “real,” especially in compounds and elevated usage. It appears in literary, philosophical, and religious contexts, and also in contrasts such as true versus false or real versus illusory.  
   **Epistemic status:** [CORE]

5. **மெய்யான**  
   **Transliteration:** meyyāṉa  
   **Literal meaning / breakdown:** **மெய்** “true, real” + adjectival **-ஆன**  
   **Typical English translations:** true, real, genuine  

   **Usage:** This adjective is used in somewhat elevated or literary style for something judged truly so. It can describe genuine feeling, true doctrine, real knowledge, or an authentic condition, especially in formal prose and religious or philosophical discourse.  
   **Epistemic status:** [CORE]

6. **மெய்ப்பொருள்**  
   **Transliteration:** meypporuḷ  
   **Literal meaning / breakdown:** **மெய்** “true, real” + **பொருள்** “thing, meaning, substance”  
   **Typical English translations:** true meaning, real substance, essential reality  

   **Usage:** This expression is used for the real import or essential nature of something, especially in literary, philosophical, and exegetical contexts. It often refers to what something fundamentally is, beyond surface appearance or superficial interpretation.  
   **Epistemic status:** [CORE]

7. **பொய்**  
   **Transliteration:** poy  
