| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | இது உண்மை. | *itu uṇmai.* | “This is true.” | Common bare predication in everyday and formal Tamil; no overt present-tense copula is needed. Also used with correctness predicates in simple evaluations. Alternate constructions attested: அது சரி.; quoted-clause + உண்மை / சரி. | [CORE] |
| ATTRIBUTION | அது சரி. | *atu cari.* | “That is correct / okay.” | Very common in conversation for agreement, acceptance, or evaluation. **சரி** is especially frequent in spoken interaction and can extend beyond factual truth to “okay/right.” Alternate constructions attested: இது உண்மை.; quoted-clause + உண்மை / சரி. | [CORE] |
| NEGATIVE ATTRIBUTION | இது உண்மையில்லை. | *itu uṇmaiyillai.* | “This is not true.” | Natural in ordinary denial of factual truth. **இல்லை** is especially common in everyday usage. Alternate constructions attested: அது சரியல்ல.; உண்மையில்லை, சரியில்லை, மெய்யல்ல. | [CORE] |
| NEGATIVE ATTRIBUTION | அது சரியல்ல. | *atu cariyalla.* | “That is not correct / proper.” | Natural, with **அல்ல** tending to sound more categorical or formal than **இல்லை**. Used for correctness, propriety, or judgment. Alternate constructions attested: இது உண்மையில்லை.; உண்மையில்லை, சரியில்லை, மெய்யல்ல. | [CORE] |
| ADNOMINAL MODIFICATION | உண்மையான தகவல் | *uṇmaiyāṉa takaval* | “true / factual information” | Productive attributive pattern in descriptive and formal registers. Common with evaluative nouns such as information, statements, accusations, and similar referents. Alternate constructions attested: பொய்யான குற்றச்சாட்டு; உண்மையான N, பொய்யான N, சரியான N, தவறான N, நிஜமான N. | [CORE] |
| ADNOMINAL MODIFICATION | பொய்யான குற்றச்சாட்டு | *poyyāṉa kuṟṟaccāṭṭu* | “false accusation” | Natural in legal, journalistic, and everyday evaluative contexts. The **-ஆன** adjectival form is a productive modifier pattern. Alternate constructions attested: உண்மையான தகவல்; உண்மையான N, பொய்யான N, சரியான N, தவறான N, நிஜமான N. | [CORE] |
| BECOME / INCHOATIVE | எல்லாம் சரி ஆகும். | *ellām cari ākum.* | “Everything will become okay / right.” | Natural with **சரி** for change into an acceptable or corrected state. Common in everyday reassurance and problem-resolution contexts. Alternate constructions attested: அந்தக் கூற்று பொய்யாகி போனது.; சரி ஆகு, பொய்யாகி போ. | [CORE] |
| BECOME / INCHOATIVE | அந்தக் கூற்று பொய்யாகி போனது. | *antak kūṟṟu poyyāki pōnatu.* | “That claim turned out to be false.” | Natural for resultative change or retrospective evaluation, especially with claims or statements. This pattern appears more restricted lexically than **சரி ஆகு**. Alternate constructions attested: எல்லாம் சரி ஆகும்.; சரி ஆகு, பொய்யாகி போ. | [CORE] |
| CAUSATIVE | பிழையை சரிசெய். | *piḻaiyai caricey.* | “Correct the error.” | Very common lexical/light-verb expression for making something right or correcting it. Frequent in instruction, editing, technical, and everyday contexts. Alternate constructions attested: தகவலை உறுதிப்படுத்து.; சரிசெய், உறுதிப்படுத்து. | [CORE] |
| CAUSATIVE | தகவலை உறுதிப்படுத்து. | *takavalai uṟuti paṭuttu.* | “Confirm the information.” | Common in formal, administrative, journalistic, and procedural contexts. It expresses confirmation/certification rather than a general “make true” meaning. Alternate constructions attested: பிழையை சரிசெய்.; சரிசெய், உறுதிப்படுத்து. | [CORE] |
| ABSTRACT NOMINALIZATION | உண்மைத்தன்மை முக்கியம். | *uṇmaittaṉmai mukkiyam.* | “Truthfulness / veracity is important.” | Natural in formal evaluative or academic language rather than casual speech. **-தன்மை** forms are especially associated with abstract quality terms. Alternate constructions attested: நம்பகத்தன்மை குறைந்தது.; உண்மை, மெய்மை, உண்மைத்தன்மை, நம்பகத்தன்மை, சரித்தன்மை. | [MARGINAL] |
| ABSTRACT NOMINALIZATION | நம்பகத்தன்மை குறைந்தது. | *nampakattaṉmai kuṟaintatu.* | “Reliability decreased.” | Common in formal and semi-formal discussion of quality, credibility, or system performance. This type is especially natural in evaluative and technical contexts. Alternate constructions attested: உண்மைத்தன்மை முக்கியம்.; உண்மை, மெய்மை, உண்மைத்தன்மை, நம்பகத்தன்மை, சரித்தன்மை. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | பொய் சொல்பவன் | *poy colpavaṉ* | “one who tells lies / liar” | Natural descriptive expression for a liar using a relative participial/person-denoting form. Usage varies by gender/honorific choice in actual discourse, but this pattern itself is well established. Alternate constructions attested: உண்மை பேசுபவர். | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | உண்மை பேசுபவர் | *uṇmai pēcupavar* | “one who speaks the truth / truth-teller” | Natural descriptive expression, especially in respectful or general reference. Tamil appears to prefer such periphrastic person-denoting constructions here rather than a single dedicated agentive form. Alternate constructions attested: பொய் சொல்பவன். | [CORE] |
| ADVERBIAL / DISCOURSE MARKING | உண்மையில் இது கடினம். | *uṇmaiyil itu kaṭiṉam.* | “In fact, this is difficult.” | Very natural as a discourse marker meaning “in fact/actually,” especially in explanation or contrast. It functions more as stance/discourse framing than simple manner adverbial use. Alternate constructions attested: அவன் சரியாக பதில் சொன்னான்.; உண்மையில், உண்மையாக, சரியாக, நிஜமாகவே. | [CORE] |
| ADVERBIAL / DISCOURSE MARKING | அவன் சரியாக பதில் சொன்னான். | *avaṉ cariyāka patil coṉṉāṉ.* | “He answered correctly.” | Common manner adverb in evaluative contexts such as answering, doing, or explaining something correctly. More straightforwardly adverbial than discourse-marking **உண்மையில்**. Alternate constructions attested: உண்மையில் இது கடினம்.; உண்மையில், உண்மையாக, சரியாக, நிஜமாகவே. | [CORE] |
| VERBAL TRUTH/FALSITY EXPRESSIONS | உண்மையைச் சொல். | *uṇmaiyaic col.* | “Tell the truth.” | Very common everyday expression for urging truthful speech. This noun + speech verb pattern is central in Tamil for truth/falsity expressions. Alternate constructions attested: உண்மை பேசு, பொய் சொல், பொய் பேசு; பொய் பேசாதே. | [CORE] |
| VERBAL TRUTH/FALSITY EXPRESSIONS | பொய் பேசாதே. | *poy pēcātē.* | “Don’t lie.” | Very natural colloquial and general prohibitive expression. The same domain commonly alternates between **சொல்** and **பேசு** with truth/falsity nouns. Alternate constructions attested: உண்மையைச் சொல்.; உண்மை பேசு, பொய் சொல், பொய் பேசு. | [CORE] |
| VERIFICATION / CONFIRMATION | ஆவணத்தை சரிபார். | *āvaṇattai caripār.* | “Check the document.” | Common procedural expression in administrative, technical, and everyday task-oriented contexts. It is used for checking/verification rather than abstract truth judgment. Alternate constructions attested: செய்தியை உறுதி செய்.; சரிபார், உறுதி செய், உறுதிப்படுத்து. | [CORE] |
| VERIFICATION / CONFIRMATION | செய்தியை உறுதி செய். | *ceytiyai uṟuti cey.* | “Verify / confirm the news.” | Natural in journalistic, administrative, and informational contexts where confirmation is required. It overlaps with **உறுதிப்படுத்து**, with some variation by register and style. Alternate constructions attested: ஆவணத்தை சரிபார்.; சரிபார், உறுதி செய், உறுதிப்படுத்து. | [CORE] |
