# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Correspondence to Facts or Reality | Terms used to evaluate whether statements, beliefs, or representations correspond to actual facts or reality. These expressions are primarily applied to propositions, claims, descriptions, and accounts to assess their factual accuracy. They contrast with terms indicating lack of correspondence or deviation from facts. | true, false, accurate, inaccurate, correct, incorrect, right (in epistemic sense: "the right answer"), wrong (in epistemic sense: "the wrong answer"), erroneous, mistaken, veridical, truthful (when applied to statements), untruthful (when applied to statements) | "right" and "wrong" — also used for moral evaluation and practical appropriateness; "truthful" — can apply to persons (character) or statements (content); "honest" — overlaps but emphasizes speaker's intention rather than statement's correspondence | Typical contexts: Educational assessment, factual verification, scientific reporting, everyday claims about states of affairs. |
| GROUP 2: Authenticity and Genuineness of Objects | Terms used to evaluate whether physical objects, artifacts, or documents are original, authentic, or genuine rather than fake, forged, or substitute versions. These expressions distinguish real instances from imitations, reproductions, or fraudulent copies. Common in commercial, artistic, and legal contexts involving verification of provenance or originality. | genuine, authentic, real (when applied to objects: "real gold"), counterfeit, fake, bogus, spurious (when applied to objects), ersatz, false (in compounds: "false teeth," "false bottom"), the genuine article, the real thing, the real deal, bona fide | "real" — also used for existence/non-existence and sincerity; "authentic" — also used for personal authenticity and cultural authenticity; "legitimate" — overlaps but emphasizes legal authorization rather than physical genuineness; "true" — occasionally used for objects ("true gold") but less common than "genuine" or "real" | Typical contexts: Art authentication, currency verification, commercial transactions, historical document verification, consumer protection. |
| GROUP 3: Sincerity and Honesty of Persons | Terms used to evaluate whether persons are truthful, sincere, or honest in their communications and conduct, or whether they are deceptive, insincere, or dishonest. These expressions focus on the speaker's or actor's intentions, character, and alignment between inner states and outward expressions rather than merely the factual accuracy of statements. | honest, dishonest, sincere, insincere, truthful (when applied to persons), untruthful (when applied to persons), mendacious, veracious (when applied to persons), to be honest, honestly, sincerely, truthfully, honest to God, keep it real | "truthful" — can apply to statements (factual accuracy) or persons (character); "genuine" — can apply to persons' sincerity or objects' authenticity; "real" — in "keep it real" overlaps with authenticity of self-presentation; "faithful" — overlaps but emphasizes loyalty as well as honesty | Typical contexts: Character evaluation, moral judgment, personal relationships, credibility assessment. |
| GROUP 4: Validity of Arguments and Reasoning | Terms used to evaluate the logical soundness of arguments, reasoning, or inferences. These expressions assess whether conclusions follow properly from premises or whether reasoning contains logical errors. Primarily technical usage in logic, philosophy, and critical analysis, though some terms appear in educated general discourse. | valid, invalid, sound, unsound, fallacious, fallacy, spurious (when applied to reasoning), veridical (in philosophical contexts) | "sound" — also used for physical integrity and financial stability; "correct" — can apply to logical validity but more commonly to factual accuracy; "right" — occasionally used for valid reasoning but less technical than "valid" | Typical contexts: Logical analysis, philosophical argument, academic discourse, critical thinking instruction. |
| GROUP 5: Legitimacy and Legal/Social Authorization | Terms used to evaluate whether claims, authority, actions, or status conform to law, established rules, or accepted social standards. These expressions assess proper authorization, legal standing, or conformity to institutional norms rather than factual truth or logical validity. Common in legal, political, and administrative contexts. | legitimate, illegitimate, legitimacy, legitimize, lawful, unlawful, rightful, wrongful, valid (when applied to documents, licenses, tickets), invalid (when applied to documents, licenses, tickets), bona fide (in legal contexts), false imprisonment, false arrest, no longer valid | "valid" — used for both logical soundness and legal/administrative authorization; "legitimate" — can also mean "reasonable" or "justified" beyond strict legal sense; "right" and "wrong" — overlap in moral and legal domains; "authentic" — occasionally used for legal authorization but primarily for genuineness | Typical contexts: Legal proceedings, political authority, administrative procedures, inheritance disputes, professional licensing. |
| GROUP 6: Reliability and Consistency | Terms used to evaluate whether sources, instruments, persons, or methods consistently produce accurate results or dependable performance over time. These expressions emphasize consistency, dependability, and trustworthiness rather than single-instance accuracy. Common in technical, scientific, and practical contexts involving repeated performance. | reliable, unreliable, reliability, unreliability, dependable, consistent, sound (when applied to judgment or methods), tried and true | "sound" — also used for logical validity and physical integrity; "faithful" — overlaps when applied to accurate reproduction over time; "accurate" — single-instance accuracy vs. consistent reliability; "trustworthy" — overlaps but emphasizes moral character as well as reliability | Typical contexts: Scientific measurement, equipment evaluation, source assessment, character judgment, methodology evaluation. |
| GROUP 7: Faithful Reproduction and Accuracy of Representation | Terms used to evaluate whether representations, translations, copies, or portrayals accurately preserve or reproduce an original. These expressions assess the degree of correspondence between a representation and what it represents, emphasizing preservation of essential features. Common in artistic, literary, and documentary contexts. | faithful, faithfully, unfaithful, accurate (when applied to representations), true to life, true to form, realistic, lifelike, authentic (when applied to portrayals) | "accurate" — can apply to measurements or representations; "faithful" — also used for personal loyalty; "authentic" — can apply to original objects or accurate portrayals; "true" — occasionally used for accurate representation | Typical contexts: Translation evaluation, artistic representation, biographical accuracy, documentary filmmaking, historical recreation. |
| GROUP 8: Appropriateness and Fittingness | Terms used to evaluate whether descriptions, comparisons, responses, or actions are particularly suitable, fitting, or appropriate to their context. These expressions assess contextual appropriateness rather than factual accuracy or moral correctness. Common in aesthetic judgment and social evaluation. | apt, aptly, inapt, fitting, appropriate, suitable, false note (metaphorical), ring true (intuitive fittingness), ring false (intuitive unfittingness) | "right" — can indicate appropriateness as well as correctness; "correct" — sometimes used for social appropriateness ("correct behavior"); "true" in "ring true" — intuitive sense of fittingness rather than factual accuracy | Typical contexts: Literary criticism, aesthetic judgment, social appropriateness, rhetorical evaluation. |
| GROUP 9: Moral Rightness and Wrongness | Terms used to evaluate whether actions, decisions, or conduct are morally right or wrong, just or unjust. These expressions make moral judgments about behavior rather than assessing factual accuracy or logical validity. They often appear in contexts of moral deliberation, ethical judgment, and character evaluation. | right (in moral sense: "the right thing to do"), wrong (in moral sense: "it's wrong to lie"), righteous, righteousness, wrongdoing, wrongdoer, do right by, do wrong, serve someone right, two wrongs don't make a right | "right" and "wrong" — used for both factual correctness and moral evaluation; "honest" and "dishonest" — overlap between moral character and truthfulness; "just" and "unjust" — closely related but not in P1/P2 data; "legitimate" — can carry moral as well as legal connotations | Typical contexts: Moral deliberation, ethical judgment, character evaluation, justice assessment. |
| GROUP 10: Existence and Reality vs. Non-existence | Terms used to distinguish what actually exists or occurs in reality from what is imaginary, fictional, hypothetical, or virtual. These expressions contrast the actual world with mental constructs, simulations, or theoretical possibilities. Common in philosophical discourse and everyday distinctions between reality and imagination. | real (in existential sense), unreal, reality, unreality, actual, in real life, real world, for real | "real" — also used for authenticity of objects and sincerity of persons; "true" — occasionally used for existence ("true love exists") but less common; "genuine" — primarily for authenticity but can overlap with existence claims | Typical contexts: Philosophical ontology, everyday reality-checking, virtual vs. physical distinctions, dream vs. waking states. |
| GROUP 11: Realization and Actualization | Terms and expressions used to describe the process of something potential, hoped-for, or predicted becoming actual or real. These expressions focus on the transition from possibility to actuality rather than static truth or existence. Common in narrative contexts and discussions of goals and predictions. | come true, realize, realization, make real, actualize | "realize" — also means "become aware of" (epistemic sense); "real" — static existence vs. dynamic realization | Typical contexts: Narrative about wishes and dreams, goal achievement, prediction fulfillment, project completion. |
| GROUP 12: Deceptive Appearances and Misleading Indicators | Terms and expressions used to describe situations, signs, or indicators that appear to suggest one thing but actually indicate something else, or that prove to be mistaken or premature. These expressions emphasize the gap between appearance and reality or between initial indication and actual outcome. Common in contexts of warning, disappointment, or correction. | false alarm, false start, false dawn, false positive, false negative, false flag, too good to be true, false economy, false move, false step | "false" — used in many specialized compounds with distinct meanings; "spurious" — can indicate deceptive appearance or actual falsity | Typical contexts: Emergency response, medical testing, sports, political analysis, practical warnings. |
| GROUP 13: Epistemic Hedging and Qualification | Expressions used to qualify or hedge statements, indicating uncertainty, tentativeness, or invitation for correction. These phrases mark the speaker's epistemic stance as provisional rather than asserting full confidence. Common in polite discourse and careful communication. | if I'm not mistaken, unless I'm mistaken, correct me if I'm wrong, if truth be told, truth be told, to tell (you) the truth, to be honest | "to be honest" and "to tell the truth" — function as both hedges and discourse markers introducing frank statements; These expressions often have pragmatic functions beyond their literal meanings | Typical contexts: Polite conversation, careful assertion, invitation for correction, frank admission. |
| GROUP 14: Emphasis and Intensification of Truth Claims | Expressions used to emphasize or intensify the truth, genuineness, or seriousness of a statement. These phrases strengthen truth claims or signal a shift to more serious or authentic communication. Common in conversational contexts where credibility or seriousness needs emphasis. | really, truly, for real, honest to God, honest to goodness, the honest truth, the plain truth, the whole truth, gospel truth, in truth | "really" — also functions as degree intensifier ("really big"); "for real" — can be question or assertion; Many of these have both literal and pragmatic/discourse functions | Typical contexts: Conversational emphasis, credibility assertion, serious communication, oath-taking. |
| GROUP 15: Technical Testing and Diagnostic Terms | Specialized terms used in testing, diagnostics, and measurement contexts to describe types of errors or results. These expressions classify outcomes in systematic testing procedures, particularly distinguishing correct identifications from various types of errors. Primarily technical usage in medical, scientific, and quality control contexts. | false positive, false negative, accurate (in measurement contexts), accuracy (in measurement contexts), reliable (in testing contexts), reliability (in testing contexts), valid (in testing contexts), validity (in testing contexts) | These terms have technical meanings in testing contexts that differ from their everyday usage; "accurate," "reliable," and "valid" have distinct technical meanings in measurement theory | Typical contexts: Medical testing, scientific measurement, quality control, statistical analysis, diagnostic procedures. |
| (Ungrouped Items) | Items with multiple group memberships or not clearly grouped | **Items with Multiple Group Memberships:** right/wrong (Groups 1, 5, 9); real (Groups 2, 3, 10); valid (Groups 4, 5); sound (Groups 4, 6); faithful (Groups 6, 7); authentic (Groups 2, 7); truthful (Groups 1, 3). **Items Not Clearly Grouped:** apocryphal (doubtful authenticity of stories, overlaps Groups 1 and 2, specialized historical/textual usage); veridical (technical philosophical term, overlaps Group 1, limited to academic discourse); mendacious/mendacity (formal terms for lying, overlaps Group 3, much more formal register); veracious/veracity (formal terms for truthfulness, overlaps Groups 1 and 3, elevated register); ersatz (borrowed term for inferior substitutes, related to Group 2, emphasizes inferiority); bogus (informal term for fake, overlaps Group 2, more colloquial). **Compound Expressions:** Many compound expressions (e.g., "false imprisonment," "false arrest," "false bottom," "false teeth," "false friend") have specialized meanings that don't align neatly with core senses of component words. | Usage context determines which sense is active for polysemous items. No single grouping captures all uses of highly frequent basic terms. Compound expressions documented in P2b don't form coherent semantic groups beyond individual specialized uses. |
