| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | 진실/사실/실체 + 이/가 드러나다 | jinsil/sasil/silche + i/ga deureonada | [CORE] | Korean very naturally encodes dynamic truth not as “become true” but as becoming revealed. With 진실, 사실, and especially 실체, the common dynamic is emergence into view. This is central in journalism, investigation, and public controversy. |
| 2 | 진실/사실/실체 + 을/를 밝히다 | jinsil/sasil/silche + eul/reul balkhida | [CORE] | This is a major causative pattern. Korean often uses 밝히다 rather than a dedicated verb meaning “make true.” The causation is epistemic: someone causes hidden truth or facts to become known. |
| 3 | 사실/정품 여부 + 를 확인하다 | sasil/jeongpum yeobu + reul hwaginhada | [CORE] | Another common dynamic is procedural verification. Korean often encodes truth-related change through 확인하다: not “make X true,” but “establish whether X is true/genuine.” |
| 4 | 거짓/허위 + 으로 드러나다 | geojit/heowi + euro deureonada | [CORE] | For movement into a non-truth state in discourse, Korean commonly uses 드러나다 with a result phrase: something is shown to be 거짓 or 허위. This is revelation of falsity, not necessarily a real change in the thing itself. |
| 5 | 무효 + 가 되다 | muhyo + ga doeda | [CORE] | This is one of the clearest “become X” patterns in the dataset. In legal and institutional language, Korean directly uses N이/가 되다 with 무효 for loss of validity. |
| 6 | N + 을/를 무효로 하다 | N + eul/reul muhyoro hada | [CORE] | This is the corresponding causative pattern for validity. Korean uses a periphrastic construction with 무효로 하다, not a special single verb dedicated to this domain. |
| 7 | 아직 유효하다 | ajik yuhyohada | [CORE] | For stability rather than change, 유효하다 is important. The dataset gives clear evidence for continued validity with 아직 유효하다. A common “become valid” expression is not clearly provided in the context, so it should not be assumed here. |
| 8 | 진실 + 을/를 숨기다 / 밝히다 | jinsil + eul/reul sumgida / balkhida | [CORE] | This is a strong dynamic opposition. Korean often frames truth in terms of concealment and disclosure rather than simple state change. |
| 9 | ~는 것은 사실이다 / 사실이 아니다 / 사실과 다르다 | ~neun geoseun sasirida / sasiri anida / sasilgwa dareuda | [CORE] | These are not change-of-state expressions, but they are central dynamic frames in discourse because they assign or reject factual status. 사실과 다르다 adds a mismatch reading rather than simple negation. |
| 10 | 정품 여부를 확인하다 / 정품 인증을 받다 / 정품이 아니다 | jeongpum yeobureul hwaginhada / jeongpum injeungeul batda / jeongpumi anida | [CORE] | In product-authenticity contexts, Korean often encodes dynamics through institutional actions: checking, certifying, denying. This is different from everyday 진짜/가짜, which is more impressionistic. |
| 11 | 진짜/가짜 같다, ~처럼 보이다 ↔ 실체가 드러나다 | jinjja/gajja gatda, ~cheoreom boida ↔ silchega deureonada | [CORE] | A very important Korean dynamic is movement from appearance to revealed reality. The language often contrasts seeming authenticity with later exposure of 실체. |
| 12 | 정확성 + 을/를 높이다 / 검증하다 | jeonghwakseong + eul/reul nopida / geomjeunghada | [CORE] | With 정확성, the dynamic is not truth-vs-falsehood but degree and evaluation. Korean commonly encodes change here as raising accuracy, and causation as testing or verifying it. |
| 13 | 신뢰를 얻다 / 신뢰성을 확보하다 | silloereul eotda / silloeseongeul hwakbohada | [CORE] | These concern trustworthiness rather than truth directly. Still, they are dynamic truth-adjacent expressions in the dataset: a person or system can come to be regarded as dependable. |
| 14 | 진실성/진정성 + 이/가 느껴지다 / 을/를 의심하다 / 인정하다 | jinsilseong/jinjeongseong + i/ga neukkyeojida / eul/reul uisimhada / injeonghada | [CORE] | For 진실성 and related sincerity vocabulary, Korean often encodes dynamics as perception and evaluation, not literal state change. The issue is whether authenticity becomes perceptible, questioned, or acknowledged. |
| 15 | (no common expression identified from the provided context) | — | [UNCERTAIN] | Within the provided material, there is no clearly supported common expression directly equivalent to “X becomes true” using the listed truth words. Korean instead tends to use: 사실이다 / 진실이다 for assertion, 드러나다 for truth emerging, 밝히다 / 확인하다 / 규명하다 for establishing truth. |
| 16 | (no common expression identified from the provided context) | — | [UNCERTAIN] | Within the provided context, there is no common dedicated causative expression meaning “make X true” built from the listed truth vocabulary. The natural Korean patterns are indirect and procedural: 사실을 확인하다, 진실을 밝히다, 정품 여부를 확인하다. |
| 17 | (no common expression identified from the provided context) | — | [UNCERTAIN] | For 진짜, the context strongly supports appearance judgments and authenticity contrasts, but not a clear common inchoative pattern like “become real/genuine.” The attested behavior is mainly evaluative or perceptual. |
| 18 | (limited; revelation patterns are clearer than true inchoative ones) | — | [UNCERTAIN] | The provided material supports falsity being revealed, but not strongly a direct inchoative “become false” pattern for ordinary claims. So Korean here prefers discovery framing over pure state-change framing. |
| 19 | 드러나다 / 밝히다 / 확인하다 / 무효가 되다 / 무효로 하다 | deureonada / balkhida / hwaginhada / muhyoga doeda / muhyoro hada | [CORE] | From the provided data, Korean encodes truth-related dynamics mainly through: 1. revelation — 드러나다 2. disclosure — 밝히다 3. verification — 확인하다 4. institutional status change — 무효가 되다 / 무효로 하다 5. perception/evaluation — 느껴지다, 의심하다, 인정하다. So the most natural dynamic grammar is often not “truth changes,” but “truth is revealed, checked, hidden, or institutionally recognized.” |
