# F2b Constructions Table — Yoruba Truth/Falsehood Domain

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| òtítọ́ | sọ òtítọ́ | sọ òtítọ́ | to speak the truth, to tell the truth | Standard expression for speaking truthfully. Used when someone is being honest or when urging someone to be truthful. | [CORE] |
| òtítọ́ | òtítọ́ ọ̀rọ̀ | òtítọ́ ọ̀rọ̀ | truth of the matter, the true account | Refers to the accurate version of events or the real facts of a situation. Common in narrative and explanatory contexts. | [CORE] |
| òtítọ́ | nínú òtítọ́ | nínú òtítọ́ | in truth, truthfully, honestly | Adverbial expression emphasizing that something is being said or done truthfully. Used to frame honest statements. | [CORE] |
| òtítọ́ | fún ni ní òtítọ́ | fún ni ní òtítọ́ | to give someone the truth, to be truthful with someone | Describes being honest with a specific person. Used when discussing direct communication. | [CORE] |
| òtítọ́ | jẹ́ òtítọ́ | jẹ́ òtítọ́ | to accept/affirm the truth, to acknowledge what is true | Describes accepting or acknowledging truth, especially when it may be difficult or unwelcome. | [CORE] |
| òtítọ́ | mọ òtítọ́ | mọ òtítọ́ | to know the truth, to be aware of what is true | Describes having knowledge of the true facts. Common in contexts where truth is hidden or disputed. | [CORE] |
| òtítọ́ | rí òtítọ́ | rí òtítọ́ | to see/find the truth, to discover what is true | Describes discovering or perceiving truth, often after investigation or revelation. | [CORE] |
| òtítọ́ | fi òtítọ́ hàn | fi òtítọ́ hàn | to show/reveal the truth, to demonstrate what is true | Describes making truth visible or evident to others. Used in contexts of proof or demonstration. | [CORE] |
| òtítọ́ | pa òtítọ́ mọ́ | pa òtítọ́ mọ́ | to hold fast to truth, to maintain truthfulness | Describes steadfastly adhering to truth. Used in moral exhortations about integrity. | [CORE] |
| òtítọ́ | òtítọ́ kọjá irọ́ | òtítọ́ kọjá irọ́ | truth surpasses lies, truth is better than falsehood | Proverbial expression asserting the superiority of truth over falsehood. Used in moral discourse. | [CORE] |
| òtítọ́ | inú òtítọ́ | inú òtítọ́ | inside/within truth, the essence of truth | Refers to the core or essential nature of truth. Used in philosophical or deep discussions. | [CORE] |
| òtítọ́ | ọ̀nà òtítọ́ | ọ̀nà òtítọ́ | the way of truth, the path of truthfulness | Metaphorical expression for living truthfully or following honest principles. Common in moral and religious discourse. | [CORE] |
| òtítọ́ | Ó sọ òtítọ́ | ó sọ òtítọ́ | He/she told the truth, he/she spoke truthfully | Standard expression for speaking truthfully. The verb sọ (to say/tell) combines with òtítọ́ to indicate truthful speech. | [CORE] |
| òtítọ́ | Ó pa òtítọ́ mọ́ | ó pa òtítọ́ mọ́ | He/she held fast to the truth, he/she maintained truthfulness | Indicates steadfast adherence to truth, especially under pressure or temptation to lie. The verb pa...mọ́ (to hold fast to) emphasizes commitment. | [CORE] |
| òtítọ́ | Ó jẹ́wọ́ òtítọ́ | ó jẹ́wọ́ òtítọ́ | He/she confessed the truth, he/she admitted the truth | Used when someone acknowledges or confesses what is true, often after initial denial or concealment. | [CORE] |
| òtítọ́ | Ó fi òtítọ́ hàn | ó fi òtítọ́ hàn | He/she revealed the truth, he/she showed the truth | Indicates making truth visible or known, often by providing evidence or clear demonstration. | [CORE] |
| òtítọ́ | Mo gbà òtítọ́ rẹ̀ | mo gbà òtítọ́ rẹ̀ | I accept your truth, I believe what you say is true | Expresses acceptance of someone's truthful statement or acknowledgment that what they say corresponds to reality. | [CORE] |
