# F4 Construction Table — Yoruba (yo)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Ọ̀rọ̀ yìí jẹ́ òtítọ́ | Ọ̀rọ̀ yìí jẹ́ òtítọ́ | This statement is true | The **jẹ́** construction is neutral and unmarked for attribution. Used in declarative statements without emphasis. | [CORE] |
| ATTRIBUTION | Òtítọ́ ni ọ̀rọ̀ rẹ̀ | Òtítọ́ ni ọ̀rọ̀ rẹ̀ | His/her word is truth | The **ni** construction is emphatic/contrastive, placing predicate first. Very common in assertions and rebuttals. | [CORE] |
| NEGATIVE ATTRIBUTION | Ọ̀rọ̀ yìí kì í ṣe òtítọ́ | Ọ̀rọ̀ yìí kì í ṣe òtítọ́ | This statement is not true | **Kì í ṣe** is the standard emphatic negative copula. Used for strong denials and corrections. | [CORE] |
| NEGATIVE ATTRIBUTION | Irọ́ kọ́ | Irọ́ kọ́ | It's not a lie | **Kọ́** is extremely common in conversational denials and rebuttals. Often used alone as a one-word denial. | [CORE] |
| ADNOMINAL MODIFICATION | Ọ̀rọ̀ tọ́ | Ọ̀rọ̀ tọ́ | True statement | Direct N+ADJ order is standard and productive. No copula required for attributive modification. | [CORE] |
| ADNOMINAL MODIFICATION | Ẹni tí ó ń pa irọ́ | Ẹni tí ó ń pa irọ́ | One who tells lies | Relative clauses with **tí** are highly productive. Used for defining and identifying referents. | [CORE] |
| BECOME / INCHOATIVE | Ó di òtítọ́ | Ó di òtítọ́ | It became true / It turned out to be true | **Di** marks change of state. Common in narrative contexts and when describing verification or realization. | [CORE] |
| BECOME / INCHOATIVE | Mo bẹ̀rẹ̀ sí gbàgbọ́ | Mo bẹ̀rẹ̀ sí gbàgbọ́ | I began to believe | **Bẹ̀rẹ̀ sí** is the standard inchoative marker. Used with all verb types to mark inception of action or state. | [CORE] |
| CAUSATIVE | Ó mú mi gbàgbọ́ | Ó mú mi gbàgbọ́ | He/She made me believe | **Mú** marks direct causation. Common with psychological verbs in truth domain (cause to believe, know, understand). | [CORE] |
| CAUSATIVE | Jẹ́ kí òtítọ́ hàn | Jẹ́ kí òtítọ́ hàn | Let the truth be revealed | **Jẹ́ kí** marks permissive/hortative causation. Frequent in exhortations and prayers regarding truth revelation. | [CORE] |
| CAUSATIVE (character) | (no common expression identified) | — | make X truthful/honest | Structural gap: Cannot directly causativize character traits. Requires circumlocution with **di** 'become' or teaching verbs. | [MISSING] |
| ABSTRACT NOMINALIZATION | Ìgbàgbọ́ rẹ̀ lágbára | Ìgbàgbọ́ rẹ̀ lágbára | His/her belief is strong | **Ì-** prefix creates state/result nominals. Highly productive with truth-domain verbs (ìgbàgbọ́, ìdájú, etc.). | [CORE] |
| ABSTRACT NOMINALIZATION | Pípa irọ́ kò dára | Pípa irọ́ kò dára | Lying is not good | Gerundive reduplication emphasizes process/action. Common in moral evaluations and general statements. | [CORE] |
| AGENTIVE NOMINALIZATION | Olótítọ́ ni baba mi | Olótítọ́ ni baba mi | My father is a truthful person | **Oní-** (→ **olí-**, **ẹlẹ́-**) creates character/agent nouns. Very productive for truth-domain character terms. | [CORE] |
| AGENTIVE NOMINALIZATION | Apurọ́ ni ọkùnrin náà | Apurọ́ ni ọkùnrin náà | That man is a liar | **A-** prefix creates agent nouns from verbs. **Apurọ́** 'liar' is extremely common in moral discourse. | [CORE] |
| VERBAL PREDICATION (STATIVE) | Ó tọ́ | Ó tọ́ | It is correct/true | Stative verbs function as predicates without copula. **Ó** serves as default subject for propositions. Very frequent. | [CORE] |
| VERBAL PREDICATION (STATIVE) | Kò tọ́ | Kò tọ́ | It is not correct/not true | **Kò** negates stative predicates directly. Standard negation pattern for truth evaluations. | [CORE] |
| VERBAL PREDICATION (DYNAMIC) | Ó purọ́ | Ó purọ́ | He/She lied | Basic SVO order. **Purọ́** 'lie' is extremely common in moral discourse and accusations. | [CORE] |
| VERBAL PREDICATION (DYNAMIC) | Ó purọ́ mọ́ mi | Ó purọ́ mọ́ mi | He/She lied to me | Applicative **mọ́** introduces recipient/target. Productive with verbs of communication and deception. | [CORE] |
| INTERROGATIVE (POLAR QUESTION) | Ṣé ó tọ́? | Ṣé ó tọ́? | Is it correct/true? | **Ṣé** is the standard polar question marker. Very common in verification and confirmation contexts. | [CORE] |
| INTERROGATIVE (POLAR QUESTION) | Ó gbàgbọ́ bí? | Ó gbàgbọ́ bí? | Does he/she believe? | Clause-final **bí** is also common. Both **ṣé** and **bí** are freely used in truth-domain questions. | [CORE] |
| INTERROGATIVE (CONTENT QUESTION) | Kí ni òtítọ́? | Kí ni òtítọ́? | What is truth? | **Kí ni** 'what FOC' is standard for content questions. Famous philosophical question in Yoruba discourse. | [CORE] |
| INTERROGATIVE (CONTENT QUESTION) | Ta ni ó purọ́? | Ta ni ó purọ́? | Who lied? | **Ta ni** 'who FOC' for person questions. Common in investigations and accusations. | [CORE] |
| IMPERATIVE | Sọ òtítọ́! | Sọ òtítọ́! | Tell the truth! | Bare verb for positive commands. **Sọ òtítọ́** is an extremely common moral injunction. | [CORE] |
| IMPERATIVE | Má purọ́! | Má purọ́! | Don't lie! | **Má** marks prohibitive. **Má purọ́** is one of the most basic moral commands in Yoruba culture. | [CORE] |
| COMPLEMENTATION | Mo gbàgbọ́ pé ó tọ́ | Mo gbàgbọ́ pé ó tọ́ | I believe that it is true | **Pé** 'that' introduces declarative complements. Standard with epistemic verbs (gbàgbọ́, mọ̀, rò). | [CORE] |
| COMPLEMENTATION | Ó yẹ kí o sọ òtítọ́ | Ó yẹ kí o sọ òtítọ́ | You should tell the truth | **Kí** introduces subjunctive complements. Common with deontic predicates expressing obligation. | [CORE] |
| ADVERBIAL MODIFICATION (MANNER) | Ní òtítọ́ | Ní òtítọ́ | Truthfully, honestly | **Ní òtítọ́** is extremely common as both manner adverbial and discourse marker. Used to emphasize sincerity. | [CORE] |
| ADVERBIAL MODIFICATION (MANNER) | Gbàgbọ́ láì rí | Gbàgbọ́ láì rí | Believe without seeing | **Láì** 'without' plus verb creates negative manner. Common in religious and philosophical discourse. | [CORE] |
| DEGREE MODIFICATION | Ó tọ́ púpọ̀ | Ó tọ́ púpọ̀ | It is very correct/quite true | **Púpọ̀** 'very/much' is the standard intensifier. Follows predicate. Very productive. | [CORE] |
| DEGREE MODIFICATION | Ó dájú gan-an | Ó dájú gan-an | It is absolutely certain | **Gan-an** 'exactly/absolutely' adds emphatic certainty. Common in strong assertions. | [CORE] |
| REDUPLICATION (EMPHASIS) | Tọ́tọ́ | Tọ́tọ́ | Very straight, completely correct | Full reduplication intensifies meaning. **Tọ́tọ́** is common in emphatic truth assertions. | [CORE] |
