# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Yoruba (yo)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| òtítọ́ | òtítọ́ | Noun derived from "tọ́" (to be straight, correct) | truth, truthfulness, honesty, accuracy | This term is used to describe statements that correspond to reality and to characterize persons who habitually speak accurately. It appears frequently in moral discourse, legal contexts, and everyday evaluations of whether someone's account matches what actually occurred. | [CORE] |
| irọ́ | irọ́ | Noun meaning "lie, falsehood" | lie, falsehood, untruth, deception | This is the standard term for statements that do not correspond to reality, whether intentionally false or mistaken. It is used both for the act of lying and for the false statement itself, appearing in moral judgments and everyday assessments of accuracy. | [CORE] |
| tọ́ | tọ́ | Verb meaning "to be straight, to be correct, to be true" | to be true, to be correct, to be right, to be straight | This verb is used to affirm that something is accurate or corresponds to reality. It can evaluate statements, directions, methods, or conduct, and appears in expressions like "ó tọ́" (it is true/correct). | [CORE] |
| purọ́ | purọ́ | Verb meaning "to lie, to tell a falsehood" | to lie, to deceive, to speak falsely | This verb describes the act of making false statements, typically with awareness of their falsity. It is commonly used in moral evaluations and in assessing whether someone's testimony or account can be trusted. | [CORE] |
| òdodo | òdodo | Noun meaning "righteousness, justice, correctness" | righteousness, justice, uprightness, correctness | This term evaluates conduct, judgments, and character with respect to moral and legal standards. It appears in contexts where actions or persons are assessed for conformity to proper norms and in discussions of fair treatment. | [CORE] |
| àìtọ́ | àìtọ́ | Negative nominal form from "tọ́" (not straight/correct) | incorrectness, falsehood, error, wrongness | This term describes the quality of being incorrect or not corresponding to reality. It is used to characterize statements, beliefs, or methods that fail to meet standards of accuracy or rightness. | [CORE] |
| gbàgbọ́ | gbàgbọ́ | Verb meaning "to believe, to trust, to accept as true" | to believe, to trust, to have faith in | This verb describes the epistemic stance of accepting something as true or reliable. It is used both for belief in statements and for trust in persons, appearing in contexts where reliability and credibility are evaluated. | [CORE] |
| ìgbàgbọ́ | ìgbàgbọ́ | Noun derived from "gbàgbọ́" (belief, trust) | belief, faith, trust, credence | This nominal form refers to the state or content of believing, used in religious, epistemic, and interpersonal contexts. It characterizes both what is believed and the disposition to trust or accept claims. | [CORE] |
| jẹ́ | jẹ́ | Verb meaning "to be, to exist, to affirm" | to be, to affirm, to confirm, to accept | This copular verb is used to affirm identity, existence, or the truth of statements. It appears in expressions confirming that something is the case or that a characterization is accurate. | [CORE] |
| bẹ́ẹ̀ ni | bẹ́ẹ̀ ni | Fixed expression meaning "it is so, that's how it is" | it is so, that's right, indeed, truly | This expression affirms the accuracy or truth of what has been stated. It is used in conversation to confirm agreement with a claim or to validate someone's account of events. | [CORE] |
| òtítọ́ ni | òtítọ́ ni | "It is truth" (òtítọ́ + copula ni) | it is true, truly, in truth | This fixed expression emphatically affirms the truth of a statement. It is used to assert that what is being said corresponds to reality or to emphasize the speaker's sincerity. | [CORE] |
| ṣe déédé | ṣe déédé | "Do correctly/properly" (ṣe = do, déédé = correctly) | to do correctly, to do properly, to be accurate | This expression describes performing actions in the correct or proper manner. It is used to evaluate whether something has been done according to appropriate standards or methods. | [CORE] |
| déédé | déédé | Adverb/ideophone meaning "correctly, exactly, precisely" | correctly, exactly, precisely, properly | This term modifies verbs or statements to indicate accuracy, precision, or conformity to standards. It appears in contexts evaluating whether something matches a model or meets requirements. | [CORE] |
| àṣìṣe | àṣìṣe | Noun meaning "error, mistake, fault" | error, mistake, fault, wrong | This term identifies departures from correctness in statements, actions, or judgments. It is used in contexts where accuracy is assessed and deviations from proper standards are noted. | [CORE] |
| ṣe | ṣe | Verb meaning "to do, to make, to happen" | to do, to make, to be the case, to happen | This highly productive verb is used in many evaluative contexts, including in questions like "ó ṣe bẹ́ẹ̀?" (is it so?). It appears in expressions assessing whether something is actually the case or has occurred. | [CORE] |
| pàtàkì | pàtàkì | Adjective meaning "important, genuine, authentic" | important, genuine, authentic, real, essential | This term evaluates the genuineness or authenticity of things and persons. It distinguishes what is real or essential from what is superficial or counterfeit, appearing in assessments of quality and authenticity. | [CORE] |
| gidi | gidi | Adjective/ideophone meaning "genuine, real, authentic" | genuine, real, authentic, true, actual | This term emphasizes the genuine or authentic nature of something, distinguishing it from imitations or false representations. It is used to affirm that something is what it purports to be. | [CORE] |
| ìbámu | ìbámu | Noun meaning "agreement, correspondence, harmony" | agreement, correspondence, conformity, harmony | This term describes the relationship between things that match or correspond to each other. It is used to evaluate whether statements align with facts or whether things conform to standards or models. | [CORE] |
| bá mu | bá mu | Verb phrase "to meet/match with" (bá = meet, mu = hold/grasp) | to correspond, to match, to agree with, to conform | This expression describes correspondence or agreement between things. It is used to assess whether one thing matches or aligns with another, including whether statements correspond to reality. | [CORE] |
| ìfẹ̀sẹ̀múlẹ̀ | ìfẹ̀sẹ̀múlẹ̀ | Noun meaning "confirmation, verification, proof" | confirmation, verification, proof, evidence | This term refers to the process or means of establishing that something is true or accurate. It appears in contexts where claims require support or where the reliability of information is being assessed. | [CORE] |
| ẹ̀rí | ẹ̀rí | Noun meaning "witness, testimony, evidence" | witness, testimony, evidence, proof | This term refers both to persons who testify and to the evidence they provide. It is central to legal and epistemic contexts where the reliability and accuracy of accounts are evaluated. | [CORE] |
| jẹ́rìí | jẹ́rìí | Verb meaning "to testify, to bear witness, to give evidence" | to testify, to bear witness, to give evidence | This verb describes the act of providing testimony or evidence about what one has observed. It appears in legal contexts and in situations where establishing facts through reliable testimony is important. | [CORE] |
| ìdájọ́ | ìdájọ́ | Noun meaning "judgment, verdict, decision" | judgment, verdict, decision, ruling | This term refers to authoritative determinations about what is right, true, or proper. It appears in legal contexts and in moral evaluations where conduct or claims are assessed against standards. | [CORE] |
| dájọ́ | dájọ́ | Verb meaning "to judge, to decide, to determine" | to judge, to decide, to determine, to rule | This verb describes the act of making authoritative determinations about truth, rightness, or proper conduct. It is used in legal contexts and in situations requiring evaluation against standards. | [CORE] |
| ìwà | ìwà | Noun meaning "character, behavior, conduct" | character, behavior, conduct, nature | This term refers to patterns of conduct and the underlying character they reveal. It is used in moral evaluations to assess whether someone's behavior conforms to proper standards or reveals their true nature. | [CORE] |
| ìwà rere | ìwà rere | "Good character/conduct" (ìwà = character, rere = good) | good character, good conduct, virtue, moral behavior | This fixed expression describes conduct and character that conform to moral standards. It is used to evaluate persons positively with respect to their habitual behavior and moral qualities. | [CORE] |
| ìwà búburú | ìwà búburú | "Bad character/conduct" (ìwà = character, búburú = bad) | bad character, bad conduct, vice, immoral behavior | This expression describes conduct and character that violate moral standards. It appears in negative moral evaluations of persons based on their habitual behavior. | [CORE] |
| òdodo ọkàn | òdodo ọkàn | "Righteousness of heart" (òdodo = righteousness, ọkàn = heart) | sincerity, integrity, uprightness of heart | This expression describes genuine moral character and sincerity, emphasizing that righteousness extends to inner disposition. It evaluates whether someone's conduct reflects their true character rather than mere outward conformity. | [CORE] |
| ó tọ́ | ó tọ́ | ó (it/he/she) + tọ́ (be correct/true) | it is true, it is correct, it is right | Used as a simple affirmation that something corresponds to reality or meets standards. Common in everyday conversation to confirm statements or validate claims. | [CORE] |
| kò tọ́ | kò tọ́ | kò (not) + tọ́ (be correct/true) | it is not true, it is not correct, it is wrong | Negation used to deny the accuracy or correctness of statements or actions. Standard expression for rejecting false claims. | [CORE] |
| tọ́ sí | tọ́ sí | tọ́ (be correct) + sí (to/toward) | to be directed correctly toward, to be appropriate for | Used when evaluating whether something is properly oriented or suitable for a particular purpose or person. | [CORE] |
| tọ́ọ́tọ́ | tọ́ọ́tọ́ | Reduplicated form of tọ́ | each one correctly, separately, individually | Distributive expression indicating that each item or instance is handled correctly or separately. Used in contexts requiring individual attention or separate treatment. | [CORE] |
| ọ̀nà tọ́ | ọ̀nà tọ́ | ọ̀nà (way/path) + tọ́ (be straight/correct) | the right way, the correct path, the proper method | Used to describe the appropriate method or approach to accomplish something, or literally a straight/correct physical path. | [CORE] |
| ọ̀rọ̀ tọ́ | ọ̀rọ̀ tọ́ | ọ̀rọ̀ (word/matter) + tọ́ (be correct/true) | true statement, correct account, accurate report | Describes statements or accounts that correspond to reality. Used in evaluating testimony, reports, or claims. | [CORE] |
| ìtọ́ | ìtọ́ | ì- (nominalizing prefix) + tọ́ (be correct) | correctness, accuracy, straightness | Nominal form referring to the quality or state of being correct or straight. Used in abstract discussions of accuracy and proper alignment. | [CORE] |
| títọ́ | títọ́ | Gerundive form of tọ́ | being correct, being true, the act of being straight | Verbal noun describing the process or state of being correct. Used in contexts emphasizing the ongoing nature of truthfulness. | [CORE] |
| atọ́ | atọ́ | a- (agent prefix) + tọ́ (be correct) | one who is correct, accurate person | Refers to someone who habitually speaks or acts correctly. Less common than òtítọ́ for describing truthful persons. | [MARGINAL] |
| tọ́jú | tọ́jú | tọ́ (direct correctly) + ojú (eye/face/attention) | to care for, to look after, to attend to properly | Extended use where "directing correctly" applies to attention and care. Common in contexts of responsibility and proper maintenance of things or people. | [CORE] |
| tọ́jú ẹni | tọ́jú ẹni | tọ́jú (care for) + ẹni (person/oneself) | to take care of oneself, to maintain oneself properly | Reflexive use emphasizing self-care and proper attention to one's own needs and appearance. | [CORE] |
| tọ́ ọwọ́ | tọ́ ọwọ́ | tọ́ (direct correctly) + ọwọ́ (hand) | to guide the hand correctly, to direct properly | Used when teaching someone to do something with their hands or when ensuring proper manual execution of tasks. | [CORE] |
| tọ́ ẹsẹ̀ | tọ́ ẹsẹ̀ | tọ́ (direct correctly) + ẹsẹ̀ (foot/leg) | to direct one's steps correctly, to go the right way | Used both literally for physical direction and metaphorically for proper conduct or life choices. | [CORE] |
| tọ́ ọkàn | tọ́ ọkàn | tọ́ (direct correctly) + ọkàn (heart/mind) | to set one's heart/mind correctly, to have proper intentions | Describes having the right attitude, proper motivation, or correct mental/emotional orientation toward something. | [CORE] |
| tọ́ sí ọ̀nà | tọ́ sí ọ̀nà | tọ́ (be directed) + sí (to) + ọ̀nà (way/path) | to be on the right path, to be properly directed | Used to affirm that someone or something is proceeding in the correct direction, literally or metaphorically. | [CORE] |
| ìtọ́sọ́nà | ìtọ́sọ́nà | ì- (nominalizer) + tọ́ (direct correctly) + sí (to) + ọ̀nà (way) | guidance, direction, proper leading | Refers to the act or process of providing correct direction or guidance to others. | [CORE] |
| tọ́ka | tọ́ka | tọ́ (direct) + ìka (finger) [contracted] | to point correctly, to indicate accurately | Used when pointing out or indicating something with precision. Common in instructional and demonstrative contexts. | [CORE] |
| tọ́ ẹnu | tọ́ ẹnu | tọ́ (direct correctly) + ẹnu (mouth) | to speak correctly, to say the right thing | Describes speaking accurately or appropriately. Used when evaluating whether someone's words are proper or correct. | [CORE] |
| tọ́ ọ̀rọ̀ | tọ́ ọ̀rọ̀ | tọ́ (make correct) + ọ̀rọ̀ (word/matter) | to correct a statement, to set the record straight | Used when correcting errors in accounts or clarifying misunderstandings. Common in contexts where accuracy needs to be restored. | [CORE] |
| àtọ́ | àtọ́ | à- (nominalizing prefix) + tọ́ (be correct) | correction, amendment, rectification | Refers to the act or result of making something correct. Used in contexts of editing, correcting errors, or making adjustments. | [CORE] |
| ìtọ́ka | ìtọ́ka | ì- (nominalizer) + tọ́ka (point correctly) | indication, pointer, sign, reference | Refers to something that points to or indicates something else accurately. Used in instructional and referential contexts. | [CORE] |
| tọ́ ìwà | tọ́ ìwà | tọ́ (make correct) + ìwà (character/behavior) | to correct behavior, to reform character | Used in moral and disciplinary contexts when someone's conduct needs to be corrected or improved. | [CORE] |
| tọ́ ara ẹni | tọ́ ara ẹni | tọ́ (direct correctly) + ara (body/self) + ẹni (person) | to compose oneself, to conduct oneself properly | Describes maintaining proper demeanor or correcting one's own behavior and presentation. | [CORE] |
| pa irọ́ | pa irọ́ | pa (kill/strike) + irọ́ (lie) | to tell a lie, to lie | Alternative expression for lying, literally "to strike/make a lie." Used interchangeably with purọ́ in everyday speech. | [CORE] |
| irọ́ ni | irọ́ ni | irọ́ (lie) + ni (copula: it is) | it is a lie, that's false | Emphatic denial of a statement's truth. Used to directly contradict false claims. | [CORE] |
| kì í ṣe irọ́ | kì í ṣe irọ́ | kì í (not) + ṣe (be/do) + irọ́ (lie) | it is not a lie, it is not false | Emphatic affirmation of truth, denying that something is false. Used to defend the accuracy of statements. | [CORE] |
| apurọ́ | apurọ́ | a- (agent prefix) + purọ́ (lie) | liar, one who lies | Refers to a person who habitually tells lies. Strong negative moral characterization. | [CORE] |
| ẹlẹ́tàn | ẹlẹ́tàn | ẹni (one who) + ẹ̀tàn (deception/trick) | deceiver, trickster, fraud | Describes someone who deceives or tricks others. Related to lying but emphasizes cunning deception rather than simple falsehood. | [CORE] |
| purọ́ mọ́ | purọ́ mọ́ | purọ́ (lie) + mọ́ (against/to) | to lie to, to deceive | Specifies the target of the lie. Used when identifying who is being deceived. | [CORE] |
| purọ́ sí | purọ́ sí | purọ́ (lie) + sí (to/toward) | to lie to, to tell lies to | Alternative construction for specifying the recipient of lies. Common in narrative and accusatory contexts. | [CORE] |
| ìpurọ́ | ìpurọ́ | ì- (nominalizer) + purọ́ (lie) | lying, the act of lying, mendacity | Nominal form referring to the practice or habit of lying. Used in moral discourse about dishonesty. | [CORE] |
| irọ́ ẹnu | irọ́ ẹnu | irọ́ (lie) + ẹnu (mouth) | verbal lie, spoken falsehood | Emphasizes that the lie is spoken rather than enacted in other ways. Distinguishes verbal deception from other forms. | [MARGINAL] |
| irọ́ ìṣe | irọ́ ìṣe | irọ́ (lie) + ìṣe (deed/action) | lie in action, deceptive deed, false pretense | Describes deception through actions rather than words. Used when someone's behavior misrepresents reality. | [CORE] |
| ọ̀rọ̀ irọ́ | ọ̀rọ̀ irọ́ | ọ̀rọ̀ (word/matter) + irọ́ (lie) | false statement, lying words, mendacious account | Describes statements or accounts that are false. Used in evaluating testimony and claims. | [CORE] |
| ẹnu irọ́ | ẹnu irọ́ | ẹnu (mouth) + irọ́ (lie) | lying mouth, deceitful speech | Characterizes someone as habitually speaking falsely. Strong negative moral judgment. | [CORE] |
