| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Se on totta.** | — | “That is true.” | Common neutral way to evaluate a statement, fact, or situation as true/correct. Variation is visible between **totta** and **tosi**, while other predicates such as **epätosi**, **laillinen**, **uskottava**, and **luotettava** are more domain-specific. Alternate constructions attested: **X on tosi / epätosi / laillinen / oikea / uskottava / luotettava**. | [CORE] |
| ATTRIBUTION | **Väite on epätosi.** | — | “The claim is false.” | Natural in factual, formal, and evaluative contexts, especially with claims, reports, or legal/institutional language. Predicate choice is restricted by meaning: e.g. **epätosi** for falsity, **uskottava** for credibility, **laillinen** for legality. Alternate constructions attested: **X on totta / tosi / laillinen / oikea / uskottava / luotettava**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Se ei ole tosi.** | — | “That is not true.” | Standard negated copular pattern for rejecting truth, credibility, or legality. It is broadly usable, but the predicate adjective still determines the semantic domain. Alternate constructions attested: **X ei ole totta / tosi / laillinen / uskottava**; **X ei pidä paikkaansa**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Väite ei pidä paikkaansa.** | — | “The claim is not true.” | Very common for denying the factual correctness of a claim, rumor, or report. It is especially natural in argumentative, journalistic, and corrective contexts. Alternate constructions attested: **X ei ole totta / tosi / laillinen / uskottava**. | [CORE] |
| ADNOMINAL MODIFICATION | **aito nahka** | — | “genuine leather” | Natural attributive pattern inside noun phrases, especially for authenticity, originality, or genuineness. Adjective choice is lexically restricted by domain, so not all listed adjectives fit all nouns equally well. Alternate constructions attested: **aito / autenttinen / alkuperäinen / väärä / virheellinen / oikea / paikkansapitävä + N**. | [CORE] |
| ADNOMINAL MODIFICATION | **virheellinen tieto** | — | “erroneous information” | Common in descriptive and evaluative noun phrases, especially in formal, informational, and institutional language. Different adjectives specialize semantically, such as **virheellinen/väärä** for error and **paikkansapitävä** for factual accuracy. Alternate constructions attested: **aito / autenttinen / alkuperäinen / väärä / virheellinen / oikea / paikkansapitävä + N**. | [CORE] |
| BECOME / INCHOATIVE | **Uni tuli todeksi.** | — | “The dream came true.” | A common result/change-of-state expression, especially with hopes, dreams, and expectations. The translative form is characteristic here, and usage depends on the lexical verb used. Alternate constructions attested: **tulla todeksi**; **osoittautua epätodeksi**; **paljastua väärennökseksi**. | [CORE] |
| BECOME / INCHOATIVE | **Väite osoittautui epätodeksi.** | — | “The claim turned out to be false.” | Very natural in contexts of verification, investigation, or later discovery. This pattern is especially suited to retrospective evaluation after evidence emerges. Alternate constructions attested: **tulla todeksi**; **paljastua väärennökseksi**. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **Hän teki tarinan uskottavaksi.** | — | “He/she made the story believable.” | Natural when expressing caused evaluation or result, especially with **tehdä** plus translative complement. The notes indicate there is no single general causative verb for the whole semantic domain, so usage is lexically distributed. Alternate constructions attested: **tehdä jokin uskottavaksi**; **oikeuttaa jokin**; **todistaa jokin**. | [CORE] |
