| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| **totta / tosi** | **epätosi** | — | ‘true’ / ‘false, untrue’ | The context explicitly presents **epätosi** as the standard opposite of **tosi**, and the broader material repeatedly contrasts truth-evaluating forms like **totta / tosi** with falsity. This is the clearest truth-value opposition in the dataset. | morphological | **[CORE]** |
| **aito** | **epäaito** | — | ‘genuine, authentic’ / ‘inauthentic, fake’ | The context explicitly defines **epäaito** as ‘not genuine’ and uses it as the opposite of **aito** in evaluations of sincerity, authenticity, and non-imitation. This is a direct negating opposition marked by the prefix **epä-**. | morphological | **[CORE]** |
| **oikea** | **väärä** | — | ‘right, correct, proper’ / ‘wrong, false, incorrect’ | The material repeatedly places **oikea** in the domain of correctness and **väärä** in the domain of incorrectness, as in **oikea vastaus** versus **väärä vastaus**. This is a basic lexical opposition covering factual, practical, and sometimes moral evaluation. | lexical | **[CORE]** |
| **todellinen** | **apparent / fictional / merely supposed** (as contrasted in usage descriptions) | — | ‘real, actual’ / ‘apparent, fictional, supposed’ | The context states that **todellinen** is used to distinguish what is actual from what is apparent, fictional, or merely supposed. The opposition is clearly described semantically, even though the contrasting side is not always represented by one single lexical item. | lexical | **[CORE]** |
| **todellisuus** | **illusion / appearance / representation** | — | ‘reality’ / ‘illusion, appearance, representation’ | The material explicitly says **todellisuus** refers to reality as opposed to illusion, appearance, or representation. This is a stable semantic opposition in the dataset. | lexical | **[CORE]** |
| **aito** | **väärennös / jäljitelmä** | — | ‘genuine, authentic’ / ‘forgery, imitation’ | The context repeatedly contrasts genuine objects or materials with forged or imitative ones, especially in discussions of authenticity, provenance, and commerce. The opposition is supported by examples like **aito nahka** versus items described as **väärennös** or **jäljitelmä**. | lexical | **[CORE]** |
| **alkuperäinen** | **jäljitelmä** | — | ‘original’ / ‘imitation, replica’ | **Alkuperäinen** is defined against copies or later modifications, while **jäljitelmä** denotes something made in imitation of an original. The contrast is directly supported in the authenticity/originality group. | lexical | **[CORE]** |
| **luotettava** | **uskottava** | — | ‘reliable, trustworthy’ / ‘believable, credible, plausible’ | The context explicitly distinguishes these: **luotettava** concerns dependability, while **uskottava** concerns plausible appearance and does not necessarily imply truth. This is a contrast of evaluative focus rather than strict antonymy. | lexical | **[CORE]** |
| **laillinen** | **lainmukainen** | — | ‘legal, lawful’ / ‘in accordance with the law’ | The material explicitly notes a contrast in usage: **lainmukainen** is often narrower and more formal, emphasizing compliance with legal rules, whereas **laillinen** is broader in everyday and public discussion. This is a supported lexical contrast in scope and register, not an antonymic one. | lexical | **[CORE]** |
| **väärä** | **virheellinen** | — | ‘wrong, false’ / ‘erroneous, incorrect’ | The context notes that **virheellinen** is often more formal and error-focused than **väärä**, while **väärä** is broader and more general. This is a contrast in usage profile and register rather than direct opposition in meaning. | lexical | **[CORE]** |
| **Se on totta.** | **Se ei ole tosi. / Väite ei pidä paikkaansa.** | — | ‘That is true.’ / ‘That is not true.’ / ‘The claim is not true.’ | The constructional material explicitly contrasts affirmative truth attribution with negated attribution. The opposition is expressed either by negating **olla** or by negating the fixed expression **pitää paikkansa**. | constructional | **[CORE]** |
| **X on totta / tosi / epätosi / laillinen / uskottava / luotettava** | **X ei ole totta / tosi / laillinen / uskottava / X ei pidä paikkaansa** | — | ‘X is true / false / legal / credible / reliable’ / ‘X is not true / legal / credible / X does not hold true’ | P4 explicitly presents this as an attribution versus negative attribution contrast. It is a general constructional opposition between positive evaluation and its negated counterpart. | constructional | **[CORE]** |
| **tulla todeksi** | **osoittautua epätodeksi** | — | ‘become true, come true’ / ‘turn out to be false’ | The inchoative/resultative section explicitly places these side by side as opposite outcomes of verification or realization. One marks confirmation, the other disconfirmation. | constructional | **[CORE]** |
| **pitää jokin totena** | **pitää jotakuta luotettavana** | — | ‘consider something true’ / ‘consider someone reliable’ | The context presents these together as parallel essive-complement constructions, contrasting truth evaluation with reliability evaluation. This is not antonymy, but a supported constructional contrast in evaluative target and meaning. | constructional | **[CORE]** |
| **On totta, että ...** | **Pitää paikkansa, että ...** | — | ‘It is true that ...’ / ‘It holds true that ...’ | The material explicitly compares these two clause-taking constructions: **On totta, että ...** is described as straightforward and neutral, while **pitää paikkansa, että ...** is more specifically tied to factual verification. This is a constructional contrast in usage nuance. | constructional | **[CORE]** |
| **todellisuudessa** | **todellisessa elämässä** | — | ‘in reality, actually’ / ‘in real life’ | The context distinguishes these as related but different reality-oriented expressions: **todellisuudessa** contrasts appearance with fact, while **todellisessa elämässä** contrasts real life with fiction, theory, games, or online settings. This is a supported constructional contrast in discourse function. | constructional | **[CORE]** |
