| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| αληθής / αλήθεια / αληθινός | ψευδής / ψεύδος / ψεύτικος | alithís / alíthia / alithinós vs. psevdhís / psévdhos / psévtikos | true / truth / genuine (colloquial) vs. false / falsehood / fake (colloquial) | These two clusters form the primary lexical opposition in the propositional truth-evaluation domain. The αληθ- cluster encodes correspondence with reality; the ψευδ-/ψευτ- cluster encodes departure from it. The opposition is explicitly framed in the fixed binary expression αλήθεια ή ψέμα ("truth or lie") and in the paired formula αλήθεια και ψέμα ("truth and falsehood"). Within each cluster, register distinctions operate in parallel: αληθής / ψευδής are formal and legal; αληθινός / ψεύτικος are colloquial. The two base adjectives αληθής and ψευδής appear together in the fixed binary construction αληθής ή ψευδής ("true or false"), used in logic, philosophy, and educational testing. Both apply primarily to statements, claims, and documents. They are documented as the most symmetrical pair in the truth-value predication domain and appear in parallel passive predicative constructions: Ο ισχυρισμός αποδείχθηκε αληθής vs. Ο ισχυρισμός κρίθηκε ψευδής. The primary abstract noun pair αλήθεια / ψεύδος appears as a direct contrast in moral, philosophical, and everyday discourse, and each generates a large derivational family oriented around the same opposition. | lexical | [CORE] |
| αλήθεια | αναλήθεια | alíthia vs. analíthia | truth vs. untruth / falsehood | A morphological negation formed by the privative prefix ἀν- applied to the primary truth noun. αναλήθεια is documented as a formal or literary alternative to ψέμα, used in philosophical and journalistic writing, and as a formal and philosophical abstract noun used in contexts of explicit philosophical discussion of truth-values. Less common than ψεύδος or ψέμα for the same meaning. The opposition is asymmetric: αλήθεια is [CORE] across all registers, while αναλήθεια is restricted to elevated registers. | morphological | [MARGINAL] (αναλήθεια is [MARGINAL]; αλήθεια is [CORE]) |
| αληθής | αναληθής | alithís vs. analithís | true vs. untrue / false | A morphological privative negation of the formal adjective αληθής. αναληθής is documented as a formal or philosophical negation of αληθής, used in written and philosophical registers, and in philosophical and logical contexts to describe a proposition that does not correspond to reality. The data notes that αναληθής is less common in everyday speech than ψευδής for the same meaning. The opposition is asymmetric: αναληθής is [MARGINAL] in contemporary usage, while αληθής is [CORE] in formal registers. | morphological | [MARGINAL] (αναληθής is [MARGINAL]; αληθής is [CORE]) |
| αλήθεια | ψέμα | alíthia vs. pséma | truth vs. lie | The colloquial register pairing of the truth/lie opposition. ψέμα is the most frequent everyday noun for a lie; αλήθεια is register-neutral. The contrast is most visible in the paired constructions λέω την αλήθεια ("I tell the truth") and λέω ψέματα ("I tell lies"), which are documented as the primary verbal expressions for truth-telling and lying in everyday speech. | lexical | [CORE] |
| λέω την αλήθεια | λέω ψέματα | léo tin alíthia vs. léo psémata | to tell the truth vs. to tell lies | A constructional opposition between the two canonical colloquial expressions for truth-telling and lying. Both use the same verb (λέω, "I say/tell") with contrasting objects (την αλήθεια / ψέματα). The opposition is explicitly framed in the data as the standard everyday expressions for these acts. Both constructions are [CORE] across all registers of spoken Greek. | constructional | [CORE] |
| αξιόπιστος | αναξιόπιστος | aksiópistos vs. anaksiópistos | reliable / credible / trustworthy vs. unreliable / not credible / untrustworthy | A morphological privative negation formed by ἀν- prefixed to αξιόπιστος. Both terms are [CORE] in journalistic and legal registers, where the evaluation of source or witness credibility is central. The opposition is relatively symmetric: both forms are in active use and generate parallel abstract nouns (αξιοπιστία / αναξιοπιστία). They appear in parallel legal constructions: Αποδεικνύεται αξιόπιστος στην πράξη vs. Αποδείχθηκε αναξιόπιστος; αξιόπιστη πηγή vs. αναξιόπιστος μάρτυρας. | morphological | [CORE] |
| αξιοπιστία | αναξιοπιστία | aksiopistía vs. anaksiopistía | credibility / reliability vs. lack of credibility / unreliability | The abstract nominal counterparts of αξιόπιστος / αναξιόπιστος (Opposition 6). Both are used in legal, journalistic, and evaluative contexts to refer to the presence or absence of the quality of being trustworthy. The opposition is symmetric at the morphological level and both forms are [CORE]. | morphological | [CORE] |
| εμπιστοσύνη | δυσπιστία | empistoséni vs. dispistía | trust / confidence vs. distrust / mistrust / skepticism | Contrasting dispositions toward persons and claims; εμπιστοσύνη is formed by ἐν- + πιστ-, δυσπιστία by δυσ- + πιστ-. They appear in contrasting parliamentary constructions: ψήφος εμπιστοσύνης vs. ψήφος δυσπιστίας. | morphological | [CORE] |
| ψήφος εμπιστοσύνης | ψήφος δυσπιστίας | psífos empistosénis vs. psífos dispistías | vote of confidence vs. vote of no confidence | A fixed parliamentary pair; the two constructions share the same head noun (ψήφος) and differ only in the genitive complement, making the contrast structurally parallel and institutionally defined. | constructional | [CORE] |
| ακριβής | ανακριβής | akrivís vs. anakrivís | accurate / precise / exact vs. inaccurate / imprecise / inexact | A morphological privative negation of ακριβής. Both terms are used in formal, journalistic, and academic contexts to evaluate whether a statement, measurement, or account corresponds closely to what it represents. The opposition generates parallel abstract nouns (ακρίβεια / ανακρίβεια) and is symmetric in formal registers. | morphological | [CORE] |
| ακρίβεια | ανακρίβεια | akrívia vs. anakrívia | accuracy / precision vs. inaccuracy / imprecision | The abstract nominal counterparts of ακριβής / ανακριβής (Opposition 10). Used in journalistic, legal, and academic contexts to refer to the presence or absence of precision in a statement or account. Both are [CORE] in formal registers. | morphological | [CORE] |
| έγκυρος | άκυρος | éngiros vs. ákiros | valid / authoritative vs. invalid / void / null | These two terms share the root κῦρος (authority, validity) but are formed with different prefixes (ἐν- vs. ἀ-). The opposition is noted as a root-level contrast rather than a simple privative negation of έγκυρος itself. Both are [CORE] in legal and administrative registers, where the validity or invalidity of documents, contracts, and decisions is at issue. The opposition generates a productive cluster on the negative side (άκυρος → ακυρότητα → ακυρώνω → ακύρωση) that has no full parallel on the positive side. The data explicitly notes that άκυρος is the preferred legal term rather than the periphrastic δεν είναι έγκυρος, indicating that the lexical opposition is institutionally fixed. They appear in parallel constructions: Το συμβόλαιο παραμένει έγκυρο vs. Άκυρο εισιτήριο; άκυρη ψήφος. | lexical (shared root, distinct prefixes; co-derivatives from shared base; not direct morphological derivation of one from the other) | [CORE] |
| εγκυρότητα | ακυρότητα | engirotita vs. akirótita | validity vs. invalidity / nullity | The abstract nominal counterparts of έγκυρος / άκυρος (Opposition 12). Used in legal contexts to refer to the state of being legally valid or legally void. Both are [CORE] in legal discourse. Formed by parallel -ότητα suffixation on the two adjective bases. | morphological | [CORE] |
| νόμιμος | παράνομος | nómimos vs. paránomος | legal / lawful vs. illegal / unlawful | The primary antonym pair in the legal conformity domain; παράνομος is formed by παρά- (against) + νόμος. They are explicitly contrasted and appear in parallel constructions throughout formal and legal registers. | morphological | [CORE] |
| γνήσιος | νόθος | gníssios vs. nóthos | genuine / of legitimate origin vs. spurious / of illegitimate origin / adulterated | A lexical opposition explicitly identified in the data: γνήσιος is defined as contrasting with νόθος. γνήσιος encodes legitimate origin (from γένος, birth, kind); νόθος encodes illegitimate or spurious origin (originally of illegitimate birth, extended to texts and objects of doubtful authenticity). The data explicitly notes that νόθος functions as the lexical antonym of γνήσιος in contexts of legitimacy of birth and textual attribution, but is etymologically unrelated. The opposition is asymmetric in register: γνήσιος is [CORE] in everyday and legal use, while νόθος is primarily philological and formal in modern usage. They appear in parallel philological and commercial contexts: γνήσιο προϊόν vs. νόθα προϊόντα; γνήσιο έργο vs. νόθο κείμενο. | lexical | [CORE] |
| γνήσιος | πλαστός | gníssios vs. plastós | genuine vs. forged / fabricated | γνήσιος asserts legitimate origin while πλαστός asserts deliberate falsification. They appear in parallel legal and commercial contexts: γνήσιο αντίγραφο vs. πλαστό διαβατήριο; πιστοποιείται ως γνήσιο vs. αποδείχθηκε ότι η υπογραφή ήταν πλαστή. | lexical | [CORE] |
| αυθεντικός / γνήσιος | πλαστός | afthentikós / gníssios vs. plastós | authentic / genuine vs. forged / fabricated | A lexical opposition in the domain of object and document authenticity. αυθεντικός and γνήσιος both affirm that something is what it purports to be; πλαστός asserts that it has been deliberately fabricated or falsified. The contrast is between genuine origin and deliberate falsification. πλαστός is the standard legal term for forgery; αυθεντικός and γνήσιος are the positive counterparts used in authentication contexts. They appear in parallel constructions: Το έργο πιστοποιήθηκε ως αυθεντικό vs. Αποδείχθηκε ότι η υπογραφή ήταν πλαστή. | lexical | [CORE] |
| πρωτότυπο | αντίγραφο | protótipo vs. andígrafo | original vs. copy / reproduction | A lexical opposition explicitly framed in the data as the binary pair πρωτότυπο και αντίγραφο ("original and copy") and in the legal formula ακριβές αντίγραφο εκ του πρωτοτύπου ("true copy from the original"). The distinction between the original and its reproduction is described as central to legal and archival evaluation of authenticity. Both terms are [CORE]. | lexical | [CORE] |
| αμφίβολος | αναμφίβολος | amfívolos vs. anamfívolos | doubtful / dubious / questionable vs. undoubted / indubitable / unquestionable | A morphological opposition formed by privative prefixation (αν-) on the base adjective. Both terms are [CORE] in formal and journalistic registers. The opposition generates parallel adverbs (αμφίβολα / αναμφίβολα) and abstract nouns (αμφιβολία on the positive-doubt side; no lexicalized abstract noun for the negative-doubt side). The opposition is asymmetric in productivity: αναμφίβολα is more frequent as a sentence adverb than αμφίβολα. The data documents both as [CORE] and notes that αναμφίβολος is used to assert that something is beyond doubt, directly reversing the uncertainty expressed by αμφίβολος. | morphological | [CORE] |
| αναμφίβολα | αμφίβολα | anamfívola vs. amfívola | undoubtedly / unquestionably vs. doubtfully / ambiguously | The adverbial pair corresponding to the adjective opposition in Opposition 19. Both are documented as [CORE], though αμφίβολα is noted as less common than the noun αμφιβολία. | morphological | [CORE] |
| αμφιβολία | χωρίς αμφιβολία | amfivolía vs. chorís amfivolía | doubt vs. without doubt / undoubtedly | A constructional contrast between the bare noun expressing a state of doubt and the fixed prepositional phrase that negates it. χωρίς αμφιβολία functions as a canonical certainty-assertion device in everyday and formal speech, while Έχω αμφιβολίες ("I have doubts") is the canonical doubt-expression formula. The opposition is constructional rather than lexical or morphological. | constructional | [CORE] |
| χωρίς αμφιβολία / πέρα από κάθε αμφιβολία | έχω αμφιβολίες / αμφίβολο παραμένει | chorís amfivolía / péra apó káthe amfivolía vs. ého amfivolíes / amfívolo paraméni | without doubt / beyond any doubt vs. I have doubts / it remains uncertain | A constructional contrast between asserting certainty and asserting uncertainty; the fixed expressions χωρίς αμφιβολία and πέρα από κάθε αμφιβολία function as certainty markers, while έχω αμφιβολίες and αμφίβολο παραμένει express epistemic uncertainty. Both sets derive from the same base noun αμφιβολία. Both constructions are documented as [CORE] in P2b. | constructional | [CORE] |
| αμφισβητήσιμος | αναμφισβήτητος | amfisvitiísimos vs. anamfisviтitos | disputable / contestable vs. undisputed / incontestable | A morphological privative negation of the base αμφισβητ- stem. αναμφισβήτητος is formed by privative prefixation (αν-) on the past participle of αμφισβητώ. αμφισβητήσιμος describes something open to challenge; αναμφισβήτητος asserts that something is beyond challenge. Both are [CORE] in legal, academic, and journalistic registers. The collocation αναμφισβήτητο γεγονός ("undisputed fact") is a recognized fixed phrase. | morphological | [CORE] |
| αδιαμφισβήτητος | αμφισβητήσιμος | adiamfisvitiitos vs. amfisvitiísimos | indisputable / unquestionable vs. disputable / contestable | αδιαμφισβήτητος asserts that a claim is beyond challenge, while αμφισβητήσιμος asserts that it is open to active contestation. Both derive from the same αμφισβητ- base, with αδιαμφισβήτητος carrying a double privative (ἀ- + δια-). They appear in parallel evaluative constructions. | morphological | [CORE] |
| αδιαμφισβήτητος | αμφίβολος | adiamfisvitiitos vs. amfívolos | indisputable vs. doubtful / uncertain | These occupy opposite ends of a certainty scale; αδιαμφισβήτητος asserts that something is beyond reasonable challenge, while αμφίβολος marks it as uncertain or open to question. αμφίβολος leans toward epistemic uncertainty while αδιαμφισβήτητος asserts unchallengeable status. | lexical | [CORE] |
| αναμφισβήτητα | αμφισβητήσιμα *(implied by the adjectival pair; not separately attested as a common adverb)* | anamfisviтita vs. (no common adverbial counterpart attested) | indisputably / unquestionably vs. (no common adverbial counterpart attested) | αναμφισβήτητα is documented as [CORE] and used in formal and legal registers. The corresponding positive adverb is not separately attested as a common form in the data. The opposition exists at the adjectival level (Opposition 23) but is asymmetric at the adverbial level. | morphological (asymmetric: only one pole is attested as a common adverb) | [UNCERTAIN] (asymmetry noted; only Term A is [CORE]) |
| επαληθεύσιμος | ανεπαλήθευτος | epalithéfsimos vs. anepalítheftos | verifiable vs. unverified | These two terms are morphologically related to the same verb (επαληθεύω) but encode different aspects of the verification dimension: επαληθεύσιμος describes the in-principle possibility of verification (a property of claims), while ανεπαλήθευτος describes the actual state of not having been verified (a property of information at a given time). The opposition is not a simple privative pair — the suffixes differ (-σιμος vs. -τος) — and the semantic contrast is between potential and actuality rather than between presence and absence of a single property. | morphological | [CORE] |
| επαληθεύσιμος | μη επαληθεύσιμος | epalithéfsimos vs. mi epalithéfsimos | verifiable vs. unverifiable | A constructional opposition in which the negative particle μη negates the modal adjective επαληθεύσιμος. Both are documented as [CORE] and noted for use in scientific and philosophical contexts relating to the concept of verifiability. The negation here uses μη rather than the privative prefix αν-, which is the pattern for modal adjectives in -σιμος. | constructional (μη negation of modal adjective, rather than morphological privative prefix) | [CORE] |
| αληθοφανής / αληθοφάνεια | αληθής / αλήθεια | alithofanís / alithofánia vs. alithís / alíthia | truth-seeming / verisimilitude vs. true / truth | A lexical opposition between appearing to be true and actually being true. αληθοφανής (from αληθ- + φαίνομαι, "to appear") describes something that has the appearance of truth without necessarily being true; αληθής describes something that actually is true. The contrast is between the φαίνεσθαι (appearing) and the εἶναι (being) dimensions of truth. The data explicitly identifies αληθοφάνεια and αληθοφανής as describing the quality of appearing true rather than being true, and flags this as a peripheral extension of the αληθ- root where "the root contributes to a concept of appearing true rather than being true — a shift from truth to the aesthetics of plausibility." This opposition is documented in rhetorical, literary, and aesthetic contexts. The contrast is described as aesthetic and rhetorical rather than purely propositional. | lexical | [CORE] |
| καλή πίστη | κακή πίστη | kalí písti vs. kakí písti | good faith vs. bad faith | A constructional opposition between two fixed collocations using the same noun (πίστη) with contrasting adjectives (καλή / κακή). Both are legal and moral terms for the intent behind an action: καλή πίστη denotes honest intent without deception; κακή πίστη denotes deceptive or dishonest intent. The opposition is symmetric and both collocations are [CORE] in legal discourse. | constructional | [CORE] |
| πιστός | άπιστος | pistós vs. ápistos | faithful / loyal / trustworthy vs. unfaithful / disloyal / unbeliever | A morphological privative negation of πιστός. The opposition operates across two distinct registers: in interpersonal and relational contexts (faithful vs. unfaithful partner or friend) and in religious contexts (believer vs. unbeliever / infidel). The same morphological pair carries both meanings, with context determining which is operative. | morphological | [CORE] |
| πιστός (in translation contexts) | νόθος (in textual contexts) | pistós vs. nóthos | faithful / accurate (of a translation or text) vs. spurious / falsely attributed (of a text) | Contrasting evaluations applied to texts; πιστός in πιστή μετάφραση asserts close correspondence to a source, while νόθος in νόθο κείμενο asserts that a text is not of genuine authorship. Both are applied to written works in philological and literary contexts, though from different evaluative angles. | lexical | [CORE] |
