| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|--------------------|--------------------|-----------------|
| אֱמֶת | ʾemet | truth, faithfulness; root א-מ-ת (ʾ-m-t), related to firmness, reliability | truth, truthfulness, veracity, authenticity, faithfulness, reality, genuineness | The most central and widely used Hebrew term for truth, appearing across biblical, rabbinic, legal, religious, philosophical, and everyday modern contexts. It can describe a true statement, a genuine object, a reliable person, or a quality of genuine reliability. In rabbinic literature it is also treated as a foundational moral value. Appears in fixed expressions such as *ʾemet ve-ʾemuna* ("truth and faithfulness"), *ʾemet ve-shalom* ("truth and peace"), and *le-ʾamet* (to verify/confirm). Participates in extensive derivational patterns. | [CORE] |
| אמיתי | ʾamiti | true, real, genuine; adjectival form derived from *ʾemet* | true, real, genuine, authentic | The standard modern Hebrew adjective meaning "true" or "genuine," used attributively and predicatively across registers. It applies to statements, objects, feelings, and identities, and is used to describe persons, feelings, objects, or states as genuinely what they appear to be. Frequently used in everyday speech to distinguish the real from the fake or the sincere from the performative. Slightly more colloquial than *ʾemet* itself. Contrasts with *medumaʾ* ("imagined"), *meumat* ("fabricated"), and *mezuyaf* ("forged/fake"). Example: *ʾohev ʾamitʾi* ("a true/genuine friend"). | [CORE] |
| נכון | nakhon | correct, right, established; root כ-ו-נ (k-w-n), to be established, prepared, firm, correct | correct, right, accurate, true, proper | Widely used to evaluate statements, answers, facts, and procedures as accurate or correct, particularly in everyday and educational contexts. It is the standard response to confirm that something is accurate or has been done properly. Also carries a sense of moral or practical rightness in some collocations, e.g., *ze lo nakhon* ("that's not right/correct"). Less philosophically weighted than *ʾemet* but extremely frequent. Participates in derivations such as *nekhonah* (f.) and *le-nakhen* ("to correct"). | [CORE] |
| מדויק | meduyaq | precise, exact; Pu'al/Mefuʿal passive participle from root ד-י-ק (d-y-q), related to fineness, exactness | accurate, precise, exact | Used to evaluate the degree of correspondence between a representation, measurement, statement, description, or translation and the reality or standard it describes. Common in scientific, technical, journalistic, and legal contexts. Implies a higher standard of exactness than *nakhon*. Contrasts with *meʿurpal* ("vague") or *meshuʿar* ("approximate"). Example: *tiʾur meduyaq* ("an accurate description"). The root also yields *diyuq* ("precision, exactness") and *ledayeq* ("to be precise"). | [CORE] |
| אותנטי | ʾotenti | authentic; loanword from Greek/Latin *authenticus* via European languages | authentic, genuine | A borrowing used in modern Hebrew, especially in cultural, artistic, philosophical, and psychological contexts, to evaluate whether something is genuine or original rather than derivative or imitative. More restricted in register than *ʾamiti* and tends to appear in educated, academic, or journalistic discourse. Sometimes interchangeable with *meqori* in aesthetic contexts. Common in discussions of personal identity or cultural heritage. Functions as a direct parallel to English "authentic." | [CORE] |
| מקורי | meqori | original; derived from מָקוֹר (*maqor*, source, origin); root ק-ו-ר (q-w-r) | original, genuine, authentic | Describes something that is the original rather than a copy or imitation, and by extension something that is genuinely creative or not derivative. Used in aesthetic, legal (intellectual property), and commercial evaluation to evaluate whether something is an original rather than a copy. Can describe artworks, documents, ideas, or personal style. Overlaps with *ʾotenti* in some contexts but emphasizes origin rather than genuineness of character per se. Example: *yetsirah meqorit* ("an original work"). Contrasts with *ha-ʿataqah* ("the copy") or *ziyyuf* ("forgery"). | [CORE] |
| אמין | ʾamin | reliable, trustworthy; adjectival form from root א-מ-נ (ʾ-m-n), same root family as *ʾemet* | reliable, trustworthy, credible, dependable | Closely related to *mehiman* but somewhat more colloquial and broadly used. Applied to persons, sources, witnesses, systems, and information to indicate dependability and accuracy. Common in modern Hebrew in contexts such as journalism, law, and everyday evaluation of people. Contrasts with *lo ʾamin* (unreliable). The noun *ʾaminut* is the standard modern Hebrew term for "reliability" or "credibility." | [CORE] |
| אמינות | ʾaminut | reliability, trustworthiness; abstract noun from root א-מ-נ (ʾ-m-n) | reliability, credibility, trustworthiness | Refers to the quality of being believable and dependable, applied to persons, institutions, sources, and testimony. Central in legal and journalistic discourse when evaluating the weight to be given to a witness or source. A key term in legal evaluation of witnesses (*ʾaminut ha-ʿed*, "the credibility of the witness") and in journalistic and academic assessment of sources. Frequently appears in the phrase *behinat ha-ʾaminut* ("examination of credibility"). Closely related to *mehiman* and *neʾeman*. | [CORE] |
| מהימן | mehiman | trustworthy, reliable; Hif'il participial form from root א-מ-נ (ʾ-m-n), to trust, be faithful | reliable, trustworthy, credible | Evaluates persons, sources, witnesses, and information as trustworthy and credible. Used especially in legal and formal contexts to describe witnesses, testimony, or sources deemed credible. Slightly more formal than *ʾamin* and more common in written legal Hebrew. Common in legal testimony contexts (*ʿed mehiman*, "a credible witness") and in journalism. Shares a root with *ʾemet* and *ʾemunah*. The noun *mehimanut* also occurs. | [CORE] |
| אמונה | ʾemunah | faithfulness, trust, belief; from root א-מ-נ (ʾ-m-n) | faith, trust, faithfulness, reliability | Denotes both the quality of being trustworthy or faithful and the act of believing or trusting. Used in religious, moral, and interpersonal contexts; *ʾemunah* in a person implies they are reliable and honest. The root connects it to *neʾeman* ("faithful, reliable") and *maʾamin* ("believer"). | [CORE] |
| נאמן | neʾeman | faithful, loyal, trustworthy; passive/stative pattern from root א-מ-נ (ʾ-m-n), "one who is trusted" | faithful, loyal, trustworthy, reliable | Describes persons who are dependable and honest in fulfilling obligations or representing facts accurately. Used in legal contexts (*neʾeman le-ʿedut*, "competent/reliable as a witness") and in everyday moral evaluation. Also used as a title, e.g., *neʾeman bayit* ("a trusted household steward"). | [CORE] |
| כנות | kanut | sincerity, honesty; abstract noun from כָּן (*kan*, sincere, honest); root כ-נ-נ or כ-ו-נ | sincerity, honesty, genuineness, candor | Refers to the quality of being sincere or honest in one's expressions, intentions, or conduct, without concealment or pretense. Used in moral and interpersonal evaluation to evaluate whether a person's behavior or statements reflect their true inner state. Example: *medaber be-kanut* ("speaking with sincerity"). Contrasts with *sheqer* (falsehood) and *tsevʿiut* ("hypocrisy") in moral discourse. The adjective *ken* and adverb *be-kannut* ("sincerely, honestly") are closely related. | [CORE] |
| כן | ken | upright, sincere, honest; from root כ-נ-נ or כ-ו-נ | sincere, honest, candid, genuine | Describes a person or statement as straightforward and free from deception. Used in moral evaluation of persons and their speech. Example: *adam ken* ("an honest/sincere person"). Participates in derivations including *kanut* ("sincerity") and *le-hiyot ken* ("to be honest"). | [CORE] |
| שֶׁקֶר | sheqer | falsehood, lie; root ש-ק-ר (sh-q-r) | falsehood, lie, deception, fraud, untruth | The primary Hebrew term for falsehood or lying, and the primary antonym of *ʾemet*, used across moral, legal, religious, and everyday contexts. Appears in the biblical prohibition *midvar sheqer tirḥaq* ("distance yourself from falsehood") and in modern Hebrew to describe lies, false testimony, and fraudulent representations. Also used attributively, as in *ʿed sheqer* ("false witness"). Defines the negative pole against which *ʾemet* is measured. Participates in derivations such as *shakran* ("liar") and *shaqri* ("false, spurious"). | [CORE] |
| זיוף | ziyyuf | forgery, falsification; verbal noun from root ז-י-פ (z-y-f), to falsify, counterfeit | forgery, falsification, counterfeiting, fraud | Refers to the act or product of deliberately falsifying documents, artworks, currency, signatures, or other representations. A standard legal and administrative term. Example: *ziyyuf mismakh* ("document forgery"). Closely related to *mezuyaf* ("forged") and *mezayef* ("forger"). The verb *lezayef* means "to forge" or "to falsify." | [CORE] |
