| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — Postnominal adjective | חָבֵר אֲמִתִּי | *ḥaver ʾamitī* | "a genuine friend" | Standard pattern across all registers; adjective follows noun and agrees in gender, number, and definiteness. No observable register restriction. Obligatory gender/number agreement and definiteness concord are unmarked features of normal Hebrew NP syntax. | [CORE] |
| **1. ATTRIBUTION** — Attributive adjective with definiteness | עֵד מְהֵימָן | *ʿed meheymen* | "a credible witness" | Highly frequent in legal and journalistic registers; the specific collocation *ʿed meheymen* is formulaic in legal contexts. Definiteness agreement (הָעֵד הַמְּהֵימָן) is obligatory when the noun is definite. | [CORE] |
| **1. ATTRIBUTION** — Zero-copula nominal predicate | זֶה אֱמֶת | *ze ʾemet* | "That is true / That is the truth" | The zero-copula nominal predicate sentence is the unmarked, default pattern for attribution in Modern Hebrew present tense; used across all registers from colloquial to legal. No restriction on subject type or predicate class within this domain. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Predicative negation | זֶה לֹא נָכוֹן | *ze lo nakhon* | "that is not correct/wrong" | Primary negation pattern for truth-domain adjectives; used across all registers in predicative position. *ze lo nakhon* is a formulaic correction phrase in both spoken and written Hebrew. *lo* is the invariant negator and is unrestricted across registers. No morphological change to the predicate is required. Not available in attributive position directly. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Predicative negation | הַמָּקוֹר לֹא מְהֵימָן | *ha-meqor lo meheymen* | "the source is not reliable" | Standard predicative negation; the most natural way to negate a truth-domain quality in Hebrew. Restricted to predicative position; no productive negative attributive prefix is available. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Nominal negation | חוֹסֶר כַּנּוּת | *ḥoser kannut* | "lack of sincerity, insincerity" | Standard pattern for expressing negative abstract qualities in attributive-equivalent position; common in formal and written registers. The prefix אִי- is an additional productive option for -ut nominalizations. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Postnominal adjective agreement | מָקוֹר מְהֵימָן | *maqor mehiman* | "a reliable source" | Post-nominal adjective agreement is obligatory and the construction is unrestricted across registers; passive participles as modifiers (e.g., *mezuyaf*) are particularly frequent in legal and administrative contexts. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Construct state (*smikhut*) | עֵדוּת שֶׁקֶר | *ʿedut sheker* | "false testimony" | Construct state (*smikhut*) with truth-domain noun is fully productive; *ʿedut sheker* is a fixed legal collocation. Primary pattern in formal and written registers. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — Construct state (*smikhut*) | רֶגַע הָאֱמֶת | *regaʿ ha-ʾemet* | "the moment of truth" | Widely attested as a fixed phrase; used in both literal and idiomatic senses across registers. The definite construct form is obligatory here. | [CORE] |
