| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| egia | N/A (Latin script) | truth (nominal form; etymology debated, possibly related to *egi-* root; morphologically opaque root with nominal suffix *-a* as definite article) | truth, true thing, true fact, reality | The primary Basque noun for truth, used across everyday, philosophical, legal, and moral contexts. Appears in constructions such as *egia esan* ("to tell the truth") and *egia da* ("it is true"). Participates in extensive derivational patterns: *egiazko*, *egiaztatu*, *egiari*. It is the base for numerous compounds and derived forms. | [CORE] |
| egiazko | N/A | *egia* (truth) + *-zko* (adjectival/relational suffix) — "of truth," "pertaining to truth" | true, genuine, real, authentic | Adjectival form derived from *egia*, used to describe statements, objects, or persons as genuinely corresponding to reality or being what they claim to be. Contrasts with *faltsuko* or *gezurrezko* in evaluative contexts. Common in both spoken and written Basque. | [CORE] |
| egiazkoa | N/A | *egia* (truth) + *-zko* (adjectival suffix) + *-a* (definite article) | true, truthful, genuine, real, authentic | Used attributively and predicatively to describe statements, persons, or things evaluated as truthful or genuine. Contrasts with *gezurrezkoa* (false, lying). Commonly found in both spoken and written registers. Distinguishable from bare *egia* by its explicitly adjectival function. | [CORE] |
| egiazkotasun | N/A | *egiazko* (true, genuine) + *-tasun* (abstract nominal suffix) — "the quality of being true/genuine" | truthfulness, genuineness, authenticity, veracity | Abstract noun used in philosophical, theological, and formal written contexts to denote the property of being true or genuine. Less frequent in everyday speech than *egia* or *benetakotasun*, but attested in written and academic Basque. | [MARGINAL] |
| egiazkotasuna | N/A | *egiazko* (true/genuine) + *-tasun* (abstract noun suffix) + *-a* (definite article) | truthfulness, genuineness, veracity | An abstract nominal derived from *egiazkoa*, used in philosophical, theological, and formal written contexts to refer to the property of being truthful or genuine. Less common in everyday speech than the adjectival base form. | [CORE] |
| egiaztatu | N/A | *egia* (truth) + *-zta-* (verbalizing infix) + *-tu* (perfective suffix) — "to make true," "to verify" | to verify, to confirm, to authenticate, to certify, to attest | A transitive verb used in legal, administrative, scientific, and everyday contexts to denote the act of checking or confirming the accuracy or authenticity of something. Frequently appears in official documents and journalistic language. The nominal form *egiaztatze* refers to the process of verification. Participates in the same derivational family as *egia* and *egiazkoa*. | [CORE] |
| egiaztatzea | N/A | *egia* (truth) + *-zta-* (verbalizing infix) + *-tze* (verbal noun suffix) + *-a* (definite article) | verification, verifying, confirming, attesting | The verbal noun of *egiaztatu* ("to verify, to confirm, to attest"), used in legal, administrative, and scientific contexts to refer to the act of verifying or confirming the truth of something. Appears in procedural and documentary language. | [CORE] |
| egiaztatua | N/A | *egiazta-* (to verify, to certify, derived from *egia*) + *-tu* (perfective verbal suffix) + *-a* (definite article); "verified, certified" | verified, certified, confirmed, attested | Used in legal, administrative, and formal contexts to indicate that something has been officially verified or certified. Derived from the verb *egiaztatu* ("to verify, to certify"). Appears on official documents and in formal evaluative language. | [CORE] |
| gezur | N/A | lie, falsehood (root form; definite: *gezurra*) | lie, falsehood, untruth | The primary Basque term for a lie or false statement, functioning as the direct semantic opposite of *egia*. Used in moral, interpersonal, and legal contexts to evaluate statements as deliberately or factually false. Participates in compounds such as *gezurrezko* ("false, lying") and *gezurtatu* ("to falsify, to give the lie to"). | [CORE] |
| gezurra | N/A | lie, falsehood (nominal form; *gezur-* + definite *-a*; etymology unclear) | lie, falsehood, untruth | The standard term for a lie or false statement, used in moral, legal, and everyday contexts. Appears in expressions such as *gezurra esan* ("to tell a lie") and *gezurra da* ("it is false/a lie"). It is the primary antonym of *egia*. | [CORE] |
