| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| *egia* | *gezur* / *gezurra* | egia / gezurra | truth / lie; falsehood | P1 explicitly describes *gezur* as "the direct semantic opposite of *egia*," and the two terms appear as the primary binary poles of propositional evaluation in everyday Basque speech. The construction *egia da ala gezurra?* ("is it true or false?") and the paired collocation *egia eta gezurra nahastu* ("to mix truth and lies") both document this as a lexically established binary opposition. The pair also appears in *gezurra eta egia nahastu* and *gezurra eta egia bereiztea*. Both terms have parallel derivational families (*egiazkoa*/*gezurrezkoa*; *egiatasuna*/*gezurtasuna*; *egia esan*/*gezurra esan*; *egia da*/*gezurra da*) that mirror each other systematically across P1b, P2a, and P2b. The pair constitutes the baseline binary for propositional evaluation documented in P3 Group 1. | lexical | [CORE] |
| *egiazko* | *gezurrezko* | egiazko / gezurrezko | true, genuine, authentic (attributive) / false, lying, counterfeit, fake (attributive) | P1 explicitly states that *egiazko* "contrasts with *faltsuko* or *gezurrezko* in evaluative contexts." P2a explicitly states that *gezurrezkoa* contrasts directly with *egiazkoa*. Both are adjectival forms derived from their respective nominal roots via the *-zko*/*-ezko* suffix and appear in the same attributive and predicative positions. The two relational adjectives are documented as adnominal modifiers in parallel legal collocations: *egiazko lekukotasuna* ("true testimony") vs. *gezurrezko lekukotasuna* ("false testimony"), and *egiazko kopiak* ("certified true copies") vs. *gezurrezko agiriak* ("false documents"). Both are formed with the same relational suffix pattern (*-zko* / *-rezko*) on opposing base nouns. They also appear in parallel attributive collocations (*egiazko informazioa zabaldu* / *gezurrezko informazioa zabaldu*). | morphological | [CORE] |
| *egiazkoa* | *gezurrezkoa* | egiazkoa / gezurrezkoa | true, truthful, genuine (definite/predicative) / false, lying, based on lies (definite/predicative) | These are the definite predicative forms of the *egiazko*/*gezurrezko* pair (Opposition 2). P2a explicitly states that *gezurrezkoa* contrasts directly with *egiazkoa* in predicative and standalone nominal positions. The morphological alternation between the indefinite attributive form (*egiazko*) and the definite predicative form (*egiazkoa*) is documented in P1b, P2a, and P4a as a systematic positional contrast. | morphological | [CORE] |
| *egiazko* | *faltsuko* / *faltsu* | N/A | true, genuine / false, fake, insincere | P1 explicitly lists *faltsuko* as one of the contrasting terms for *egiazko* in evaluative contexts. *Faltsu* is documented as covering falseness of objects, documents, persons, and statements, overlapping with *gezurrezko* but extending to insincerity of persons. The contrast is documented in both adjectival and predicative uses. | lexical | [CORE] |
| *egiatasuna* / *egiazkotasuna* | *gezurtasuna* | N/A | truthfulness, the quality of being true / falseness, mendacity | Both are *-tasun* abstract property nominals derived from the truth and falsity roots respectively, documented in P1b and P2a as parallel in morphological structure and occupying the same abstract-property-nominal function, contrasting in the property they denote. | morphological | [CORE] |
| *zuzen* / *zuzena* | *oker* / *okerra* | zuzena / okerra | correct, right, straight / wrong, mistaken, crooked | P1 explicitly describes *oker* as "the primary antonym of *zuzen*." Both carry a spatial metaphor (straight vs. crooked) that underlies both physical and evaluative senses. The two terms appear as a documented antonym pair across epistemic (propositional correctness), moral (rightness of conduct), and spatial (straight vs. crooked) domains. Parallel constructions are attested: *zuzen egon* ("to be right") vs. *oker egon* ("to be wrong"), *zuzen ibili* ("to behave correctly") vs. *oker ibili* ("to go wrong"), *zuzen esan* ("to say correctly") vs. *oker esan* ("to say incorrectly"), *zuzen ulertu* ("to understand correctly") vs. *oker ulertu* ("to misunderstand"). The pair also appears in the fixed binary construction *zuzen ala oker* ("right or wrong") and the subordinate interrogative *zuzena den ala ez den*. Their derivational families mirror each other (*zuzentasuna*/*okertasuna*; *zuzendu*/*okertu*; *zuzenketa*/*okerkeria*). The collocation *okerra zuzendu* (to correct the error) directly combines both terms. | lexical | [CORE] |
| *zuzena* | *zuzengabea* | zuzena / zuzengabea | correct, just / unjust, unfair, incorrect, wrongful | P2a documents *zuzengabea* as a privative form of *zuzena* via the *-gabe* suffix. P2a notes it is less common than *okerra* as the antonym of *zuzena* and is attested primarily in formal registers. This is a morphological opposition on the same root, distinct from the lexical opposition in Opposition 6. | morphological | [MARGINAL] |
| *zuzen ala oker* | (fixed binary; internal contrast between the two poles) | N/A | right or wrong; correct or incorrect | This is a fixed binary construction documented in P2b that frames *zuzena* and *okerra* as the two poles of a binary evaluative choice. It is used in everyday and philosophical discourse to frame moral and epistemic evaluation as a binary. The construction itself encodes the opposition rather than either term alone. | constructional | [CORE] |
| *oker nago* / *oker zaude* | *zuzena da* / *zuzen dago* | N/A | I am wrong / you are wrong — vs. — it is correct / he/she is right | The *oker* + *egon* construction uses the stative copula *egon* to mark a contingent, reversible state of being mistaken, while the positive correctness claim uses *zuzena da* with the equative copula *da* (*izan*). This is an asymmetry documented in P4a: *egon* marks contingent states, *izan* marks inherent properties. The two constructions are not morphologically parallel despite being semantically contrasting. No single fixed positive counterpart construction to *oker nago* is attested; the positive is expressed predicatively as *zuzena da* or *zuzen dago*. | constructional | [CORE] |
| *egiaztagarri* / *egiaztagarria* | *egiaztaezin* / *egiaztaezina* | egiaztagarria / egiaztaezina | verifiable; capable of verification / unverifiable; impossible to confirm | P1b and P2a document both forms as derived from the *egiazta-* verbal stem, with *-garri* ("capable of") and *-ezin* ("impossible to") as contrasting suffixes. The opposition is morphological, realized through suffix alternation on the same verbal stem. The structural pattern parallels the *frogagarria*/*frogaezina* pair. | morphological | [CORE] |
| *egiaztagarria* | *egiaztagaitza* | egiaztagarria / egiaztagaitza | verifiable, certifiable / unverifiable, difficult to verify | These are formed from the same verbal stem *egiazta-* with the contrasting suffixes *-garri* ("capable/worthy of") and *-gaitz* ("difficult/impossible"), documented in P1b and P2a as explicit negative counterparts. They are the only attested pair in this domain using the *-garri*/*-gaitz* contrast on the same stem. | morphological | [CORE] |
| *egiaztatu* | *egiaztatu gabeko* / *egiaztatu gabe utzi* | N/A | to verify; verified / uncertified; unverified; to leave unverified | P1b and P2b document *egiaztatu gabeko* ("lacking verification") and *egiaztatu gabe utzi* ("to leave without verification") as participial constructions expressing the absence of the action named by *egiaztatu*. The contrast is morphological in that *gabe* (without, lacking) negates the participial form, and constructional in that the negation is postposed rather than prefixed. P2b documents *egiaztatu gabe utzi* as a periphrastic privative construction describing the failure to verify, contrasting the completed verification act with its deliberate or negligent omission. | morphological | [CORE] |
| *egiaztagarria* / *egiaztaezina* / *egiaztatu gabe* | (three-way contrast; see description) | N/A | verifiable (can be verified) / unverifiable (cannot be verified) / not yet verified or left unverified | These three forms from the *egiazta-* stem represent distinct contrasts that are not fully reducible to a single binary. *Egiaztagarria* vs. *egiaztaezina* is a contrast of possibility (can be verified / cannot be verified). *Egiaztatu gabe* expresses that verification has not occurred, which is distinct from impossibility. P4a notes that *-gabe* expresses absence while *ezin* expresses impossibility, and these are not interchangeable. The three-way structure is documented rather than collapsed. | morphological | [CORE] |
| *ziurtatu* | *ziurtatu gabeko* | N/A | certified; confirmed / uncertified; unconfirmed | P1b documents *ziurtatu gabeko* as the standard expression for the absence of certification, parallel to *egiaztatu gabeko*. The opposition is morphological, realized through the postposed *gabe* (without) on the participial form of *ziurtatu*. | morphological | [CORE] |
| *baliozko* / *baliozkoa* | *baliogabe* / *baliogabea* | baliozkoa / baliogabea | valid; legitimate / invalid; null; void; worthless | P1 explicitly identifies *baliogabea* as the direct antonym of *baliozkoa*. P2a documents *baliogabe* as the negative counterpart to *baliozko* within the validity paradigm. The opposition is morphological in that *gabe* (without, lacking) negates the base *balio* (value, validity), producing the antonym of the *-zko* relational adjective. *Baliozkoa* is formed with the adjectival suffix *-zko*; *baliogabea* is formed with the privative suffix *-gabe*, both on the root *balio*. The pair appears in legal and administrative contexts. | morphological | [CORE] |
| *baliozkotu* | *baliogabetu* | N/A | to validate; to ratify / to invalidate; to annul; to void; to nullify | P2a explicitly describes *baliogabetu* as "the semantic counterpart of *baliozkotu*." Both are transitive verbs used in legal and administrative contexts; *baliozkotu* confers validity and *baliogabetu* removes it. The opposition is lexical, realized through different bases (*baliozko-* vs. *baliogabe-*) with the same verbalizing suffix *-tu*. They are the only attested causative pair in this domain built on the same base with contrasting *-zko* and *-gabe* morphology. | lexical | [CORE] |
| *balioa galdu* | *balioa eman* | N/A | to lose value, to depreciate / to give value to, to validate | P1b documents both collocations. Both use *balioa* as object with contrasting verbs (*galdu*, to lose; *eman*, to give). The contrast is between the diminishment and the attribution of value, expressed through opposing verbs in the same nominal collocation frame. | constructional | [CORE] |
