| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.1 | Gauzak okertu dira | Gauzak okertu dira | [CORE] | Documented in P1b 3.22; P2a 7.2; P4a §4; P4b as the primary attested inchoative example in the truth domain. |
| 1.2 | Egoera okertu da | Egoera okertu da | [CORE] | Documented in P2a. The *da* auxiliary marks the intransitive change-of-state. |
| 1.3 | Egurra okertu da | Egurra okertu da | [CORE] | Documented in P1b Step 3 Peripheral Extensions as a peripheral use applied to physical deformation. |
| 1.4 | Sistema usteldu da | Sistema usteldu da | [CORE] | Documented in P2a 22.2. Both physical and moral/political inchoative readings documented. |
| 1.5 | Baldintzetara egokitu | Baldintzetara egokitu | [CORE] | Documented in P2a 19.2. Allative *-ra* marks the target state or context of adaptation. |
| 1.6 | Akatsa zuzendu egin da | Akatsa zuzendu egin da | [CORE] | Documented in P2a. Change-of-state reading supported by context. |
| 1.7 | Jarduera hori zilegitu egin da | Jarduera hori zilegitu egin da | [MARGINAL] | Documented in P2a D24.3 as marginal. The *bihurtu* periphrastic noted as more productive alternative. |
| 1.8 | Erakundea gardendu da | Erakundea gardendu da | [MARGINAL] | Documented in P2a. Rated [MARGINAL] reflecting lower frequency relative to nominal *gardentasun* and adjectival *garden*. |
| 1.9 | Zintzotu da | Zintzotu da | [CORE] | Documented in P2a, P4a (Construction 4) as the primary attested inchoative in the moral-character domain. |
| 2.1 | Bere aurreikuspena egia bihurtu da. | Bere aurreikuspena egia bihurtu da. | [CORE] | *Bihurtu* is the general inchoative strategy documented in P4a §4. No suffixed *-tu* inchoative from *egia* is attested. |
| 2.2 | Gezurra egia bihurtu da. | Gezurra egia bihurtu da. | [CORE] | Attested as a rhetorical construction. Both P1 nominals appear with *bihurtu* marking the transition. |
| 2.3 | Itxurazko maitasuna benetakoa bihurtu da. | Itxurazko maitasuna benetakoa bihurtu da. | [CORE] | Combines *itxurazko* with *benetakoa* via *bihurtu*. Encodes transition from appearance to genuine status. |
| 2.4 | Agiri hori baliozkoa bihurtu da. | Agiri hori baliozkoa bihurtu da. | [CORE] | Standard *bihurtu* inchoative with *baliozkoa* as complement. Used in administrative and legal contexts. |
| 2.5 | Kontratu hori baliogabea bihurtu da. | Kontratu hori baliogabea bihurtu da. | [CORE] | *Bihurtu* with *baliogabea* as complement. |
| 2.6 | Agiri hori baliogabetu egin da. | Agiri hori baliogabetu egin da. | [CORE] | *Baliogabetu* with auxiliary *egin da* marks the change-of-state. |
| 2.7 | Egia gezurra bihurtu da. | Egia gezurra bihurtu da. | [CORE] | Rhetorical construction; reverse of *gezurra egia bihurtu da*. No suffixed *-tu* inchoative from *gezurra* is attested. |
| 2.8 | Bere kontakizuna sinesgarria bihurtu da. | Bere kontakizuna sinesgarria bihurtu da. | [CORE] | Standard *bihurtu* inchoative. No suffixed *-tu* inchoative from *sines-* in this sense is attested. |
| 2.9 | Iturri hori fidagaitza bihurtu da. | Iturri hori fidagaitza bihurtu da. | [CORE] | *Bihurtu* with *fidagaitza* as complement. No suffixed *-tu* inchoative from *fida-* in this sense is attested. |
| 2.10 | Erantzuna zuzena bihurtu da. | Erantzuna zuzena bihurtu da. | [CORE] | *Bihurtu* with *zuzena* as complement. |
| 3.1 | Akatsak zuzendu ditu | Akatsak zuzendu ditu | [CORE] | Documented in P1b 3.4; P2a 6.2; P4a §5; P4b. |
| 3.2 | Akatsak zuzendu | Akatsak zuzendu | [CORE] | Documented in P1b 3.4; P2a 6.2; P4a §5; P4b. Object bears absolutive case. |
| 3.3 | Oker zuzendu | Oker zuzendu | [CORE] | Documented in P1b and P2b. |
| 3.4 | Bidegabekeria zuzendu | Bidegabekeria zuzendu | [CORE] | Documented in P2a. |
| 3.5 | Gutuna zuzendu | Gutuna zuzendu | [CORE] | Documented in P2a. |
| 3.6 | Epaia baliogabetu | Epaia baliogabetu | [CORE] | Documented in P2a 11.5; P4a §5; P4b. |
| 3.7 | Epaileak kontratua baliogabetu du | Epaileak kontratua baliogabetu du | [CORE] | Documented in P2a D12.3 as the standard legal verb for this act. |
| 3.8 | Epaileak erabakia baliogabetu du | Epaileak erabakia baliogabetu du | [CORE] | Documented in P2a. |
| 3.9 | Baliozkotu | Baliozkotu | [MARGINAL] | Documented in P2a 11.3. No specific example sentence provided in CONTEXT beyond the verb description. |
| 3.10 | Ofizialki baliozkotu dute erabakia | Ofizialki baliozkotu dute erabakia | [MARGINAL] | Documented in P2b as *ofizialki baliozkotu*. |
| 3.11 | Boterea legitimatu | Boterea legitimatu | [CORE] | Documented in P2a 12.2. Used in political and legal discourse. |
| 3.12 | Zilegitu | Zilegitu | [MARGINAL] | Documented in P2a 13.3. No specific example sentence provided. |
| 3.13 | Datuak egiaztatu ditu | Datuak egiaztatu ditu | [CORE] | Documented in P1, P2b, P4a. |
| 3.14 | Datuak egiaztatu | Datuak egiaztatu | [CORE] | Documented in P1b 1.6; P2a 1.5–1.6; P4a §11 (note). |
| 3.15 | Sinadura egiaztatu | Sinadura egiaztatu | [CORE] | Documented in P1b 1.6. |
| 3.16 | Behar bezala egiaztatu | Behar bezala egiaztatu | [CORE] | Documented in P2b. |
| 3.17 | Sinadura autentifikatu | Sinadura autentifikatu | [CORE] | Documented in P2a 15.2. Used in legal, administrative, and digital security contexts. |
| 3.18 | Agiriak faltsifikatu ditu | Agiriak faltsifikatu ditu | [CORE] | Documented in P2b. |
| 3.19 | Datuak faltsifikatu ditu | Datuak faltsifikatu ditu | [CORE] | Documented in P2b. |
