| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Se on tosi. | Se on tosi. | [CORE] | The standard copular predication pattern; occurs across all registers from casual speech to formal writing. |
| 2 | Se on totta. | Se on totta. | [CORE] | Ubiquitous across all registers for truth-value and property attribution. The partitive *totta* is obligatory in this specific construction. |
| 3 | Väite on perusteeton. | Väite on perusteeton. | [CORE] | Standard evaluative construction in journalistic, legal, and academic registers. |
| 4 | Väite on epätosi. | Väite on epätosi. | [CORE] | More formal than *Se on tosi*; *epätosi* is more characteristic of written and academic registers than spoken Finnish. |
| 5 | Se ei pidä paikkaansa. | Se ei pidä paikkaansa. | [CORE] | The fixed expression *ei pidä paikkaansa* is the most colloquial and frequent form for propositional falsity; preferred in spoken and informal written Finnish over *ei ole tosi*. |
| 6 | Väite ei pidä paikkaansa. | Väite ei pidä paikkaansa. | [CORE] | Common in journalistic and academic registers for evaluative assessment of specific claims. |
| 7 | Tämä allekirjoitus ei ole aito. | Tämä allekirjoitus ei ole aito. | [CORE] | Standard negated copular construction; used in legal, forensic, and everyday contexts. |
| 8 | Kuvaus ei ole todenmukainen. | Kuvaus ei ole todenmukainen. | [CORE] | Available for all adjectives; more frequent in spoken registers than *epä-* prefixation. |
| 9 | Lähde on epäluotettava. | Lähde on epäluotettava. | [CORE] | *Epä-* prefixation is productive and common in formal and written registers; preferred when a stable negative property is being attributed. |
| 10 | luotettava lähde | luotettava lähde | [CORE] | Fully productive and unrestricted; extremely frequent in journalistic and evaluative contexts. |
| 11 | perusteeton syytös | perusteeton syytös | [CORE] | Common in legal, journalistic, and administrative discourse. |
| 12 | todenmukainen kuvaus | todenmukainen kuvaus | [CORE] | Standard attributive pattern across all registers. |
| 13 | virheellinen tieto | virheellinen tieto | [CORE] | The standard attributive pattern in Finnish; all P1 adjectives occur productively in this position. |
| 14 | Väite osoittautui epätodeksi. | Väite osoittautui epätodeksi. | [CORE] | Productive general-purpose inchoative for truth-domain adjectives; common in journalistic and analytical discourse. |
| 15 | Ennuste osoittautui oikeaksi. | Ennuste osoittautui oikeaksi. | [CORE] | Standard inchoative construction for truth-domain adjectives and nouns; common in journalistic, scientific, and everyday narrative registers. |
