| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Correctness and Accuracy | This group includes terms used to evaluate whether statements, information, or answers correspond to facts or reality, particularly in contexts where precision and correctness can be objectively verified. These terms are commonly used in educational, technical, and informational contexts to distinguish correct from incorrect information, and often appear in contexts involving verification, measurement, or testing. | სწორი (sts'ori) — "correct, right, proper"; მართალი (mart'ali) — "right, correct" (when evaluating factual claims); ზუსტი (zusti) — "precise, exact, accurate"; მცდარი (mts'dari) — "erroneous, mistaken, false"; სწორი პასუხი (sts'ori p'asukhi) — "correct answer"; ზუსტი ინფორმაცია (zusti inpormatsia) — "accurate information"; მცდარი ინფორმაცია (mts'dari inpormatsia) — "false information"; შეცდომა (shets'doma) — "mistake, error"; გასწორება (gasts'oreba) — "correction, rectification"; სიზუსტე (sizuste) — "precision, exactness" | მართალი (mart'ali) — overlaps with moral/justice domain when describing persons rather than statements; ადეკვატური (adek'vat'uri) — can evaluate both factual accuracy and appropriateness | |
| Authenticity and Genuineness | This group contains terms that distinguish real, original, or genuine things from fake, counterfeit, or artificial ones. These terms are particularly common in contexts involving material objects, documents, cultural artifacts, personal identity, and emotional sincerity. The focus is on whether something is what it claims or appears to be, rather than on factual correctness of statements. | ნამდვილი (namdvili) — "real, genuine, authentic"; ყალბი (q'albi) — "false, fake, counterfeit"; ავთენტური (avt'ent'uri) — "authentic, genuine"; ბუნებრივი (bunebrivi) — "natural, genuine"; ხელოვნური (khelovnuri) — "artificial, man-made"; ნაღდი (naghdi) — "real, genuine" (metaphorical use); ნამდვილი მეგობარი (namdvili megobari) — "true friend"; ყალბი ფული (q'albi puli) — "counterfeit money"; გაყალბება (gaq'albeba) — "falsification, counterfeiting"; ნამდვილობა (namdviloba) — "reality, genuineness, authenticity"; ავთენტური ნამუშევარი (avt'ent'uri namushevarი) — "authentic work"; ბუნებრივი ქცევა (bunebrivi ktseva) — "natural behavior, genuine behavior" | ჭეშმარიტი (ch'eshmarit'i) — can describe both authentic things and true statements; რეალური (realuri) — overlaps with existence/actuality domain | |
| Deception and Lying | This group includes terms specifically related to deliberate falsehood, lying, and deception. These terms focus on intentional misrepresentation and dishonesty in speech or behavior, and are commonly used in moral evaluation of persons and their actions. The emphasis is on the intent to deceive rather than mere error or mistake. | ტყუილი (t'q'uili) — "lie, falsehood"; მატყუარა (mat'q'uara) — "liar, deceiver"; მოტყუება (mot'q'ueba) — "deception, deceiving"; ლიცემერი (lits'emeri) — "hypocritical, two-faced"; ლიცემერება (lits'emereba) — "hypocrisy, insincerity"; ტყუილს ამბობს (t'q'uils ambobs) — "tells lies, is lying"; ტყუილის თქმა (t'q'uilis t'q'ma) — "lying, telling lies"; მოტყუებული (mot'q'uebuli) — "deceived, cheated"; თვითმოტყუება (tvitmot'q'ueba) — "self-deception"; ტყუილი დაპირება (t'q'uili dap'ireba) — "false promise" | ყალბი (q'albi) — primarily about counterfeit objects, but can describe deceptive representations; მცდარი (mts'dari) — focuses on error rather than deliberate deception | |
| Sincerity and Emotional Genuineness | This group contains terms that evaluate whether emotions, expressions, or personal conduct are genuine and heartfelt versus affected or insincere. These terms are particularly common in contexts involving personal relationships, emotional expression, and character evaluation. The focus is on the alignment between inner feelings and outward expression. | გულწრფელი (gults'rpeli) — "sincere, honest, genuine"; ლიცემერი (lits'emeri) — "hypocritical, two-faced, insincere"; გულწრფელობა (gults'rpeloba) — "sincerity, honesty"; გულწრფელი სიყვარული (gults'rpeli siq'varuli) — "sincere love"; გულწრფელი მადლობა (gults'rpeli madloba) — "sincere thanks"; ნამდვილი სიყვარული (namdvili siq'varuli) — "true love, real love"; ტყუილი სიხარული (t'q'uili sikharuli) — "false joy, feigned happiness"; ხელოვნური ქცევა (khelovnuri ktseva) — "artificial behavior, affected behavior" | ნამდვილი (namdvili) — can describe both authentic objects and genuine emotions; ბუნებრივი (bunebrivi) — can describe both natural phenomena and genuine behavior | |
| Reliability and Trustworthiness | This group includes terms used to evaluate whether sources, persons, or information can be trusted or relied upon. These terms are particularly common in contexts involving information verification, source evaluation, and character assessment. The focus is on dependability and credibility rather than factual accuracy per se. | სანდო (sando) — "reliable, trustworthy, credible"; საეჭვო (saech'vo) — "doubtful, questionable, dubious"; დამაჯერებელი (damajerebeli) — "convincing, believable, credible"; უტყუარი (ut'q'uari) — "infallible, unerring"; სანდო წყარო (sando ts'q'aro) — "reliable source"; საეჭვო ინფორმაცია (saech'vo inpormatsia) — "doubtful information"; დამაჯერებელი მტკიცებულება (damajerebeli mt'k'itsebuleba) — "convincing evidence"; სანდოობა (sandooba) — "reliability, trustworthiness"; ეჭვი (ech'vi) — "doubt, suspicion" | მართალი (mart'ali) — can describe trustworthy persons but primarily evaluates correctness; დამაჯერებლობა (damajerebloba) — relates to persuasiveness which overlaps with credibility | |
| Moral Rightness and Justice | This group contains terms that evaluate actions, persons, or situations according to moral or legal standards of justice and fairness. These terms are particularly common in legal, political, and moral discourse, and often involve evaluation of conduct, decisions, and social arrangements. The focus is on ethical and legal rightness rather than factual correctness. | სამართლიანი (samart'liani) — "just, fair, righteous"; მართალი (mart'ali) — "righteous, just" (when describing persons or conduct); სამართალი (samart'ali) — "law, justice"; უსამართლობა (usamart'loba) — "injustice, unlawfulness"; სამართლიანობა (samart'lianoba) — "justice, fairness"; მართალი კაცი (mart'ali k'atsi) — "righteous man, just person"; სამართლიანი სასამართლო (samart'liani sasamart'lo) — "fair trial"; მართლმსაჯულება (mart'lmsajuleba) — "justice, jurisprudence"; გამართლება (gamart'leba) — "justification, vindication" | მართალი (mart'ali) — also used for factual correctness; მართებული (mart'ebuli) — can mean both justified and well-founded | |
| Reality versus Appearance | This group includes terms that distinguish how things actually are from how they appear or seem to be. These terms are particularly common in analytical and philosophical contexts where surface appearances may be misleading. The focus is on the contrast between underlying reality and superficial manifestation. | რეალური (realuri) — "real, actual"; მოჩვენებითი (moch'venebiti) — "apparent, seeming, ostensible"; ზედაპირული (zedap'iruli) — "superficial, surface-level"; არსებითი (arsebiti) — "essential, substantial"; რეალობა (realoba) — "reality"; მოჩვენება (moch'veneba) — "appearance, seeming"; ზედაპირი (zedap'iri) — "surface, exterior"; არსება (arseba) — "being, existence, essence"; ნამდვილი სახე (namdvili sakhe) — "true face, real nature"; მოჩვენებითი სიმართლე (moch'venebiti simart'le) — "apparent truth"; ზედაპირული მსგავსება (zedap'iruli msgavseba) — "superficial resemblance" | ნამდვილი (namdvili) — emphasizes genuineness but also relates to reality; ბუნებრივი (bunebrivi) — can contrast with artificial or with affected | |
| Objectivity and Subjectivity | This group contains terms that distinguish evaluations or representations based on their independence from or dependence on personal perspective. These terms are particularly common in academic, journalistic, and formal analytical discourse. The focus is on the relationship between the evaluator's perspective and what is being evaluated. | ობიექტური (obiek't'uri) — "objective, impartial"; სუბიექტური (subiek't'uri) — "subjective, personal"; ობიექტურობა (obiek't'uroba) — "objectivity, impartiality"; სუბიექტურობა (subiek't'uroba) — "subjectivity"; ობიექტური რეალობა (obiek't'uri realoba) — "objective reality"; სუბიექტური აზრი (subiek't'uri azri) — "subjective opinion"; ობიექტური შეფასება (obiek't'uri shepaseba) — "objective evaluation" | None clearly identified — this is a relatively distinct semantic domain in Georgian | |
| Fiction versus Fact | This group includes terms that distinguish invented or imaginary content from factual or historical content. These terms are particularly common in literary, narrative, and investigative contexts. The focus is on whether content is created by imagination or corresponds to actual events. | ფიქტიური (pik't'iuri) — "fictitious, fictional, invented"; ფიქცია (pik'tsia) — "fiction"; ნამდვილი ისტორია (namdvili ist'oria) — "true story, real history"; ფიქტიური პერსონაჟი (pik't'iuri p'ersonazhi) — "fictional character"; რეალური ცხოვრება (realuri tskhovreba) — "real life" | ტყუილი (t'q'uili) — primarily about deliberate lies but can describe invented content; ნამდვილი (namdvili) — emphasizes genuineness across multiple domains | |
