| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| 真实 (zhēnshí) | 真实性 | zhēnshíxìng | true + solid/real + -ness/-ity (nominalizing suffix) | truthfulness, authenticity, veracity, factual accuracy (as a property) | The nominalized form of 真实, used to name the property of being truthful or authentic as an abstract quality subject to evaluation or measurement. Extremely common in legal, journalistic, literary-critical, and heritage discourse: 新闻报道的真实性 (the truthfulness of news reporting), 历史真实性 (historical authenticity), 证据的真实性 (the authenticity of evidence), 核实其真实性 (to verify its authenticity/accuracy). This is one of the most productive and well-established 性-nominalizations in the truth domain. | [CORE] |
| 虚假 (xūjiǎ) | 虚假性 | xūjiǎxìng | empty/hollow + false + -ness/-ity | falseness, spuriousness, fraudulent nature, the quality of being fictitious or deceptive | Nominalizes 虚假 to name the abstract property of being false or deceptive, used in legal, philosophical, and analytical discourse: 陈述的虚假性 (the falseness of a statement), 广告的虚假性 (the fraudulent nature of the advertisement). Less frequent than 真实性 but attested in regulatory and academic writing. | [CORE] |
| 正确 (zhèngquè) | 正确性 | zhèngquèxìng | upright/correct + certain/precise + -ness/-ity | correctness, accuracy, rightness (as a property) | Nominalizes 正确 to name the abstract property of being correct, used in philosophical, logical, mathematical, scientific, and evaluative discourse: 判断的正确性 (the correctness of a judgment), 验证其正确性 (to verify its correctness), 论证的正确性 (the correctness of an argument), 结论的正确性 (the correctness of a conclusion), 政策的正确性 (the correctness of the policy). Well-attested across academic and technical registers. | [CORE] |
| 准确 (zhǔnquè) | 准确性 | zhǔnquèxìng | standard/level + certain/precise + -ness/-ity | accuracy, precision, exactness | Nominalizes 准确 to name the abstract property of being precise or exact, used in scientific, statistical, technical, journalistic, and legal contexts: 测量的准确性 (the accuracy of measurement), 翻译的准确性 (the accuracy of a translation), 提高准确性 (to improve accuracy), 数据的准确性 (the accuracy of the data). One of the most frequently used 性 nominalizations in this semantic field. | [CORE] |
| 可靠 (kěkào) | 可靠性 | kěkàoxìng | can + lean on/depend on + -ness/-ity | reliability, dependability, trustworthiness | Nominalizes 可靠 to name the abstract property of being reliable, used extensively in engineering, statistics, legal, and evaluative discourse: 数据的可靠性 (the reliability of data), 系统可靠性 (system reliability), 证人的可靠性 (the reliability of a witness), 信息来源的可靠性 (the reliability of the information source). One of the most frequent 性-nominalizations in technical Chinese. Particularly productive in technical and quality-assurance discourse. | [CORE] |
| 诚实 (chéngshí) | 诚实性 | chéngshíxìng | sincere/honest + solid/real + -ness/-ity | honesty, the quality of being honest or sincere | Nominalizes 诚实 to name the abstract property of honesty, used in ethical, psychological, and educational discourse: 诚实性测试 (honesty test), 评估其诚实性 (to assess one's honesty), 诚实性原则 (the principle of honesty). Less common than 诚实 itself, which already functions as a noun in many contexts. Attested in formal and academic registers. | [MARGINAL] |
| 本质 (běnzhì) | 本质性 | běnzhìxìng | root/origin + substance/nature + -ness/-ity | essential character, fundamentality (as a property) | Refers to the property of being essential or fundamental, used in philosophical and analytical discourse: 本质性差异 (an essential difference), 本质性变化 (a fundamental change). Attested but less common than 本质 alone. | [MARGINAL] |
| 实质 (shízhì) | 实质性 | shízhìxìng | solid/real + substance/nature + -ness/-ity | substantive character, substantiality (as a property); substantive (as an attributive adjective) | Used as an attributive adjective meaning "substantive" or "of real substance," particularly in legal and diplomatic discourse: 实质性进展 (substantive progress), 实质性问题 (substantive issue). Functions both as a derived property noun and as an attributive modifier. Well-attested in formal registers. | [CORE] |
| 真诚 (zhēnchéng) | 真诚性 | zhēnchéngxìng | true + sincere/honest + -ness/-ity | sincerity, genuineness, the quality of being sincere | Nominalizes 真诚 to name the abstract property of sincerity, used in philosophical, psychological, and interpersonal discourse: 情感的真诚性 (the sincerity of an emotion). Attested in academic and formal writing, though less common in everyday speech than the base adjective. | [MARGINAL] |
| 真 (zhēn) | 真性 | zhēnxìng | true/genuine + -ness (nominalizing suffix 性) | genuine nature, true character; (medical) true, genuine (as a classifier) | Used primarily in medical and technical contexts as a classifier meaning "genuine" or "true" as opposed to a superficially similar but distinct condition: 真性近视 (true myopia, as opposed to pseudomyopia), 真性糖尿病 (true diabetes). Less common as a standalone abstract noun. Direct derivation from 真 alone via -性 is not standard in the truth-evaluation domain; 真性 is domain-restricted to medical/technical classifier use. | [MARGINAL] |
| 合法 (héfǎ) | 合法性 | héfǎxìng | conform to + law + -ness (nominalizing suffix 性) | legality, legitimacy, lawfulness | The nominalized abstract property form of 合法. Extremely common in legal, political, and philosophical discourse to refer to the property of being lawful or legitimate: 质疑其合法性 (to question its legitimacy), 政权的合法性 (the legitimacy of the regime). Also used in political philosophy as a translation of "legitimacy" in the Weberian sense. | [CORE] |
| 违法 (wéifǎ) | 违法性 | wéifǎxìng | violate + law + -ness (nominalizing suffix 性) | illegality, unlawfulness; the quality of being in violation of the law | The nominalized abstract property form of 违法. Used in legal and analytical contexts to refer to the property of being illegal or unlawful: 行为的违法性 (the illegality of the conduct), 认定违法性 (to determine illegality). A standard term in Chinese legal theory and criminal law doctrine. | [CORE] |
| 欺骗 (qīpiàn) | 欺骗性 | qīpiànxìng | deceive + cheat/trick + -ness (nominalizing suffix 性) | deceptiveness, the quality of being deceptive or misleading | The nominalized abstract property form of 欺骗. Used in legal, journalistic, and analytical contexts to characterize the deceptive quality of an act, statement, or practice: 广告的欺骗性 (the deceptiveness of the advertisement), 具有欺骗性 (to be deceptive in nature). Well attested in consumer protection and legal discourse. | [CORE] |
| 现实 (xiànshí) | 现实性 | xiànshíxìng | present/manifest + real/actual + -ness (nominalizing suffix 性) | reality, realism; the quality of being realistic or feasible | The nominalized abstract property form of 现实. Used in philosophical, political, and practical contexts to refer to the property of being realistic or grounded in actual conditions: 方案的现实性 (the feasibility/realism of the plan), 黑格尔的现实性概念 (Hegel's concept of actuality). Also used in Marxist philosophical discourse as a translation of "actuality" or "reality." | [CORE] |
| 实用 (shíyòng) | 实用性 | shíyòngxìng | real/actual + use/function + -ness (nominalizing suffix 性) | practicality, utility, usefulness | The nominalized abstract property form of 实用. Extremely common in design, engineering, consumer, and everyday contexts to refer to the property of being practically useful: 注重实用性 (to emphasize practicality), 产品的实用性 (the utility of the product). One of the most frequently used 性 nominalizations in product and design discourse. | [CORE] |
| 实际 (shíjì) | 实际性 | shíjìxìng | real/actual + border/boundary/occasion + -ness (nominalizing suffix 性) | practicality, the quality of being actual or practical | The nominalized abstract property form of 实际. Used in formal and analytical contexts to refer to the property of being practical or grounded in reality. Less common than 实际 itself, which already functions as a noun and adverb. Attested primarily in academic and philosophical writing. | [MARGINAL] |
| 务实 (wùshí) | 务实性 | wùshíxìng | engage in/attend to + real/actual + -ness (nominalizing suffix 性) | pragmatism, the quality of being practical and results-oriented | The nominalized abstract property form of 务实. Used in political, administrative, and analytical contexts to refer to the quality of being pragmatic: 强调务实性 (to emphasize pragmatism), 政策的务实性 (the pragmatic character of the policy). Attested but less common than the base form 务实. | [MARGINAL] |
| 写实 (xiěshí) | 写实性 | xiěshíxìng | depict/write + real/actual + -ness (nominalizing suffix 性) | realism, the quality of being realistic (in representation) | The nominalized abstract property form of 写实. Used in art criticism and literary theory to refer to the quality of realistic depiction: 作品的写实性 (the realism of the work), 强调写实性 (to emphasize realistic representation). Less common than 写实主义 but attested in critical discourse. | [MARGINAL] |
| 假设 (jiǎshè) | 假设性 | jiǎshèxìng | false/hypothetical + set up/establish + -ness (nominalizing suffix 性) | hypothetical nature, the quality of being hypothetical or conjectural | The nominalized abstract property form of 假设. Used in logical, philosophical, and academic contexts to refer to the property of being hypothetical or conjectural: 命题的假设性 (the hypothetical character of the proposition), 具有假设性 (to be hypothetical in nature). Attested in academic writing. | [MARGINAL] |
| 错误 (cuòwù) | 错误性 | cuòwùxìng | wrong/mistaken + error/mistake + -ness (nominalizing suffix 性) | erroneousness, the quality of being mistaken or wrong | The nominalized abstract property form of 错误. Used in formal and analytical contexts to refer to the property of being erroneous: 认识的错误性 (the erroneousness of a cognition). Considerably less common than 正确性; 错误 itself already functions as a noun in many contexts, reducing the need for the 性 form. | [MARGINAL] |
| 伪科学 (wěi kēxué) | 伪科学性 | wěikēxuéxìng | false/spurious + science + -ness/-ity | pseudoscientific character, the quality of being pseudoscientific | Nominalizes 伪科学 to name the property of being pseudoscientific, used in critical and academic discourse evaluating claims or practices: 这种理论具有伪科学性 (this theory has a pseudoscientific character). Less common than the base form; appears in academic and journalistic writing. | [MARGINAL] |
| 假 (jiǎ) | 假性 | jiǎxìng | false + -ness/-ity / false + nature | pseudo-, false (as a medical or technical prefix-like modifier); spurious quality | In medical and technical Chinese, 假性 functions as a bound modifier meaning "pseudo-" or "false," appearing in terms such as 假性近视 (pseudomyopia), 假性肥大 (pseudohypertrophy). It is debatable whether this represents suffixation of 假 or a compound with 性 functioning as a noun meaning "nature/type." The pattern is productive in medical terminology but the analysis as derivation is uncertain. | [UNCERTAIN] |
| 真实 (zhēnshí) | 真实化 | zhēnshíhuà | true + solid/real + -ize (verbalizing/nominalizing suffix) | to make realistic, to render authentic, realization (in the sense of making real) | Used in literary, cinematic, aesthetic, and media contexts to describe the process of making a representation more faithful to reality or more realistic: 人物形象的真实化 (the rendering of character images as more realistic), 角色真实化 (making characters more realistic), 场景真实化 (rendering scenes more authentic). Less common than the base form; appears primarily in written critical discourse. | [MARGINAL] |
| 客观 (kèguān) | 客观化 | kèguānhuà | guest/external + observe/view + -ize | to objectify, to render objective, objectification (in the epistemological sense) | Describes the process of making something more objective or of treating something as an external object of study. Used in philosophical and social-scientific discourse: 知识的客观化 (the objectification of knowledge). Less common than 客观性. | [MARGINAL] |
| 主观 (zhǔguān) | 主观化 | zhǔguānhuà | master/internal + observe/view + -ize | to subjectivize, to render subjective | Describes the process of introducing subjective elements into what might otherwise be treated as objective. Used in philosophical and critical discourse. Less common than 主观性 and appears primarily in academic writing. | [MARGINAL] |
| 正确 (zhèngquè) | 正确化 | zhèngquèhuà | correct/right + -ize | to make correct; correction; rectification | Attested in administrative and educational discourse to mean the process of making something correct or bringing it into conformity with a standard: 答案正确化 (making answers correct). Less common than 纠正 (to correct) for the same meaning; 正确化 is more formal and process-oriented. | [MARGINAL] |
| 虚假 (xūjiǎ) | 虚假化 | xūjiǎhuà | empty/hollow + false + -ize | to become falsified; falsification (as a process) | Attested in critical and analytical discourse to describe a process by which something becomes false or is rendered fraudulent: 信息虚假化 (the falsification of information). Not highly frequent but attested in journalistic and academic writing. | [MARGINAL] |
| 本质 (běnzhì) | 本质化 | běnzhìhuà | root/origin + substance/nature + -ize | to essentialize; essentialization | Used in critical theory and social science discourse to describe the act of treating contingent or constructed characteristics as essential or fixed: 对文化的本质化理解 (an essentialized understanding of culture). Corresponds to the English critical theory term "essentialize/essentialization." Attestation is limited; not in common general use. | [MARGINAL] |
| 现实 (xiànshí) | 现实化 | xiànshíhuà | present/manifest + real/actual + -ize (verbalizing suffix 化) | to make real, to realize, to actualize; to become realistic | Used to describe the process of making something concrete or actual, as opposed to keeping it at the level of abstraction or ideal: 将计划现实化 (to actualize a plan), 将目标现实化 (to actualize a goal), 理想现实化 (to make ideals real). Overlaps with 实现 (to realize/achieve) but emphasizes the process of concretization. Less common than 实现; attested in formal and analytical contexts. | [MARGINAL] |
| 合法 (héfǎ) | 合法化 | héfǎhuà | conform to + law + -ize (verbalizing suffix 化) | to legalize, to legitimize; legalization | Used in legal, political, and social discourse to describe the process of making something legally permissible or officially recognized: 大麻合法化 (legalization of cannabis), 将非正式行为合法化 (to legalize informal practices). Productive and well attested across registers. | [CORE] |
| 道德 (dàodé) | 道德化 | dàodéhuà | way/principle + virtue/power + -ize (verbalizing suffix 化) | to moralize, to make moral; moralization | Used in sociological, critical, and everyday contexts to describe the process of framing something in moral terms or imposing moral standards on a domain: 将问题道德化 (to moralize an issue), 过度道德化 (excessive moralization). Carries a somewhat critical connotation in contemporary usage, suggesting inappropriate or excessive application of moral judgment. | [CORE] |
| 欺骗 (qīpiàn) | 欺骗者 | qīpiànzhě | deceive + cheat + -er (agentive suffix) | deceiver; one who deceives | Refers to a person who engages in deception. Used in moral, legal, and analytical discourse. Less common than 骗子 (piànzi, swindler/cheat) in everyday speech but attested in formal and written contexts. | [MARGINAL] |
| 伪造 (wěizào) | 伪造者 | wěizàozhě | false/spurious + make/fabricate + -er (agentive suffix) | forger; fabricator; counterfeiter; one who forges | Refers to a person who forges documents, signatures, currency, or objects. Used in legal and journalistic contexts: 文件伪造者 (document forger), 货币伪造者 (currency counterfeiter). Attested in legal texts and journalistic reporting on forgery cases. | [CORE] |
| 伪装 (wěizhuāng) | 伪装者 | wěizhuāngzhě | false/spurious + dress/disguise + -er (agentive suffix) | one who disguises; impostor; masquerader | Refers to a person who conceals their true identity or nature through disguise or pretense. Attested in literary, military, and political discourse. | [CORE] |
| 假冒 (jiǎmào) | 假冒者 | jiǎmàozhě | false/fake + pass off as + -er (agentive suffix) | impersonator; one who passes off fakes as genuine | Refers to a person who impersonates another or passes off counterfeit goods as genuine. Attested in legal | [CORE] |
