| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.1 | 经过长达三年的调查，案件真相终于大白。 | Jīngguò cháng dá sān nián de diàochá, ànjiàn zhēnxiàng zhōngyú dàbái. | [CORE] | Primary lexicalized inchoative in the domain; 大白 functions as a resultative complement expressing transition from concealment to full revelation. Standard journalistic narrative construction. |
| 1.2a | 事发初期真相不明 | shì fā chūqī zhēnxiàng bù míng | [CORE] | Epistemic uncertainty frame; common in journalistic narrative of investigative processes. |
| 1.2b | 经过调查后真相大白 | jīngguò diàochá hòu zhēnxiàng dàbái | [CORE] | Epistemic clarity frame following investigative process; common in journalistic narrative. |
| 1.3 | 两人本是演戏，没想到弄假成真，真的相爱了。 | Liǎng rén běn shì yǎnxì, méi xiǎngdào nòng jiǎ chéng zhēn, zhēn de xiāng'ài le. | [CORE] | Fixed four-character expression; encodes unintended or ironic transition from pretense to genuine state. Not syntactically productive; no parallel forms attested. |
| 1.4 | 假戏真做，竟然做成真的了。 | Jiǎxì zhēn zuò, jìngrán zuò chéng zhēn de le. | [CORE] | Fixed four-character expression; performative frame maintained even as execution becomes genuine. Distinct from 弄假成真. |
| 1.5a | 报道变得失实了。 | Bàodào biàn de shīshí le. | [CORE] | Inchoative framing of 失实; natural in journalistic and legal evaluative discourse. Change of state is also lexically encoded in 失实 itself. |
| 1.5b | 录音变得失真了。 | Lùyīn biàn de shīzhēn le. | [CORE] | Inchoative framing of 失真; attested and natural in both technical and evaluative contexts. |
| 1.5c | 这部电影变得越来越真实了。 | Zhè bù diànyǐng biàn de yuèláiyuè zhēnshí le. | [MARGINAL] | Inchoative frame with 真实 is less common; more natural with degree modifier 越来越 than as bare change-of-state assertion. |
| 1.5d | 他的判断变得正确了。 | Tā de pànduàn biàn de zhèngquè le. | [MARGINAL] | Grammatically well-formed but pragmatically unusual; correctness typically evaluated as static property rather than something that changes over time. |
| 1.5e | 这个消息来源变得可靠了。 | Zhège xiāoxi láiyuán biàn de kěkào le. | [MARGINAL] | Grammatically well-formed and pragmatically plausible in contexts of institutional development or reputation change; not a high-frequency pattern. |
| 1.5f | 他变得诚实了。 | Tā biàn de chéngshí le. | [CORE] | Attested and natural in moral and narrative contexts describing character change; honesty understood as a character trait that can be acquired or lost. |
| 1.6 | 变成真的 | biànchéng zhēn de | [CORE] | General-purpose periphrastic inchoative for "become real/genuine"; productive open pattern where 弄假成真 is the fixed idiomatic equivalent. |
| 1.7 | 假戏真做，竟然做成真的了。 | Jiǎxì zhēn zuò, jìngrán zuò chéng zhēn de le. | [CORE] | Result complement 成真 (become real/genuine) is productive and attested in everyday and literary discourse. |
| 1.8 | 真的东西被做成假的了 | zhēn de dōngxi bèi zuò chéng jiǎ de le | [CORE] | Grammatically well-formed and attested in contexts of counterfeiting and falsification; passive 被 frame natural because change is caused by external agent. |
| 1.9a | 失实了 | shīshí le | [CORE] | Aspect marker 了 with lexicalized change-of-state compound; marks completion of departure from factual accuracy. |
| 1.9b | 失真了 | shīzhēn le | [CORE] | Aspect marker 了 with lexicalized change-of-state compound; marks completion of departure from fidelity. |
| 1.10 | 政策落实了 | zhèngcè luòshí le | [CORE] | Domain-specific inchoative for 实 root in administrative register; encodes transition from nominal/planned to concretely realized. |
| 1.11 | 梦想实现了 | mèngxiǎng shíxiàn le | [CORE] | Encodes becoming-actual of something previously only potential or planned; distinct from 落实 in applying to goals and aspirations. |
| 1.12 | 经调查，举报内容属实。 | Jīng diàochá, jǔbào nèiróng shǔshí. | [CORE] | Formal/legal inchoative expressing epistemic transition from uncertain to verified; highly conventionalized formula in administrative, legal, and journalistic registers. |
| 1.13 | 合法化 | héfǎhuà | [CORE] | Most fully lexicalized inchoative in the truth-domain vocabulary using 化 suffix; common in political, legal, and social discourse. |
| 1.14 | 真实化 | zhēnshíhuà | [MARGINAL] | Restricted to aesthetic and media contexts; not a general inchoative for "becoming true." |
| 1.15 | 现实化 | xiànshíhuà | [MARGINAL] | Less common than 实现; attested in formal and analytical contexts for bringing something from possibility into actual existence. |
| 1.16 | 道德化 | dàodéhuà | [CORE] | Describes process of framing something in moral terms; carries somewhat critical connotation in contemporary usage suggesting inappropriate or excessive moral judgment. |
| 2.1 | 信号在传输过程中失真了。 | Xìnhào zài chuánshū guòchéng zhōng shīzhēn le. | [CORE] | Primary privative expression in the domain; applies to representations, signals, and depictions. Compatible with both agentless and agentive readings. |
| 2.2 | 事件经过多次转述后严重失实。 | Shìjiàn jīngguò duō cì zhuǎnshù hòu yánzhòng shīshí. | [CORE] | Encodes loss of factual correspondence in statement or report; degree modifier 严重 attested; does not require deliberate intent. |
| 2.3 | 弄虚作假 | nòng xū zuò jiǎ | [CORE] | Inherently agentive and deliberate; describes active transformation of conduct from genuine to fraudulent. Presupposes transition is avoidable and subject to normative control. |
| 2.4 | 数据造假导致研究结论严重失实。 | Shùjù zàojiǎ dǎozhì yánjiū jiélùn yánzhòng shīshí. | [CORE] | Agentive transformation of genuine records or data into false ones; 造假 emphasizes manufacture from scratch. |
| 2.5 | 食品掺假 | shípǐn chān jiǎ | [CORE] | Encodes introduction of inauthentic material into genuine goods; results in hybrid state rather than complete falsification. |
