# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Tagalog (tl)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| totoo | totoo | true, real | true, real, genuine, actual | Used to affirm the truth or reality of statements, objects, or situations. Commonly appears in everyday speech to distinguish what is genuine from what is false or imaginary. | [CORE] |
| tunay | tunay | genuine, authentic | true, genuine, authentic, real | Emphasizes authenticity and genuineness, often with emotional or qualitative weight. Frequently used to describe sincere feelings, authentic objects, or real identity. | [CORE] |
| mali | mali | wrong, incorrect | wrong, incorrect, mistaken, erroneous | Indicates incorrectness in statements, actions, or judgments. Used across contexts from factual errors to moral wrongdoing. | [CORE] |
| tama | tama | correct, right | correct, right, proper, accurate | Affirms correctness of statements, appropriateness of actions, or accuracy of information. Widely used in both factual and moral contexts. | [CORE] |
| sinungaling | sinungaling | liar (derived from "sinungaling" - one who lies) | liar, false, deceitful | Refers to a person who lies or to the quality of being deceitful. Can function as noun or adjective to characterize dishonest persons or statements. | [CORE] |
| kasinungalingan | kasinungalingan | ka- + sinungaling + -an (abstract noun formation from "lie") | lie, falsehood, untruth | Denotes a false statement or the abstract concept of falsehood. Used to identify statements known or believed to be untrue. | [CORE] |
| peke | peke | fake (loanword from English or Spanish "fake") | fake, counterfeit, imitation, phony | Describes objects, documents, or representations that are fraudulent imitations. Commonly used for counterfeit goods or false credentials. | [CORE] |
| huwad | huwad | false, counterfeit | false, fake, counterfeit, spurious | Indicates falseness or inauthenticity, particularly of objects, documents, or claims. More formal register than "peke." | [CORE] |
| katotohanan | katotohanan | ka- + totoo + -han (abstract noun: "truth-ness") | truth, reality, fact | Refers to the abstract concept of truth or the true state of affairs. Used in philosophical, legal, and everyday contexts to denote what is factually accurate. | [CORE] |
| wasto | wasto | correct, proper | correct, proper, accurate, right | Indicates correctness or propriety, often with connotations of precision or adherence to standards. Used in formal and technical contexts. | [CORE] |
| hustó | hustó | exact, just right (from Spanish "justo") | exact, precise, just right, fitting | Emphasizes exactness, appropriateness, or perfect fit. Used to indicate something meets requirements precisely or is perfectly suitable. | [CORE] |
| totóhanán | totóhanán | totoo + -han + -an (reciprocal/locative: place/manner of being true) | seriously, in earnest, for real | Adverbial expression indicating seriousness or genuineness of intent. Used to distinguish serious statements or actions from jokes or pretense. | [CORE] |
| kathâ | kathâ | fiction, invention | fiction, fabrication, invention, made-up story | Refers to fictional narratives or fabricated accounts. Can denote creative fiction or deliberate falsehoods depending on context. | [CORE] |
| bulaán | bulaán | bula (foam/bubble) + -an (place/quality marker) | false, deceitful, lying | Describes persons or things characterized by falsehood or deception. Often used as adjective to characterize dishonest people or false claims. | [CORE] |
