# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Tagalog (tl)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| totoo | totoo ba? | totoo ba | is it true? really? | Common interrogative expression used to confirm or express surprise at information. Very frequent in everyday conversation. | [CORE] |
| totoo | totoo nga | totoo nga | it's really true, indeed true | Emphatic confirmation of truth, often used to affirm something that might have been doubted. | [CORE] |
| totoo | totoo lang | totoo lang | honestly, to be honest, truthfully | Discourse marker introducing honest admission or frank statement. Very common in conversational speech. | [CORE] |
| totoo | sa totoo lang | sa totoo lang | to be honest, truthfully speaking, frankly | Extended discourse marker for introducing honest or frank statements. Extremely common in both formal and informal speech. | [CORE] |
| totoo | totoo naman | totoo naman | it is true though, admittedly true | Concessive expression acknowledging truth while potentially introducing a contrasting point. | [CORE] |
| totoo | kung totoo | kung totoo | if true, if it's real | Conditional expression used to introduce hypothetical scenarios based on truth of a proposition. | [CORE] |
| totoo | totoo man | totoo man | even if true, though it be true | Concessive construction acknowledging truth while suggesting it doesn't change the conclusion. More formal register. | [CORE] |
| totoo | totoo pa | totoo pa | even more true, still true, what's more | Used to add emphasis or introduce additional true information in building arguments. | [CORE] |
| totoo | hindi totoo | hindi totoo | not true, false, untrue | Standard negation of truth, more emphatic and complete than "di-totoo." Used in denials and corrections. | [CORE] |
| totoo | totoo rin | totoo rin | also true, true as well | Acknowledges additional truth or parallel truth when adding supporting facts. | [CORE] |
| katotohanan | walang katotohanan | walang katotohanan | without truth, baseless, groundless | Describes statements or claims that lack factual basis. Common in denials and refutations. | [CORE] |
| katotohanan | may katotohanan | may katotohanan | has truth, there is truth to it | Acknowledges partial or complete truth in a statement or claim. | [CORE] |
| katotohanan | batay sa katotohanan | batay sa katotohanan | based on truth, factual, fact-based | Indicates that something is grounded in factual reality. Common in formal, academic, and journalistic contexts. | [CORE] |
| katotohanan | ayon sa katotohanan | ayon sa katotohanan | according to truth, in truth, actually | Introduces factual information or corrections, contrasting appearance with reality. | [CORE] |
| katotohanan | paniniwala sa katotohanan | paniniwala sa katotohanan | belief in truth, commitment to truth | Refers to valuing or being committed to truth in discussions of ethics or integrity. | [CORE] |
| katotohanan | paghahanap ng katotohanan | paghahanap ng katotohanan | search for truth, truth-seeking | Describes the process of seeking factual information or deeper understanding in investigative contexts. | [CORE] |
| tunay | tunay na | tunay na | truly, really, genuinely | Adverbial phrase intensifying the genuineness or authenticity of what follows. | [CORE] |
| tunay | tunay nga | tunay nga | indeed genuine, really true | Emphatic affirmation of genuineness or authenticity. | [CORE] |
| tunay | tunay ba? | tunay ba | is it genuine? is it real? really? | Interrogative expression questioning authenticity or genuineness, often expressing surprise. | [CORE] |
| tunay | hindi tunay | hindi tunay | not genuine, not authentic, fake | Negates genuineness or authenticity, used to identify imitations or insincere behavior. | [CORE] |
| tunay | tunay na pag-ibig | tunay na pag-ibig | true love, genuine love | Common collocation describing authentic romantic love, widely used in everyday speech and popular culture. | [CORE] |
| tunay | tunay na kaibigan | tunay na kaibigan | true friend, genuine friend | Describes authentic friendship characterized by loyalty and sincerity. | [CORE] |
| tunay | tunay na kulay | tunay na kulay | true colors, real character | Idiomatic expression referring to someone's authentic nature or character, especially when revealed after being hidden. | [CORE] |
| tunay | tunay na layunin | tunay na layunin | true purpose, real intention | Refers to actual motives or goals, especially when contrasted with stated or apparent purposes. | [CORE] |
| tunay | tunay na dahilan | tunay na dahilan | true reason, real cause | Identifies the actual cause or reason for something, often contrasted with superficial or stated reasons. | [CORE] |
| tunay | tunay na buhay | tunay na buhay | real life, actual life | Refers to actual lived experience as opposed to fiction, imagination, or idealized versions. | [CORE] |
| tunay | tunay na pangalan | tunay na pangalan | real name, true name | Refers to actual legal or birth name as opposed to nicknames, aliases, or stage names. | [CORE] |
| tunay | tunay na mukha | tunay na mukha | true face, real face | Can be literal (actual face vs. disguise) or metaphorical (true character vs. facade). | [CORE] |
| tunay | tunay na salita | tunay na salita | true words, genuine statement | Refers to sincere or truthful speech, emphasizing honesty or authenticity. | [CORE] |
| tunay | tunay kong [noun] | tunay kong | my true/genuine [noun] | Possessive construction emphasizing authentic relationship or quality (e.g., "tunay kong kaibigan" - my true friend). | [CORE] |
| tunay | tunay na ama/ina | tunay na ama/ina | real father/mother, biological parent | Distinguishes biological parents from adoptive, step-parents, or parental figures. | [CORE] |
| katunayan | katunayan nito | katunayan nito | proof of this, evidence of this | Points to specific evidence or proof in argumentative discourse. | [CORE] |
| katunayan | bilang katunayan | bilang katunayan | as proof, as evidence | Introduces something offered as evidence or demonstration in formal arguments. | [CORE] |
| katunayan | sa katunayan | sa katunayan | in fact, actually, as a matter of fact | Discourse marker introducing factual information or emphasis. Very common in both formal and informal speech. | [CORE] |
