# F4 Construction Table — Tagalog (tl)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | Totoo ang sinabi niya. | totoo ang sinabi niya | "What he/she said is true." / "His/her statement is true." | This is the unmarked, most frequent construction for attributing truth-values. Used across all registers and contexts without restrictions. | [CORE] |
| **1. ATTRIBUTION** | Mali ang sagot mo. | mali ang sagot mo | "Your answer is wrong." | This is the unmarked, most frequent construction for attributing truth-values. Used across all registers and contexts without restrictions. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Hindi totoo ang balita. | hindi totoo ang balita | "The news is not true." / "The news is false." | Standard negation pattern used in all contexts. The alternative *di-* prefix form (e.g., *di-totoo*) is more colloquial and less emphatic. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | Hindi tama ang ginawa mo. | hindi tama ang ginawa mo | "What you did is not right/correct." | Standard negation pattern used in all contexts. The alternative *di-* prefix form (e.g., *di-totoo*) is more colloquial and less emphatic. | [CORE] |
| **2. NEGATIVE ATTRIBUTION (Alternate)** | Di-totoo ang balita | di-totoo ang balita | "The news is not true." | Contracted negator *di-* as prefix; less emphatic than *hindi totoo*; more casual register | [CORE] |
| **3. ADNOMINAL MODIFICATION** | tunay na kaibigan | tunay na kaibigan | "true friend" / "genuine friend" | Highly productive pattern for modifying nouns. Modifier-before-noun order is strongly preferred for truth-domain terms, though noun-modifier order is grammatically possible. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | maling impormasyon | maling impormasyon | "wrong information" / "false information" | Highly productive pattern for modifying nouns. Modifier-before-noun order is strongly preferred for truth-domain terms, though noun-modifier order is grammatically possible. | [CORE] |
| **4. BECOME / INCHOATIVE** | Nagtotoo ang panaginip ko. | nagtotoo ang panaginip ko | "My dream is coming true." / "My dream is being realized." | Common with *totoo* for realization/coming true. Different roots show different preferred verbal patterns; not all truth-domain terms have equally productive inchoative forms. | [CORE] |
| **4. BECOME / INCHOATIVE** | Nagkamali ako. | nagkamali ako | "I made a mistake." / "I became wrong/mistaken." | The *magkamali* form is highly lexicalized and extremely frequent in everyday speech. | [CORE] |
| **5. CAUSATIVE** | Patunayan mo ang sinabi mo. | patunayan mo ang sinabi mo | "Prove what you said." / "Verify your statement." | *Patunayan* is highly lexicalized and common. Other truth-domain roots do not form causatives as productively; this construction is somewhat restricted to specific lexical items. | [CORE] |
| **5. CAUSATIVE** | Pinatotohanan niya ang kanyang salita. | pinatotohanan niya ang kanyang salita | "He/she is proving his/her word true." / "He/she is making his/her word come true." | Less common than *patunayan*; appears in more formal or literary contexts. The progressive aspect form is particularly restricted. | [MARGINAL] |
| **6. ABSTRACT NOMINALIZATION** | katotohanan | katotohanan | "truth" / "reality" / "the truth" | Highly productive *ka-...-an* pattern used across all registers. These abstract nouns are extremely common in both spoken and written Tagalog. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | katapatan | katapatan | "honesty" / "sincerity" / "loyalty" | Highly productive *ka-...-an* pattern used across all registers. These abstract nouns are extremely common in both spoken and written Tagalog. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (Alternate 1)** | pagkatunay | pagkatunay | "genuineness" | *pagka-* prefix pattern; less productive than *ka-...-an* | [MARGINAL] |
| **6. ABSTRACT NOMINALIZATION (Alternate 2)** | pagtotoo | pagtotoo | "realization" | *pag-* prefix with verbal roots; denotes process rather than abstract quality | [MARGINAL] |
| **7. AGENTIVE NOMINALIZATION** | sinungaling | sinungaling | "liar" | This lexicalized form is extremely common in everyday speech. However, the pattern itself is not productive—there is no general derivational process for creating agent nouns in this domain. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | mandaraya | mandaraya | "cheater" | Common lexical item, but the *mang-* derivation is limited to certain roots. Most truth-domain terms lack productive agentive forms. | [CORE] |
| **8. EXISTENTIAL CONSTRUCTIONS** | May katotohanan ang sinabi niya. | may katotohanan ang sinabi niya | "What he/she said has truth." / "There is truth to what he/she said." | Very productive and common pattern, especially in argumentative or evaluative discourse. Used to assert or deny the presence of truth/evidence/validity. | [CORE] |
| **8. EXISTENTIAL CONSTRUCTIONS** | Walang katunayan ang akusasyon. | walang katunayan ang akusasyon | "The accusation has no proof." / "The accusation is without evidence." | Very productive and common pattern, especially in argumentative or evaluative discourse. Used to assert or deny the presence of truth/evidence/validity. | [CORE] |
| **9. EVIDENTIAL/EPISTEMIC CONSTRUCTIONS** | Ayon sa katotohanan, wala siyang kasalanan. | ayon sa katotohanan, wala siyang kasalanan | "According to the truth, he/she is not guilty." / "In truth, he/she has no fault." | Common in formal discourse, news reporting, and argumentation. Functions as a discourse organizer establishing evidential basis for claims. | [CORE] |
| **9. EVIDENTIAL/EPISTEMIC CONSTRUCTIONS** | Batay sa katunayan, tama ang desisyon. | batay sa katunayan, tama ang desisyon | "Based on the evidence, the decision is correct." | Common in formal discourse, news reporting, and argumentation. Functions as a discourse organizer establishing evidential basis for claims. | [CORE] |
| **10. DISCOURSE MARKER CONSTRUCTIONS** | Sa totoo lang, ayaw ko na. | sa totoo lang, ayaw ko na | "To be honest, I don't want to anymore." / "Honestly, I'm done." | Extremely common in conversational Tagalog. These are fixed expressions with specific pragmatic functions (introducing frank statements, marking seriousness). | [CORE] |
| **10. DISCOURSE MARKER CONSTRUCTIONS** | Totóhanán, hindi ka ba galit? | totóhanán, hindi ka ba galit | "Seriously, aren't you angry?" / "For real, you're not mad?" | Extremely common in conversational Tagalog. These are fixed expressions with specific pragmatic functions (introducing frank statements, marking seriousness). | [CORE] |
| **11. COMPARATIVE CONSTRUCTIONS** | Mas totoo ang kuwento niya kaysa sa iyo. | mas totoo ang kuwento niya kaysa sa iyo | "His/her story is more true than yours." / "His/her account is truer than yours." | Fully productive pattern. However, pragmatically, comparatives of absolute terms like *totoo* may be less frequent than comparatives of gradable terms like *tama*. | [CORE] |
| **11. COMPARATIVE CONSTRUCTIONS** | Ito ang pinakatamang sagot. | ito ang pinakatamang sagot | "This is the most correct answer." / "This is the rightest answer." | Fully productive pattern. However, pragmatically, comparatives of absolute terms like *totoo* may be less frequent than comparatives of gradable terms like *tama*. | [CORE] |
| **12. INTENSIFICATION CONSTRUCTIONS** | Totoong-totoo ang nangyari. | totoong-totoo ang nangyari | "What happened is very true." / "It's absolutely real what occurred." | Reduplication pattern is very common in emphatic speech. Conveys strong emphasis and removal of doubt. | [CORE] |
| **12. INTENSIFICATION CONSTRUCTIONS** | Sobrang mali ang ginawa niya. | sobrang mali ang ginawa niya | "What he/she did is very wrong." / "His/her action is extremely incorrect." | *Sobrang* intensification is frequent in colloquial speech across all truth-domain terms. | [CORE] |
| **13. CONCESSIVE CONSTRUCTIONS** | Totoo naman, pero hindi sapat. | totoo naman, pero hindi sapat | "It is true though, but it's not enough." | Very common in argumentative and conversational contexts. *Naman* is more colloquial; *man* appears in more formal or literary registers. | [CORE] |
