| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|--------------------|--------------------|-----------------|
| உண்மை | uṇmai | Derived from *uḷ* (to be/exist) + nominalizing suffix *-mai*; "that which is real/existent" | truth, reality, fact, genuineness | Used across everyday, philosophical, and legal registers to assert that a statement or state of affairs corresponds to reality. Participates in productive derivation: *uṇmaiyāna* (true, genuine), *uṇmaiyāṉ* (truthful person), *uṇmaiyāka* (truly, honestly). Frequently appears in moral and religious discourse as a core virtue term. Contrasts with *poy* (falsehood). | [CORE] |
| பொய் | poy | Monomorphemic root; "falsehood" (etymology debated) | lie, falsehood, untruth, falsity, deception | The primary antonym of *uṇmai*; used to characterize statements, representations, or persons as false or deceptive. Appears in moral, legal, and everyday evaluative contexts. Productive: *poyyan* (liar), *poyyana* (false, fake), *poy-sākṣi* (false witness/perjury), *poy-yāna* (false, attributive). Applied to statements, persons, and representations judged to be false or deceptive. | [CORE] |
| நேர்மை | nērmai | *nēr* (straight, direct) + *-mai* (abstract nominalizer); "straightness" | honesty, integrity, uprightness, straightforwardness, sincerity | Refers to a quality of character or conduct marked by transparency and absence of deception. Commonly used in moral evaluation of individuals in personal, professional, and civic contexts. Distinct from *uṇmai* in that it foregrounds conduct and disposition rather than propositional truth. Contrasts with *vaññam* (deceit), *kāpaṭyam* (hypocrisy), and *vañcaṉai* (deceit). | [CORE] |
| உண்மையான | uṇmaiyāna | *uṇmai* + *-āna* (adjectival copular suffix); "that which is truth" | true, genuine, real, authentic | Attributive adjective modifying nouns to indicate genuineness or factual accuracy. Used of objects (genuine goods), persons (a true friend), and propositions (a true statement). Highly productive in contemporary spoken and written Tamil. Contrasts with *poyyana* (false) in parallel constructions. | [CORE] |
| உண்மையாண | uṇmaiyāṉa | *uṇmai* + adjectival copular suffix *-āṉa*; "that which is of/pertaining to *uṇmai*" | true, genuine, real, authentic | Adjectival form of *uṇmai*, used attributively to modify nouns denoting statements, persons, objects, or feelings. Widely used in both spoken and written Tamil. Contrasts with *poyyāṉa* (false) in parallel constructions. | [CORE] |
| நம்பகமான | nampakamāna | *nampu* (to trust/believe) + *-akam* (nominalizing infix) + *-āna* (adjectival suffix) | reliable, trustworthy, credible, dependable | Applied to persons, sources, institutions, and information judged worthy of trust. Frequently used in journalistic, legal, and everyday evaluative contexts. The base noun *nampakam* also occurs independently in formal registers. | [CORE] |
| நம்பகத்தன்மை | nampakattaṉmai | *nampakam* (trustworthiness) + *taṉmai* (quality, nature) | credibility, reliability, trustworthiness | A more abstract nominal form used in formal, journalistic, and academic contexts to refer to the property of being credible or reliable. Slightly more formal register than *nampakamāna*. Appears in discussions of evidence, testimony, and institutional conduct. Less frequent in spoken registers than *nampakamāna*. | [CORE] |
| நம்பிக்கை | nampikkai | *nampu* (to trust) + *-ikkai* (action/state nominalizer); "the act or state of trusting" | trust, belief, faith, confidence, credence | Refers to the epistemic or affective state of trusting a person, institution, or claim. Used in both religious contexts (faith) and secular evaluative contexts (confidence in reliability). Productive: *nampikkaiyāna* (trustworthy), *nampikkai iḻa* (to lose trust), *nampikkaiyiṉmai* (lack of trust). | [CORE] |
| சரி | cari | Possibly from Sanskrit *sari* (equal, correct); "correctness, rightness" | correct, right, okay, proper | Extremely common in spoken Tamil to affirm that something is correct, appropriate, or in order. Used to evaluate statements, actions, calculations, and conduct. Also functions as a discourse particle confirming agreement. Productive: *cariyāna* (correct, proper), *caripār* (to check, verify), *caritāṉ* (it is indeed correct). | [CORE] |
