| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| doğru | doğru | ‘straight; correct’ | correct, right, true, accurate | Çok yaygın bir sıfat ve zarf olarak kullanılır. Bir ifadenin doğru olup olmadığını, bir davranışın uygun ya da haklı görülmesini, ayrıca yön veya çizginin “düz/straight” olmasını belirtmede geçer. | [CORE] |
| gerçek | gerçek | ‘real; actual’ | real, actual, genuine, true | Nesnelerin, olayların veya durumların sahici ve fiilî olduğunu belirtir. “Gerçek hikâye”, “gerçek sebep”, “gerçek yüzü” gibi kullanımlarda görünüş ile olgu arasındaki ayrımı vurgular. | [CORE] |
| hakikat | hakikat | Arabic-origin noun; ‘truth, reality’ | truth, reality, the truth | Daha resmî, edebî veya felsefî bağlamlarda sık görülür. Bir şeyin özde ne olduğu ya da hakikate uygunluğu tartışılırken kullanılır; gündelik dilde de vardır ama “gerçek” ve “doğru” kadar nötr değildir. | [CORE] |
| hakiki | hakiki | from *hakikat* + adjectival formation; ‘genuine, real’ | genuine, real, authentic, true | Özellikle “hakiki deri”, “hakiki dost”, “hakiki kahve” gibi kullanımlarda bir şeyin sahte olmadığını veya özüne uygun olduğunu belirtir. Güncel dilde yaşar, ancak bazı bağlamlarda “gerçek”ten daha resmî ya da eski tınlayabilir. | [CORE] |
| sahici | sahici | from *sahi* ‘true, really’ + -ci/-ici adjectival form | genuine, authentic, sincere, real | Kişiler, duygular, sanat eserleri ve ilişkiler için sık kullanılır. Bir şeyin yapmacık değil içten, doğal veya gerçekten o şey olduğunu anlatır. | [CORE] |
| özgün | özgün | related to *öz* ‘essence, self’; ‘original, distinctive’ | original, authentic, distinctive | Özellikle sanat, metin, fikir ve tasarım bağlamlarında kullanılır. Bir şeyin kopya olmayıp kendine ait nitelik taşıdığını veya asıl biçimine sadık olduğunu belirtir. | [CORE] |
| asıl | asıl | ‘essential; principal; original’ | original, actual, essential, main | Bir şeyin temel, gerçek veya esas olan yönünü belirtir. “Asıl mesele”, “asıl adı”, “asıl nüsha” gibi kullanımlarda görünürdeki ya da ikincil olandan ayrım yapar. | [CORE] |
| öz | öz | ‘essence; core; self’ | essence, core, intrinsic nature | Felsefî, edebî ve genel kullanımda bir şeyin temel niteliğini anlatır. “Özüne uygun”, “işin özü”, “insanın özü” gibi kalıplarda neyin gerçekten o şeyi o şey yaptığına işaret eder. | [CORE] |
| özgünlük | özgünlük | *özgün* + *-lük*; ‘originality, authenticity’ | originality, authenticity | Özellikle estetik, akademik ve kültürel değerlendirmelerde kullanılır. Bir eserin ya da düşüncenin taklit olmaması, kendine has ve sahici nitelik taşıması anlamında değerlendirilir. | [CORE] |
| güvenilir | güvenilir | *güven* ‘trust’ + *-ilir*; ‘trustworthy, reliable’ | reliable, trustworthy, dependable | Kişiler, kurumlar, kaynaklar ve bilgiler için çok yaygın kullanılır. Bir beyanın, tanığın, belgenin veya sistemin inanılabilir ve sağlam olduğuna dair değerlendirme bildirir. | [CORE] |
| güvenilirlik | güvenilirlik | *güvenilir* + *-lik*; ‘reliability, trustworthiness’ | reliability, trustworthiness, dependability | Teknik, bilimsel, kurumsal ve gündelik bağlamlarda kullanılır. Ölçümlerin, verilerin, kişilerin veya kurumların ne kadar sağlam ve inanılır olduğunu tartışırken geçer. | [CORE] |
| inandırıcı | inandırıcı | from *inandırmak* ‘to convince’ + *-ıcı*; ‘convincing’ | convincing, credible, plausible | Bir anlatının, savunmanın, tanıklığın veya performansın ikna gücünü belirtir. Doğrudan “doğru” demekten ziyade, doğru ya da gerçek görünme bakımından güçlü bulunduğunu ifade eder. | [CORE] |
| inandırıcılık | inandırıcılık | *inandırıcı* + *-lık*; ‘convincingness, credibility’ | credibility, plausibility, convincingness | Özellikle söylem, hukuk, edebiyat ve sinema değerlendirmelerinde görülür. Bir iddianın veya temsilin ne ölçüde ikna edici ve gerçekçi bulunduğunu anlatır. | [CORE] |
| geçerli | geçerli | from *geçmek* ‘to pass, be accepted’ + *-li*; ‘valid’ | valid, applicable, legitimate | Hukuk, mantık, usul ve gündelik dilde çok yaygındır. Bir kuralın, belgenin, gerekçenin veya argümanın kabul edilebilir ve yürürlükte olduğunu belirtir. | [CORE] |
| geçerlilik | geçerlilik | *geçerli* + *-lik*; ‘validity’ | validity, applicability | Mantık, hukuk, bilimsel yöntem ve idari işlemlerde sık kullanılır. Bir önermenin, testin, belgenin veya kuralın ne ölçüde geçerli sayıldığını ifade eder. | [CORE] |
| meşru | meşru | Arabic-origin; ‘lawful, legitimate’ | legitimate, lawful, justified | Hukukî, siyasî ve ahlakî bağlamlarda kullanılır. Bir eylemin, talebin veya otoritenin haklı, kabul edilebilir ya da yasal zemine sahip olduğunu belirtir. | [CORE] |
| meşruiyet | meşruiyet | from *meşru*; ‘legitimacy’ | legitimacy, lawfulness | Özellikle siyaset bilimi, hukuk ve kamu tartışmalarında yaygındır. Bir yönetimin, kararın veya müdahalenin hangi temelde haklı ve kabul edilebilir sayıldığını anlatır. | [CORE] |
| haklı | haklı | from *hak* ‘right, justice, claim’ + *-lı*; ‘being in the right’ | right, justified, in the right | Tartışmalarda, ahlakî değerlendirmelerde ve hukuka yakın bağlamlarda çok sık kullanılır. Bir kişinin iddiasının, tepkisinin veya davranışının yerinde ve gerekçeli olduğunu belirtir. | [CORE] |
| yerinde | yerinde | ‘in its place; appropriate’ | appropriate, fitting, justified, apt | Bir sözün, eleştirinin, kararın veya davranışın uygunluğunu değerlendirmede kullanılır. Doğrudan doğruluk değil, bağlama uygunluk ve isabet anlamı taşır. | [CORE] |
| isabetli | isabetli | from *isabet* ‘hitting the mark; accuracy’ + *-li* | accurate, apt, well-judged | Yorumlar, teşhisler, kararlar ve tespitler için kullanılır. Bir değerlendirmenin hedefi tam tuttuğunu, yani doğruya veya uygun sonuca iyi yaklaştığını anlatır. | [CORE] |
| sadık | sadık | ‘faithful, loyal’ | faithful, loyal, true to | Kişiler için “bağlı, vefalı” anlamı çok yaygındır; ayrıca metin, çeviri, uyarlama ve temsil için de kullanılır. Bu ikinci kullanımda bir şeyin aslına veya kaynağına uygunluğunu belirtir. | [CORE] |
| asılına uygun | aslına uygun | ‘appropriate to its original’ | true to the original, faithful, authentic to the original | Özellikle restorasyon, çeviri, kopya, canlandırma ve temsil bağlamlarında kullanılan yerleşik bir ifadedir. Bir şeyin kaynak biçime, ilk örneğe veya gerçek duruma ne kadar sadık olduğunu değerlendirir. | [CORE] |
| sahte | sahte | ‘fake, counterfeit’ | fake, false, counterfeit | Belgeler, para, ürünler, kimlikler ve duygular için yaygın biçimde kullanılır. Bir şeyin gerçekmiş gibi sunulmasına rağmen gerçek veya geçerli olmadığını belirtir. | [CORE] |
| taklit | taklit | ‘imitation, copy’ | imitation, fake, copy, mimicry | Hem isim hem bazı kalıplarda niteleyici unsur olarak kullanılır. Özellikle ürün, sanat ve davranış bağlamlarında aslının benzeri ama aslı olmayan şeyi belirtir; bazen nötr, bazen olumsuz değer taşır. | [CORE] |
| uydurma | uydurma | from *uydurmak* ‘to make up, fabricate’ | fabricated, made-up, fictitious | Hikâye, gerekçe, belge veya bilgi için kullanılır. Bir şeyin gerçek verilere dayanmadığını, sonradan kurgulanmış veya icat edilmiş olduğunu ifade eder. | [CORE] |
| gerçekçi | gerçekçi | *gerçek* + *-çi*; ‘realistic’ | realistic, lifelike, plausible | Sanat, temsil, beklenti ve planlar için sık kullanılır. Bir tasvirin veya değerlendirmenin gerçek koşullara uygunluğunu ya da inandırıcı derecede olgusal görünmesini belirtir. | [CORE] |
| doğruluk | doğruluk | *doğru* + *-luk*; ‘correctness; truthfulness’ | correctness, accuracy, truthfulness | Hem teknik doğruluk hem de ahlakî dürüstlük alanına uzanan geniş bir kullanımı vardır. “Bilginin doğruluğu”, “ölçümün doğruluğu”, “sözünün doğruluğu” gibi örneklerde farklı ama ilişkili değerlendirmeler yapar. | [CORE] |
