# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1 | menjadi benar | menjadi benar | [CORE] | Very natural and commonly used. Standard inchoative construction. |
| 1-alt1 | terbukti benar | terbukti benar | [CORE] | Emphasizes evidential basis. |
| 1-alt2 | ternyata benar | ternyata benar | [CORE] | Evidential discovery, extremely common in narrative. |
| 2 | menjadi salah | menjadi salah | [MARGINAL] | Grammatically acceptable but less frequently attested than discovery constructions. |
| 2-alt1 | ternyata salah | ternyata salah | [CORE] | Much more common than menjadi salah. |
| 2-alt2 | terbukti salah | terbukti salah | [CORE] | Proven wrong, common. |
| 3 | menjadi asli | menjadi asli | [UNCERTAIN/MARGINAL] | Grammatically possible but pragmatically strange for physical objects. |
| 3-alt1 | terbukti asli | terbukti asli | [CORE] | Much more natural - proven genuine. |
| 3-alt2 | ternyata asli | ternyata asli | [CORE] | Turns out to be genuine. |
| 4 | menjadi palsu | menjadi palsu | [UNCERTAIN/MARGINAL] | Grammatically possible but pragmatically strange. |
| 4-alt1 | ternyata palsu | ternyata palsu | [CORE] | Natural - turns out to be fake. |
| 4-alt2 | terbukti palsu | terbukti palsu | [CORE] | Proven fake. |
| 5 | menjadi jujur | menjadi jujur | [CORE] | Natural for character development or behavioral change. |
| 5-alt1 | mulai jujur | mulai jujur | [CORE] | Start being honest (inchoative with "mulai"). |
| 5-alt2 | berubah menjadi jujur | berubah menjadi jujur | [CORE] | Change to become honest (emphatic). |
| 6 | menjadi pembohong | menjadi pembohong | [CORE] | Natural with agentive nominalization. |
| 6-alt1 | mulai berbohong | mulai berbohong | [CORE] | Start lying (verbal form). |
| 6-alt2 | mulai suka bohong | mulai suka bohong | [CORE] | Start to like lying. |
| 7 | menjadi sah | menjadi sah | [CORE] | Extremely natural in legal/administrative contexts. |
| 7-alt | disahkan | disahkan | [CORE] | Validated/legalized (passive causative, more common). |
| 8 | menjadi batal | menjadi batal | [CORE] | Natural in legal/administrative contexts. |
| 8-alt | dibatalkan | dibatalkan | [CORE] | Cancelled/annulled (passive causative, more common). |
| 9 | menjadi nyata | menjadi nyata | [CORE] | Extremely natural and frequently used. |
| 9-alt | menjadi kenyataan | menjadi kenyataan | [CORE] | Become reality (with nominalization). |
| 9-alt2 | terwujud | terwujud | [CORE] | Realized, materialized (common alternative). |
| 10 | menjadi mirip | menjadi mirip | [CORE] | Natural for describing developing resemblance. |
| 10-alt1 | semakin mirip | semakin mirip | [CORE] | Increasingly similar (very common). |
| 10-alt2 | mulai mirip | mulai mirip | [CORE] | Start to resemble. |
| 11 | menjadi sama | menjadi sama | [CORE] | Natural for describing convergence. |
| 11-alt1 | menyamakan | menyamakan | [CORE] | To make the same, to equalize (causative). |
| 11-alt2 | disamakan | disamakan | [CORE] | Made the same, equalized (passive). |
| 12 | menjadi cocok | menjadi cocok | [CORE] | Natural for all appropriateness terms. |
| 12-alt | menjadi wajar | menjadi wajar | [CORE] | Become reasonable. |
| 13 | menjadi akurat | menjadi akurat | [CORE] | Natural, especially with "lebih" (more) for gradual improvement. |
| 13-alt | menjadi lebih akurat | menjadi lebih akurat | [CORE] | More common than absolute "menjadi akurat". |
| 14 | membenarkan | membenarkan | [CORE] | Extremely common and productive causative. |
| 15 | menyalahkan | menyalahkan | [CORE] | Extremely common causative. |
| 16 | mengaslikan | mengaslikan | [MARGINAL/UNCERTAIN] | Grammatically possible but rarely attested. |
| 16-alt1 | memverifikasi keaslian | memverifikasi keaslian | [CORE] | Verify authenticity (much more common). |
| 16-alt2 | mengautentikasi | mengautentikasi | [CORE] | Authenticate (formal/technical, borrowed). |
| 17 | memalsu | memalsu | [CORE] | Very common in legal and criminal contexts. |
| 17-alt | memalsukan | memalsukan | [CORE] | Used interchangeably with memalsu. |
