# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Correctness of Statements | Terms used to evaluate whether statements, claims, or propositions correspond to facts or reality. These expressions are used in contexts where speakers assess the truth-value of assertions, distinguish accurate from inaccurate information, or verify factual claims. Commonly appear in discourse about information verification, fact-checking, and epistemic evaluation. | benar (true, correct), salah (wrong, incorrect), betul (correct, right), keliru (mistaken, erroneous), tidak benar (not true), benar atau salah (true or false), faktual (factual), akurat (accurate), tepat (accurate, precise), sebenarnya (actually, in fact), ternyata (it turns out, apparently) | nyata (real, actual) — overlaps with existence evaluation; bohong (lie) — overlaps with intentional deception group; tepat (precise) — overlaps with appropriateness evaluation | |
| Intentional Deception vs. Honesty | Terms specifically evaluating whether speech acts involve deliberate deception or truthfulness. Distinguished from mere factual error by emphasis on speaker's intent and moral character. Used in contexts of trust evaluation, moral judgment of communication, and interpersonal credibility assessment. | bohong (lie, to lie), jujur (honest, truthful), dusta (lie, falsehood - literary), kebohongan (lie, deception), berbohong (to lie), membohongi (to lie to), pembohong (liar), kejujuran (honesty), jujur saja (to be honest), jangan bohong (don't lie), bohong besar (big lie), penuh dusta (full of lies) | palsu (fake) — overlaps with authenticity of objects; benar (true) — overlaps with factual correctness | |
| Authenticity of Objects and Documents | Terms evaluating whether physical objects, documents, or products are genuine originals versus counterfeits, forgeries, or imitations. Used primarily in commercial, legal, and administrative contexts involving authentication, verification of provenance, and detection of fraud. | asli (genuine, authentic, original), palsu (fake, counterfeit, forged), tulen (pure, genuine), keaslian (authenticity, genuineness), memalsu (to forge, to counterfeit), pemalsuan (forgery, counterfeiting), pemalsu (forger, counterfeiter), uang palsu (counterfeit money), dokumen palsu (forged document), asli atau palsu (genuine or fake), emas tulen (pure gold) | sejati (true, genuine) — more abstract/philosophical usage; nyata (real) — overlaps with existence evaluation | |
| Legal and Procedural Validity | Terms evaluating whether actions, documents, or statuses conform to legal requirements, official procedures, or institutional rules. Used in legal, administrative, and formal contexts to assess legitimacy, enforceability, and compliance with established norms and regulations. | sah (valid, legal, legitimate), absah (valid, legitimate), batal (void, cancelled, invalid), valid (valid - technical), sahih (valid, authentic - especially religious), mengesahkan (to validate, to legalize), pengesahan (validation, legalization), keabsahan (validity, legitimacy), membatalkan (to cancel, to annul), pembatalan (cancellation, annulment), sah atau tidak (valid or not), batal demi hukum (null and void by law), sah secara hukum (legally valid) | benar (correct) — overlaps with procedural correctness; tepat (appropriate) — overlaps with procedural appropriateness | |
| Existence and Reality vs. Illusion | Terms distinguishing what actually exists or is real from what is imaginary, hypothetical, or illusory. Used in contexts contrasting tangible reality with fantasy, discussing manifestation of evidence, or asserting actual existence versus mere appearance or assumption. | nyata (real, actual, tangible), kenyataan (reality, fact), sejati (true, genuine - elevated), sungguh (truly, really, genuinely), nyata-nyata (clearly, obviously), kenyataan atau khayalan (reality or fantasy), dalam kenyataan (in reality), sesungguhnya (truly, in reality), hakikat (essence, true nature), sebenarnya (actually, in truth) | benar (true) — overlaps with factual correctness; asli (genuine) — overlaps with authenticity of objects | |
| Similarity and Identity Relations | Terms used to compare entities and evaluate degrees of resemblance, equivalence, or sameness. Used in comparative contexts, matching operations, and discussions of likeness ranging from exact identity to approximate similarity. | sama (same, equal, identical), mirip (similar, resembling), kemiripan (similarity, resemblance), kesamaan (similarity, equality), menyamakan (to equate, to make equal), sama dengan (same as, equal to), mirip dengan (similar to), sama persis (exactly the same), mirip sekali (very similar), tidak sama (not the same), sama saja (just the same) | cocok (matching, suitable) — overlaps with appropriateness; tepat (exact) — overlaps with precision | |
| Appropriateness and Suitability | Terms evaluating whether something is fitting, suitable, or appropriate for a particular purpose, context, or situation. Used in contexts of matching, compatibility assessment, and judgments about what is proper or fitting given circumstances. Includes both functional fit and social/moral propriety. | cocok (suitable, matching, fitting), pas (exact fit, just right), tepat (appropriate, precise, exact), wajar (reasonable, natural, proper), pantas (appropriate, fitting, deserved), kecocokan (compatibility, suitability), kepantasan (propriety, appropriateness), kewajaran (reasonableness, naturalness), mencocokkan (to match, to fit), tepat waktu (on time, punctual), tepat sasaran (on target), cocok sekali (very suitable), kurang pantas (somewhat inappropriate), wajar saja (it's natural, no wonder), pantas saja (no wonder, serves right) | benar (correct) — overlaps with correctness evaluation; sesuai (in accordance with) — not in P1 but related concept | |
| Error and Mistake Attribution | Terms used to identify and attribute errors, mistakes, or faults, particularly in contexts of responsibility assignment and blame. Distinguished from simple incorrectness by emphasis on accountability and causal attribution of wrongness. | salah (wrong, at fault), keliru (mistaken, erroneous), khilaf (error, lapse - formal), kesalahan (error, mistake, fault), menyalahkan (to blame, to fault), salah paham (misunderstanding), salah sangka (mistaken assumption), salah kaprah (common misconception), terkeliru (mistaken accidentally), tersalah (wrongly done accidentally), siapa yang salah (who's at fault), kalau tidak salah (if I'm not mistaken) | tidak benar (not true) — overlaps with factual incorrectness; batal (void) — overlaps with legal invalidity | |
| Precision and Exactness | Terms emphasizing exact measurement, temporal punctuality, or precise correspondence. Used in technical, scientific, and temporal contexts where exactness and accuracy of specification are paramount. | tepat (precise, exact), akurat (accurate), pas (exact, fitting precisely), ketepatan (accuracy, precision, exactness), keakuratan (accuracy, precision), tepat waktu (on time, punctual), pas sekali (exactly right), akurat sekali (very accurate), tepat di (exactly at), sangat akurat (very accurate) | benar (correct) — overlaps with general correctness; cocok (fitting) — overlaps with suitability | |
