# CLCA Protocol v3.4 — F4 Construction Table
# Language: Indonesian (id)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | cerita itu benar | cerita itu benar | that story is true | Extremely common in all registers. Zero copula is default in spoken and informal written Indonesian. Optional "adalah" appears in formal/written contexts for emphasis or clarity. | [CORE] |
| ATTRIBUTION | dokumen ini palsu | dokumen ini palsu | this document is fake | Standard evaluative predication. Demonstratives (ini/itu) are typical with definite subjects but not obligatory. Used across all domains (legal, everyday, academic). | [CORE] |
| NEGATIVE ATTRIBUTION | laporan itu tidak akurat | laporan itu tidak akurat | that report is not accurate | Default negation strategy for truth-domain predicates. "Tidak" is obligatory and immediately precedes the predicate. Common in formal evaluation contexts. | [CORE] |
| NEGATIVE ATTRIBUTION | dia tidak jujur | dia tidak jujur | he/she is not honest | Standard character evaluation. Used in both direct statements and reported speech. Pragmatically direct; may be softened with hedges in polite contexts. | [CORE] |
| ADNOMINAL MODIFICATION | berita palsu | berita palsu | fake news | Highly productive prenominal modification. No agreement or linking particle required. Common in media, legal, and everyday discourse. Order is fixed (modifier precedes noun). | [CORE] |
| ADNOMINAL MODIFICATION | orang jujur | orang jujur | honest person | Standard character description. Prenominal position is unmarked and most frequent. Used in both generic and specific reference. | [CORE] |
| BECOME / INCHOATIVE | cerita itu menjadi nyata | cerita itu menjadi nyata | that story became real | Standard change-of-state construction. "Menjadi" is the default inchoative verb. Common in narrative and explanatory contexts describing transitions. | [CORE] |
| BECOME / INCHOATIVE | dokumen menjadi sah | dokumen menjadi sah | the document became valid | Typical in legal/administrative contexts describing status changes. "Menjadi" marks the transition point explicitly. | [CORE] |
| CAUSATIVE | dia membenarkan laporan itu | dia membenarkan laporan itu | he/she confirmed that report | Highly productive transitive causative. The meN-...-kan pattern is standard for "make X true/confirm X." Common in formal and administrative discourse. | [CORE] |
| CAUSATIVE | pemerintah mengesahkan undang-undang | pemerintah mengesahkan undang-undang | the government ratified the law | Specialized legal/administrative usage. "Mengesahkan" is the standard term for official validation/ratification. Fixed collocation in legal contexts. | [CORE] |
| ABSTRACT NOMINALIZATION | kebenaran itu penting | kebenaran itu penting | truth/honesty is important | Extremely productive pattern. Ke-...-an nominalizations function freely as subjects, objects, and in possessive constructions. Used across all registers. | [CORE] |
| ABSTRACT NOMINALIZATION | keaslian produk diragukan | keaslian produk diragukan | the authenticity of the product is doubted | Standard in commercial, legal, and evaluative contexts. The nominalization allows the quality to be treated as a discourse topic or patient of evaluation. | [CORE] |
| AGENTIVE NOMINALIZATION | pembohong itu tertangkap | pembohong itu tertangkap | the liar was caught | Productive for negative/deceptive agents. "Pembohong" is a common lexical item. Used in moral evaluation and narrative contexts. Shows clear negative semantic prosody. | [CORE] |
| AGENTIVE NOMINALIZATION | pemalsu dokumen dihukum | pemalsu dokumen dihukum | the document forger was punished | Specialized criminal/legal terminology. "Pemalsu" is standard for counterfeiters/forgers. Fixed collocation in legal discourse. Asymmetry: positive agents use different strategies. | [CORE] |
| INTENSIFICATION | benar-benar penting | benar-benar penting | really important | Reduplication creates adverbial intensifier. "Benar-benar" has grammaticalized as general intensifier meaning "really, truly." Used across all registers, very high frequency. | [CORE] |
| INTENSIFICATION | mirip sekali dengan ayahnya | mirip sekali dengan ayahnya | very similar to his father | "Sekali" is standard post-predicate intensifier. Common in descriptive and comparative contexts. Colloquial "banget" is alternative in informal speech. | [CORE] |
| HEDGING/MITIGATION | jawaban itu kurang tepat | jawaban itu kurang tepat | that answer is not quite right | Standard politeness strategy. "Kurang" softens negative evaluation, suggesting partial rather than complete failure. Common in educational, professional, and polite disagreement contexts. | [CORE] |
| HEDGING/MITIGATION | tindakan kurang pantas | tindakan kurang pantas | somewhat inappropriate action | Typical in social evaluation and criticism. "Kurang" allows face-saving while still conveying disapproval. Preferred in formal and public discourse. | [CORE] |
| EVIDENTIAL/DISCOVERY | ternyata dia benar | ternyata dia benar | it turns out he/she was right | "Ternyata" has fully grammaticalized as evidential/mirative marker. Extremely common in narrative and explanatory discourse. Marks speaker's discovery or realization. | [CORE] |
| EVIDENTIAL/DISCOVERY | tersalah ambil barang | tersalah ambil barang | took the wrong item by mistake | "Tersalah" marks accidental error. Less common than "ternyata"; appears in specific contexts describing unintentional mistakes. Somewhat colloquial. | [MARGINAL] |
| CONTRASTIVE PAIRING | benar atau salah | benar atau salah | true or false | Formulaic binary opposition. Extremely common in tests, questions, and evaluative frameworks. Fixed order (positive term first is typical but not obligatory). | [CORE] |
| CONTRASTIVE PAIRING | asli atau palsu | asli atau palsu | genuine or fake | Standard authenticity evaluation frame. Common in commercial, legal, and investigative contexts. Presents evaluation as binary choice. | [CORE] |
| PASSIVE VOICE | dokumen itu dipalsukan | dokumen itu dipalsukan | that document was forged | Standard passive construction. Di- passives are extremely frequent in Indonesian, often preferred over actives. Agent typically omitted in criminal/negative contexts. | [CORE] |
| PASSIVE VOICE | laporan disahkan oleh pemerintah | laporan disahkan oleh pemerintah | the report was validated by the government | Typical administrative/legal passive. Agent phrase with "oleh" is optional; included here for emphasis or clarity. Standard in formal written Indonesian. | [CORE] |
| COMPARATIVE CONSTRUCTION | lebih akurat daripada sebelumnya | lebih akurat daripada sebelumnya | more accurate than before | Standard analytic comparative for gradable terms. "Lebih...daripada" is the default comparative frame. Common in evaluative and technical discourse. | [CORE] |
| COMPARATIVE CONSTRUCTION | lebih mirip dengan ibunya | lebih mirip dengan ibunya | more similar to his/her mother | Typical similarity comparison. "Dengan" introduces the standard of comparison for "mirip." Common in descriptive contexts. | [CORE] |
| DISCOURSE MARKER FUNCTION | jujur saja, saya tidak setuju | jujur saja, saya tidak setuju | to be honest, I don't agree | Fully grammaticalized discourse marker. "Jujur saja" frames frank or potentially face-threatening statements. Very common in spoken Indonesian and informal writing. | [CORE] |
| DISCOURSE MARKER FUNCTION | sebenarnya dia tidak datang | sebenarnya dia tidak datang | actually he/she didn't come | "Sebenarnya" is high-frequency discourse marker introducing corrections, clarifications, or contrasts with expectations. Used across all registers. | [CORE] |
| RECIPROCAL/COLLECTIVE CONSTRUCTION | sesama manusia harus jujur | sesama manusia harus jujur | fellow humans must be honest | "Sesama" is lexicalized reciprocal meaning "fellow, mutual." Common in moral/ethical discourse. Limited to specific roots; not productive as general reciprocal marker. | [CORE] |
| RECIPROCAL/COLLECTIVE CONSTRUCTION | bertepatan dengan hari raya | bertepatan dengan hari raya | coinciding with the holiday | "Bertepatan" indicates temporal coincidence. Specialized meaning; not productive for other truth-domain terms. Common in scheduling and temporal descriptions. | [CORE] |
| FIXED IDIOMATIC EXPRESSIONS | salah kaprah | salah kaprah | common misconception | Fully lexicalized idiom. Meaning ("widespread error/misconception") is not compositional. Common in metalinguistic and educational contexts. Must be learned as fixed expression. | [CORE] |
| FIXED IDIOMATIC EXPRESSIONS | cinta sejati | cinta sejati | true love | Fixed collocation with specialized romantic meaning. "Sejati" in this context means "true/genuine" but the phrase is semi-lexicalized. Very common in popular culture and romantic discourse. | [CORE] |
| DISCONFIRMATION | (no common expression identified) | (no common expression identified) | (no common expression identified) | No dedicated construction for "prove false" or "show to be untrue". Requires circumlocution with negation + verification/causation. | [STRUCTURAL GAP] |
| CAUSATION (character) - positive forms | (no common expression identified) | (no common expression identified) | (no common expression identified) | While causative morphology exists and applies to factual truth-domain terms, no attested examples of positive character causation (e.g., make someone honest). The morphological pattern exists but is not applied to this semantic domain. | [STRUCTURAL GAP] |
