# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Indonesian (id)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| benar | salah | benar / salah | true, correct / wrong, incorrect | Primary lexical opposition for evaluating correctness of statements, actions, or judgments. "Benar" indicates correspondence to fact or standard; "salah" indicates deviation from fact or standard. This is the most productive and frequent opposition in the truth domain. | lexical | [CORE] |
| asli | palsu | asli / palsu | genuine, authentic, original / fake, counterfeit, forged | Lexical opposition for evaluating authenticity of objects, documents, and products. "Asli" indicates genuine origin or authenticity; "palsu" indicates counterfeit or deliberate imitation with intent to deceive. | lexical | [CORE] |
| jujur | bohong | jujur / bohong | honest, truthful / lie, to lie | Lexical opposition evaluating truthfulness of speech and character. "Jujur" indicates honesty and absence of deception; "bohong" indicates deliberate falsehood or lying. Note asymmetry: "jujur" is primarily adjectival, "bohong" functions as both noun and verb. | lexical | [CORE] |
| sah | batal | sah / batal | valid, legal, legitimate / void, cancelled, invalid | Lexical opposition for legal and procedural validity. "Sah" indicates conformity to legal/procedural requirements; "batal" indicates nullification or invalidity. Highly specialized to legal and administrative domains. | lexical | [CORE] |
| nyata | khayalan (implied contrast) | nyata / khayalan | real, actual / fantasy, imaginary | Lexical opposition between reality and imagination. "Nyata" indicates actual existence or tangible reality; "khayalan" (appearing in construction "kenyataan atau khayalan") indicates imaginary or fantasy status. The opposition is attested in contrastive construction. | lexical | [CORE] |
| [TRUTH-TERM] | tidak + [TRUTH-TERM] | [varies] / tidak + [varies] | [X] / not [X] | Morphological negation pattern applying to all truth-domain predicates. "Tidak" is the standard negator creating direct opposition (e.g., benar/tidak benar, jujur/tidak jujur, sah/tidak sah). This is the default negation strategy across all truth-domain terms. | morphological | [CORE] |
| betul | salah | betul / salah | correct, right / wrong, incorrect | Near-synonym of benar/salah opposition. "Betul" is slightly more colloquial than "benar" but functions identically in opposition to "salah." Used interchangeably with benar/salah in most contexts. | lexical | [CORE] |
| sama | tidak sama | sama / tidak sama | same, equal / not the same, different | Identity/difference opposition. "Sama" indicates identity or equivalence; negation with "tidak sama" indicates difference. This is the primary way to express difference, as there is no single lexical antonym for "sama" in the data. | morphological | [CORE] |
| cocok | tidak cocok | cocok / tidak cocok | suitable, matching, fitting / not suitable, doesn't match | Suitability/unsuitability opposition. "Cocok" indicates fit or appropriateness; "tidak cocok" indicates lack of fit or inappropriateness. No single lexical antonym attested; negation is the standard strategy. | morphological | [CORE] |
