# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Greek (el)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| αλήθεια | alítheia | un-forgetting, un-hiddenness (α- privative + λήθη "forgetting") | truth, reality, truthfulness | Used to denote correspondence with facts, genuine state of affairs, or sincerity in speech and conduct. Common in everyday discourse, philosophical texts, and legal contexts to mark what is factually correct or authentic. | [CORE] |
| ψέμα | pséma | lie, falsehood | lie, untruth | Everyday term for a false statement made with intent to deceive. Used in informal and formal contexts to identify deliberate misrepresentation of facts. | [CORE] |
| αληθινός | alithinós | true, genuine (derived from αλήθεια) | true, genuine, real, authentic | Adjective marking something as conforming to reality or being authentic rather than counterfeit. Applied to objects, statements, and persons to indicate genuineness. | [CORE] |
| ψεύτης | pséftis | liar (agent noun from ψεύδομαι "to lie") | liar, deceiver | Denotes a person who habitually or characteristically tells lies. Used in moral evaluation of character and trustworthiness. | [CORE] |
| ψευδής | pseudís | false, lying | false, mendacious, deceptive | Adjective applied to statements, claims, or persons to mark them as not corresponding to truth. Common in both ancient and modern Greek across registers. | [CORE] |
| σωστός | sostós | saved, correct (from σώζω "to save") | correct, right, proper, accurate | Marks conformity to standards, rules, or facts. Used for correct answers, proper conduct, accurate information, and things functioning as they should. | [CORE] |
| λάθος | láthos | error, mistake | wrong, mistake, error, incorrect | Denotes deviation from correctness, whether in statements, calculations, actions, or judgments. Functions as both noun and adjective in modern Greek. | [CORE] |
| ορθός | orthós | straight, upright | correct, right, proper, orthodox | Indicates conformity to standard, correctness in opinion or practice. Common in formal registers and compounds (e.g., ορθογραφία "correct writing, orthography"). | [CORE] |
| γνήσιος | gnísios | legitimate, born in wedlock | genuine, authentic, legitimate, true | Marks authenticity and legitimacy of objects, documents, or descent. Used to distinguish real from counterfeit or spurious. | [CORE] |
