| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **Zero-copula attribution** | *Kabar itu benar.* | N/A | "That news is true." | Extremely common across all registers; the copula-less predicate adjective pattern is the unmarked form in Indonesian. No register restriction observed. | [CORE] |
| **Zero-copula attribution** | *Pernikahan mereka sah.* | N/A | "Their marriage is valid." | Frequent in legal, administrative, and everyday contexts; *sah* in particular is high-frequency in both formal and informal speech. | [CORE] |
| **Zero-copula attribution** | *Informasi itu benar.* | Informasi itu benar. | "That information is correct." | Neutral declarative register; no contextual restriction. Standard across spoken and written Indonesian. | [CORE] |
| **Zero-copula attribution** | *Dokumen ini palsu.* | Dokumen ini palsu. | "This document is fake." | Equally unrestricted; attested in legal, journalistic, and everyday registers. | [CORE] |
| **Zero-copula attribution** | *Laporan itu tidak benar.* | Laporan itu tidak benar. | "That report is not true/incorrect." | Standard formula in official denials and journalistic corrections; *tidak benar* is a high-frequency fixed phrase. | [CORE] |
| ***Adalah* attribution** | *Pernyataan ini adalah kebohongan.* | Pernyataan ini adalah kebohongan. | "This statement is a lie." | Formal and written registers; used with nominal predicates; more common in official, journalistic, and academic prose. | [CORE] |
| ***Merupakan* attribution** | — | — | — | Slightly more formal than *adalah*; attested in P4a notes but no standalone example provided; same distributional context as *adalah*. | [CORE] |
| **Interrogative inversion with enclitic *-kah*** | *Benarkah kabar itu?* | N/A | "Is that news really true?" | Common in formal questions and rhetorical contexts. | [CORE] |
| **Subject + *tidak* + adjective** | *Informasi itu tidak akurat.* | N/A | "That information is inaccurate." | Standard negation pattern; *tidak* + adjective is the default form across all registers. No restrictions observed for truth-domain adjectives. | [CORE] |
| **Subject + *tidak* + adjective** | *Tindakan itu tidak sah menurut hukum yang berlaku.* | N/A | "That action is not valid under applicable law." | Frequent in legal and journalistic registers; the appended *menurut* phrase is a common extension in formal contexts. | [CORE] |
| **Subject + *tidak* + adjective** | *Berita itu tidak akurat.* | Berita itu tidak akurat. | "That news is not accurate." | Standard negation of adjectival predicates; unrestricted across registers. | [CORE] |
| **Subject + *bukan* + NP** | *Ini bukan produk asli.* | N/A | "This is not a genuine product." | *Bukan* negation for noun predicates; not interchangeable with *tidak*; applies when the predicate is nominal rather than adjectival. | [CORE] |
| **Subject + *bukan* + NP** | *Ini bukan asli.* | Ini bukan asli. | "This is not genuine." | Used for categorical denial of identity or category membership; common in legal and everyday contexts. | [CORE] |
| **Subject + *bukan* + NP** | *Ini bukan dokumen asli.* | Ini bukan dokumen asli. | "This is not a genuine document." | Obligatory for nominal predicate negation; mixing *tidak* and *bukan* is ungrammatical in standard usage; no register restriction attested. | [CORE] |
| **Softened negation: *kurang* + adjective** | — | *kurang tepat* / *kurang benar* | "not quite right" / "not entirely correct" | Pragmatically softened; frequent in polite, face-saving, and editorial contexts. Implies partial rather than total negation. | [CORE] |
| **Noun + *yang* + adjective** | *Data yang akurat sangat diperlukan untuk pengambilan keputusan.* | N/A | "Accurate data is essential for decision-making." | The *yang*-relativizer construction is the fully productive and unmarked adnominal pattern; found across all registers and all truth-domain adjectives. | [CORE] |
| **Noun + *yang* + adjective** | *Alasan yang sah harus disertakan dalam permohonan.* | N/A | "A valid reason must be included in the application." | Common in administrative and legal writing; *yang sah* is a high-frequency collocation in formal documents and regulations. | [CORE] |
| **Noun + *yang* + adjective** | *Informasi yang benar dan akurat.* | Informasi yang benar dan akurat. | "Information that is correct and accurate." | Productive default for postnominal modification; unrestricted across registers and item types. | [CORE] |
| **Noun + *yang* + adjective** | *sumber yang terpercaya* | sumber yang terpercaya | "a trusted/reliable source" | Preferred when modifier is participial or the construction is more explicitly predicative; also common across registers. | [CORE] |
| **Adjective + noun (direct juxtaposition, no *yang*)** | *berita palsu* | berita palsu | "fake news" | Restricted to fixed collocations and technical terms; not the productive default. Not freely generalized to new combinations. | [MARGINAL] |
| **Adjective + noun (direct juxtaposition, no *yang*)** | *uang palsu* | uang palsu | "counterfeit money" | Restricted to fixed collocations and technical terms; not the productive default. Not freely generalized to new combinations. | [MARGINAL] |
| **Adjective + noun (direct juxtaposition, no *yang*)** | *hadis sahih* | hadis sahih | "a sound hadith" | Restricted to fixed collocations and technical terms (*hadis sahih*, *emas murni*, *uang palsu*); not the productive default. Not freely generalized to new combinations. | [MARGINAL] |
| **Post-nominal adjective without *yang*** | *dokumen palsu* | dokumen palsu | "a forged/fake document" | Productive default for noun-modifier compounds; common across registers; preferred for single-adjective modification. | [CORE] |
| ***menjadi* + NP/adjective** | *Dusta yang diulang-ulang bisa menjadi kebenaran yang diterima.* | N/A | "A lie repeated many times can become an accepted truth." | The *menjadi* + truth-domain adjective/noun pattern is grammatically available but less frequent than resultative passives; more typical of rhetorical, journalistic, or philosophical prose than everyday speech. | [MARGINAL] |
| ***menjadi* + NP/adjective** | *Kebohongan itu akhirnya menjadi kenyataan yang diketahui publik.* | Kebohongan itu akhirnya menjadi kenyataan yang diketahui publik. | "That lie eventually became a reality known to the public." | General inchoative; unrestricted. *Menjadi kenyataan* is a fixed collocation within this pattern. | [CORE] |
| ***menjadi* + NP/adjective** | *Hal itu akhirnya menjadi kenyataan.* | Hal itu akhirnya menjadi kenyataan. | "That eventually became reality." | *Menjadi kenyataan* is a fixed collocation; *menjadi* + truth-domain noun/adjective is productive generally but this specific collocation is the most frequent in this domain. | [CORE] |
| **Resultative passive: *dinyatakan*** | *Kontrak itu dinyatakan sah oleh pengadilan.* | N/A | "The contract was declared valid by the court." | Resultative passives (*dinyatakan*, *terbukti*) are the dominant inchoative strategy in legal and institutional registers; *dinyatakan sah* is a near-formulaic legal expression. | [CORE] |
| ***terungkap* as inchoative** | *Kebenaran akan terungkap pada akhirnya.* | Kebenaran akan terungkap pada akhirnya. | "The truth will come to light in the end." | Conventionalized for truth-coming-to-light contexts; frequent in journalistic and narrative registers. Subject is typically *kebenaran* or a concealed fact. | [CORE] |
| ***terbukti* as inchoative** | — | — | "to be proven" | Closely related to *terungkap*; used when proof or evidence is foregrounded rather than mere revelation. Frequent in legal and journalistic registers. | [CORE] |
| ***terbukti* + truth-domain adjective** | *Klaim tersebut terbukti palsu.* | Klaim tersebut terbukti palsu. | "That claim was proven false." | High-frequency in legal and journalistic discourse; expresses that a truth-domain evaluation has been established through evidence or official process; no overt agent required. | [CORE] |
| **Active causative: *meN-* + base + *-kan*** | *Pihak berwenang membenarkan laporan itu.* | N/A | "The authorities confirmed that report." | *meN-...-kan* causatives are fully productive and common in formal, journalistic, and legal registers; *membenarkan* in the sense of "to confirm" is a standard journalistic verb. | [CORE] |
| **Active causative: *meN-* + base + *-kan*** | *Ia memalsukan tanda tangan pada dokumen itu.* | N/A | "He forged the signature on that document." | *Memalsukan* is the standard verb for forgery/falsification; frequent in legal, journalistic, and everyday registers. The passive *dipalsukan* is equally common in formal writing. | [CORE] |
| **Active causative: *meN-* + base + *-kan*** | *Pernyataan itu mengelirukan publik.* | Pernyataan itu mengelirukan publik. | "That statement misled the public." | Productive across the truth-domain inventory; unrestricted in register. Attested forms include: *membenarkan*, *mengelirukan*, *memalsukan*, *mengesahkan*, *memurnikan*, *mengikhlaskan*, *menyesatkan*, *menyatakan*. | [CORE] |
| **Active causative: *meN-* + base + *-kan*: confirm/justify** | *Tidak ada yang bisa membenarkan tindakan itu.* | Tidak ada yang bisa membenarkan tindakan itu. | "Nothing can justify/sanction that action." | *Membenarkan* carries both 'to confirm' and 'to justify/sanction' readings; context-dependent disambiguation; common in formal and legal registers. | [CORE] |
| **Passive causative: *di-* + base + *-kan*** | *Dokumen itu telah dipalsukan.* | Dokumen itu telah dipalsukan. | "That document has been forged." | Equally productive; particularly frequent in formal, legal, and journalistic registers where the agent is backgrounded or unknown. | [CORE] |
| ***ke-* + base + *-an*** | *Mencari kebenaran adalah tugas jurnalis.* | N/A | "Seeking the truth is the journalist's task." | *Ke-...-an* nominalizations are fully productive and extremely frequent; *kebenaran* is one of the highest-frequency nominalizations in the domain, appearing across all registers. | [CORE] |
| ***ke-* + base + *-an*** | *Keabsahan kontrak itu masih dipertanyakan.* | N/A | "The validity of that contract is still being questioned." | *Keabsahan* is standard in legal and administrative registers; the construction *masih dipertanyakan* ("still being questioned") is a frequent collocate in journalistic prose. | [CORE] |
| ***ke-* + base + *-an*** | *Kejujuran adalah nilai yang dijunjung tinggi.* | Kejujuran adalah nilai yang dijunjung tinggi. | "Honesty is a highly valued principle." | Primary abstract nominalizer; productive across the inventory. Attested forms: *kebenaran*, *kesalahan*, *keaslian*, *kejujuran*, *kebohongan*, *keabsahan*, *kemurnian*, *ketulusan*, *keikhlasan*, *kenyataan*, *ketepatan*, *keakuratan*. | [CORE] |
| ***ke-* + base + *-an*** | *Keabsahan pemilu itu dipertanyakan.* | Keabsahan pemilu itu dipertanyakan. | "The legitimacy of that election was called into question." | Frequent in legal, political, and journalistic registers; no restriction on subject type. | [CORE] |
| ***ke-* + base + *-an*: validity/legitimacy** | *Keabsahan dokumen itu dipertanyakan.* | Keabsahan dokumen itu dipertanyakan. | "The validity/legitimacy of that document was questioned." | Frequent in legal and administrative discourse; *keabsahan* and *kesahihan* are near-synonyms with partially overlapping distribution in this domain. | [CORE] |
| ***ke-* + base + *-an*: honesty** | *Kejujuran adalah nilai yang paling penting.* | Kejujuran adalah nilai yang paling penting. | "Honesty is the most important value." | Highly productive; all major truth-domain adjectives form *ke-...-an* nominalizations; common across registers including formal, written, and spoken. | [CORE] |
| **Loanword substitution: *validitas*** | — | *validitas* | "validity" | Used in technical/academic registers in place of *\*kevalidan*; reflects incomplete morphological integration of Dutch/Latin loanwords. *\*Keotentikan* is noted as marginal. | [MARGINAL] |
| ***-Itas* nominalization (loanword bases)** | — | — | — | Attested in P4a notes (*validitas*, *kredibilitas*, *otentisitas*) but no standalone example provided; restricted to loanword bases; more common in academic and technical registers. | [CORE] |
| ***pe(N)-* + base (negative-role agent)** | *Ia dikenal sebagai pembohong ulung.* | N/A | "He is known as a skilled liar." | *Pembohong* is the everyday agentive form for "liar" and is unrestricted by register; the collocation *pembohong ulung* ("skilled/accomplished liar") is a fixed evaluative phrase. | [CORE] |
| ***pe(N)-* + base (negative-role agent)** | *Pemalsu uang itu akhirnya ditangkap polisi.* | N/A | "The currency counterfeiter was finally arrested by police." | *Pemalsu* is the standard agentive for forger/counterfeiter; frequent in legal and journalistic registers. The compound *pemalsu uang* is a lexicalized collocation. | [CORE] |
| ***pe(N)-* + base (negative-role agent)** | *Dia dikenal sebagai pembohong ulung.* | Dia dikenal sebagai pembohong ulung. | "He is known as a skilled liar." | Well established for negative agentive roles (*pembohong*, *pendusta*, *pemalsu*, *peniru*); unrestricted in register. | [CORE] |
