| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| benar | salah | N/A | true / correct — wrong / incorrect | *Benar* affirms that a statement, fact, or action corresponds to reality or a correct standard; *salah* indicates deviation from correctness, fact, or proper conduct. The pair is explicitly documented as a fixed binary evaluative frame (*benar atau salah*, "true or false / right or wrong"; *benar-salah*, "right and wrong") used in educational, logical, and moral contexts. Both terms also extend into moral evaluation, where *benar* means "right" and *salah* means "wrong" or "at fault." The two roots are treated as anchoring opposite poles of the correctness axis, and the pair appears in test formats (*soal benar atau salah*). | lexical | [CORE] |
| benar | tidak benar | N/A | true / correct — not true / incorrect | *Tidak benar* is the standard morphological negation of *benar*, formed by inserting the general negator *tidak* before the predicate adjective. The CONTEXT documents this as the standard formula in official denials, corrections, and rebuttals, and notes it as distinct from *salah* in that it denies confirmation rather than asserting wrongness. The example *Hal itu tidak benar* ("That is not true") and *informasi itu tidak benar* are attested. It is described as "common in official denials and corrections." | morphological | [CORE] |
| benar | kurang benar | N/A | correct — not entirely correct | *Kurang benar* is a softened negation using *kurang* ("less, insufficient") rather than *tidak*, indicating that something is not fully correct without constituting a direct denial. The CONTEXT documents this as a politeness strategy common in conversational and journalistic registers, functionally distinct from the categorical negation *tidak benar*. | constructional | [CORE] |
| benar | bohong | N/A | true — lie / false | The CONTEXT places *bohong* in contrastive relationship with *benar* as its evaluative opposite in the domain of deliberate untruth; *bohong* specifically implies deliberate deception, whereas *benar* affirms correspondence with reality. The CONTEXT notes the internal distinction that *bohong* and *dusta* "specifically imply deliberate deception" while *benar* does not carry this implication. | lexical | [CORE] |
| benar | dusta | N/A | true — falsehood / lie | *Dusta* is documented as a near-synonym of *bohong* and placed in the same contrastive relationship with *benar*, but in a more formal and literary register. The CONTEXT notes *dusta* is "more formal or literary in register" and "common in religious and moral discourse," distinguishing it from *bohong* in distribution while sharing the same contrastive relationship with *benar*. | lexical | [CORE] |
| asli | palsu | N/A | genuine / original — fake / counterfeit | *Asli* indicates that an object, document, person, or cultural item is not a copy, forgery, or imitation; *palsu* indicates that it is fraudulently presented as genuine. The binary *asli atau palsu* ("genuine or fake?") is documented as a fixed evaluative construction in commercial, forensic, legal, and journalistic registers, described as "stable and highly frequent." The CONTEXT notes that *palsu* carries a stronger connotation of deliberate deception than *salah*. | lexical | [CORE] |
| asli | tiruan | N/A | genuine / original — imitation / copy | *Asli* indicates the original or genuine article; *tiruan* indicates a replica or imitation that does not necessarily involve fraudulent intent. The CONTEXT explicitly contrasts the two (*ini asli, bukan tiruan*; *hanya tiruan, bukan yang asli*) and notes that *tiruan* occupies an intermediate position between *asli* and *palsu*: it describes resemblance without necessarily implying fraud and "may be acknowledged openly." The pair *barang asli* vs. *barang tiruan* is attested in commercial and legal discourse. The CONTEXT distinguishes *tiruan* from *palsu* within this contrast: *tiruan* is "less strongly negative than *palsu* (which implies deliberate deception)." | lexical | [CORE] |
| palsu | tiruan | N/A | fake / counterfeit — imitation / copy | Both terms describe non-original objects, but the CONTEXT explicitly distinguishes them: *palsu* implies deliberate deception and is used in legal contexts for fraud and forgery, while *tiruan* "describes a copy that may be openly acknowledged as such and does not necessarily imply fraud." The CONTEXT states: "*tiruan* does not necessarily imply deceptive intent, unlike *palsu*." This is an opposition within the non-genuine category rather than between genuine and non-genuine. | lexical | [CORE] |
| sah | tidak sah | N/A | valid / legitimate — invalid / illegitimate | *Sah* indicates that an act, document, or status meets the required conditions for official recognition; *tidak sah* is its standard morphological negation, indicating that those conditions are not met. The CONTEXT documents this as a standard legal and religious formula, providing the examples *Pernikahan itu tidak sah* ("That marriage is invalid") and *pernikahan itu dinyatakan tidak sah* ("the marriage was declared invalid"), and the fixed legal formula *tidak sah demi hukum* ("null and void under the law"). It is described as a "standard negation" used in legal, administrative, and religious contexts. | morphological | [CORE] |
| sah | belum sah | N/A | valid — not yet valid | *Belum sah* uses *belum* ("not yet") rather than *tidak* to indicate that formal validity has not yet been achieved but is anticipated or pending. The CONTEXT documents this as common in administrative, legal, and religious contexts (*pernikahan belum sah*, "the marriage is not yet valid"), and distinguishes it from the categorical denial *tidak sah*. | constructional | [CORE] |
| anak sah | anak tidak sah | N/A | legitimate child — illegitimate child | These are fixed legal terms distinguishing children born within a legally recognized marriage from those born outside it. The CONTEXT documents both as standard terms in Indonesian family law, inheritance law, and civil registration, with significant legal consequences regarding inheritance and parental rights. | constructional | [CORE] |
| sah secara hukum | sah secara agama | N/A | legally valid — valid according to religion / religiously valid | These two constructions distinguish validity under civil law from validity under religious law. The CONTEXT documents this contrast as reflecting the dual civil-religious structure of Indonesian family law, where an act may be valid in one domain but not the other. The construction *sah secara hukum maupun agama* ("valid both legally and religiously") presupposes their separability. The pattern *sah secara* + domain is noted as productive. | constructional | [CORE] |
| sah secara prosedural | dipertanyakan secara moral | N/A | procedurally valid — morally questionable | The CONTEXT documents the specific contrastive construction *Keputusan itu sah secara prosedural tetapi dipertanyakan secara moral* ("The decision is procedurally valid but morally questionable") as a stable formula in ethical and legal commentary, distinguishing legal validity from moral validity. It is described as "a productive argumentative structure in editorial and analytical writing" and noted as restricted to the *sah/absah/valid* cluster. | constructional | [CORE] |
| sah secara hukum tetapi tidak secara moral | (implied: sah secara moral tetapi tidak secara hukum) | N/A | legally valid but not morally so — (morally valid but not legally so) | The CONTEXT documents the specific contrastive construction *sah secara hukum tetapi tidak secara moral* as a stable formula in ethical and legal commentary, distinguishing legal validity from moral validity. The implied reverse is not independently attested as a fixed formula in the CONTEXT; only the documented direction is reported here. | constructional | [CORE] |
| terbukti bersalah | tidak terbukti bersalah | N/A | proven guilty — not proven guilty | *Terbukti bersalah* is described as "a standard legal formula used in court decisions," and *tidak terbukti bersalah* is explicitly identified as its direct counterpart. Both are documented as [CORE] in legal register. | morphological | [CORE] |
| terbukti | tidak terbukti | N/A | proven / established — not proven / unsubstantiated | *Tidak terbukti* is described as used "to state that a claim has not been established by evidence," directly contrasting with *terbukti* which asserts that a claim has been established. The pair is used in legal, journalistic, and scientific contexts. | morphological | [CORE] |
| bersalah | tidak bersalah | N/A | guilty / at fault — not guilty / innocent | *Tidak bersalah* is described as "the direct counterpart of *bersalah* in legal proceedings and moral evaluation" and as the "standard legal and moral formula used to assert innocence or absence of culpability." | morphological | [CORE] |
| jujur | tidak jujur / ketidakjujuran | N/A | honest — dishonest / dishonesty | *Tidak jujur* is the standard morphological negation of *jujur*, used across all registers to evaluate a person or statement as lacking honesty. The CONTEXT documents *bersikap tidak jujur* ("to behave dishonestly") and *tidak jujur dalam melaporkan keuangan* ("dishonest in financial reporting") as stable collocations in moral and legal discourse. *Ketidakjujuran* is documented as the *ke-tidak-...-an* nominalization. Both *kejujuran* and *ketidakjujuran* are listed as [CORE] derivations of *jujur*. | morphological | [CORE] |
| jujur | bohong | N/A | honest — lying / false | *Jujur* evaluates a person or statement as free from deception; *bohong* characterizes a statement as deliberately untrue or a person as one who lies. The CONTEXT documents the explicit comparative moral construction *lebih baik jujur daripada berbohong* ("it is better to be honest than to lie"), establishing the two as contrasting poles of a moral evaluation of truthfulness in personal conduct. *Bohong* is the primary everyday term for lying, contrasting with *jujur* as the primary term for honesty. | lexical | [CORE] |
| adil | tidak adil / ketidakadilan | N/A | fair / just — unfair / injustice | *Ketidakadilan* is documented as a [CORE] derivation of *adil*, described as "used in legal, moral, and political discourse to refer to the absence or violation of justice." The construction *tidak adil jika* is documented as a standard construction for characterizing an arrangement as inequitable. | morphological | [CORE] |
| sesuai dengan | tidak sesuai dengan | N/A | in accordance with — not in accordance with | *Tidak sesuai dengan* is described as "extremely common in official documents and legal writing" and *sesuai dengan* as "the standard prepositional construction used to assert conformity." The CONTEXT also documents *ketidaksesuaian* ("non-conformity, discrepancy, mismatch") as the abstract noun of the negative pole. | constructional | [CORE] |
| wajar | tidak wajar | N/A | reasonable / proper — unreasonable / improper | *Tidak wajar* is listed as a related form of *wajar* and documented as a [CORE] derivation. The CONTEXT provides the example *Keuntungan yang tidak wajar* ("unreasonable/improper profit") as a legal collocation in competition law. | morphological | [CORE] |
| pantas | tidak pantas | N/A | fitting / appropriate — improper / inappropriate | *Tidak pantas* is listed as a [CORE] derivation and multiple constructions with *tidak pantas* are documented, including *tidak pantas rasanya* (hedged evaluative) and *tidak pantas dikenakan* (dress code contexts). | morphological | [CORE] |
| akurat | tidak akurat | N/A | accurate — inaccurate | *Tidak akurat* is described as "the standard negation of *akurat*" and is noted as "often paired with *menyesatkan* (misleading) in critical evaluations of reporting." The CONTEXT provides the example *Laporan itu tidak akurat dan menyesatkan* ("The report is inaccurate and misleading"). | morphological | [CORE] |
| kebenaran mutlak | kebenaran relatif | N/A | absolute truth — relative truth | *Kebenaran mutlak* "contrasts with *kebenaran relatif* (relative truth)" and both are listed as [CORE] items used in philosophical and academic discourse. The CONTEXT describes them as appearing together in epistemology, social science, and popular intellectual writing, in debates about whether truth is absolute or relative. | constructional | [CORE] |
