| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| 1. Attribution (是…的 frame / bare adjectival) | 这是真的吗？ / 你说得对。 | zhè shì zhēn de ma? / nǐ shuō de duì | "Is this true/real?" / "What you say is right." | [CORE] | Two strategies coexist: nominal 是…的 frame for genuineness (是真的/是假的) and bare/complement predication for monosyllabic 对/错; bisyllabic terms (正确, 可靠) predicate directly. Alternates: V+得+对, 没错, direct predication (消息可靠). |
| 2. Negative Attribution (不/没 + lexical antonym) | 这是假的。 / 不可靠 | zhè shì jiǎ de / bù kěkào | "This is fake." / "unreliable / not dependable." | [CORE] | Falsity expressed by negating positive terms (不真实, 不正确) or by dedicated antonyms (假, 错, 错误, 虚伪). 没错 is a fixed negated affirmation, not a denial. Alternates: 不是真的, 不对, 没错. |
| 3. Adnominal Modification (Adj + 的 + N) | 真实的情况 / 正宗川菜 | zhēnshí de qíngkuàng / zhèngzōng chuāncài | "the real situation" / "authentic Sichuan cuisine" | [CORE] | Productive modifier slot but collocationally restricted: 真挚→emotion/relationship, 正宗/地道→food/culture, 可靠→source/information. Authenticity-to-type terms drop 的 in fixed N-N collocations. Alternate: bare N-N (正宗川菜). |
| 4. Become / Inchoative (lexicalized …成/成真) | 弄假成真 / 真相大白 | nòng jiǎ chéng zhēn / zhēnxiàng dàbái | "what began as pretense becomes real" / "the truth comes fully to light" | [MARGINAL] | Restricted to fixed idioms; no productive [Adj + become] template. No attested *变真实 / *变正确. No general alternate construction. |
| 5. Causative (absence; lexical verbs instead) | 揭露真相 / 核实情况 | jiēlù zhēnxiàng / héshí qíngkuàng | "to expose the truth" / "to verify the situation" | [MARGINAL] | No productive causative on truth adjectives (no *使真化, no productive 使+Adj here). Functional space filled by independent transitive verbs. Alternates: 揭露, 查明, 核实, 证实, 纠正. |
| 6. Abstract Nominalization (-性 / -度) | 真实性 / 可信度 | zhēnshíxìng / kěxìndù | "authenticity, truthfulness" / "credibility, degree of trustworthiness" | [CORE] | -性 attaches to bisyllabic evaluatives (真实, 正确, 准确, 可靠, 相似); -度 to gradable ones (可信, 准确, 相似). Monosyllabic 真/假/对/错 resist suffixation; moral terms 真诚/诚实 show a genuine gap. Alternate: binomial compounds (真假, 真伪). |
| 7. Agentive Nominalization (absence; [Adj(+的)+人]) | 老实人 / 虚伪的人 | lǎoshi rén / xūwěi de rén | "an honest person" / "a hypocritical person" | [MARGINAL] | -者 slot empty for this vocabulary (no standard *诚实者, *可靠者). Agent reference uses [Adj+人] (老实人) or [Adj+的+人] (虚伪的人); "liar/truth-teller" expressed by separate lexemes. |
| 8. Discourse-Connective / Stance ([N/Adj+上], [Adj+地说]) | 事实上 / 准确地说 | shìshí shàng / zhǔnquè de shuō | "in fact, as a matter of fact" / "to put it precisely / strictly speaking" | [CORE] | Fixed framing/hedging devices, not predicative assertions. 事实/本质 specialize into 上-connectives; accuracy terms enter 地说 clarification frames. Alternates within type: 本质上, 事实上 / 准确地说. |
| 9. Verb–Object Collocations (V + truth-noun) | 追求真理 / 辨别真伪 | zhuīqiú zhēnlǐ / biànbié zhēnwěi | "to pursue truth" / "to distinguish genuine from fake" | [CORE] | Verb class selected by noun type and non-interchangeable: 真理→追求/掌握, 真相→揭露/查明, 真伪/真假→辨别/鉴定, 错误→犯/纠正. |
| 10. Resemblance / Likeness ([像…一样], [与/和…相似], 好像) | 像他一样 / 与原作相似 | xiàng tā yíyàng / yǔ yuánzuò xiāngsì | "(just) like him" / "similar to the original" | [CORE] | 像 builds a productive likeness/manner comparative and extends to epistemic 好像; 相似 takes the more formal 与…相似 frame and likeness-nominal (相似之处). 逼真 evaluates representational closeness in V+得 complements (画得逼真). Alternates: 和…相似, 好像, V+得+逼真. |
