# CLCA Protocol v3.4 — F4 Construction Table
# Language: Swahili (sw)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Ni kweli | ni kweli | It's true | Standard copular pattern with invariant copula **ni** (affirmative) or **si** (negative). Truth predicates function as complements without agreement marking. | [CORE] |
| ATTRIBUTION | Habari hii si sahihi | habari hii si sahihi | This news is not correct | Standard copular pattern with invariant copula **ni** (affirmative) or **si** (negative). Truth predicates function as complements without agreement marking. | [CORE] |
| NEGATIVE ATTRIBUTION | Si kweli kabisa | si kweli kabisa | Not true at all | Same copular structure as affirmative but with negative copula **si**: **NP si PRED**. Negation expressed through copula replacement, not through verbal negation morphology. Intensifiers like **kabisa** follow the predicate. | [CORE] |
| NEGATIVE ATTRIBUTION | Jibu lako si sahihi | jibu lako si sahihi | Your answer is not correct | Same copular structure as affirmative but with negative copula **si**: **NP si PRED**. Negation expressed through copula replacement, not through verbal negation morphology. Intensifiers like **kabisa** follow the predicate. | [CORE] |
| ADNOMINAL MODIFICATION | Rafiki wa kweli | rafiki wa kweli | true friend | Associative construction **N -a TRUTH-NOUN** with agreement on associative marker. Associative pattern (-a) highly productive with abstract nouns (kweli, uongo, haki). | [CORE] |
| ADNOMINAL MODIFICATION | Jibu sahihi | jibu sahihi | correct answer | Direct adjectival modification **N ADJ** with agreement. Direct modification used with Arabic-derived adjectives (sahihi, halisi, kamili) which do not inflect for noun class. | [CORE] |
| BECOME / INCHOATIVE | Kuwa kweli | kuwa kweli | to become true, to turn out to be true | Stative verb **kuwa** + truth predicate: **kuwa PRED**. General inchoative uses **kuwa** + predicate. | [CORE] |
| BECOME / INCHOATIVE | Kubovu | kubovu | to rot, to become corrupt | For process of becoming corrupt/rotten, root verb forms exist. Specific roots like **-bovu** have inherent stative/inchoative semantics without requiring **kuwa**. | [CORE] |
| CAUSATIVE | Hakikisha | hakik-isha | to make certain, to ensure, to verify | Causative suffix **-ish-** or **-iz-** added to roots: **ROOT-ish-a**. Highly productive for verification and validation actions. Causative derivation productive with certainty/verification roots. | [CORE] |
| CAUSATIVE | Thibitisha | thibitish-a | to confirm, to verify, to validate | Causative suffix **-ish-** or **-iz-** added to roots: **ROOT-ish-a**. Highly productive for verification and validation actions. Forms like **hakikisha** (cause to be certain), **kamilisha** (cause to be complete), **batilisha** (cause to be invalid) are common. | [CORE] |
| ABSTRACT NOMINALIZATION | Ukweli | u-kweli | truth, reality, fact | Prefix **u-** (noun class 11/14) + root: **u-ROOT**. Highly productive pattern deriving abstract nouns from adjectives and some verbs. Most productive derivational pattern in truth domain. Forms abstract nouns denoting qualities or states: **uongo** (falsehood), **uhalisi** (genuineness), **uadilifu** (honesty), **uhakika** (certainty), **ubovu** (corruption). | [CORE] |
| ABSTRACT NOMINALIZATION | Usahihi | u-sahihi | correctness, accuracy, validity | Prefix **u-** (noun class 11/14) + root: **u-ROOT**. Highly productive pattern deriving abstract nouns from adjectives and some verbs. Most productive derivational pattern in truth domain. Forms abstract nouns denoting qualities or states: **uongo** (falsehood), **uhalisi** (genuineness), **uadilifu** (honesty), **uhakika** (certainty), **ubovu** (corruption). | [CORE] |
| AGENTIVE NOMINALIZATION | Mdanganyifu | m-dangany-ifu | deceiver, liar, fraud | Prefix **m-** (noun class 1) + adjectival form in **-ifu**: **m-ROOT-ifu**. Limited productivity in truth domain. Direct agentive derivation limited. | [CORE] |
| AGENTIVE NOMINALIZATION | Mwenye kweli | m-enye kweli | truthful person, one who has truth | More common pattern uses possessive **mwenye** + truth noun. No productive "truth-teller" agentive form; expressed periphrastically as **mtu wa kweli** (person of truth) or **mwenye kweli** (one having truth). | [CORE] |
| COMPLEMENTIZER CONSTRUCTIONS | Ni kweli kwamba alifika | ni kweli kwamba a-li-fika | It's true that he arrived | Copular predicate + complementizer **kwamba** + clause: **ni PRED kwamba S**. Standard pattern for propositional truth attribution. Complementizer **kwamba** introduces finite clause. Highly productive with truth predicates: **ni hakika kwamba** (it's certain that), **haki ni kwamba** (the truth is that). | [CORE] |
| COMPLEMENTIZER CONSTRUCTIONS | Ni dhahiri kwamba hawajui | ni dhahiri kwamba ha-wa-jui | It's evident that they don't know | Copular predicate + complementizer **kwamba** + clause: **ni PRED kwamba S**. Standard pattern for propositional truth attribution. Complementizer **kwamba** introduces finite clause. Highly productive with truth predicates: **ni hakika kwamba** (it's certain that), **haki ni kwamba** (the truth is that). | [CORE] |
| ADVERBIAL MODIFICATION | Kwa kweli | kwa kweli | truly, really, in truth | Prepositional phrase with **kwa** + abstract noun: **kwa N**. Functions as manner adverbial. Highly productive pattern. Forms adverbials from abstract nouns: **kwa usahihi** (accurately), **kwa haki** (justly), **kwa uadilifu** (honestly). Very common in discourse for emphasizing manner or sincerity. | [CORE] |
| ADVERBIAL MODIFICATION | Kwa hakika | kwa hakika | certainly, surely, definitely | Prepositional phrase with **kwa** + abstract noun: **kwa N**. Functions as manner adverbial. Highly productive pattern. Forms adverbials from abstract nouns: **kwa usahihi** (accurately), **kwa haki** (justly), **kwa uadilifu** (honestly). Very common in discourse for emphasizing manner or sincerity. | [CORE] |
| VERBAL OBJECT CONSTRUCTIONS | Kusema kweli | kusema kweli | to tell the truth, to speak truthfully | Verb + truth-domain noun as direct object: **V + TRUTH-NOUN**. Productive with speech verbs and epistemic verbs. Highly productive with verbs of speech (**sema, ambia, ongea**), cognition (**jua, elewa, tambua**), and action (**tafuta, gundua, ficha, pinga**). Object nouns typically **kweli** or **ukweli** for truth, **uongo** for lies, **haki** for rights/justice. | [CORE] |
| VERBAL OBJECT CONSTRUCTIONS | Tafuta ukweli | tafuta ukweli | to seek the truth | Verb + truth-domain noun as direct object: **V + TRUTH-NOUN**. Productive with speech verbs and epistemic verbs. Highly productive with verbs of speech (**sema, ambia, ongea**), cognition (**jua, elewa, tambua**), and action (**tafuta, gundua, ficha, pinga**). Object nouns typically **kweli** or **ukweli** for truth, **uongo** for lies, **haki** for rights/justice. | [CORE] |
| INTENSIFICATION | Kweli kabisa | kweli kabisa | absolutely true, completely true | Truth predicate + intensifier **kabisa**: **PRED kabisa**. Also reduplication for emphasis: **PRED PRED**. **Kabisa** (completely, absolutely) follows predicate for intensification. Reduplication of **kweli** and **sawa** common in informal speech for emphatic affirmation. Both patterns highly productive. | [CORE] |
| INTENSIFICATION | Kweli kweli | kweli kweli | really truly, very true | Truth predicate + intensifier **kabisa**: **PRED kabisa**. Also reduplication for emphasis: **PRED PRED**. **Kabisa** (completely, absolutely) follows predicate for intensification. Reduplication of **kweli** and **sawa** common in informal speech for emphatic affirmation. Both patterns highly productive. | [CORE] |
| POSSESSIVE ATTRIBUTION | Mwenye haki | m-enye haki | one who is right, rightful person | Possessive construction with **-enye** (having): **N-enye TRUTH-NOUN** where N- agrees with subject class. **-enye** takes noun class agreement prefix. Productive pattern for identifying persons characterized by truth-domain qualities. Common with **haki** (right/justice), **kweli** (truth), **uongo** (lies), **busara** (wisdom). | [CORE] |
| POSSESSIVE ATTRIBUTION | Wale wenye uongo | wale wenye uongo | those who lie, liars | Possessive construction with **-enye** (having): **N-enye TRUTH-NOUN** where N- agrees with subject class. **-enye** takes noun class agreement prefix. Productive pattern for identifying persons characterized by truth-domain qualities. Common with **haki** (right/justice), **kweli** (truth), **uongo** (lies), **busara** (wisdom). | [CORE] |
| RIGHTS AND ENTITLEMENTS | Haki za binadamu | haki za binadamu | human rights | **haki ya/za + NOUN/INFINITIVE**: possessive construction marking specific rights or entitlements. Highly productive domain-specific pattern. **Haki** takes plural **za** for general rights or singular **ya** for specific rights. Common with infinitives: **haki ya kumiliki** (right to own), **haki ya kujieleza** (right to express oneself). | [CORE] |
| RIGHTS AND ENTITLEMENTS | Haki ya kura | haki ya kura | right to vote, voting right | **haki ya/za + NOUN/INFINITIVE**: possessive construction marking specific rights or entitlements. Highly productive domain-specific pattern. **Haki** takes plural **za** for general rights or singular **ya** for specific rights. Common with infinitives: **haki ya kumiliki** (right to own), **haki ya kujieleza** (right to express oneself). | [CORE] |
| EVIDENTIAL/OBVIOUSNESS MARKING | Ukweli ulio wazi | ukweli u-lio wazi | obvious truth, clear truth | Relative clause construction marking evident truth: **ukweli u-lio wazi** (truth which-is open/clear). Uses relative marker **-lio/-sio** with agreement. Pattern marks epistemic status of truth claims. **Wazi** (open/clear) indicates obviousness; **bila/si na shaka** (without doubt) indicates certainty. | [CORE] |
