| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | 这段描述后来变得更真实了。 | zhè duàn miáoshù hòulái biàn de gèng zhēnshí le. | [CORE] | Chinese commonly uses **变 / 变得** to express movement into a more truth-related state such as **真实, 可信, 可靠, 准确**. For **属实**, dynamic use is more restricted: it is usually not framed as a gradual quality, but as a verification result in official language. |
| 2 | 这一说法后来变得可信了。 | zhè yī shuōfǎ hòulái biàn de kěxìn le. | [CORE] | Chinese commonly uses **变 / 变得** to express movement into a more truth-related state such as **真实, 可信, 可靠, 准确**. For **属实**, dynamic use is more restricted: it is usually not framed as a gradual quality, but as a verification result in official language. |
| 3 | 数据核对后变得更准确。 | shùjù héduì hòu biàn de gèng zhǔnquè. | [CORE] | Chinese commonly uses **变 / 变得** to express movement into a more truth-related state such as **真实, 可信, 可靠, 准确**. For **属实**, dynamic use is more restricted: it is usually not framed as a gradual quality, but as a verification result in official language. |
| 4 | 报道后来变得失实。 | bàodào hòulái biàn de shīshí. | [CORE] | For movement into a negative state, Chinese again uses **变 / 变得 / 变为 / 越来越**. With **失真**, the dynamic reading is especially natural because the word itself often implies loss of fidelity. With **失实**, the subject is usually a **报道、内容、说法** type of expression rather than a person or object in general. |
| 5 | 这一说法越来越不可信了。 | zhè yī shuōfǎ yuèláiyuè bù kěxìn le. | [CORE] | For movement into a negative state, Chinese again uses **变 / 变得 / 变为 / 越来越**. With **失真**, the dynamic reading is especially natural because the word itself often implies loss of fidelity. With **失实**, the subject is usually a **报道、内容、说法** type of expression rather than a person or object in general. |
| 6 | 图像在传递中失真。 | túxiàng zài chuándì zhōng shīzhēn. | [CORE] | For movement into a negative state, Chinese again uses **变 / 变得 / 变为 / 越来越**. With **失真**, the dynamic reading is especially natural because the word itself often implies loss of fidelity. With **失实**, the subject is usually a **报道、内容、说法** type of expression rather than a person or object in general. |
| 7 | 内容由真实变为虚假。 | nèiróng yóu zhēnshí biàn wéi xūjiǎ. | [CORE] | For movement into a negative state, Chinese again uses **变 / 变得 / 变为 / 越来越**. With **失真**, the dynamic reading is especially natural because the word itself often implies loss of fidelity. With **失实**, the subject is usually a **报道、内容、说法** type of expression rather than a person or object in general. |
| 8 | 举报内容属实。 | jǔbào nèiróng shǔshí. | [CORE] | For **属实**, Chinese usually does **not** use a common everyday “become true” pattern like *变得属实*. Instead, the language prefers **verification constructions** such as **属实 / 经查属实 / 查证属实 / 尚未证实是否属实**. So here the dynamic meaning is encoded as a **change in verification status**, not as an ordinary adjectival change-of-state. |
| 9 | 经查属实。 | jīng chá shǔshí. | [CORE] | For **属实**, Chinese usually does **not** use a common everyday “become true” pattern like *变得属实*. Instead, the language prefers **verification constructions** such as **属实 / 经查属实 / 查证属实 / 尚未证实是否属实**. So here the dynamic meaning is encoded as a **change in verification status**, not as an ordinary adjectival change-of-state. |
