| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| truth | untruth | N/A | truth ↔ untruth / falsehood | The context explicitly lists *untruth* as a negative derivation of *truth*. This is a direct opposition between what is true and a false statement. | morphological | [CORE] |
| truthful | untruthful | N/A | truthful ↔ untruthful | The derivational system explicitly gives *untruthful* as the negated counterpart of *truthful*. The contrast is between honest/truth-conforming speech or character and its negation. | morphological | [MARGINAL] |
| true | untrue | N/A | true ↔ untrue | The context explicitly includes *untrue* as a derived negative of *true*. This is a basic opposition in statement-truth evaluation. | morphological | [CORE] |
| correct | incorrect | N/A | correct ↔ incorrect | The derivational inventory explicitly lists *incorrect* as the negative counterpart of *correct*. The contrast applies especially to answers, statements, forms, and procedures. | morphological | [CORE] |
| accurately / accurate | inaccurately / inaccurate | N/A | accurate ↔ inaccurate | The context explicitly provides *inaccurate* and *inaccurately* as negative forms of *accurate*. This opposition concerns closeness of match to facts, measurements, or representations. | morphological | [CORE] |
| accuracy | inaccuracy | N/A | accuracy ↔ inaccuracy | The derivational system explicitly lists *inaccuracy* as the negative counterpart of *accuracy*. The contrast is between factual or representational correctness and error. | morphological | [CORE] |
| authentic | inauthentic | N/A | authentic ↔ inauthentic | The context explicitly includes *inauthentic* as the standard negative form of *authentic*. This opposition concerns originality, genuineness, or legitimacy of identity, performance, or object. | morphological | [CORE] |
| authenticity | inauthenticity | N/A | authenticity ↔ inauthenticity | The derivational inventory explicitly gives *inauthenticity* as the negative counterpart of *authenticity*. The contrast is between the quality of being authentic and the quality of lacking authenticity. | morphological | [CORE] |
| real | unreal | N/A | real ↔ unreal | The context explicitly lists *unreal* as a negative derivation of *real*. This is a direct opposition between actuality and non-reality. | morphological | [CORE] |
| reality | unreality | N/A | reality ↔ unreality | The derivational system explicitly includes *unreality* as the negative counterpart of *reality*. This contrast is attested especially in literary, philosophical, and psychological usage. | morphological | [MARGINAL] |
| valid | invalid | N/A | valid ↔ invalid | The context explicitly lists *invalid* as the negative counterpart of *valid*. The opposition applies to arguments, documents, licenses, and procedures under formal standards. | morphological | [CORE] |
| validity | invalidity | N/A | validity ↔ invalidity | The derivational inventory explicitly gives *invalidity* as the negative counterpart of *validity*. This contrast concerns whether something has recognized logical, legal, or procedural force. | morphological | [CORE] |
| sound | unsound | N/A | sound ↔ unsound | The context explicitly includes *unsound* as the negative form of *sound*. The opposition is used for reasoning, judgment, methods, structures, or finances. | morphological | [CORE] |
| soundness | unsoundness | N/A | soundness ↔ unsoundness | The derivational system explicitly lists *unsoundness* as the negative counterpart of *soundness*. This contrast is established but more formal and less frequent. | morphological | [MARGINAL] |
| reliable | unreliable | N/A | reliable ↔ unreliable | The context explicitly provides *unreliable* as the negative counterpart of *reliable*. The contrast concerns dependability of persons, sources, methods, or systems. | morphological | [CORE] |
| reliability | unreliability | N/A | reliability ↔ unreliability | The derivational inventory explicitly lists *unreliability* as the negative counterpart of *reliability*. This opposition is central in technical, scientific, and evaluative contexts. | morphological | [CORE] |
| trustworthy | untrustworthy | N/A | trustworthy ↔ untrustworthy | The context explicitly includes *untrustworthy* as the negative counterpart of *trustworthy*. The contrast concerns whether a person, institution, or source deserves trust. | morphological | [CORE] |
| trustworthiness | untrustworthiness | N/A | trustworthiness ↔ untrustworthiness | The derivational system explicitly gives *untrustworthiness* as the negative counterpart of *trustworthiness*. This is a direct opposition in moral and epistemic evaluation. | morphological | [CORE] |
| credible | incredible | N/A | credible ↔ incredible / not credible | The context explicitly lists *incredible* as a negative derivation of *credible*, while noting that in modern everyday English it often shifts toward “astonishing.” The non-credible sense remains attested but less dominant. | morphological | [MARGINAL] |
| credibility | incredibility | N/A | credibility ↔ incredibility | The derivational inventory explicitly includes *incredibility* as the negative counterpart of *credibility*. This is an attested but less common formal opposition. | morphological | [MARGINAL] |
| faithful | unfaithful | N/A | faithful ↔ unfaithful | The context explicitly lists *unfaithful* as the negative counterpart of *faithful*. The opposition applies both to personal loyalty and to fidelity of representation. | morphological | [CORE] |
| faithfulness | unfaithfulness | N/A | faithfulness ↔ unfaithfulness | The derivational system explicitly gives *unfaithfulness* as the negative counterpart of *faithfulness*. This contrast is established in moral, religious, and representational contexts. | morphological | [CORE] |
| exact | inexact | N/A | exact ↔ inexact | The context explicitly includes *inexact* as the negative counterpart of *exact*. The opposition concerns high-precision matching in wording, measurement, and correspondence. | morphological | [CORE] |
| exactness | inexactness | N/A | exactness ↔ inexactness | The derivational inventory explicitly lists *inexactness* as the negative counterpart of *exactness*. This is a formal but established opposition in technical and analytical usage. | morphological | [CORE] |
| precise | imprecise | N/A | precise ↔ imprecise | The context explicitly gives *imprecise* as the negative counterpart of *precise*. The contrast concerns sharpness and non-vagueness in language, definition, and measurement. | morphological | [CORE] |
| precision | imprecision | N/A | precision ↔ imprecision | The derivational system explicitly lists *imprecision* as the negative counterpart of *precision*. This opposition is common in technical and analytical writing. | morphological | [CORE] |
