| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| truth | N/A | from Old English *trīewþ, trēowþ* ‘faith, fidelity, truth’ | truth; verity | *Truth* is a basic and very common term for what is the case, especially in evaluating statements, beliefs, testimony, or representations. It is also used in moral, religious, legal, and philosophical contexts, as in “tell the truth,” “the truth of the claim,” or “truth and reconciliation.” | [CORE] |
| true | N/A | from Old English *trēowe* ‘faithful, trustworthy’; related historically to fidelity | true; correct; genuine; faithful | *True* is widely used to evaluate statements as accurate, reports as correct, and objects or copies as genuine or faithful to an original. It also appears in expressions about identity or essence, such as “his true nature” or “a true friend.” | [CORE] |
| correct | N/A | from Latin *correctus*, past participle of *corrigere* ‘set right’ | correct; right; accurate | *Correct* is common in educational, technical, and everyday settings for answers, procedures, facts, and forms judged to be free from error. It can also describe socially or formally proper conduct, though that use is somewhat narrower than the accuracy-related one. | [CORE] |
| right | N/A | historically ‘straight, just, proper’ | right; correct; just; proper | *Right* is extremely common for judging answers, decisions, actions, and beliefs as correct or justified. It also has strong moral and legal uses, as in “the right thing to do” or “a right judgment,” so its evaluative range is broad. | [CORE] |
| accurate | N/A | from Latin *accuratus* ‘done with care’ | accurate; exact; precise | *Accurate* is used especially for descriptions, measurements, reports, models, and representations that closely match facts or reality. It is common in scientific, journalistic, bureaucratic, and everyday evaluative language. | [CORE] |
| accuracy | N/A | derived from *accurate* + *-cy* | accuracy; exactness; correctness | *Accuracy* names the quality of being factually or representationally correct. It is frequently used in discussions of data, testimony, translation, depiction, record-keeping, and performance. | [CORE] |
| genuine | N/A | from Latin *genuinus* ‘innate, natural, authentic’ | genuine; authentic; real | *Genuine* is used for objects, emotions, intentions, and personal qualities judged to be real rather than fake, affected, or counterfeit. It is common both in commercial contexts (“genuine leather”) and in interpersonal evaluation (“genuine concern”). | [CORE] |
| authentic | N/A | from Greek via Latin, originally relating to authority or originality | authentic; genuine; original | *Authentic* is common for documents, artworks, performances, identities, and experiences considered original, legitimate, or faithful to a source or tradition. It is especially frequent in legal, historical, aesthetic, and cultural discussions. | [CORE] |
| real | N/A | from Latin *realis* ‘actual, pertaining to things’ | real; actual; genuine | *Real* is a very common term for what actually exists or is not fake, imagined, or merely apparent. It also appears in evaluative uses concerning essence or legitimacy, as in “the real issue” or “a real painting, not a copy.” | [CORE] |
| valid | N/A | from Latin *validus* ‘strong, effective’ | valid; sound; legally effective | *Valid* is widely used for arguments, objections, documents, contracts, licenses, and claims judged acceptable or effective under logical, legal, or procedural standards. Its meaning depends on context, but it consistently signals recognized correctness or force. | [CORE] |
| sound | N/A | historically ‘healthy, intact’ | sound; well-founded; reliable | *Sound* is often used for reasoning, judgment, policy, or scholarship that is dependable and well grounded. In logic and criticism it can be more technical, but it is also common in general evaluative prose. | [CORE] |
| reliable | N/A | rely + *-able* | reliable; dependable; trustworthy | *Reliable* is used for persons, sources, instruments, methods, and systems that can be counted on to perform consistently or provide dependable information. It is common in both practical and epistemic evaluation, especially regarding testimony and evidence. | [CORE] |
| trustworthy | N/A | trust + worthy | trustworthy; dependable; credible | *Trustworthy* is especially used for persons, institutions, and sources judged worthy of confidence. It often overlaps with moral evaluation, since it can imply honesty as well as reliability. | [CORE] |
| credible | N/A | from Latin *credibilis* ‘believable’ | credible; believable; plausible | *Credible* is used for claims, explanations, witnesses, threats, and accounts that seem worthy of belief. It is especially common in legal, political, and journalistic contexts where plausibility and trust are being assessed. | [CORE] |
| faithful | N/A | faith + *-ful* | faithful; loyal; accurate; true to | *Faithful* can describe persons as loyal, but it is also used for translations, reproductions, adaptations, and depictions that closely preserve an original. In that representational sense it evaluates resemblance and fidelity rather than mere factual correctness. | [CORE] |
| exact | N/A | from Latin *exactus* ‘driven out, completed precisely’ | exact; precise; strict | *Exact* is used for measurements, wording, copies, and correspondences that match with very high precision. It often appears where small deviations matter, such as mathematics, law, technical description, or quotation. | [CORE] |
| precise | N/A | from Latin *praecisus* ‘cut off, sharply defined’ | precise; exact; specific | *Precise* is common for language, measurement, definition, and representation that is sharply accurate and not vague. It often emphasizes clarity and fine-grained exactness rather than broad correctness alone. | [CORE] |
| proper | N/A | from Latin *proprius* ‘one’s own, particular’ | proper; appropriate; correct; fitting | *Proper* is used for names, procedures, conduct, dress, and forms judged appropriate or correct according to norms or conventions. It is especially common where social, legal, or formal standards are relevant. | [CORE] |
| legitimate | N/A | from Latin *legitimus* ‘lawful’ | legitimate; lawful; valid; genuine | *Legitimate* is used for authority, claims, children, governments, interests, and uses judged lawful, justified, or properly grounded. In broader usage it can also mean not spurious or not unreasonable, as in “a legitimate concern.” | [CORE] |
| lawful | N/A | law + *-ful* | lawful; legal; permitted by law | *Lawful* evaluates actions, authority, possession, or status in relation to legal standards. It is narrower than *right* or *proper*, since it specifically concerns conformity to law rather than morality or accuracy in general. | [CORE] |
| just | N/A | from Latin *iustus* ‘upright, lawful, fair’ | just; fair; rightful | *Just* is common in moral, legal, and political evaluation for actions, decisions, punishments, and social arrangements judged fair or rightful. It is less about factual accuracy than about normative rightness, but it clearly belongs in evaluative contexts of this kind. | [CORE] |
| fair | N/A | historically associated with beauty and favorable quality; later extended to impartiality | fair; impartial; just; reasonable | *Fair* is widely used for treatment, rules, judgments, prices, and procedures considered impartial or reasonable. It is central in everyday moral and legal evaluation, though not usually for truth in the narrow sense. | [CORE] |
| counterfeit | N/A | from Anglo-French, originally ‘made in imitation’ | counterfeit; fake; forged | *Counterfeit* is used for money, goods, documents, and branded items that imitate genuine ones deceptively. It is common in legal and commercial contexts and directly concerns judgments of genuineness. | [CORE] |
| fake | N/A | origin uncertain | fake; false; counterfeit; sham | *Fake* is very common in everyday speech for objects, identities, emotions, documents, and representations judged not genuine. It can be both noun and adjective, and it often carries a colloquial or accusatory tone. | [CORE] |
| forgery | N/A | forge + *-ery* | forgery; forged item; falsification | *Forgery* refers to a falsified document, signature, artwork, or similar item made to pass as genuine. It is especially common in legal, artistic, and historical contexts involving authenticity and deception. | [CORE] |
| semblance | N/A | from Old French, related to ‘seem’ | semblance; appearance; likeness | *Semblance* refers to outward appearance or a degree of resemblance, often with an implication that the appearance may not match reality fully. It is somewhat more literary than everyday terms like *appearance* or *likeness*. | [MARGINAL] |
