| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Αυτό είναι αληθές. | *Aftó eínai alithés.* | [CORE] | Greek does not show one single dedicated “become true” verb across the whole domain in the provided material. The clearest dynamic resources in the context are: **αληθεύω / αληθεύει** for “be true / turn out true”; evidential/resultative frames such as **αποδεικνύεται αληθής**; simple attribution with **είναι αληθές / αληθής**. This area is more natural with **αληθής / αληθές** and **αληθεύει** than with **αληθινός**. |
| 1 | Αυτό που είπε αληθεύει. | *Aftó pou eípe alithevi.* | [MARGINAL] | Greek does not show one single dedicated “become true” verb across the whole domain in the provided material. The clearest dynamic resources in the context are: **αληθεύω / αληθεύει** for “be true / turn out true”; evidential/resultative frames such as **αποδεικνύεται αληθής**; simple attribution with **είναι αληθές / αληθής**. This area is more natural with **αληθής / αληθές** and **αληθεύει** than with **αληθινός**. |
| 1 | Η δήλωση αποδεικνύεται αληθής. | *I dílosi apodeiknýetai alithís.* | [CORE] | Greek does not show one single dedicated “become true” verb across the whole domain in the provided material. The clearest dynamic resources in the context are: **αληθεύω / αληθεύει** for “be true / turn out true”; evidential/resultative frames such as **αποδεικνύεται αληθής**; simple attribution with **είναι αληθές / αληθής**. This area is more natural with **αληθής / αληθές** and **αληθεύει** than with **αληθινός**. |
| 2 | Ο ισχυρισμός αποδεικνύεται ψευδής. | *O ischyrismós apodeiknýetai psevdís.* | [CORE] | For dynamic falsity, the strongest attested pattern in the context is **αποδεικνύεται ψευδής**. Greek also uses simple negated attribution (**δεν είναι αληθές**, **δεν είναι σωστό**) and noun-predicate rejection (**είναι ψέμα ότι...**), but these are not all equally dynamic. Among the listed items, **ψευδής** is the most natural formal target state for “shown false.” |
| 2 | Αυτό δεν είναι αληθές. | *Aftó den eínai alithés.* | [CORE] | For dynamic falsity, the strongest attested pattern in the context is **αποδεικνύεται ψευδής**. Greek also uses simple negated attribution (**δεν είναι αληθές**, **δεν είναι σωστό**) and noun-predicate rejection (**είναι ψέμα ότι...**), but these are not all equally dynamic. Among the listed items, **ψευδής** is the most natural formal target state for “shown false.” |
| 2 | Είναι ψέμα ότι... | *Eínai pséma óti...* | [CORE] | For dynamic falsity, the strongest attested pattern in the context is **αποδεικνύεται ψευδής**. Greek also uses simple negated attribution (**δεν είναι αληθές**, **δεν είναι σωστό**) and noun-predicate rejection (**είναι ψέμα ότι...**), but these are not all equally dynamic. Among the listed items, **ψευδής** is the most natural formal target state for “shown false.” |
| 3 | Αυτό δεν είναι σωστό. | *Aftó den eínai sostó.* | [CORE] | The context strongly supports static evaluation with **σωστός** and **ορθός**, but gives little direct support for a common dynamic “become correct” expression. With auxiliary verbs allowed, **γίνεται σωστός/σωστή/σωστό** and **γίνεται ορθός/ορθή/ορθό** are structurally possible, but no especially common dedicated expression is identified in the context. So here the safest conclusion is: **No clearly common specialized dynamic expression is identified beyond ordinary copular evaluation and possible general use of γίνεται.** Also, **σωστός** is more everyday, while **ορθός** is more formal and institutional. |
| 3 | Η ερμηνεία είναι ορθή. | *I ermineía eínai orthí.* | [CORE] | The context strongly supports static evaluation with **σωστός** and **ορθός**, but gives little direct support for a common dynamic “become correct” expression. With auxiliary verbs allowed, **γίνεται σωστός/σωστή/σωστό** and **γίνεται ορθός/ορθή/ορθό** are structurally possible, but no especially common dedicated expression is identified in the context. So here the safest conclusion is: **No clearly common specialized dynamic expression is identified beyond ordinary copular evaluation and possible general use of γίνεται.** Also, **σωστός** is more everyday, while **ορθός** is more formal and institutional. |
| 3 | Η απάντηση γίνεται σωστή. | *I apántisi gínetai sostí.* | [CORE] | The context strongly supports static evaluation with **σωστός** and **ορθός**, but gives little direct support for a common dynamic “become correct” expression. With auxiliary verbs allowed, **γίνεται σωστός/σωστή/σωστό** and **γίνεται ορθός/ορθή/ορθό** are structurally possible, but no especially common dedicated expression is identified in the context. So here the safest conclusion is: **No clearly common specialized dynamic expression is identified beyond ordinary copular evaluation and possible general use of γίνεται.** Also, **σωστός** is more everyday, while **ορθός** is more formal and institutional. |
| 4 | Το έγγραφο είναι έγκυρο. | *To éngrafo eínai énkyro.* | [CORE] | The context supports **state** and **evaluation** very clearly for **έγκυρος / εγκυρότητα**, but not a strongly established dynamic “become valid” or “become invalid” construction. Thus: **No common dedicated dynamic expression is clearly identified in the context for ‘become valid/invalid’.** Instead, Greek in this dataset encodes the domain through: attribution: **είναι έγκυρος**; institutional evaluation: **θεωρείται έγκυρος**; procedural checking: **ελέγχω την εγκυρότητα**. |
| 4 | Το επιχείρημα θεωρείται έγκυρο. | *To epichírima theoríte énkyro.* | [CORE] | The context supports **state** and **evaluation** very clearly for **έγκυρος / εγκυρότητα**, but not a strongly established dynamic “become valid” or “become invalid” construction. Thus: **No common dedicated dynamic expression is clearly identified in the context for ‘become valid/invalid’.** Instead, Greek in this dataset encodes the domain through: attribution: **είναι έγκυρος**; institutional evaluation: **θεωρείται έγκυρος**; procedural checking: **ελέγχω την εγκυρότητα**. |
| 4 | Ελέγχω την εγκυρότητα της μεθόδου. | *Eléncho tin enkyrótita tis methódou.* | [CORE] | The context supports **state** and **evaluation** very clearly for **έγκυρος / εγκυρότητα**, but not a strongly established dynamic “become valid” or “become invalid” construction. Thus: **No common dedicated dynamic expression is clearly identified in the context for ‘become valid/invalid’.** Instead, Greek in this dataset encodes the domain through: attribution: **είναι έγκυρος**; institutional evaluation: **θεωρείται έγκυρος**; procedural checking: **ελέγχω την εγκυρότητα**. |
| 5 | Το έγγραφο είναι αυθεντικό. | *To éngrafo eínai afthentikó.* | [CORE] | For authenticity-related meanings, the context most clearly supports **discovery/result** rather than true inchoative change: **αποδείχθηκε πλαστή**; static contrasts such as **γνήσια υπογραφή / πλαστή υπογραφή**; **αυθεντικό έγγραφο / παραποιημένο έγγραφο**. There is no common dedicated expression in the context meaning “make something authentic” or “become authentic” in a general way. So the dynamic profile here is mainly: **verification**; **exposure**; **result of examination** rather than spontaneous change of state. |
| 5 | Η υπογραφή αποδείχθηκε πλαστή. | *I ypografí apodeíchthike plastí.* | [CORE] | For authenticity-related meanings, the context most clearly supports **discovery/result** rather than true inchoative change: **αποδείχθηκε πλαστή**; static contrasts such as **γνήσια υπογραφή / πλαστή υπογραφή**; **αυθεντικό έγγραφο / παραποιημένο έγγραφο**. There is no common dedicated expression in the context meaning “make something authentic” or “become authentic” in a general way. So the dynamic profile here is mainly: **verification**; **exposure**; **result of examination** rather than spontaneous change of state. |
| 5 | Το έγγραφο είναι παραποιημένο. | *To éngrafo eínai parapoïiméno.* | [CORE] | For authenticity-related meanings, the context most clearly supports **discovery/result** rather than true inchoative change: **αποδείχθηκε πλαστή**; static contrasts such as **γνήσια υπογραφή / πλαστή υπογραφή**; **αυθεντικό έγγραφο / παραποιημένο έγγραφο**. There is no common dedicated expression in the context meaning “make something authentic” or “become authentic” in a general way. So the dynamic profile here is mainly: **verification**; **exposure**; **result of examination** rather than spontaneous change of state. |
