| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| αλήθεια | λέω την αλήθεια | léo tin alítheia | tell the truth | Very common everyday predicate for speaking truthfully. Used both literally and in interpersonal/moral contexts. | [CORE] |
| αλήθεια | την αλήθεια να λέμε | tin alítheia na léme | to tell the truth; truth be told | Common discourse formula introducing a candid admission or correction. Often slightly conversational or rhetorical. | [CORE] |
| αλήθεια | η αλήθεια είναι ότι... | i alítheia eínai óti... | the truth is that... | Extremely common clause-introducing construction in speech and writing. Often used to present the speaker’s real assessment, sometimes close to “actually.” | [CORE] |
| αλήθεια | στην αλήθεια | stin alítheia | in truth | Attested but much less common than alternatives like *στην πραγματικότητα*. It belongs more to elevated or rhetorical usage. | [MARGINAL] |
| αλήθεια | μακριά από την αλήθεια | makriá apó tin alítheia | far from the truth | Common evaluative phrase for claims, impressions, or depictions that do not match reality. Used in journalism, argumentation, and everyday speech. | [CORE] |
| αλήθεια | κόκκος αλήθειας | kókkos alítheias | grain of truth | Established idiomatic expression for a small element of truth within an otherwise doubtful or exaggerated claim. Common in public and everyday discourse. | [CORE] |
| αληθινός | αληθινός φίλος | alithinós fílos | true friend | Common interpersonal expression evaluating authenticity and loyalty in friendship. It concerns genuineness of relationship rather than factual truth. | [CORE] |
| αληθινός | αληθινή αγάπη | alithiní agápi | true love | Frequent in everyday, literary, and popular-cultural use. It marks love as genuine, deep, or idealized. | [CORE] |
| αληθινός | αληθινή ιστορία | alithiní istoría | true story | Common in media and conversation to indicate factual rather than fictional narrative. Often used in titles, summaries, and promotional framing. | [CORE] |
| αληθινός | αληθινός εαυτός | alithinós eaftós | true self | Attested in psychological, reflective, and self-help discourse. It refers to authentic identity rather than social appearance. | [MARGINAL] |
| αληθινός | αληθινή τέχνη | alithiní téchni | true art; genuine art | Used in aesthetic evaluation to distinguish art judged authentic or substantial from superficial or commercial production. More evaluative than literal. | [MARGINAL] |
| αληθής | αληθής δήλωση | alithís dílosi | true statement; truthful declaration | Common in legal, administrative, and formal evaluative contexts. It refers to a declaration corresponding to the facts. | [CORE] |
| αληθής | αληθές ή ψευδές | alithés í psevdés | true or false | Standard educational and logical pairing. Very common in tests, logic, and formal reasoning. | [CORE] |
| αληθής | είναι αληθές ότι... | eínai alithés óti... | it is true that... | Formal predicative construction used in argumentation, reporting, and academic prose. More learned in tone than *είναι αλήθεια ότι...*. | [CORE] |
| σωστός | έχω δίκιο / είμαι σωστός | écho díkio / eímai sostós | I am right / I am correct | *Είμαι σωστός* is attested but more context-bound than *έχω δίκιο*. It is used when evaluating correctness of an answer, judgment, or procedure. | [MARGINAL] |
| σωστός | σωστή απάντηση | sostí apántisi | correct answer | Very common in everyday and educational contexts. It is the ordinary colloquial counterpart to more formal *ορθή απάντηση*. | [CORE] |
| σωστός | σωστή επιλογή | sostí epilogí | right choice | Common in everyday evaluative speech for decisions judged appropriate or correct. It can be practical, moral, or strategic depending on context. | [CORE] |
| σωστός | σωστός τρόπος | sostós trópos | right/proper way | Very common phrase for the proper method or manner of doing something. Used in instruction, advice, and evaluation. | [CORE] |
| σωστός | το σωστό είναι να... | to sostó eínai na... | the right thing is to... | Common construction for giving advice or moral/practical evaluation. It can refer to correctness, appropriateness, or ethical rightness. | [CORE] |
| ορθός | ορθή απάντηση | orthí apántisi | correct answer | Standard formal expression in education, testing, and evaluation. More formal than *σωστή απάντηση*. | [CORE] |
| ορθός | ορθή χρήση | orthí chrísi | proper use | Frequent in instructions, manuals, and public guidance. It evaluates conformity to correct or intended use. | [CORE] |
| ορθός | ορθή εφαρμογή | orthí efarmogí | correct application | Common in law, administration, and technical discourse. It refers to proper implementation of a rule, method, or procedure. | [CORE] |
| ορθός | ορθή ερμηνεία | orthí ermineía | correct interpretation | Common in legal, academic, and textual analysis contexts. It marks an interpretation judged properly grounded. | [CORE] |
| ορθός | ορθή κρίση | orthí krísi | sound judgment | Used in formal and reflective discourse for well-founded judgment. It is less colloquial than expressions with *σωστός*. | [CORE] |
| ορθός | ορθός λόγος | orthós lógos | right reason; correct discourse | Learned and philosophical expression. It is attested but not common in ordinary everyday speech. | [MARGINAL] |
| ορθός | ορθή γωνία | orthí gonía | right angle | Standard mathematical term. Synchronically common, though semantically outside narrow truth evaluation. | [CORE] |
| ορθότητα | ορθότητα των στοιχείων | orthótita ton stoicheíon | correctness of the data | Common formal evaluative construction in administration, science, and reporting. It assesses whether data or details are correct. | [CORE] |
| ορθότητα | ορθότητα της διαδικασίας | orthótita tis diadikasías | correctness of the procedure | Used in legal, institutional, and technical contexts. It concerns conformity to proper procedure or standards. | [CORE] |
| ορθότητα | ορθότητα του συλλογισμού | orthótita tou syllogismoú | correctness of the reasoning | Common in academic, logical, and evaluative prose. It refers to whether an inference or line of reasoning is soundly formed. | [CORE] |
| ακρίβεια | με ακρίβεια | me akríveia | accurately; with precision | Very common adverbial prepositional construction in technical, journalistic, and everyday contexts. It marks exactness in description, measurement, or reporting. | [CORE] |
| ακρίβεια | βαθμός ακρίβειας | vathmós akríveias | degree of accuracy | Standard evaluative phrase in science, statistics, and technical discussion. It quantifies how exact a result or representation is. | [CORE] |
| ακρίβεια | έλλειψη ακρίβειας | élleipsi akríveias | lack of accuracy | Common in criticism of reporting, description, or measurement. It points to imprecision rather than outright falsity. | [CORE] |
| ακρίβεια | ακρίβεια των πληροφοριών | akríveia ton pliroforión | accuracy of the information | Common in journalism, administration, and research. It evaluates whether information corresponds exactly to the facts. | [CORE] |
| ακριβής | ακριβής περιγραφή | akrivís perigrafí | accurate description | Common in both formal and ordinary usage. It refers to a description that matches details closely and correctly. | [CORE] |
| ακριβής | ακριβής μέτρηση | akrivís métrisi | accurate measurement | Standard technical and scientific phrase. It emphasizes precision and reliability of measurement. | [CORE] |
| ακριβής | ακριβής διατύπωση | akrivís diatýposi | precise wording | Common in legal, academic, and editorial contexts. It concerns exact formulation rather than general truth alone. | [CORE] |
| ακριβής | όσο το δυνατόν ακριβέστερα | óso to dynatón akrivéstera | as accurately as possible | Very common comparative construction in instructions, reporting, and requests for careful description. It is productive and natural. | [CORE] |
| έγκυρος | έγκυρη πηγή | énkyri pigí | reliable/authoritative source | Very common in journalism, education, and public discourse. It refers to a source recognized as trustworthy or authoritative. | [CORE] |
| έγκυρος | έγκυρες πληροφορίες | énkyres pliroforíes | reliable information | Common in media and administrative contexts. It evaluates information as dependable and recognized as valid. | [CORE] |
| έγκυρος | έγκυρο έγγραφο | énkyro éngrafo | valid document | Standard in legal and administrative language. Here the emphasis is often formal validity rather than truthfulness. | [CORE] |
| έγκυρος | θεωρείται έγκυρος | theoríte énkyros | is considered valid / authoritative | Common predicative frame in formal evaluation of arguments, methods, documents, or institutions. The exact sense depends on domain. | [CORE] |
| εγκυρότητα | εγκυρότητα του επιχειρήματος | enkyrótita tou epichirímatos | validity of the argument | Common in logic, rhetoric, and academic prose. It concerns whether an argument holds under accepted criteria. | [CORE] |
| εγκυρότητα | εγκυρότητα της μεθόδου | enkyrótita tis methódou | validity of the method | Standard in research and technical evaluation. It refers to whether a method is sound and acceptable. | [CORE] |
| εγκυρότητα | ελέγχω την εγκυρότητα | eléncho tin enkyrótita | check the validity | Common procedural construction in academic, legal, and technical contexts. It refers to testing whether something meets recognized standards. | [CORE] |
| έγκριτος | έγκριτος επιστήμονας | énkritos epistímonas | distinguished/reputable scientist | Common formal evaluative phrase for a respected expert. It supports credibility rather than directly asserting truth. | [CORE] |
| έγκριτος | έγκριτο πανεπιστήμιο | énkrito panepistímio | reputable university | Common in public and institutional discourse. It marks recognized prestige or standing. | [CORE] |
| έγκριτος | έγκριτη εφημερίδα | énkriti efimerída | reputable newspaper | Common in media discourse when invoking institutional credibility. It does not itself guarantee truth, but signals public authority. | [CORE] |
| αυθεντικός | αυθεντικό έγγραφο | afthentikó éngrafo | authentic document | Common in legal, archival, and evaluative contexts. It marks a document as genuine rather than forged or copied. | [CORE] |
| αυθεντικός | αυθεντικό έργο | afthentikó érgo | authentic work | Used in art, heritage, and criticism for an original or genuine work. It often contrasts with imitation or doubtful attribution. | [CORE] |
| αυθεντικός | αυθεντική εμπειρία | afthentikí ebeiría | authentic experience | Common in tourism, lifestyle, and personal evaluation. It refers to something felt to be genuine rather than staged or artificial. | [CORE] |
| αυθεντικός | αυθεντική φωνή | afthentikí foní | authentic voice | Used in literary, artistic, and personal discourse. It refers to genuineness of expression or style. | [MARGINAL] |
