| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| αλήθεια | ψέμα | *alítheia* — *pséma* | truth — lie/falsehood | This is an explicit core opposition in the data, including the note that *αλήθεια ή ψέμα* “truth or lie” is a common contrast. It opposes truth/untruth both at the level of statements and broader moral evaluation. | lexical | [CORE] |
| αληθές | ψευδές | *alithés* — *psevdés* | true — false | The pair is directly attested as *αληθές / ψευδές* and described as a standard opposition in logic, education, tests, and formal reasoning. It is a formal truth-value contrast. | lexical | [CORE] |
| αληθής | ψευδής | *alithís* — *psevdís* | true — false | These adjectives contrast in formal evaluation of statements, declarations, allegations, and similar propositional content. The data strongly supports this opposition through items like *αληθής δήλωση* and *ψευδής δήλωση*. | lexical | [CORE] |
| λέω την αλήθεια | λέω ψέματα | *léo tin alítheia* — *léo psémata* | tell the truth — lie / tell lies | This is explicitly identified in the constructional notes as the core colloquial opposition for verbal truth/falsehood predication. It contrasts truthful speaking with lying in everyday interaction. | constructional | [CORE] |
| είναι αλήθεια ότι... | είναι ψέμα ότι... | *eínai alítheia óti...* — *eínai pséma óti...* | it is true that... — it is a lie / it is false that... | Both clause patterns are directly attested in the materials. They oppose affirmation and rejection of a proposition, with *είναι ψέμα ότι...* often sounding stronger and more accusatory. | constructional | [CORE] |
| Αυτό είναι αληθές. | Αυτό δεν είναι σωστό. | *Aftó eínai alithés.* — *Aftó den eínai sostó.* | This is true. — This is not correct. | The data explicitly presents positive attribution versus negative attribution as a constructional contrast. The opposition is between affirmative evaluation and analytic negation with *δεν είναι*. | constructional | [CORE] |
| [NP] είναι + ADJ/N | [NP] δεν είναι + ADJ/N | — | [NP] is + ADJ/N — [NP] is not + ADJ/N | P4a explicitly identifies this as the basic positive vs negative attribution contrast. It applies across truth, correctness, validity, authenticity, and related evaluations. | constructional | [CORE] |
| αληθοφανής / αληθοφάνεια | αλήθεια / αληθής | *alithofanís / alithofáneia* — *alítheia / alithís* | plausible / plausibility, verisimilitude — truth / true | The data explicitly states that *αληθοφανής* and *αληθοφάνεια* concern the appearance of truth rather than truth itself. This creates a supported opposition between seeming true and actually being true. | lexical | [CORE] |
| στην πραγματικότητα | appearance / impression / illusion / representation | *stin pragmatikótita* — | in reality / actually — appearance / impression / illusion / representation | The materials repeatedly define *πραγματικότητα* against appearance, illusion, fiction, rhetoric, or mistaken impression. This is a clearly supported semantic opposition, though the opposing side is represented by several expressions rather than one fixed lexical item. | lexical | [CORE] |
