| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Truth of statements, reports, and claims | This group centers on expressions used to say that a statement, report, allegation, or proposition is true or false. The usage is especially common in conversation, journalism, law, education, and formal reasoning, and often appears in direct contrast pairs such as true/false or truth/lie. | αλήθεια; λέω την αλήθεια; η αλήθεια είναι ότι...; αληθής; αληθής δήλωση; είναι αληθές ότι...; αληθεύει / αληθεύει ότι...; αληθές / ψευδές; ψευδής; ψευδής δήλωση; αποδεικνύεται ψευδής; ψέμα; λέω ψέματα; είναι ψέμα ότι... | αλήθεια also extends beyond statement-truth into broader “what is real/genuine.”; αληθινός sometimes overlaps here, but in many uses it shifts toward genuineness rather than proposition-truth.; ψέμα can refer both to factual falsehood and to interpersonal deception. | The usage is especially common in conversation, journalism, law, education, and formal reasoning, and often appears in direct contrast pairs such as true/false or truth/lie. |
| 2. Everyday correctness, proper choice, and doing things the right way | This group includes very common expressions used in ordinary evaluation of answers, choices, behavior, and methods. The tone is usually practical and everyday rather than technical, and the same forms can cover correctness, appropriateness, and sometimes moral rightness depending on context. | σωστός; σωστά; σωστή απάντηση; σωστή επιλογή; σωστός τρόπος; το σωστό είναι να...; είμαι σωστός | σωστός overlaps with more formal correctness terms like ορθός, but is broader and more colloquial.; In some contexts σωστός can shade into moral or social appropriateness, not just factual correctness. | The tone is usually practical and everyday rather than technical, and the same forms can cover correctness, appropriateness, and sometimes moral rightness depending on context. |
| 3. Formal correctness, proper form, and standard-conforming use | This group gathers expressions used when correctness is evaluated in a more formal, institutional, technical, or learned way. They are common in education, law, administration, academic prose, and technical instruction, often where one checks whether something has been applied, interpreted, or formed properly. | ορθός; ορθότητα; ορθά; ορθή απάντηση; ορθή χρήση; ορθή εφαρμογή; ορθή ερμηνεία; ορθή κρίση; ορθότητα των στοιχείων; ορθότητα της διαδικασίας; ορθότητα του συλλογισμού | ορθός overlaps with σωστός, but tends to sound more formal or elevated.; Some ορθο- compounds belong here only loosely; others have become specialized terms with little active connection to correctness in everyday use. | They are common in education, law, administration, academic prose, and technical instruction, often where one checks whether something has been applied, interpreted, or formed properly. |
| 4. Accuracy, precision, and exact formulation | This group is used where the issue is not simply whether something is true, but whether it is exact, precise, or closely matching details. It is especially common for measurements, wording, descriptions, data, and reporting. | ακρίβεια; ακριβής; ακριβώς; με ακρίβεια; βαθμός ακρίβειας; έλλειψη ακρίβειας; ακρίβεια των πληροφοριών; ακριβής περιγραφή; ακριβής μέτρηση; ακριβής διατύπωση; όσο το δυνατόν ακριβέστερα | ακριβής can overlap with truth-related evaluation when used for statements, but often focuses on exactness rather than simple truth-value.; πιστός / πιστότητα may overlap when the issue is close correspondence to an original rather than precision in measurement. | It is especially common for measurements, wording, descriptions, data, and reporting. |
| 5. Validity, reliability, and recognized authority | This group includes expressions used when information, documents, methods, arguments, or sources are evaluated as holding up under accepted standards or being publicly trustworthy. The usage is common in legal, academic, administrative, and media contexts. | έγκυρος; εγκυρότητα; έγκυρη πηγή; έγκυρες πληροφορίες; έγκυρο έγγραφο; θεωρείται έγκυρος; εγκυρότητα του επιχειρήματος; εγκυρότητα της μεθόδου; ελέγχω την εγκυρότητα; έγκριτος; έγκριτος επιστήμονας; έγκριτη εφημερίδα | έγκυρος may mean formally valid in legal/administrative settings, but reputable/reliable in public discourse.; έγκριτος does not itself mean “true,” but often supports judgments of credibility and trustworthiness. | The usage is common in legal, academic, administrative, and media contexts. |
| 6. Genuineness, authenticity, and non-fake status | This group covers expressions used for objects, documents, works, products, signatures, experiences, and sometimes persons or feelings, where the main issue is whether something is genuine rather than fake, forged, staged, or imitation. It is common in commerce, art, law, heritage, and interpersonal evaluation. | αυθεντικός; αυθεντικότητα; αυθεντικό έγγραφο; αυθεντικό έργο; αυθεντική εμπειρία; γνήσιος; γνησιότητα; γνήσιο προϊόν; γνήσια υπογραφή; γνήσιο ενδιαφέρον; πιστοποιητικό γνησιότητας; έλεγχος γνησιότητας; αληθινός in some uses; πραγματικός in some uses | αληθινός often belongs here when describing feelings, relationships, or stories as genuine.; γνήσιος and αυθεντικός overlap strongly, though γνήσιος often has a stronger “legitimate/non-counterfeit” flavor.; πραγματικός may join this group when contrasting real vs fake, but often belongs more to actuality/reality. | It is common in commerce, art, law, heritage, and interpersonal evaluation. |
| 7. Reality, actuality, and what is really the case | This group is used when speakers contrast reality with appearance, fiction, illusion, rhetoric, or mistaken impression. It is very common in everyday speech and also in political, journalistic, and reflective discourse. | πραγματικός; πραγματικότητα; πραγματικά; στην πραγματικότητα; η πραγματικότητα είναι ότι...; ανταποκρίνεται στην πραγματικότητα; έρχομαι αντιμέτωπος με την πραγματικότητα; πραγματικός κόσμος; πραγματικό πρόβλημα; πραγματικός λόγος | αλήθεια sometimes overlaps here, especially in broad “what is really the case” uses.; πραγματικός can also overlap with genuineness/authenticity.; ουσία may appear nearby in discourse when speakers move from appearances to what matters at the core. | It is very common in everyday speech and also in political, journalistic, and reflective discourse. |
| 8. Substance, essence, and the main point rather than details | This group includes expressions used to shift attention from form, wording, procedure, or surface detail to what is substantive, essential, or central. It is especially common in formal speech, law, politics, argumentation, and reflective prose, but some expressions are also very common in everyday conversation. | ουσία; ουσιώδης; ουσιώδες; ουσιαστικός; ουσιαστικά; ουσιωδώς; κατ’ ουσίαν; στην ουσία; επί της ουσίας; η ουσία είναι ότι...; ουσία της υπόθεσης; ουσία και τύπος; ουσιώδης διαφορά; ουσιώδες στοιχείο; ουσιώδης όρος; ουσιαστικός διάλογος; ουσιαστική συμβολή; ουσιαστικό πρόβλημα | ουσιαστικός often extends from strict “substantive” to broader “meaningful” or “real.”; κατ’ ουσίαν overlaps with reality/actuality expressions when used to say what something really amounts to.; Some legal uses of ουσιώδης are close to validity-related evaluation. | It is especially common in formal speech, law, politics, argumentation, and reflective prose, but some expressions are also very common in everyday conversation. |
| 9. Faithful reproduction, close correspondence, and exact sameness | This group is used when something is judged by how closely it matches an original, source, model, or prior form. It is common in translation, reproduction, depiction, sound/image quality, copying, and exact repetition. | πιστός; πιστότητα; πιστά; πιστή μετάφραση; πιστή αναπαραγωγή; πιστός στο πρωτότυπο; πιστότητα ήχου; πιστότητα εικόνας; με πιστότητα; απαράλλακτος; απαράλλακτα; απαράλλακτο αντίγραφο; απαράλλακτος με...; κατά γράμμα; ακολουθώ κατά γράμμα τις οδηγίες; ερμηνεύω κάτι κατά γράμμα; μετάφραση κατά γράμμα | πιστός also has a major loyalty-related use outside this cluster.; κατά γράμμα can concern exact wording rather than broader fidelity of content.; ακριβής may overlap when exact correspondence is the issue, though it more often emphasizes precision. | It is common in translation, reproduction, depiction, sound/image quality, copying, and exact repetition. |
